Testament,Book,Chapter,Verse,Content
"New","40","1","1","Hayssafe kaallidi xaafettidayssi Dawite na7a Abrahaame na7a gidida Yesuus Kiristtoosa yeletethaa."
"New","40","1","2","Abrahamey Yisaaqa yelis; Yisaaqi Yayqooba yelis; Yayqoobi Yihudanne iya ishata yelis;"
"New","40","1","3","Yihudi Ti7imaarippe Faaresenne Zaara yelis; Faaresi Esiroome yelis; Esiroomey Raame yelis;"
"New","40","1","4","Raamey Aminaadabe yelis; Aminaadabey Na7asoone yelis; Na7asooney Salmoona yelis;"
"New","40","1","5","Salmooney Ra7abippe Boo7eze yelis; Boo7ezi Urutippe Iyobeede yelis; Iyobeedi Isseyye yelis;"
"New","40","1","6","Isseyyey kawuwa Dawite yelis; Dawitey koyro Ooriyo machcheefe Solomone yelis;"
"New","40","1","7","Solomoney Robi7aame yelis; Robi7aamey Abiya yelis; Abiyey Asaafe yelis;"
"New","40","1","8","Asaafi Iyosaafexe yelis; Iyosaafixey Iyoraame yelis; Iyoraamey Ooziyane yelis;"
"New","40","1","9","Ooziyaney Iyo7atame yelis; Iyo7atamey Akkaza yelis; Akkazi Hiziqiyasa yelis;"
"New","40","1","10","Hiziqiyasi Minaase yelis; Minaasey Amoona yelis; Amooni Iyosiyaasa yelis;"
"New","40","1","11","Isra7eele asay di7ettidi Babiloone biittaa bida wode Iyosiyaasi Ikoniyananne iya ishata yelis."
"New","40","1","12","Babiloone biitta Isra7eele asay di7ettidi bidaappe guye Ikoniyaani Selaatiyale yelis. Selaatiyaley Zerubaabela yelis;"
"New","40","1","13","Zerubaabeli Abdiyu yelis; Abdiyuy Eliyaaqeme yelis; Eliyaaqemey Azaara yelis;"
"New","40","1","14","Azaari Sadooqe yelis; Sadooqey Akiime yelis; Akiimey Eliyuuda yelis;"
"New","40","1","15","Eliyuudi Alaazara yelis; Alaazari Maatane yelis; Maataney Yayqooba yelis;"
"New","40","1","16","Yayqoobi Yoosefa yelis; Yoosefi Kiristtoosa giya Yesuusa yelida Mayraami azina."
"New","40","1","17","Hiza, yeletethay Abrahameppe Dawite gakkanaw tammanne oydda. Dawiteppe bidi Babiloone di7uwa gakkanaw tammanne oydda. Babiloone di7uwappe bidi Kiristtoosa gakkanaw tammanne oyddu yeletethi gidees."
"New","40","1","18","Yesuus Kiristtoosa yeletethaa taarikey hayssafe kaalleyssa. Iya aaya Mayraama Yoosefas oyshetta de7ashe Yoosefara gahettonna Geeshsha Ayyaanaappe qanthatasu."
"New","40","1","19","Yoosefi Xillo asi gidida gisho iyo asan kessanaw koyibeenna. Yaaniya gisho qosan iyo agganaw qoppis."
"New","40","1","20","I he qofan de7ishin Xoossaa kiitanchchoy amuhon qonccidi, “Dawite na7aw, Yoosefa, Mayraama qanthatiday Geeshsha Ayyaanaappe gidiya gisho iyo ekkanaw yayyofa” yaagis."
"New","40","1","21","Iya adde na7a yelana, I ba deriya entta nagaraappe ashshiya gisho iya sunthaa ne Yesuusa gada xeegana."
"New","40","1","22","Goday nabiya Isayaasa doonan,"
"New","40","1","23","“Hekko geela7iya qanthatana; adde na7akka yelana; iya sunthay Ammanu7eela geetettana” goyssi polettana mela ha ubbay hanis. Ammanu7eela geyssas birshshethay “Xoossay nuura de7ees” guussu."
"New","40","1","24","Yoosefi dhiskkofe barkkidi Godaa kiitanchchoy kiittidayssa mela Mayraamo ba soo efis."
"New","40","1","25","Shin ba bayra na7a yelana gakkanaw iyo bochchibeenna; yelettida na7akka Yesuusa gidi xeegis."
"New","40","2","1","Kawuwa Heroodisa woden Yesuusi Yihuda biittan Beeteleme kataman yelettidayssafe guye xoolintto taybiya asati dolohappe Yerusalaame yidi,"
"New","40","2","2","“Yelettida Ayhude kawoy awun de7ii? Nuuni doloha baggara keyida iya xoolinttuwa be7idi iyaw goynnanaw yida” yaagidi oychchidosona."
"New","40","2","3","Kawoy Heroodisi hessa si7ida wode dagammis. Yerusalaamen de7iya asay ubbayka dagammidosona."
"New","40","2","4","Heroodisi kahine halaqatanne higge asttamaareta baakko xeegidi, “Kiristtoosi awun yelettanddeshsha?” yaagidi entta oychchis."
"New","40","2","5","Enttika, “Yihuda Beetelemena; nabey,"
"New","40","2","6","‘Yihudan de7iya Beeteleme, Yihudan de7iya gooba katamatappe, neeni aybinkka guuxaka. Ta deriya Isra7eele aysanayssi, neeppe keyana’ gidi xaafis” yaagidosona."
"New","40","2","7","Hessafe guye, Heroodisi dolohappe yida asata geeman xeegidi, xoolinttuwa entti be7ida wodiya enttafe geeshshidi eris."
"New","40","2","8","I enttana Beeteleme yeddishe, “Bidi yelettida na7aa minthidi koyite; iya hintte demmida wode takka bada iyaw goynnana mela simmidi yishe taw odite” yaagis."
"New","40","2","9","Enttika kawoy Heroodisi gidayssa si7idi bidosona. Entti doloha baggara be7ida xoolinttoy enttana kaalethishe na7ay de7iyasuwa gakkanaw efis."
"New","40","2","10","Entti he xoolinttuwa be7ida wode gita ufayssi ufayttidosona."
"New","40","2","11","Soo gelidi na7aa ba aaye Mayraamira de7eyssa be7idosona. Iyaw gulbbatidi goynnidosona. Bantta saaxiniya dooyidi worqqa, ixaanenne karbbe iyaw immidosona."
"New","40","2","12","Entti Heerodisakko guye simmona mela Xoossay amuhon enttaw odin, hara ogera bantta biittaa simmidosona."
"New","40","2","13","Doloha baggafe yida asati bidaappe guye, Godaa kiitanchchoy Yoosefas amuhon qonccidi, “Heroodisi na7aa wodhanaw koyaa gisho dendda; ellesada na7aanne na7aa aayiw ekkada Gibxe biittaa ba. Ne simmana wodiya ta new odana gakkanaw yan gam77a” yaagis."
"New","40","2","14","Hessa gisho, Yoosefi he qamman denddidi, na7aanne na7aa aayiw ekkidi Gibxe bis."
"New","40","2","15","Nabiya doonan Xoossay, “Taani, ta na7aa, Gibxe biittafe xeegas” geetettida qaalay polettana mela Heroodisi hayqqana gakkanaw I yan de7is."
"New","40","2","16","Hessafe guye, doloha baggafe yida asati iya cimmidayssa erida wode daro yilotis. I kase enttafe si7idayssada Beetelemeninne he heeran de7iya nam77u laythi kumidayssatanne nam77u laythafe garssan de7iya adde nayta ubbaa ba wotaddareta yeddidi wodhisis."
"New","40","2","17","Nabiya Ermmiyasa doonan, “Yeehoynne zeleelssi, Raama kataman si7ettis. Raahela ba naytas yeekkawusu; entti hayqqida gisho minettanaw dandda7abuukku” gidi odidayssi polettis."
"New","40","2","18","..."
"New","40","2","19","Heroodisi hayqqidaappe guye Gibxen Godaa kiitanchchoy Yoosefas amuhon qonccidi,"
"New","40","2","20","“Na7aa wodhanaw koyaa asati hayqqida gisho, denddada na7aanne na7aa aayiw ekkada Isra7eele biittaa simma” yaagis."
"New","40","2","21","Yoosefi denddidi na7aanne na7aa aayiw ekkidi Isra7eele biittaa simmis."
"New","40","2","22","Shin Arkkeliyoosi Yihudan ba aawa Heroodisa bessan kawotidayssa si7ida wode yaa baanaw yayyis. Xoossay amuhon iyaw qonccisin Galiila biittaa bis."
"New","40","2","23","Nabeta doonan, “Naazirete asi geetettana” gidi odettidayssi polettana mela Naazirete katamaa bidi yan de7is."
