Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ибрагьимил наслуялъул Давудил кьибилалъул вас ГІиса МасихІил умумузул цІаразул рахас гьадинаб буго:"
"New","40","1","2","Ибрагьимие гьавуна ИсхІакъ, ИсхІакъие гьавуна Якъуб, Якъубие гьаруна Ягьуда ва гьесул вацал."
"New","40","1","3","Ягьудае Тамарица гьаруна Перецги Зараги, Перецие гьавуна ХІецрон, ХІецроние гьавуна Рам,"
"New","40","1","4","Рамие гьавуна ГІаминадаб, ГІаминадабие гьавуна НахІшон, НахІшоние гьавуна Шалмон,"
"New","40","1","5","Шалмоние Рагьабица гьавуна БогІаз, БогІазие Рутица гьавуна Йобед, Йобедие гьавуна Йишай,"
"New","40","1","6","Йишаие гьавуна парччахІ Давуд. Уриял йикІарай чІужуялъ парччахІ Давудие гьавуна Сулайман;"
"New","40","1","7","Сулаймание гьавуна Регьобоам, Регьобоамие гьавуна Абиягь, Абиягьие гьавуна Аса;"
"New","40","1","8","Асае гьавуна Иегьошапат, Иегьошапатие гьавуна Иегьорам, Иегьорамие гьавуна Уззия;"
"New","40","1","9","Уззияе гьавуна Иотам, Иотамие гьавуна Агьаз, Агьазие гьавуна Гьезекиягь;"
"New","40","1","10","Гьезекиягьие гьавуна Манассегь, Манассегьие гьавуна Амос, Амосие гьавуна Иосиягь;"
"New","40","1","11","жугьутІал Вавилоналде гочинарилалде Иосиягьие гьаруна Йехониягь ва гьесул вацал;"
"New","40","1","12","Вавилоналде гочун хадув Йехониягьие гьавуна Шеалтиэл, Шеалтиэлие гьавуна Зеруббабел,"
"New","40","1","13","Зеруббабелие гьавуна Абиуд, Абиудие гьавуна Элиаким; Элиакимие гьавуна Азор;"
"New","40","1","14","Азорие гьавуна Садок, Садокие гьавуна Ахим, Ахимие гьавуна Элиуд;"
"New","40","1","15","Элиудие гьавуна Элиазар, Элиазарие гьавуна Маттан, Маттание гьавуна Якъуб;"
"New","40","1","16","Якъубие гьавуна жинда МасихІилан цІар лъурав ГІисал эбелалъул — Марямил — рос Юсуп."
"New","40","1","17","Гьедин Ибрагьимидасан Давудиде щвезегІан анцІила ункъо наслу лъугьана; Давудидасан байбихьун жугьутІал Вавилоналде гочинаризегІанги лъугьана анцІила ункъо наслу; Вавилоналде гочараб заманалдаса МасихІиде щвезегІанги лъугьана гьебго анцІила ункъо наслу."
"New","40","1","18","ГІиса МасихІ дуниялалде вачІин гьадин ккана: гьесул эбел Марям йикІана Юсупие абурай яс; амма гьес гьей ячиналдего Аллагьасул Илагьияб РухІалдалъун гьелъул ургьибе лъимер ккун букІин лъана."
"New","40","1","19","Гьелъул абурав Юсупица, яхІ-намус бугев чи вукІиндал, хІукму гьабуна гьей халкъалда суризе бокьичІого, балъгого гьелъулгун ригьин хвезабизе."
"New","40","1","20","Гьединаб пикруялда гьев вукІаго, макьилъ тІаде вачІун Бичасул малаикас абуна: — Я, Давудил наслуялъул вас Юсуп! Марям лъадилъун ячине мун хІинкъуге. Гьелъул ургьибе ккараб лъимер Аллагьасул Илагьияб РухІалдалъун букІин лъай дуда."
"New","40","1","21","Гьелъ дуе вас гьавила; ГІисаян цІарги лъезе ккола дуца гьесда, гьес жиндирго халкъ мунагьаздаса хвасар гьабизе бугелъул."
"New","40","1","22","Гьеб кинабго ккана цо аварагасда Аллагьас абураб гьадинаб калима ритІухълъизе:"
"New","40","1","23","«Гьале ясгІаданалъул ургьибе лъимер ккела ва гьелъ вас гьавила. Гьесда цІарги лъела Имануэл». (Гьелъул магІна ккола «Аллагь нилъгун вуго» абураб.)"
"New","40","1","24","Гьале Юсуп макьидаса вигьана, Бичасул малаикас абураб гьабун, жиндирго бахІарайги рокъое ячана."
"New","40","1","25","Амма гьелъ вас гьавизегІан, аскІов вегун, гьелда квер хъвачІо Юсупица. Васасда цІарги ГІиса абун лъуна."
"New","40","2","1","Ягьудиялъул Бетлегьем шагьаралда ГІиса гьавуна Гьерод ханлъун вугеб заманалда. Гьебмехалъ бакъбаккул рахъалдасан Иерусалималде рачІана цІвабзазул гІелму лъалел гІадамал. Гьез абуна:"
"New","40","2","2","— ЖугьутІазул ПарччахІлъун вукІине гьавурав дов вас кив вугев? Зобалазул бакъбаккул рахъалда баккун бихьана нижеда гьев гьавунилан бицунеб цІва. Гьесие сужда гьабизе рачІун руго ниж."
"New","40","2","3","Гьерод ханги, гьесдаго цадахъ Иерусалималъул тІолабго халкъги бихха-хочун лъугьана гьеб хабар рагІидал."
"New","40","2","4","Гьеб халкъалъул киналго чІахІиял кашишзабиги диниял гІалимзабиги данде ракІарун, Гьеродица гьезда гьикъана МасихІилан абулев парччахІ кив гьавизе кколевилан."
