Testament,Book,Chapter,Verse,Content
"New","40","1","1","Rodokmen Ježíše Krista, syna Davidova, syna Abrahamova."
"New","40","1","2","Abraham zplodil Izáka, Izák zplodil Jakuba, Jakub zplodil Judu a jeho bratry."
"New","40","1","3","Juda zplodil Faresa a Zaru z Tamary, Fares zplodil Esrona, Esron zplodil Arama,"
"New","40","1","4","Aram zplodil Aminabada, Aminabad zplodil Naasona, Naason zplodil Salmona,"
"New","40","1","5","Salmon zplodil Booza z Rahaby, Booz zplodil Obeda z Rut, Obed zplodil Jessea, Jesse zplodil krále Davida."
"New","40","1","6","David král zplodil Šalomouna z té, která byla manželkou Uriášovou,"
"New","40","1","7","Šalomoun zplodil Roboama, Roboam zplodil Abiama, Abiam zplodil Asu,"
"New","40","1","8","Asa zplodil Josafata, Josafat zplodil Jorama, Joram zplodil, Oziáše,"
"New","40","1","9","Oziáš zplodil Joatama, Joatam zplodil Achaza, Achaz zplodil, Ezechiáše,"
"New","40","1","10","Ezechiáš zplodil Manassa, Manasses zplodil Amona, Amon zplodil Josiáše,"
"New","40","1","11","Josiáš zplodil Jechoniáše a jeho bratry za babylonského stěhování."
"New","40","1","12","A po babylonském stěhování zplodil Jechoniáš Salatiela, Salatiel zplodil Zorobabela,"
"New","40","1","13","Zorobabel zplodil Abiuda, Abiud zplodil Eliakima, Eliakim zplodil Azora,"
"New","40","1","14","Azor zplodil Sadoka, Sadok zplodil Achima, Achim zplodil Eliuda,"
"New","40","1","15","Eliud zplodil Eleazara, Eleazar zplodil Matana, Matan zplodil Jakuba,"
"New","40","1","16","Jakub pak zplodil Josefa, muže Marie, a z ní se narodil JEŽÍŠ, jenž slove Kristus."
"New","40","1","17","Všech tedy rodů od Abrahama až po Davida bylo čtrnáct; od Davida až do babylonského stěhování (také) čtrnáct rodů a od babylonského stěhování až do Krista (rovněž) čtrnáct rodů."
"New","40","1","18","Početí a narození Ježíše Krista. Kristovo narození se stalo takto: Když jeho matka Maria byla zasnoubena Josefovi, ukázalo se, že jest, ještě dříve než se sešli, v požehnaném stavu z Ducha svatého."
"New","40","1","19","Josef pak, její muž, jsa spravedlivý a nechtěje ji vydati veřejné pohaně, chtěl ji tajně propustit."
"New","40","1","20","Když o tom přemýšlel, hle, anděl Páně se mu zjevil ve snách a řekl: „Josefe, synu Davidův, neboj se přijmouti Marii, svou manželku, k sobě; neboť co se v ní počalo, jest z Ducha svatého."
"New","40","1","21","Porodí syna a dáš mu jméno Ježíš; neboť On spasí svůj lid z jeho hříchů.“"
"New","40","1","22","Toto všechno se stalo, aby se naplnilo, co předpověděl Pán slovy proroka:"
"New","40","1","23","„Ejhle, panna počne a porodí syna, a nazvou ho jménem Emanuel,“ to jest v překladě „S námi Bůh“."
"New","40","1","24","Když se pak probudil Josef ze sna, učinil, jak mu přikázal anděl Páně, a přijal svou manželku k sobě."
"New","40","1","25","Avšak nepoznal ji dříve, dokud neporodila svého [prvorozeného] syna. A nazval ho jménem Ježíš."
"New","40","2","1","Když se tedy narodil Ježíš v Betlemě judském za panování krále Heroda, hle, mudrci od východu přišli do Jerusalema a tázali se:"
"New","40","2","2","„Kde je ten novorozený král židovský? Neboť jsme viděli jeho hvězdu na východě, i přišli jsme se mu poklonit.“"
"New","40","2","3","Když to uslyšel král Herodes, vzrušil se a všechen Jerusalem s ním."
