Testament,Book,Chapter,Verse,Content
"New","40","1","1",""
"New","40","1","2","Aabrahamile sündis Iisak, Iisakile sündis Jaakob, Jaakobile sündisid Juuda ja Tema vennad;"
"New","40","1","3","Juudale sündisid Taamarist Perets ja Serah, Peretsile sündis Hesrom, Hesromile sündis Aram;"
"New","40","1","4","Aramile sündis Amminaadab, Amminaadabile sündis Nahson, Nahsonile sündis Salmon;"
"New","40","1","5","Salmonile sündis Raahabist Boas, Boasele sündis Rutist Oobed, Oobedile sündis Jesse;"
"New","40","1","6","Jessele sündis kuningas Taavet; Taavetile sündis Uurija naisest Saalomon;"
"New","40","1","7","Saalomonile sündis Rehabeam, Rehabeamile sündis Abija, Abijale sündis Aasa;"
"New","40","1","8","Aasale sündis Joosafat, Joosafatile sündis Jooram, Jooramile sündis Ussija;"
"New","40","1","9","Ussijale sündis Jootam, Jootamile sündis Ahas, Ahasele sündis Hiskija;"
"New","40","1","10","Hiskijale sündis Manasse, Manassele sündis Aamos, Aamosele sündis Joosija;"
"New","40","1","11","Joosijale sündisid Jekonja ja tema vennad Baabüloni vangipõlve ajal."
"New","40","1","12","Pärast Baabüloni vangipõlve sündis Jekonjale Sealtiel, Sealtielile sündis Serubbaabel;"
"New","40","1","13",""
"New","40","1","14","Asurile sündis Saadok, Saadokile sündis Aahim, Aahimile sündis Elihuud;"
"New","40","1","15","Elihuudile sündis Eleasar, Eleasarile sündis Mattan, Mattanile sündis Jaakob;"
"New","40","1","16","Jaakobile sündis Joosep, Maarja mees; ja Maarjast sündis Jeesus, Keda nimetatakse Kristuseks."
"New","40","1","17","Kõiki põlvi Aabrahamist Taavetini on siis neliteistkümmend põlve; ja Taavetist Baabüloni vangipõlve ajani on neliteistkümmend põlve; ja Baabüloni vangipõlvest Kristuseni on neliteistkümmend põlve."
"New","40","1","18","Aga Jeesuse Kristuse sündimine oli nõnda: kui Ta Ema Maarja oli kihlatud Joosepiga, siis Ta leiti enne nende kokkusaamist käima peal olevat Pühast Vaimust."
"New","40","1","19","Aga et Tema mees Joosep oli õiglane ega tahtnud Teda saata häbisse, siis Ta võttis nõuks salaja Tema hüljata."
"New","40","1","20","Ent kui temal see mõte oli, vaata, siis ilmus talle Issanda ingel unes ja ütles: „Joosep, Taaveti poeg, ära karda Maarjat, Oma naist, enese juure võtta, sest mis Temas on sündinud, on Pühast Vaimust."
"New","40","1","21","Ta toob ilmale Poja ja Sa pead Temale nimeks panema Jeesus; sest Tema päästab Oma rahva nende pattudest!”"
"New","40","1","22","Aga see kõik on sündinud, et läheks täide, mis Issand on rääkinud prohveti kaudu, kes ütleb:"
"New","40","1","23","„Ennäe, Neitsi saab käima peale ning toob Poja ilmale, ja Temale peab pandama nimeks Immaanuel”, see on meie keeli: Jumal meiega."
"New","40","1","24","Kui Joosep unest ärkas, siis Ta tegi nõnda, kuidas Issanda Ingel Teda oli käskinud ning võttis Oma naise enese juure"
"New","40","1","25","ega puutunud Temasse, enne kui Ta oli ilmale toonud Poja. Ja Ta pani Temale nimeks Jeesus."
"New","40","2","1","Kui Jeesus oli sündinud Petlemas Juudamaal kuningas Heroodese ajal, vaata, siis tulid targad hommikumaalt Jeruusalemma"
"New","40","2","2","ja ütlesid: „Kus on see sündinud Juutide Kuningas? Sest me oleme näinud Tema tähte hommikumaal ning oleme tulnud Teda kummardama.”"
"New","40","2","3","Kui kuningas Heroodes seda kuulis, ehmus ta väga ja kogu Jeruusalem ühes temaga."
"New","40","2","4","Ja ta kogus kokku kõik rahva ülempreestrid ja kirjatundjad ning kuulas neilt, kus Kristus pidi sündima."
"New","40","2","5","Nemad ütlesid temale: „Petlemas Juudamaal; sest nõnda on kirjutatud prohveti kaudu:"
"New","40","2","6","Ja Sina, Petlem Juudamaal, ei ole mingil kombel kõige vähem Juuda vürstide seast, sest sinust lähtub Valitseja, Kes Mu rahvast Iisraeli hoiab kui karjane!”"
"New","40","2","7","Siis Heroodes kutsus targad salaja ja uuris neilt hoolega aja, mil täht oli ilmunud."
