Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ɗe'e ngoni inɗe maama'en Yeesu Almasiihu lenyol Dawda, Dawda lenyol Ibraahim."
"New","40","1","2","Ibraahim danyi Iciyaaku, nden Iciyaaku danyi Yaakubu, nden Yaakubu danyi Yahuuda e sakiraaɓe maako,"
"New","40","1","3","Yahuuda danyi Feresa e Jeera, maduujo Jeera woni Taamar, Feresa danyi Heseruuna, Heseruuna danyi Aram,"
"New","40","1","4","Aram danyi Amiinadab, Amiinadab danyi Naacon, Naacon danyi Salmon,"
"New","40","1","5","Salmon danyi Bo'aaja, maduujo Bo'aaja woni Rahab, Bo'aaja danyi Obida, maduujo Obida woni Rut, Obida danyi Jeesi,"
"New","40","1","6","Jeesi danyi Dawda Laamiiɗo, Dawda Laamiiɗo danyi Suleymaanu, maduujo Suleymaanu woni debbo Uriya ndenno,"
"New","40","1","7","Suleymaanu danyi Rehobowam, Rehobowam danyi Abija, Abija danyi Aasa,"
"New","40","1","8","Aasa danyi Jehoocafat, Jehoocafat danyi Jooram, Jooram danyi Ajaariya,"
"New","40","1","9","Ajaariya danyi Jootama, Jootama danyi Ahas, Ahas danyi Hejekaaya,"
"New","40","1","10","Hejekaaya danyi Manaase, Manaase danyi Amon, Amon danyi Joosaya,"
"New","40","1","11","Joosaya danyi Jekooniya e sakiraaɓe maako worɓe, carel ko Yahuudanko'en nangaa njaaraa leydi Baabiila."
"New","40","1","12","Gaɗa ɗum yaariiɓe leydi Baabiila, Jekooniya danyi Ceyaltiyal, Ceyaltiyal danyi Jaruubabel,"
"New","40","1","13","Jaruubabel danyi Abiihudu, Abiihudu danyi Eliyaakim, Eliyaakim danyi Aajoro,"
"New","40","1","14","Aajoro danyi Jaadok, Jaadok danyi Aakim, Aakim danyi Aliiyudu,"
"New","40","1","15","Aliiyudu danyi Eleyaajar, Eleyaajar danyi Mataana, Mataana danyi Yaakubu,"
"New","40","1","16","Yaakubu danyi Yusufu gorko Maryaama, Maryaama danyi Yeesu bi'eteeɗo Almasiihu."
"New","40","1","17","E woodi maama'en sappo e nayo daga jaamanu Ibraahim yaaki jaamanu Dawda. E woodi maama'en sappo e nayo daga jaamanu Dawda yaaki carel ngel Yahuudanko'en njaaraa maccungaaku to leydi Baabiila. E woodi maama'en sappo e nayo daga carel ngel Yahuudanko'en njaaraa maccungaaku to leydi Baabiila yaaki danyngol Almasiihu."
"New","40","1","18","Raa no Yeesu Almasiihu danyiraa. Maduujo maako Maryaama waadi alkawal teegal e Yusufu. Ammaa ko ɓe ngaɗa teegal, sey o tawraa reedu daga to Ruuhu Allah."
"New","40","1","19","Nde Yusufu o neɗɗo aadiliijo, o yiɗaa o semtinamo e njayri. O darwi o yoofamo e suuɗe."
"New","40","1","20","Ammaa carel ngel o nyumata dow maajum, malaa'ikaajo Joomiraawo wanganimo nder koyɗol, wi'imo, “Yusufu ɓii Dawda, taa' hulu te'uki Maryaama, ngam ɓingel ngel o saawi daga to Ruuhu Allah ngel ƴiwoyi."
"New","40","1","21","O danyay ɓiɗɗo gorko nden a noddaymo Yeesu, ngam o hisnay yimɓe maako daga hakke maɓɓe.”"
"New","40","1","22","Fuu fii ɗu'um ɗum waɗi ngam ɗum hebbina ko Joomiraawo wi'i daga honduko annabiijo, o wi'i,"
"New","40","1","23","“Raɗɗum, surbaajo mo andaa gorko danyay ɓiɗɗo gorko, nden ɗum nodday inde maako Imaanuwel.” Ma'ana Imaanuwel woni, “Allah e wondi e meeɗen.”"
"New","40","1","24","Nde Yusufu ummii daga ɗeyngol ngol, sey waɗi ko malaa'ikaajo Joomiraawo on wi'imo, o te'i Maryaama."
"New","40","1","25","Ammaa o andaamo naaki gaɗa o danyi ɓiɗɗo maako. Nden Yusufu noddi ɓiɗɗo on Yeesu."
"New","40","2","1","Gaɗa Yeesu danyaama e gariiri Baytalaami nder leydi Yahuudiya, nder carel ngel Hirudus laamoto, woɓɓe andanɓe koode daga fuuna ɓe ngari Urucaliima,"
"New","40","2","2","e ɓe ƴama, “Toye on ɗon danyaaɗo laamiiɗo Yahuudanko'en? Ngam min ngi'i hoodere maako daga fuuna, min ngarii min mawninamo.”"
"New","40","2","3","Nde Hirudus laamiiɗo nani non, o wanni, kanko e yimɓe Urucaliima ɗuɗɓe."
"New","40","2","4","Sey o noddi mawɓe ardiiɓe diina e moodiɓɓe Attawra, o ƴamiɓe, “Toye Almasiihu danyetee?”"
"New","40","2","5","Ɓe mbi'imo, “Nder gariiri Baytalaami nder leydi Yahuudiya. Ngam raa ko annabiijo windi,"
"New","40","2","6","‘Ammaa, an, gariyel Baytalaami gongel nder leydi Yahuuda, an a gariyel goodungel teddungal nder leydi ndin, ngam daga nder maaɗa goɗɗo laamiiɗo ƴiwoyta, kanko wartata gaynaako yimɓe am Israa'iilanko'en.’ ”"
"New","40","2","7","Sey Hirudus noddi ɓen ɗon andanɓe koode e suuɗe, o ƴamiɓe carel ngel ɓe ngi'i hoodere nden, ɓe mbi'imoka."
"New","40","2","8","Sey o liliɓe Baytalaami, o wi'i, “Njahee ɗaɓɓiton ɓingel ngel boɗɗum. To on ngi'iingel, ngaron mbi'onyamka, ngam min maa mi yaha mi mawninangel.”"
"New","40","2","9","Nde ɓe nani ko laamiiɗo on wi'i, sey ɓe nangi laawol. Nde ɓe ngi'i hoodere nden, ɓe nani belɗum naa' seɗɗa. Hoodere nden ardiiɓe naaki nde dari dow to ɓingel ngel woni."
"New","40","2","10",""
"New","40","2","11","Nde ɓe natti wuro ngon, ɓe tawi ɓingel ngel e Maryaama maduujo maagel. Ɓe ndicci ɓe mawniningel, nden ɓe pitti doŋle maɓɓe ɓe kokkingel caahu jiinaari, e urde welnde bi'eteende firankisen, e nebbam uroojam bi'eteeɗam mur."
"New","40","2","12","Nde Allah haɗiiɓe nder koyɗol to' ɓe co''oo to Hirudus, sey ɓe tokki laawol feere ɓe co''i leydi maɓɓe."
"New","40","2","13","Gaɗa andanɓe koode ɓen ndilli, sey malaa'ikaajo Joomiraawo wangani Yusufu nder koyɗol, wi'imo, “Umma koccaa ɓingel ngel e maduujo maagel ndoggaa njahaa leydi Masar. Njooɗee ton naa mi wi'ii'on ngarton, ngam Hirudus e yiɗi ɗaɓɓita ɓingel ngel ngam o warangel.”"
"New","40","2","14","Yusufu ummii hocci ɓingel ngel e maduujo maagel caka jemma, o dilli leydi Masar."
"New","40","2","15","Ton ɓe njooɗi naaki Hirudus maayi. Non waɗii ngam ɗum hebbina ko Joomiraawo wi'i daga honduko annabiijo maako wiiki, “Daga leydi Masar mi noddi Ɓiɗɗo am.”"
"New","40","2","16","Nde Hirudus faami andanɓe koode ɓen ƴoyriimo, sey ɓernde maako metti naa' seɗɗa. O wi'i ɗum wara ɓikkoy pamaroy fuu ngoroy ngoodukoy duuɓi ɗiɗi yaaki ley ngonkoy nder gariyel Baytalaami e haade gariyel ngel. O waɗu non ngam andanɓe koode ɓen mbi'imo arande hoodere nden wanganiiɓe duuɓi ɗiɗi ƴaɓɓiiɗi."
"New","40","2","17","Non hebbini ko Allah wi'i daga honduko Annabi Irmiya wiiki,"
"New","40","2","18","“Ɗum nani hononde nder gariiri Raama, bojji nawɗi. Ɗum Rahiila woyanta ɓiɓɓe maako, o wanyi o waltinanee ɓernde, ngam ɓiɓɓe maako maayi.”"
"New","40","2","19","Gaɗa Hirudus maayi, sey malaa'ikaajo Joomiraawo wangani Yusufu nder koyɗol e Masar, wi'i,"
"New","40","2","20","“Umma koccaa ɓingel ngel e maduujo maagel co''oɗaa leydi Israa'iila, ngam ɓen ɗon ɗaɓɓutuɓe mbara ɓingel ngel ɓe maayi.”"
"New","40","2","21","Sey Yusufu ummii, hocci ɓingel ngel e maduujo maagel, ɓe co''ii leydi Israa'iila."
"New","40","2","22","Ammaa nde o nani Arkilayus ronii jooɗorgal laamu nyaako muuɗum Hirudus e mo laamo leydi Yahuudiya, sey o huli yaaki ton. Ammaa nde ɗum wagginimo nder koyɗol, sey o so''i o yahi leydi Galiili."
"New","40","2","23","O yahi o jooɗii nder wondi gariiri bi'eteendi Najarat, ngam ɗum hebbina ko Allah wi'i daga konduɗe annabo'en wiiki, “Ɗum noddaymo Najarankeejo.”"
"New","40","3","1","Gaɗa duuɓi ɗuɗɗi Yahaya Gaɗoowo Baptisma yahi nder ladde Yahuudiya, e mo wa'ajina,"
"New","40","3","2","e mo wi'a, “Tuubee, ngam Laamu Allah ɓadake!”"
"New","40","3","3","On ɗon kanko woni mo Annabi Icaaya meti dow maako, wi'i, “Goɗɗo e nodda nder ladde, e wi'a, ‘Mo''inee ɗatal Joomiraawo, portee laawol ngam garol maako!’ ”"
"New","40","3","4","Yahaya e ɓornii kolte ɗe ɗum waɗiri leeɓe ngeelooba, e mo taadii taadorde laral. Nyamndu maako woni baabeeji e njumri."
"New","40","3","5","Sey yimɓe ɗuɗɓe daga gariiri Urucaliima e leydi Yahuudiya fuu e gariije ɗe haade Caangol Urdun ɓe ngaɗi ka yaaki to maako."
"New","40","3","6","E ɓe mbi'a fuu ko wooɗaa ɗum ɓe ngaɗi, e mo waɗanaɓe baptisma nder Caangol Urdun."
"New","40","3","7","Ammaa nde Yahaya yi'i Faarisanko'en e Saadusanko'en ɗuɗɓe ngari ngam o waɗanaɓe baptisma, o wi'iɓe, “Onon ɓiɓɓe boole! Moye wi'i'on ndoggon bone garayɗum?"
"New","40","3","8","Ngaɗee ko hollata on ali hakkeeji mooɗon."
"New","40","3","9","To' on nyumu on mbi'ay nder ɓerɗe mooɗon, ‘Minon, min ɓiɓɓe Annabi Ibraahim.’ Ngam e mi wi'a'on, Allah waaway umminanki Annabi Ibraahim ɓiɓɓe daga nder kaaƴe ɗe'e."
"New","40","3","10","Koo jooni fe''irde ƴeftaama ngam fe''a leɗɗe daga ɗaɗi maaje. Lekki fuu ki rimataa ɓikkoy mboɗkoy, ɗum fe''ayki ɗum faɗɗaki nder hiite."
"New","40","3","11","Min, e mi waɗirana'on baptisma e ndiyam ngam holluki on tuubi. Ammaa ɓurɗoyam mangu e wara gaɗa am. Mi fotaayi mi jogoo paɗe maako. O waɗiranay'on baptisma e Ruuhu Allah e hiite."
"New","40","3","12","E mo jogii besirɗum gawri maako ngam senduki gawri e nyaande. O hawritay gawri ndin, o waɗandi nder resirde gawri maako, ammaa o wula nyaande nden nder hiite nge waatataa.”"
"New","40","3","13","E carel ngel Yeesu waroyi daga leydi Galiili. O yahi Caangol Urdun to Yahaya ngam Yahaya waɗanamo baptisma."
"New","40","3","14","Ammaa Yahaya yiɗii wanya waɗankimo baptisma, e wi'a, “E haani ngaɗanaayam baptisma, ammaa a wari to am?”"
"New","40","3","15","Ammaa Yeesu nootii wi'i, “Alu ɗum warta non jooni, ngam non haani kebbiniren ko Allah yiɗi ngaɗen.” Nden Yahaya jaɓi."
"New","40","3","16","Nde ɗum waɗani Yeesu baptisma, e mo wurto nder ndiyam ɗam, sey ɗon e ɗon dow maɓɓitii o yi'i Ruuhu Allah e jippoyo dow maako e ɓandu bo foondu."
