Testament,Book,Chapter,Verse,Content
"New","40","1","1","Inan binndi kollooji inɗe maamiraaɓe Iisaa Almasiihu, dimaaɗo ley lenyol Daawda, taan Ibrahiima:"
"New","40","1","2","Ibrahiima rimi Isiyaaka. Isiyaaka rimi Yaakuuba. Yaakuuba rimi Yahuuda e minyiraaɓe muuɗum."
"New","40","1","3","Yahuuda rimi Peres e Sera. Ɓeen ngoni ɓe o rimdi e Tamar. Peres rimi Hesruuna. Hesruuna rimi Aram."
"New","40","1","4","Aram rimi Aminadaabu. Aminadaabu rimi Naasuuna. Naasuuna rimi Salmon."
"New","40","1","5","Salmon rimi Bo'as, mo o rimdi e Rahabu. Bo'as rimi Obet, mo o rimdi e Ruttu. Obet rimi Yesa."
"New","40","1","6","Yesa rimi Daawda kaananke oon. Daawda rimi Suleymaana. Oon woni mo o rimdi e dee Uriya-no."
"New","40","1","7","Suleymaana rimi Robo'am. Robo'am rimi Abiya. Abiya rimi Asa."
"New","40","1","8","Asa rimi Yoosafat. Yoosafat rimi Yoram. Yoram rimi Usiya."
"New","40","1","9","Usiya rimi Yotam. Yotam rimi Akas. Akas rimi Hejekiya."
"New","40","1","10","Hejekiya rimi Manasa. Manasa rimi Amon. Amon rimi Yosiya."
"New","40","1","11","Yosiya rimi Yekoniya e minyiraaɓe muuɗum. Ɗum hawrii e jamaanu mo Alhuudiyankooɓe njaalanoo, njaaraa Baabiila."
"New","40","1","12","Caggal ɓe njaaraama Baabiila, Yekoniya rimi Seyaltiyel. Seyaltiyel rimi Sorobabel."
"New","40","1","13","Sorobabel rimi Abiihudu. Abiihudu rimi Eliyakim. Eliyakim rimi Asoro."
"New","40","1","14","Asoro rimi Sadok. Sadok rimi Akim. Akim rimi Eliyuda."
"New","40","1","15","Eliyuda rimi Eliyasar. Eliyasar rimi Mattan. Mattan rimi Yaakuuba."
"New","40","1","16","Yaakuuba rimi Yuusufi, jom suudu Mariyama. Mariyama woni inna Iisaa bi'eteeɗo Almasiihu oon."
"New","40","1","17","Ndelle ɗum hawrii e jamaanuuji 14 illa Ibrahiima faa yottii Daawda. Illa e Daawda faa yottii nde Alhuudiyankooɓe konanoo njaaraa Baabiila ndeen fu, wo jamaanuuji 14 hawrata. Wooɗi du, illa nde Alhuudiyankooɓe konanoo njaaraa Baabiila faa garol Almasiihu ndeen, wo jamaanuuji 14 hawrata."
"New","40","1","18","Inan no Iisaa Almasiihu rimiraa: Mariyama inniiko oon wo kaɓɓanaaɗo Yuusufi. Ammaa fadde makko e suddeede, tawi o reedirii saabe baawɗe Ruuhu Ceniiɗo."
"New","40","1","19","Yuusufi kaɓɓanɗo mo oon wo neɗɗo ponnditiiɗo, yiɗaa semtinde mo, anniyake fiirtude kaɓɓal ngaal e suuraare."
"New","40","1","20","Nde o miilotonoo ɗum ndeen, maleyka Joomiraaɗo wari to makko ley koyɗol, wi'i mo: — Yuusufi, taan Daawda, taa hulu ɓaŋude Mariyama, sabo ɓinngel ngel saawi ngeel e Ruuhu Ceniiɗo ƴuuri."
"New","40","1","21","O riman ɓiɗɗo gorko. Inndiraa mo Iisaa, sabo wo kanko hisinta yimɓe makko e hakkeeji muɓɓen."
"New","40","1","22","Ɗum fuu, ɗum waɗii faa haala ka Laamɗo yottini annabaajo kaan tabita nde wi'unoo:"
"New","40","1","23","«Surbaajo mo anndaa gorko reedan, rima ɓiɗɗo gorko. O inndirte Imanuwel.» Maanaa innde ndeen wo: «Laamɗo ina wondi e meeɗen»."
"New","40","1","24","Nde Yuusufi finunoo ndeen, waɗi no maleyka Joomiraaɗo wi'iri ɗum noon. O ɓaŋi Mariyama,"
"New","40","1","25","ammaa o wondaay e muuɗum faa rimi ɓiɗɗo gorko. Yuusufi inndiri ɓiɗɗo oon Iisaa."
"New","40","2","1","Iisaa rimaama Baytilaama ley leydi Yahuudiya e jamaanu laamu Hirudus. Jom'en anndal ƴuuri lettugal, ngari Urusaliima."
"New","40","2","2","Nde ɓe ngarnoo ndeen, ɓe mbi'i: — Toy kaananke Alhuudiyankooɓe dimaaɗo joonin oon woni? Min nji'ii hoodere makko ɓangii lettugal, min ngarii sujidande mo."
"New","40","2","3","Nde Hirudus kaananke oon nannoo ɗum fu, huli, kam e yimɓe Urusaliima fuu."
"New","40","2","4","O noddi hooreeɓe almaami'en e jannginooɓe Tawreeta ɓeen fuu, o ƴami ɗum'en toy Almasiihu oon jeyi rimeede."
"New","40","2","5","Ɓe njaabii mo, ɓe mbi'i: — Baytilaama ley leydi Yahuudiya, sabo inan ko annabaajo winndunoo:"
"New","40","2","6","«Aan, Baytilaama, leydi Yahuudiya, tannyoral a wanaa wuro famaro hakkunde gure Yahuudiya mawɗe ɗeen. Sabo ardotooɗo ƴuuran e maaɗa, garoowo faa dura yimɓe am, Israa'iilankooɓe.»"
"New","40","2","7","Ndeen Hirudus noddi jom'en anndal ɓeen e cuncukka, ƴami ɓe wakkati mo hoodere ndeen ɓangi. Ɓe paamini mo."
"New","40","2","8","Caggal ɗuum, o neli ɓe Baytilaama. O wi'ii ɓe: — Njehee, kumpitowoɗon kabaaru cukalel ngeel faa tannyoron. Si on nji'ii ngel fu, ngaron kumpiton kam faa miin du mi yaha, mi sujidanowa ngel."
"New","40","2","9","Nde ɓe nannoo ko kaananke oon haali ɗuum ndeen, ɓe ndilli. Hoodere nde ɓe njiinoo lettugal ndeen ardii ɓe yaade. Nde ardii ɓe faa nde yottii ɗo cukalel ngeel woni ɗoon, de nde darii."
"New","40","2","10","Ko ɓe nji'i hoodere ndeen ɗuum, ɓe ceyii seyo manngo sanne."
"New","40","2","11","Ɓe naati ley suudu nduun, ɓe nji'i cukalel ngeel e inniigel Mariyama. Ɓe kippii e leydi, ɓe cujidani ngel. Ɓe njaltini gineeji maɓɓe, ɓe teddiniri ngel kaŋŋe e sii uurdi mbelndi e ɗakke uurɗe bi'eteeɗe miiri."
"New","40","2","12","Caggal ɗuum, Laamɗo gongini ɓe ley koyɗol taa ɓe njeccoo to Hirudus. Ndelle ɓe kootiri leydi maɓɓe laawol gonngol."
"New","40","2","13","Nde jom'en anndal ɓeen ndillunoo fu, maleyka Joomiraaɗo wari e Yuusufi ley koyɗol, wi'i ɗum: — Umma, hooƴu cukalel ngel e inna muuɗum, ndoggaa njahaa Misira. Keddoɗaa toon faa nde mbi'oymaami ngartaa. Sabo Hirudus filoto cukalel ngel faa wara ngel."
"New","40","2","14","Yuusufi ummii jemma, hooƴi cukalel ngeel e inniigel, de ɓe ndilliri Misira."
"New","40","2","15","O heddii toon faa Hirudus maayi, faa haala ka Laamɗo yottini annabaajo kaan tabita nde wi'unoo: «Mi noddii ɓiyam wurtoo ley Misira.»"
"New","40","2","16","Nde Hirudus faamunoo jom'en anndal ɓeen njambake ɗum ndeen, tikki sanne. O yamiri cukaloy ngoroy Baytilaama e ɗakkol muuɗum fuu mbaree, gilla keccoy faa ngaɗukoy duuɓi ɗiɗi. O waɗii ɗum fodde wakkatiiji ɗi jom'en anndal ɓeen kokki mo ɗiin."
"New","40","2","17","Noon haala ka annabi Yeremiya haalnoo kaan tabitiri nde wi'unoo:"
"New","40","2","18","«Wullaango nanaama ley wuro Rama, bojji e uumaali ɗuuɗɗi: Rahiina ina woya cukaloy muuɗum, jaɓaay ɓerndem waaltinee, sabo koy keddaaki.»"
"New","40","2","19","Caggal maayde Hirudus, maleyka Joomiraaɗo wari e Yuusufi to leydi Misira toon e ley koyɗol,"
"New","40","2","20","wi'i ɗum: — Umma, hooƴu cukalel ngel e inna muuɗum, njeccoɗon leydi Israa'iila, sabo yiɗunooɓe warude suka oon ɓeen maayii."
"New","40","2","21","Yuusufi ummii, hooƴi cukalel ngeel e inniigel, ɓe kooti leydi Israa'iila."
"New","40","2","22","Ammaa o nanii Arkalaawu loomtii bammum Hirudus, laamake leydi Yahuudiya, de o huli yahude toon. O sappaa e ley koyɗol faa o yehi leydi Galili."
"New","40","2","23","O hoɗowi wuro wi'eteengo Nasaraatu. Noon ɗum laatorii faa ko annabaaɓe mbi'unoo ɗuum tabita: «O wi'ete Nasaraatuujo.»"
"New","40","3","1","E jamaanu oon, Yaayaa lootoowo lootagal batisima ɓangi. Imo gooyna ley ladde Yahuudiya, imo wi'a:"
"New","40","3","2","— Tuubee, sabo laamu Laamɗo ɓadake."
"New","40","3","3","Oon woni mo annabi Esaaya sappinoo, nde wi'unoo: «Daande ina ƴeewnoo ley ladde ina wi'a: Moƴƴinee laawol Joomiraaɗo, ndartinee ɗati makko!»"
"New","40","3","4","Yaayaa ina ɓornii kaddungal canyiraangal leeɓi geelooɗi, ina haɓɓii kaɓɓorgol nguru. Nyaamdu makko wo baɓɓatti e njuumndi ladde."
"New","40","3","5","Yimɓe ƴuuri Urusaliima e leydi Yahuudiya e seraaji gooruwol Urdun fuu, ngari to makko."
"New","40","3","6","Iɓe kaalta hakkeeji maɓɓe, de Yaayaa ina loota ɓe lootagal batisima ley gooruwol Urdun."
"New","40","3","7","Ko o yi'i Farisa'en e Saduki'en heewɓe na ngara faa lootee lootagal batisima ɗuum, o wi'i ɗum'en: — Onon ɓiɓɓe bolle! Moy sappani on ndoggon tikkere Laamɗo waroore?"
"New","40","3","8","Ngollee golleeji kawrooji e tuubugol."
"New","40","3","9","Taa kooloɗon on kisan saabe wo on taaniraaɓe Ibrahiima. Sabo miɗo wi'a on: Laamɗo ina waawi waylitinde kaaƴe ɗe laatoo ɓiɓɓe Ibrahiima!"
"New","40","3","10","Joonin, jammbere ƴeptaama faa soppa ɗaɗi leɗɗe. Ndelle, lekki fuu ki rimataa ɓiɓɓe lobbuɓe, soppete, faɗɗee ley yiite."
"New","40","3","11","Miin, ndiyam lootirammi on batisima faa hollita on tuubii. Ammaa garoowo caggal am oon, kam ɓuri kam baawɗe. Mi fotaay fay ɓortude ɗum paɗe muuɗum. Oon lootirta on batisima Ruuhu Ceniiɗo e yiite."
"New","40","3","12","O segilake faa o ƴaroo nyaamri makko faa laaɓa. O hawrundura nyaamri makko ley beembal, de nyaande ndeen o wuldan ɗum yiite nge nyifataa."
"New","40","3","13","Wakkati oon, Iisaa ƴuuri Galili, wari gooruwol Urdun to Yaayaa, faa Yaayaa loota ɗum lootagal batisima."
"New","40","3","14","Ammaa Yaayaa muuyi salaade ɗum, wi'i mo: — Aan haani lootude kam. De noy ngardataa to am, miin, faa mi loote?"
"New","40","3","15","Iisaa jaabii mo, wi'i: — Accu ɗum laatoroo noon joonin, sabo noon kaanɗen hiɓɓinirde ko dartii fuu. Ndeen o jaɓi."
"New","40","3","16","Nde Iisaa lootanoo, ina wurtoo ndiyam ɗaam fu, wakkati oon pay kammu omtii. O yi'i Ruuhu Laamɗo ina jippoo hono wuugaandu, ina wara dow makko."
"New","40","3","17","Wakkati oon du, daande ƴuuri dow kammu, wi'i: — O woni Ɓiyam mo korsinmi, mo ceyortoomi."
"New","40","4","1","Wakkati oon, Ruuhu Laamɗo yaari Iisaa ley ladde, faa Ibiliisa jarriboo mo."
"New","40","4","2","Iisaa waɗi balɗe 40 ina suumii jemma e nyalooma fuu. Caggal ɗuum, o yolbi."
"New","40","4","3","Ndeen, Jarribotooɗo oon ɓattitii mo, wi'i o: — Si a Ɓii Laamɗo, yamir kaaƴe ɗe laatoo nyaamdu."
"New","40","4","4","De Iisaa jaabii mo, wi'i: — Ina winndaa: «Wanaa e nyaamdu tan neɗɗo wuurdata. Ko neɗɗo wuurdata dey, wo e haala fuu ka Laamɗo haali.»"
"New","40","4","5","Caggal ɗuum, Ibiliisa yaari mo Urusaliima ngalluure seniinde ndeen, darni mo dow to ɓuri toowde e suudu dewal mawndu,"
"New","40","4","6","wi'i mo: — Si a Ɓii Laamɗo, fittu njippoɗaa e leydi. Sabo ina winndaa: «Laamɗo yamiran maleyka'en muuɗum njaɓɓe e juuɗe muɓɓen taa koyngal maa fiyoo e hayre.»"
"New","40","4","7","Iisaa jaabii mo, wi'i: — Ina winndaa katin: «Taa ndaartinda Laamɗo, Joomiraaɗo maa.»"
"New","40","4","8","Katin Ibiliisa yaari mo dow waamnde toownde sanne, holli mo laamuuji adunaaru fuu e darja muɓɓen,"
"New","40","4","9","wi'i mo: — Mi hokkete ɗum ɗo fuu si a hippake, a sujidanii kam."
"New","40","4","10","Iisaa wi'i mo: — Woɗɗam Seyɗaani! Sabo ina winndaa: «Wo Laamɗo Joomiraaɗo maa kaanɗaa sujidande, kam tan kaanɗaa rewude.»"
"New","40","4","11","Ndeen Ibiliisa seli mo. Wakkati oon, maleyka'en ngari to makko, ina ngollana mo."
"New","40","4","12","Nde Iisaa nannoo Yaayaa uddaama ley kasu ndeen, o yeccii leydi Galili."
"New","40","4","13","Ammaa o jooɗaaki Nasaraatu katin, de o hoɗowi Kafarnahum wuro ɗakkiingo maayo ley leydi Jabulon, kam e Naftali."
"New","40","4","14","Ɗum waɗii faa haala ka annabi Esaaya haalnoo kaan tabita nde wi'unoo:"
"New","40","4","15","«Leydi Jabulon e leydi Naftali dow laawol jahoowol maayo manngo, caggal Urdun, ley leydi Galili, joonnde yimɓe ɓe nganaa Alhuudiya'en,"
"New","40","4","16","yimɓe wonɓe e nimre nji'ii annoora mawɗo. Wuurɓe e ley leydi niɓɓundi nimre maayde, annoora yaynanii ɗum'en.»"
"New","40","4","17","Gilla ndeen, Iisaa fuɗɗi waajaade ina wi'a: — Tuubee, sabo laamu Laamɗo ɓadake."
"New","40","4","18","Iisaa ina yaha hunnduko maayo Galili, de yi'i sakiraaɓe ɗiɗo, Simon bi'eteeɗo Piyeer e sakiike mum Andire. Iɓe paɗɗa fiiliiji maɓɓe ley maayo ngoon. Wo ɓe nanngooɓe liƴƴi."
"New","40","4","19","Iisaa wi'i ɓe: — Njokkee kam, mi waɗan on filotooɓe yimɓe."
"New","40","4","20","Wakkati oon ɓe njoppi fiiliiji maɓɓe ɗiin, ɓe njokki mo."
"New","40","4","21","O yehi yeeso, o yi'i katin sakiraaɓe ɗiɗo woɓɓe, Yaakuuba e Yuhanna, ɓiɓɓe Jebede. Kam'en e baaba muɓɓen Jebede ina ngoni ley laana, ina moƴƴintina fiiliiji muɓɓen. O noddi ɗum'en."
"New","40","4","22","Wakkati oon pay, ɓe njoppi laana kaan, ɓe njoppi baabiiɓe du, ɓe njokki mo."
"New","40","4","23","Iisaa yiiltii ley leydi Galili fuu. Imo waajoo e ley cuuɗi maɓɓe baajorɗi, imo gooyna Kabaaru Lobbo haala laamu Laamɗo, imo danna sii nyawuuji e male fuu."
"New","40","4","24","Kabaaru makko sankitii ley leydi Siiriya fuu. Yimɓe na ngadda nyawɓe nyawuuji feere feere e male fuu to makko. Woɓɓe wo wonduɓe e ginnaaji, woɓɓe jom'en dabidabiije, woɓɓe du wo jom'en ɓalli-mbaatuɗi. O danni ɗum'en."
"New","40","4","25","Jamaa keewɗo sanne jokki mo. Wo ɓe ƴuuruɓe Galili e leydi mbi'eteendi Galluuje Sappo e Urusaliima e Yahuudiya e caggal gooruwol Urdun."
"New","40","5","1","Iisaa yi'i jamaa keewɗo oon de ƴeeŋi dow waamnde, jooɗii. Taalibaaɓe muuɗum ɓeen ɓattitii ɗum."
"New","40","5","2","O fuɗɗi waajaade ɓe, o wi'i:"
"New","40","5","3","— Barke woodanii annditinɓe yonkiiji muɓɓen ina lokkiɗi, sabo kamɓe njeyi laamu Laamɗo."
"New","40","5","4","Barke woodanii suniiɓe, sabo Laamɗo waaltinan ɓerɗe muɓɓen."
"New","40","5","5","Barke woodanii leeƴinkiniiɓe, sabo kamɓe ndonata adunaaru."
"New","40","5","6","Barke woodanii filotooɓe fonnditaare hono no yolbuɓe e ɗomɗuɓe pilortoo neema, sabo ɓe kaaran, ɓe ɗomɗitan."
"New","40","5","7","Barke woodanii yurmotooɓe, sabo Laamɗo yurmoto ɓe."
"New","40","5","8","Barke woodanii laaɓuɓe ɓerɗe, sabo ɓe nji'an Laamɗo."
"New","40","5","9","Barke woodanii waddooɓe jam, sabo ɓe noddirte ɓiɓɓe Laamɗo."
"New","40","5","10","Barke woodanii torraaɓe saabe fonnditaare, sabo kamɓe njeyi laamu Laamɗo."
"New","40","5","11","Barke woodanii on si yimɓe mbonkake on, torrii on, njowii on sii bonanda fuu saabe am."
"New","40","5","12","Ceyee, mbeltee, sabo mbarjaari mawndi ina doomi on dow kammu. Sabo hono noon annabaaɓe artiiɓe on ɓeen torriraa."
"New","40","5","13","— Onon, wo on lamɗam adunaaru ndu. Ammaa si lamɗam selii lamsude, ɗume lamsinta ɗam katin? Ɗam nafataa fay huunde! Ɗam faɗɗete yaasin, yimɓe njaaɓa ɗam."
"New","40","5","14","Wo on annoora adunaaru. Ngalluure nyiɓaande dow waamnde waawaa suuɗaade."
"New","40","5","15","Fay gooto huɓɓataa lampal, de hippa ɗum kaakol. Ko waɗata dey, ɓilan ngal, ngal yaynana gonɗo e suudu nduun fuu."
"New","40","5","16","Hono noon annoora mooɗon haani yaynirde yeeso yimɓe, faa nji'a golleeji lobbi ɗi ngaɗoton, de njetta Baaba mooɗon gonɗo dow kammuuli oon."
"New","40","5","17","— Taa cikkee mi warii faa mi itta jamirooje Tawreeta naa haala annabaaɓe. Mi waraay faa mi itta ɗum. Mi warii faa mi hiɓɓina ɗum."
"New","40","5","18","Goonga kaalanammi on: sini kammu e leydi ina keddii, fay toɓɓel maa masel tosataake ley Tawreeta faa ɗum fuu ɗum tabita."
