Testament,Book,Chapter,Verse,Content
"New","40","1","1","Dies ist das Buch von der Geschichte Jesu Christi, der ein Sohn Davids ist, des Sohnes Abrahams."
"New","40","1","2","Abraham zeugte Isaak. Isaak zeugte Jakob. Jakob zeugte Juda und seine Brüder."
"New","40","1","3","Juda zeugte Perez und Serach von Tamar. Perez zeugte Hezron. Hezron zeugte Ram."
"New","40","1","4","Ram zeugte Amminadab. Amminadab zeugte Nachschon. Nachschon zeugte Salmon."
"New","40","1","5","Salmon zeugte Boas von der Rahab. Boas zeugte Obed von der Rut. Obed zeugte Isai."
"New","40","1","6","Isai zeugte den König David. Der König David zeugte Salomo mit der Frau Urias."
"New","40","1","7","Salomo zeugte Rehabeam. Rehabeam zeugte Abija. Abija zeugte Asa."
"New","40","1","8","Asa zeugte Joschafat. Joschafat zeugte Joram. Joram zeugte Usija."
"New","40","1","9","Usija zeugte Jotam. Jotam zeugte Ahas. Ahas zeugte Hiskia."
"New","40","1","10","Hiskia zeugte Manasse. Manasse zeugte Amon. Amon zeugte Josia."
"New","40","1","11","Josia zeugte Jojachin und seine Brüder zur Zeit der babylonischen Gefangenschaft."
"New","40","1","12","Nach der babylonischen Gefangenschaft zeugte Jojachin Schealtiel. Schealtiel zeugte Serubbabel."
"New","40","1","13","Serubbabel zeugte Abihud. Abihud zeugte Eljakim. Eljakim zeugte Azor."
"New","40","1","14","Azor zeugte Zadok. Zadok zeugte Achim. Achim zeugte Eliud."
"New","40","1","15","Eliud zeugte Eleasar. Eleasar zeugte Mattan. Mattan zeugte Jakob."
"New","40","1","16","Jakob zeugte Josef, den Mann Marias, von der Jesus geboren wurde, der Christus genannt wird."
"New","40","1","17","Alle Generationen von Abraham bis auf David sind vierzehn. Von David bis auf die Gefangenschaft sind es ebenfalls vierzehn. Von der babylonischen Gefangenschaft bis auf Christus sind es auch vierzehn Generationen."
"New","40","1","18","Mit der Geburt Christi verhielt es sich aber so. Als Maria, seine Mutter, mit Josef verlobt war, fand es sich, ehe sie zusammengekommen waren, dass sie schwanger war von dem Heiligen Geist."
"New","40","1","19","Josef aber, ihr Mann, war fromm und wollte sie nicht in Schande bringen, dachte aber, sie heimlich zu verlassen."
"New","40","1","20","Während er aber so dachte, siehe, da erschien ihm ein Engel des HERRN im Traum und sprach: „Josef, du Sohn Davids, fürchte dich nicht, Maria deine Frau, zu dir zu nehmen; denn was in ihr entstanden ist, das ist von dem Heiligen Geist."
