Testament,Book,Chapter,Verse,Content
"New","40","1","1","Βίβλος γενέσεως Ἰησοῦ Χριστοῦ, υἱοῦ Δαυῒδ υἱοῦ Ἀβραάμ."
"New","40","1","2","Ἀβραὰμ ἐγέννησε τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησε τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησε τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,"
"New","40","1","3","Ἰούδας δὲ ἐγέννησε τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ, Φαρὲς δὲ ἐγέννησε τὸν Ἐσρώμ, Ἐσρὼμ δὲ ἐγέννησε τὸν Ἀράμ,"
"New","40","1","4","Ἀρὰμ δὲ ἐγέννησε τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησε τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησε τὸν Σαλμών,"
"New","40","1","5","Σαλμὼν δὲ ἐγέννησε τὸν Βοὸζ ἐκ τῆς Ῥαχάβ, Βοὸζ δὲ ἐγέννησε τὸν Ὠβὴδ ἐκ τῆς Ῥούθ, Ὠβὴδ δὲ ἐγέννησε τὸν Ἰεσσαί,"
"New","40","1","6","Ἰεσσαὶ δὲ ἐγέννησε τὸν Δαυῒδ τὸν βασιλέα. Δαυῒδ δὲ ὁ βασιλεὺς ἐγέννησε τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,"
"New","40","1","7","Σολομὼν δὲ ἐγέννησε τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησε τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησε τὸν Ἀσά,"
"New","40","1","8","Ἀσὰ δὲ ἐγέννησε τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησε τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησε τὸν Ὀζίαν,"
"New","40","1","9","Ὀζίας δὲ ἐγέννησε τὸν Ἰωάθαμ, Ἰωάθαμ δὲ ἐγέννησε τὸν Ἄχαζ, Ἄχαζ δὲ ἐγέννησε τὸν Ἐζεκίαν,"
"New","40","1","10","Ἐζεκίας δὲ ἐγέννησε τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησε τὸν Ἀμών, Ἀμὼν δὲ ἐγέννησε τὸν Ἰωσίαν,"
"New","40","1","11","Ἰωσίας δὲ ἐγέννησε τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος."
"New","40","1","12","Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησε τὸν Σαλαθιήλ, Σαλαθιὴλ δὲ ἐγέννησε τὸν Ζοροβάβελ,"
"New","40","1","13","Ζοροβάβελ δὲ ἐγέννησε τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησε τὸν Ἐλιακείμ, Ἐλιακεὶμ δὲ ἐγέννησε τὸν Ἀζώρ,"
"New","40","1","14","Ἀζὼρ δὲ ἐγέννησε τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησε τὸν Ἀχείμ, Ἀχεὶμ δὲ ἐγέννησε τὸν Ἐλιούδ,"
"New","40","1","15","Ἐλιοὺδ δὲ ἐγέννησε τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησε τὸν Ματθάν, Ματθὰν δὲ ἐγέννησε τὸν Ἰακώβ,"
"New","40","1","16","Ἰακὼβ δὲ ἐγέννησε τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος Χριστός."
"New","40","1","17","Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυῒδ γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυῒδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες, καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ Χριστοῦ γενεαὶ δεκατέσσαρες."
"New","40","1","18","Τοῦ δὲ Ἰησοῦ Χριστοῦ ἡ γέννησις οὕτως ἦν. μνηστευθείσης γὰρ τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ Πνεύματος Ἁγίου."
"New","40","1","19","Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὢν καὶ μὴ θέλων αὐτὴν παραδειγματίσαι, ἐβουλήθη λάθρα ἀπολῦσαι αὐτήν."
"New","40","1","20","ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος Κυρίου κατ᾽ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ υἱὸς Δαυΐδ, μὴ φοβηθῇς παραλαβεῖν Μαριὰμ τὴν γυναῖκά σου· τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ Πνεύματός ἐστιν Ἁγίου."
