Testament,Book,Chapter,Verse,Content
"New","40","1","1","ספר תולדת ישוע המשיח בן־דוד בן־אברהם׃"
"New","40","1","2","אברהם הוליד את־יצחק ויצחק הוליד את־יעקב ויעקב הוליד את־יהודה ואת־אחיו׃"
"New","40","1","3","ויהודה הוליד את־פרץ ואת זרח מתמר ופרץ הוליד את־חצרון וחצרון הוליד את־רם׃"
"New","40","1","4","ורם הוליד את־עמינדב ועמינדב הוליד את־נחשון ונחשון הוליד את־שלמון׃"
"New","40","1","5","ושלמון הוליד את־בעז מרחב ובעז הוליד את־עובד מרות ועובד הוליד את־ישי׃"
"New","40","1","6","וישי הוליד את־דוד המלך ודוד המלך הוליד את־שלמה מאשת אוריה׃"
"New","40","1","7","ושלמה הוליד את־רחבעם ורחבעם הוליד את־אביה ואביה הוליד את־אסא׃"
"New","40","1","8","ואסא הוליד את־יהושפט ויהושפט הוליד את־יורם ויורם הוליד את־עזיהו׃"
"New","40","1","9","ועזיהו הוליד את־יותם ויותם הוליד את־אחז ואחז הוליד את־יחזקיהו׃"
"New","40","1","10","ויחזקיהו הוליד את־מנשה ומנשה הוליד את־אמון ואמון הוליד את־יאשיהו׃"
"New","40","1","11","ויאשיהו הוליד את־יכניהו ואת־אחיו לעת גלות בבל׃"
"New","40","1","12","ואחרי גלותם בבלה הוליד יכניהו את שאלתיאל ושאלתיאל הוליד את־זרבבל׃"
"New","40","1","13","וזרבבל הוליד את־אביהוד ואביהוד הוליד את־אליקים ואליקים הוליד את עזור׃"
"New","40","1","14","ועזור הוליד את־צדוק וצדוק הוליד את־יכין ויכין הוליד את־אליהוד׃"
"New","40","1","15","ואליהוד הוליד את־אלעזר ואלעזר הוליד את־מתן ומתן הוליד את־יעקב׃"
"New","40","1","16","ויעקב הוליד את־יוסף בעל מרים אשר ממנה נולד ישוע הנקרא משיח׃"
"New","40","1","17","והנה כל־הדרות מן־אברהם עד־דוד ארבעה עשר דרות ומן־דוד עד־גלות בבל ארבעה עשר דרות ומעת גלות בבל עד־המשיח ארבעה עשר דרות׃"
"New","40","1","18","והלדת ישוע המשיח כה היתה מרים אמו ארשה ליוסף ובטרם יבא אליה נמצאת הרה לרוח הקדש׃"
"New","40","1","19","ויוסף בעלה היה איש צדיק ולא אבה לתתה לבוז ויאמר בלבו לשלחה בסתר׃"
"New","40","1","20","הוא חשב כזאת והנה מלאך יהוה נראה אליו בחלום ויאמר יוסף בן־דוד אל־תירא מכנוס אליך את מרים אשתך כי אשר הרה בה מרוח הקדש הוא׃"
"New","40","1","21","והיא ילדת בן וקראת את־שמו ישוע כי הוא יושיע את־עמו מעונותיהם׃"
"New","40","1","22","ותהי כל־זאת למלאת את אשר־דבר יהוה ביד הנביא לאמר׃"
"New","40","1","23","הנה העלמה הרה וילדת בן וקראו שמו עמנואל אשר פרושו האל עמנו׃"
"New","40","1","24","וייקץ יוסף משנתו ויעש כאשר צוהו מלאך יהוה ויקח אליו את־אשתו׃"
"New","40","1","25","ולא ידעה עד כי־ילדה בן את־בכורה ויקרא את־שמו ישוע׃"
"New","40","2","1","ויהי כאשר נולד ישוע בבית־לחם יהודה בימי הורדוס המלך ויבאו מגושים מארץ מזרח ירושלימה לאמר׃"
"New","40","2","2","איה מלך היהודים הנולד כי ראינו את־כוכבו במזרח ונבא להשתחות לו׃"
"New","40","2","3","ויהי כשמע הורדוס המלך את־דבריהם ויבהל הוא וכל־ירושלים עמו׃"
"New","40","2","4","ויקהל את־כל־ראשי הכהנים וסופרי העם וידרש מאתם לאמר איפה יולד המשיח׃"
"New","40","2","5","ויאמרו לו בבית־לחם יהודה כי־כן כתוב ביד הנביא׃"
"New","40","2","6","ואתה בית־לחם ארץ יהודה אינך צעיר באלפי יהודה כי ממך יצא מושל אשר ירעה את־עמי ישראל׃"
"New","40","2","7","אז קרא הורדוס למגושים בסתר ויחקר אתם לדעת עת הראות הכוכב׃"
"New","40","2","8","וישלחם בית־לחם ויאמר לכו חקרו היטב על־דבר הילד והיה כי־תמצאון אתו והגדתם לי ואבאה להשתחות־לו גם־אני׃"
"New","40","2","9","ויהי כשמעם את־דברי המלך וילכו והנה הכוכב אשר־ראו במזרח דרך לפניהם עד באו אל־מקום אשר־שם הילד ויעמד ממעל לו׃"
"New","40","2","10","ויראו את־הכוכב וישמחו שמחה גדולה עד־מאד׃"
"New","40","2","11","ויבאו הביתה וימצאו את־הילד עם־מרים אמו ויפלו על־פניהם וישתחוו־לו ויפתחו את־אוצרותם ויקריבו לו מנחה זהב ולבונה ומר׃"
"New","40","2","12","ויצוו בחלום לבלתי שוב אל־הורדוס וילכו בדרך אחר אל־ארצם׃"
"New","40","2","13","הם הלכו משם והנה מלאך יהוה נראה אל־יוסף בחלום לאמר קום קח את־הילד ואת־אמו וברח־לך מצרימה והיה־שם עד־אשר אמר אליך כי הורדוס צדה את־הילד לאבדו׃"
"New","40","2","14","ויקם ויקח את־הילד ואת־אמו בלילה ויברח מצרימה׃"
"New","40","2","15","ויהי־שם עד־מות הורדוס למלאת את אשר דבר יהוה ביד הנביא לאמר ממצרים קראתי לבני׃"
"New","40","2","16","וירא הורדוס כי התלו בו המגושים ויקצף מאד וישלח וימת את־כל־הילדים אשר בבית־לחם ובכל־גבוליה מבן־שנתים ולמטה כפי העת אשר חקרה מפי המגושים׃"
"New","40","2","17","וימלא הדבר הנאמר בפי ירמיה הנביא לאמר׃"
"New","40","2","18","קול ברמה נשמע נהי ובכי תמרורים רחל מבכה על־בניה מאנה להנחם כי אינם׃"
"New","40","2","19","ויהי אחרי מות הורדוס והנה מלאך יהוה נראה בחלום אל־יוסף בארץ מצרים׃"
