Testament,Book,Chapter,Verse,Content
"Old","1","1","1","א בראשית ברא אלהים את השמים ואת הארץ"
"Old","1","1","2","ב והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים"
"Old","1","1","3","ג ויאמר אלהים יהי אור ויהי אור"
"Old","1","1","4","ד וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך"
"Old","1","1","5","ה ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד  {פ}"
"Old","1","1","6","ו ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים"
"Old","1","1","7","ז ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן"
"Old","1","1","8","ח ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני  {פ}"
"Old","1","1","9","ט ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן"
"Old","1","1","10","י ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב"
"Old","1","1","11","יא ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן"
"Old","1","1","12","יב ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב"
"Old","1","1","13","יג ויהי ערב ויהי בקר יום שלישי  {פ}"
"Old","1","1","14","יד ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים"
"Old","1","1","15","טו והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן"
"Old","1","1","16","טז ויעש אלהים את שני המארת הגדלים  את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים"
"Old","1","1","17","יז ויתן אתם אלהים ברקיע השמים להאיר על הארץ"
"Old","1","1","18","יח ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב"
"Old","1","1","19","יט ויהי ערב ויהי בקר יום רביעי  {פ}"
"Old","1","1","20","כ ויאמר אלהים--ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים"
"Old","1","1","21","כא ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב"
"Old","1","1","22","כב ויברך אתם אלהים לאמר  פרו ורבו ומלאו את המים בימים והעוף ירב בארץ"
"Old","1","1","23","כג ויהי ערב ויהי בקר יום חמישי  {פ}"
"Old","1","1","24","כד ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן"
"Old","1","1","25","כה ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב"
"Old","1","1","26","כו ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ"
"Old","1","1","27","כז ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו  זכר ונקבה ברא אתם"
"Old","1","1","28","כח ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ"
"Old","1","1","29","כט ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע  לכם יהיה לאכלה"
"Old","1","1","30","ל ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן"
"Old","1","1","31","לא וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי  {פ}"
"Old","1","2","1","א ויכלו השמים והארץ וכל צבאם"
"Old","1","2","2","ב ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה"
"Old","1","2","3","ג ויברך אלהים את יום השביעי ויקדש אתו  כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות  {פ}"
"Old","1","2","4","ד אלה תולדות השמים והארץ בהבראם  ביום עשות יהוה אלהים--ארץ ושמים"
"Old","1","2","5","ה וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח  כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה"
"Old","1","2","6","ו ואד יעלה מן הארץ והשקה את כל פני האדמה"
"Old","1","2","7","ז וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה"
"Old","1","2","8","ח ויטע יהוה אלהים גן בעדן--מקדם וישם שם את האדם אשר יצר"
"Old","1","2","9","ט ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל--ועץ החיים בתוך הגן ועץ הדעת טוב ורע"
"Old","1","2","10","י ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים"
"Old","1","2","11","יא שם האחד פישון--הוא הסבב את כל ארץ החוילה אשר שם הזהב"
"Old","1","2","12","יב וזהב הארץ ההוא טוב שם הבדלח ואבן השהם"
"Old","1","2","13","יג ושם הנהר השני גיחון--הוא הסובב את כל ארץ כוש"
"Old","1","2","14","יד ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת"
"Old","1","2","15","טו ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה"
"Old","1","2","16","טז ויצו יהוה אלהים על האדם לאמר  מכל עץ הגן אכל תאכל"
"Old","1","2","17","יז ומעץ הדעת טוב ורע--לא תאכל ממנו  כי ביום אכלך ממנו--מות תמות"
"Old","1","2","18","יח ויאמר יהוה אלהים לא טוב היות האדם לבדו אעשה לו עזר כנגדו"
"Old","1","2","19","יט ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו"
"Old","1","2","20","כ ויקרא האדם שמות לכל הבהמה ולעוף השמים ולכל חית השדה ולאדם לא מצא עזר כנגדו"
"Old","1","2","21","כא ויפל יהוה אלהים תרדמה על האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה"
"Old","1","2","22","כב ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם"
"Old","1","2","23","כג ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת"
"Old","1","2","24","כד על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד"
"Old","1","2","25","כה ויהיו שניהם ערומים האדם ואשתו ולא יתבששו"
"Old","1","3","1","א והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן"
"Old","1","3","2","ב ותאמר האשה אל הנחש  מפרי עץ הגן נאכל"
"Old","1","3","3","ג ומפרי העץ אשר בתוך הגן--אמר אלהים לא תאכלו ממנו ולא תגעו בו  פן תמתון"
"Old","1","3","4","ד ויאמר הנחש אל האשה  לא מות תמתון"
"Old","1","3","5","ה כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע"
"Old","1","3","6","ו ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכל"
"Old","1","3","7","ז ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת"
"Old","1","3","8","ח וישמעו את קול יהוה אלהים מתהלך בגן--לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן"
"Old","1","3","9","ט ויקרא יהוה אלהים אל האדם ויאמר לו איכה"
"Old","1","3","10","י ויאמר את קלך שמעתי בגן ואירא כי עירם אנכי ואחבא"
"Old","1","3","11","יא ויאמר--מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו--אכלת"
"Old","1","3","12","יב ויאמר האדם  האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל"
"Old","1","3","13","יג ויאמר יהוה אלהים לאשה מה זאת עשית ותאמר האשה הנחש השיאני ואכל"
"Old","1","3","14","יד ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך"
"Old","1","3","15","טו ואיבה אשית בינך ובין האשה ובין זרעך ובין זרעה  הוא ישופך ראש ואתה תשופנו עקב  {ס}"
"Old","1","3","16","טז אל האשה אמר הרבה ארבה עצבונך והרנך--בעצב תלדי בנים ואל אישך תשוקתך והוא ימשל בך  {ס}"
"Old","1","3","17","יז ולאדם אמר כי שמעת לקול אשתך ותאכל מן העץ אשר צויתיך לאמר לא תאכל ממנו--ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך"
"Old","1","3","18","יח וקוץ ודרדר תצמיח לך ואכלת את עשב השדה"
"Old","1","3","19","יט בזעת אפיך תאכל לחם עד שובך אל האדמה כי ממנה לקחת  כי עפר אתה ואל עפר תשוב"
"Old","1","3","20","כ ויקרא האדם שם אשתו חוה  כי הוא היתה אם כל חי"
"Old","1","3","21","כא ויעש יהוה אלהים לאדם ולאשתו כתנות עור--וילבשם  {פ}"
"Old","1","3","22","כב ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם"
"Old","1","3","23","כג וישלחהו יהוה אלהים מגן עדן--לעבד את האדמה אשר לקח משם"
"Old","1","3","24","כד ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים  {ס}"
"Old","1","4","1","א והאדם ידע את חוה אשתו ותהר ותלד את קין ותאמר קניתי איש את יהוה"
"Old","1","4","2","ב ותסף ללדת את אחיו את הבל ויהי הבל רעה צאן וקין היה עבד אדמה"
"Old","1","4","3","ג ויהי מקץ ימים ויבא קין מפרי האדמה מנחה--ליהוה"
"Old","1","4","4","ד והבל הביא גם הוא מבכרות צאנו ומחלבהן וישע יהוה אל הבל ואל מנחתו"
"Old","1","4","5","ה ואל קין ואל מנחתו לא שעה ויחר לקין מאד ויפלו פניו"
"Old","1","4","6","ו ויאמר יהוה אל קין  למה חרה לך ולמה נפלו פניך"
"Old","1","4","7","ז הלוא אם תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו"
"Old","1","4","8","ח ויאמר קין אל הבל אחיו ויהי בהיותם בשדה ויקם קין אל הבל אחיו ויהרגהו"
"Old","1","4","9","ט ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי"
"Old","1","4","10","י ויאמר מה עשית קול דמי אחיך צעקים אלי מן האדמה"
"Old","1","4","11","יא ועתה ארור אתה מן האדמה אשר פצתה את פיה לקחת את דמי אחיך מידך"
"Old","1","4","12","יב כי תעבד את האדמה לא תסף תת כחה לך נע ונד תהיה בארץ"
"Old","1","4","13","יג ויאמר קין אל יהוה  גדול עוני מנשא"
"Old","1","4","14","יד הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל מצאי יהרגני"
"Old","1","4","15","טו ויאמר לו יהוה לכן כל הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות אתו כל מצאו"
"Old","1","4","16","טז ויצא קין מלפני יהוה וישב בארץ נוד קדמת עדן"
"Old","1","4","17","יז וידע קין את אשתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך"
"Old","1","4","18","יח ויולד לחנוך את עירד ועירד ילד את מחויאל ומחייאל ילד את מתושאל ומתושאל ילד את למך"
"Old","1","4","19","יט ויקח לו למך שתי נשים  שם האחת עדה ושם השנית צלה"
"Old","1","4","20","כ ותלד עדה את יבל  הוא היה--אבי ישב אהל ומקנה"
"Old","1","4","21","כא ושם אחיו יובל  הוא היה--אבי כל תפש כנור ועוגב"
"Old","1","4","22","כב וצלה גם הוא ילדה את תובל קין--לטש כל חרש נחשת וברזל ואחות תובל קין נעמה"
"Old","1","4","23","כג ויאמר למך לנשיו עדה וצלה שמען קולי--נשי למך האזנה אמרתי  כי איש הרגתי לפצעי וילד לחברתי"
"Old","1","4","24","כד כי שבעתים יקם קין ולמך שבעים ושבעה"
"Old","1","4","25","כה וידע אדם עוד את אשתו ותלד בן ותקרא את שמו שת  כי שת לי אלהים זרע אחר--תחת הבל כי הרגו קין"
"Old","1","4","26","כו ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם יהוה  {ס}"
"Old","1","5","1","א זה ספר תולדת אדם  ביום ברא אלהים אדם בדמות אלהים עשה אתו"
"Old","1","5","2","ב זכר ונקבה בראם ויברך אתם ויקרא את שמם אדם ביום הבראם"
"Old","1","5","3","ג ויחי אדם שלשים ומאת שנה ויולד בדמותו כצלמו ויקרא את שמו שת"
"Old","1","5","4","ד ויהיו ימי אדם אחרי הולידו את שת שמנה מאת שנה ויולד בנים ובנות"
"Old","1","5","5","ה ויהיו כל ימי אדם אשר חי תשע מאות שנה ושלשים שנה וימת  {ס}"
"Old","1","5","6","ו ויחי שת חמש שנים ומאת שנה ויולד את אנוש"
"Old","1","5","7","ז ויחי שת אחרי הולידו את אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות"
"Old","1","5","8","ח ויהיו כל ימי שת שתים עשרה שנה ותשע מאות שנה וימת  {ס}"
"Old","1","5","9","ט ויחי אנוש תשעים שנה ויולד את קינן"
"Old","1","5","10","י ויחי אנוש אחרי הולידו את קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות"
"Old","1","5","11","יא ויהיו כל ימי אנוש חמש שנים ותשע מאות שנה וימת  {ס}"
"Old","1","5","12","יב ויחי קינן שבעים שנה ויולד את מהללאל"
"Old","1","5","13","יג ויחי קינן אחרי הולידו את מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות"
"Old","1","5","14","יד ויהיו כל ימי קינן עשר שנים ותשע מאות שנה וימת  {ס}"
"Old","1","5","15","טו ויחי מהללאל חמש שנים וששים שנה ויולד את ירד"
"Old","1","5","16","טז ויחי מהללאל אחרי הולידו את ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות"
"Old","1","5","17","יז ויהיו כל ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת  {ס}"
"Old","1","5","18","יח ויחי ירד שתים וששים שנה ומאת שנה ויולד את חנוך"
"Old","1","5","19","יט ויחי ירד אחרי הולידו את חנוך שמנה מאות שנה ויולד בנים ובנות"
"Old","1","5","20","כ ויהיו כל ימי ירד שתים וששים שנה ותשע מאות שנה וימת  {ס}"
"Old","1","5","21","כא ויחי חנוך חמש וששים שנה ויולד את מתושלח"
"Old","1","5","22","כב ויתהלך חנוך את האלהים אחרי הולידו את מתושלח שלש מאות שנה ויולד בנים ובנות"
"Old","1","5","23","כג ויהי כל ימי חנוך חמש וששים שנה ושלש מאות שנה"
"Old","1","5","24","כד ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים  {ס}"
"Old","1","5","25","כה ויחי מתושלח שבע ושמנים שנה ומאת שנה ויולד את למך"
"Old","1","5","26","כו ויחי מתושלח אחרי הולידו את למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות"
"Old","1","5","27","כז ויהיו כל ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת  {ס}"
"Old","1","5","28","כח ויחי למך שתים ושמנים שנה ומאת שנה ויולד בן"
"Old","1","5","29","כט ויקרא את שמו נח לאמר  זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה"
"Old","1","5","30","ל ויחי למך אחרי הולידו את נח חמש ותשעים שנה וחמש מאת שנה ויולד בנים ובנות"
"Old","1","5","31","לא ויהי כל ימי למך שבע ושבעים שנה ושבע מאות שנה וימת  {ס}"
"Old","1","5","32","לב ויהי נח בן חמש מאות שנה ויולד נח את שם את חם ואת יפת"
"Old","1","6","1","א ויהי כי החל האדם לרב על פני האדמה ובנות ילדו להם"
"Old","1","6","2","ב ויראו בני האלהים את בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו"
"Old","1","6","3","ג ויאמר יהוה לא ידון רוחי באדם לעלם בשגם הוא בשר והיו ימיו מאה ועשרים שנה"
"Old","1","6","4","ד הנפלים היו בארץ בימים ההם וגם אחרי כן אשר יבאו בני האלהים אל בנות האדם וילדו להם  המה הגברים אשר מעולם אנשי השם  {פ}"
"Old","1","6","5","ה וירא יהוה כי רבה רעת האדם בארץ וכל יצר מחשבת לבו רק רע כל היום"
"Old","1","6","6","ו וינחם יהוה כי עשה את האדם בארץ ויתעצב אל לבו"
"Old","1","6","7","ז ויאמר יהוה אמחה את האדם אשר בראתי מעל פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים  כי נחמתי כי עשיתם"
"Old","1","6","8","ח ונח מצא חן בעיני יהוה  {פ}"
"Old","1","6","9","ט אלה תולדת נח--נח איש צדיק תמים היה בדרתיו  את האלהים התהלך נח"
"Old","1","6","10","י ויולד נח שלשה בנים--את שם את חם ואת יפת"
"Old","1","6","11","יא ותשחת הארץ לפני האלהים ותמלא הארץ חמס"
"Old","1","6","12","יב וירא אלהים את הארץ והנה נשחתה  כי השחית כל בשר את דרכו על הארץ  {ס}"
"Old","1","6","13","יג ויאמר אלהים לנח קץ כל בשר בא לפני--כי מלאה הארץ חמס מפניהם והנני משחיתם את הארץ"
"Old","1","6","14","יד עשה לך תבת עצי גפר קנים תעשה את התבה וכפרת אתה מבית ומחוץ בכפר"
"Old","1","6","15","טו וזה אשר תעשה אתה  שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה"
"Old","1","6","16","טז צהר תעשה לתבה ואל אמה תכלנה מלמעלה ופתח התבה בצדה תשים תחתים שנים ושלשים תעשה"
"Old","1","6","17","יז ואני הנני מביא את המבול מים על הארץ לשחת כל בשר אשר בו רוח חיים מתחת השמים  כל אשר בארץ יגוע"
"Old","1","6","18","יח והקמתי את בריתי אתך ובאת אל התבה--אתה ובניך ואשתך ונשי בניך אתך"
"Old","1","6","19","יט ומכל החי מכל בשר שנים מכל תביא אל התבה--להחית אתך  זכר ונקבה יהיו"
"Old","1","6","20","כ מהעוף למינהו ומן הבהמה למינה מכל רמש האדמה למינהו--שנים מכל יבאו אליך להחיות"
"Old","1","6","21","כא ואתה קח לך מכל מאכל אשר יאכל ואספת אליך והיה לך ולהם לאכלה"
"Old","1","6","22","כב ויעש נח  ככל אשר צוה אתו אלהים--כן עשה"
"Old","1","7","1","א ויאמר יהוה לנח בא אתה וכל ביתך אל התבה  כי אתך ראיתי צדיק לפני בדור הזה"
"Old","1","7","2","ב מכל הבהמה הטהורה תקח לך שבעה שבעה--איש ואשתו ומן הבהמה אשר לא טהרה הוא שנים--איש ואשתו"
"Old","1","7","3","ג גם מעוף השמים שבעה שבעה זכר ונקבה לחיות זרע על פני כל הארץ"
"Old","1","7","4","ד כי לימים עוד שבעה אנכי ממטיר על הארץ ארבעים יום וארבעים לילה ומחיתי את כל היקום אשר עשיתי מעל פני האדמה"
"Old","1","7","5","ה ויעש נח ככל אשר צוהו יהוה"
"Old","1","7","6","ו ונח בן שש מאות שנה והמבול היה מים על הארץ"
"Old","1","7","7","ז ויבא נח ובניו ואשתו ונשי בניו אתו--אל התבה  מפני מי המבול"
"Old","1","7","8","ח מן הבהמה הטהורה ומן הבהמה אשר איננה טהרה ומן העוף--וכל אשר רמש על האדמה"
"Old","1","7","9","ט שנים שנים באו אל נח אל התבה--זכר ונקבה  כאשר צוה אלהים את נח"
"Old","1","7","10","י ויהי לשבעת הימים ומי המבול היו על הארץ"
"Old","1","7","11","יא בשנת שש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש--ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו"
"Old","1","7","12","יב ויהי הגשם על הארץ ארבעים יום וארבעים לילה"
"Old","1","7","13","יג בעצם היום הזה בא נח ושם וחם ויפת בני נח ואשת נח ושלשת נשי בניו אתם--אל התבה"
"Old","1","7","14","יד המה וכל החיה למינה וכל הבהמה למינה וכל הרמש הרמש על הארץ למינהו וכל העוף למינהו כל צפור כל כנף"
"Old","1","7","15","טו ויבאו אל נח אל התבה שנים שנים מכל הבשר אשר בו רוח חיים"
"Old","1","7","16","טז והבאים זכר ונקבה מכל בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו"
"Old","1","7","17","יז ויהי המבול ארבעים יום על הארץ וירבו המים וישאו את התבה ותרם מעל הארץ"
"Old","1","7","18","יח ויגברו המים וירבו מאד על הארץ ותלך התבה על פני המים"
"Old","1","7","19","יט והמים גברו מאד מאד--על הארץ ויכסו כל ההרים הגבהים אשר תחת כל השמים"
"Old","1","7","20","כ חמש עשרה אמה מלמעלה גברו המים ויכסו ההרים"
"Old","1","7","21","כא ויגוע כל בשר הרמש על הארץ בעוף ובבהמה ובחיה ובכל השרץ השרץ על הארץ--וכל האדם"
"Old","1","7","22","כב כל אשר נשמת רוח חיים באפיו מכל אשר בחרבה--מתו"
"Old","1","7","23","כג וימח את כל היקום אשר על פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים וימחו מן הארץ וישאר אך נח ואשר אתו בתבה"
"Old","1","7","24","כד ויגברו המים על הארץ חמשים ומאת יום"
"Old","1","8","1","א ויזכר אלהים את נח ואת כל החיה ואת כל הבהמה אשר אתו בתבה ויעבר אלהים רוח על הארץ וישכו המים"
"Old","1","8","2","ב ויסכרו מעינת תהום וארבת השמים ויכלא הגשם מן השמים"
"Old","1","8","3","ג וישבו המים מעל הארץ הלוך ושוב ויחסרו המים--מקצה חמשים ומאת יום"
"Old","1","8","4","ד ותנח התבה בחדש השביעי בשבעה עשר יום לחדש על הרי אררט"
"Old","1","8","5","ה והמים היו הלוך וחסור עד החדש העשירי בעשירי באחד לחדש נראו ראשי ההרים"
"Old","1","8","6","ו ויהי מקץ ארבעים יום ויפתח נח את חלון התבה אשר עשה"
"Old","1","8","7","ז וישלח את הערב ויצא יצוא ושוב עד יבשת המים מעל הארץ"
"Old","1","8","8","ח וישלח את היונה מאתו--לראות הקלו המים מעל פני האדמה"
"Old","1","8","9","ט ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה--כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה"
"Old","1","8","10","י ויחל עוד שבעת ימים אחרים ויסף שלח את היונה מן התבה"
"Old","1","8","11","יא ותבא אליו היונה לעת ערב והנה עלה זית טרף בפיה וידע נח כי קלו המים מעל הארץ"
"Old","1","8","12","יב וייחל עוד שבעת ימים אחרים וישלח את היונה ולא יספה שוב אליו עוד"
"Old","1","8","13","יג ויהי באחת ושש מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה"
"Old","1","8","14","יד ובחדש השני בשבעה ועשרים יום לחדש--יבשה הארץ  {ס}"
