Testament,Book,Chapter,Verse,Content
"New","40","1","1","Anye ami ado ntọọñọ ubon Yisọs Krais ayịn Defid, ayịn Ebraham."
"New","40","1","2","Ebraham abon Aisik, Aisik abon Yekọb, Yekọb abon Yuda ye nditọeka amọ,"
"New","40","1","3","Yuda abon Beres ye Sera, e-eka amọ akedooho Tama, Beres abon Esrọn, Esrọn abon Ram,"
"New","40","1","4","Ram abon Aminadab, Aminadab abon Nasọn, Nasọn abon Sadmọn,"
"New","40","1","5","Sadmọn abon Boasi, e-eka amọ akedooho Rehab, Boasi abon Obed, e-eka amọ akedooho Rud, Obed abon Yesi,"
"New","40","1","6","ndin Yesi abon Adidem Defid. Defid abon Sọdọmọn, e-eka amọ akedooho anwaan Yuria."
"New","40","1","7","Sọdọmọn abon Rehoboam, Rehoboam abon Abiya, Abiya abon Asa,"
"New","40","1","8","Asa abon Yehosafad, Yehosafad abon Yehodam, Yehodam abon Usaya,"
"New","40","1","9","Usaya abon Yotam, Yotam abon Ahasi, Ahasi abon Esekaya,"
"New","40","1","10","Esekaya abon Manase, Manase abon Amon, Amon abon Yosaya,"
"New","40","1","11","ndin Yosaya abon Yekonaya ye nditọeka amọ ideen, ke ini ekemuumọ nditọ Isred eka Babidọn."
"New","40","1","12","Ke ini emaekemuum nditọ Isred eka Babidọn: Yekonaya abon Sietied, Sietied abon Serubabed,"
"New","40","1","13","Serubabed abon Abiud, Abiud abon Ediakim, Ediakim abon Asọ,"
"New","40","1","14","Asọ abon Sadọk, Sadọk abon Akịm, Akịm abon Ediud,"
"New","40","1","15","Ediud abon Ediasa, Ediasa abon Matan, Matan abon Yekọb,"
"New","40","1","16","ndin Yekọb abon Yosef ebe Mmeri, a-aketooho ke anye Yisọs e-ekoodo Krais amana."
"New","40","1","17","Ke ntodo, afịd mme ubon eteete Yisọs ekedo duob ye inaañ tọọñọ ke Ebraham tutu asịm Defid, duob ye inaañ tọọñọ ke Defid tutu asịm ini ufịn ke Babidọn, duob ye inaañ tọọñọ ke ini ufịn ke Babidọn tutu asịm emana Krais."
"New","40","1","18","Naña Yisọs Krais akesaña amana ado ami: Eka amọ Mmeri akena nte adọ Yosef, ado mbemiso ammọ edidʌñọ keed, Mmeri amaayommo ke adudu Adisana Sịbidịd."
"New","40","1","19","Sia ebe amọ Yosef akedooho nnen-nnen awo, miikinyʌññọ iyem adisuenne anye, anye amaanam akikere adisio anye ndọ ke ndịbe."
"New","40","1","20","Ado anye amaakebioodo ke esịd amọ ama adisio anye ndọ, enyere Abọọñ abiọññọ anye ke ndab anyʌñ abo anye ate, “Yosef ayịn Defid, kuukop ndịk adiben Mmeri nnyọñ ufọk mfo nte anwaan mfo, sia se isịne anye ke idịb ato Adisana Sịbidịd."
"New","40","1","21","Anye ayaaman ayịn awodeen, ndin ana afo asio anye anyịñ Yisọs, sia anye ado andidiifak ikọd amọ isio ke ndiọiñkpọ ammọ.”"
"New","40","1","22","Afịd ñkpọ ami akedat itie nọ ato do se Abọọñ Abasi aketañ ke inua mme brọfed asu:"
"New","40","1","23","“Sese ayịn awonwaan adooho akenam idiọọñọke awodeen ayaasaña ye idịb ndin ayaaman ayịn awodeen e-ediikood Imandued” (a-awuọọhọ, “Abasi mmọdo ye ñnyịn”)."
"New","40","1","24","Yosef amaakedemme, anye amaanam se enyere Abọọñ Abasi aketemme anye abo anam, aben anwaan amọ anyọñ ufọk"
"New","40","1","25","Ndin anye ikinieeghe ewana ye anye tutu anye aman ayịn awodeen, ndin anye asio anye anyịñ Yisọs."
"New","40","2","1","Ke ini Yisọs amaakemana ke Betrehem ke Yudia ke ini ukara Adidem Herọd, mme ikpọawo ifiọk ke usakka utịn emaedi Yerusedem"
"New","40","2","2","edibịp ete, “Mmọ anye a-amanake nte adidem mme Yuu? Ñnyịn imaikịt ntantaafiọñ amọ ke usakka utịn ndin idi adikpono anye.”"
"New","40","2","3","Ke ini Adidem Herọd akoppo ñkpọ ami, amaafịna anye ye afịd Yerusedem."
"New","40","2","4","Ke ini anye amaakekood afịd ikpọ aku ye mme andikpeeb ibed ibon keed, anye abịp ammọ abaña itie akenaaha Krais amana."
"New","40","2","5","Ammọ emaebọọrọ ete, “Ke Betrehem ke Yudia, sia ntom ke brọfed akewet:"
"New","40","2","6","“ ‘Ndin afo, Betrehem, ke isọñ Yuda usịppe ukan ke usʌñ ndomokeed, ke atu mme andikara Yuda, sia ke afo ke andikara adiito, a-adiido andikpeme ikọd mmi Isred.’ ”"
"New","40","2","7","Ndin Herọd akood mme ikpọawo ifiọk ado ke ndedịbe anyʌñ adiọọñọ ato ammọ ukem ini a-ntantaafiọñ akewuọọhọ ada."
"New","40","2","8","Ndin anye anọ ammọ eka Betrehem ate, “Ikaiya ikitʌm iyem ayịn ado. Imaikịt anye, inam nọ ndiọọñọ nọ ami ñko ndiinyʌñ ñkekpono anye.”"
"New","40","2","9","Ammọ emaekekop se adidem aketañ ima, ammọ emaeka iso ke isañ ammọ, ndin kpa ntantaafiọñ a-ammọ ekekịtte ke usakka utịn adat ammọ usʌñ tutu aketre ke itie ayịn ado akebaaha."
"New","40","2","10","Ammọ emaekekịt ntantaafiọñ ado, emaenekke enem esịd."
"New","40","2","11","Emaekesịm ufọk a-ayịn akebaaha, ammọ emaekịt ayịn ye Mmeri eka amọ, etuak iwuod enọ, enyʌñ ekpono anye. Ndin ammọ etat ekpad ammọ enyʌñ enọ anye mme nsọñudua ñkpọ: nsọñudua itiad kood, insensi ye anemutebe adan."
"New","40","2","12","Ndin sia emaekekpan ammọ ke ndab ete ammọ ekuutịmme ekekịt Herọd aba, ammọ emaesaña usʌñ mfen enyọñ abio ammọ."
"New","40","2","13","Ammọ emaekenyọñọ, enyere Abọọñ awọt Yosef idem ke ndab ate, “Dakka da ben ayịn ye eka feghe ka Iyịpt. Tie do tutu ami udọkkọ idaha uduukpọñ, sia Herọd ayaayem ayịn ado adiwot.”"
"New","40","2","14","Ndin anye adakka ada, aben ayịn ye eka ke akonayo aka Iyịpt."
"New","40","2","15","Do ke ammọ ekeba tutu Herọd akpa. Aketịppe ntom nọ se Abọọñ aketañ ato brọfed amọ asu: “Mmaakood ayịn mmi nsio ke Iyịpt.”"
"New","40","2","16","Ke ini Herọd adiọọñọke ate ke mme ikpọawo ifiọk ado emaebiaaña imọ, anye amaayat esịd ñkpa-ñkpa anyʌñ anọ adudu ate ewot afịd nditọ ideen ke Betrehem ye mme ñkanñkʌk a-mmikisọññọ ikan isua iba akeene se anye akekop ato mme ntaifiọk ado abaña ini a-ntantaafiọñ akewuọọhọ ada."
"New","40","2","17","Ke ntom se brọfed Yerimaya aketañ amaasu:"
"New","40","2","18","“Emaekop uyo ke Rama, ntuaaña ye akpọsọñ mfʌghọ, Rased atua anọ nditọ amọ inyʌññọ ikop ndọñesịd, sia ammọ ibaññake aba ke uwem.”"
"New","40","2","19","Ke Herọd amaakekpa, enyere Abọọñ amawọt Yosef idem ke ndab ke Iyịpt"
"New","40","2","20","anyʌñ abo anye ate, “Dakka da, ben ayịn ye eka nyọñ Isred, sia mbio e-ekeyemme adiwot anye ekpañña.”"
"New","40","2","21","Do ndin ke Yosef akedakka ada, aben ayịn ye eka anyọñ Isred."
"New","40","2","22","Ado anye amaakekop nte ebo ke Asedaus adat itie ete amọ Herọd ke Yudia, ndịk amaanam anye adika do. Ke emaekekpan anye ke ndab ete anye akuuka Yudia, anye adikappa aka efaak Kadidi"
"New","40","2","23","akedʌñ do ke abio e-ekekoodo Nasared. Ke ami, se mme brọfed eketañ amaasu ete, “Eyaekood anye awo Nasared.”"
"New","40","3","1","Akem Yọọn Aduọkmmọọñ adi adikwọrọ ikọ ke akpautatan Yudia,"
"New","40","3","2","ate, “Ikappa esịd sia abio ubọọñ Abasi akpere.”"
"New","40","3","3","Yọọn Aduọkmmọọñ ami ado awo a-brọfed Aisaya aketañña abaña ke ini anye akebooho ate: “Uyo awo keed ke akpautatan abo ‘Idiọñ usʌñ inọ Abọọñ, inekke usʌñ inọ anye.’ ”"
