Testament,Book,Chapter,Verse,Content
"New","40","1","1","Даут и къуэмрэ Ибрэхьим и къуэмрэ къызыхэкӀа лъэпкъым щыщ Хьисэ Мэссихь и хъыбарщ мыр."
"New","40","1","2","Ибрэхьим Исхьэкъ къыхуалъхуащ; Исхьэкъ Екъуб къыхуалъхуащ; абы Иудэрэ и къуэшхэмрэ къыхуалъхуащ;"
"New","40","1","3","Иудэ Фаресрэ Зарэрэ къыхуалъхуащ; а тӀум я анэм и цӀэр Тамэрэщ; Фарес Есром къыхуалъхуащ; Есром Арам къыхуалъхуащ;"
"New","40","1","4","Арам Аминадав къыхуалъхуащ; Аминадав Наасон къыхуалъхуащ; Наасон Салмон къыхуалъхуащ;"
"New","40","1","5","Салмон Вооз къыхуалъхуащ; Вооз и анэм и цӀэр Рахавщ; Вооз Овид къыхуалъхуащ; Овид и анэм и цӀэр Рутщ; Овид Иессе къыхуалъхуащ;"
"New","40","1","6","Иессе Даут пащтыхьыр къыхуалъхуащ. Даут пащтыхьым Сэлмэн къыхуалъхуащ; Сэлмэн и анэр Урие зи цӀэм и фызу щытащ."
"New","40","1","7","Сэлмэн Ровоам къыхуалъхуащ; Ровоам Авие къыхуалъхуащ; Авие Асэ къыхуалъхуащ;"
"New","40","1","8","Асэ Иосафат къыхуалъхуащ; Иосафат Иорам къыхуалъхуащ; Иорам Озие къыхуалъхуащ;"
"New","40","1","9","Озие Иоафам къыхуалъхуащ; Иоафам Ахаз къыхуалъхуащ; Ахаз Езекие къыхуалъхуащ;"
"New","40","1","10","Езекие Манассие къыхуалъхуащ; Манассие Амон къыхуалъхуащ; Амон Иосие къыхуалъхуащ;"
"New","40","1","11","Иосие Иоаким къыхуалъхуащ. Израил цӀыхухэр Бабилэн къалэшхуэм залымыгъэкӀэ щагъэӀэпхъуа лъэхьэнэм Иоаким Иехониерэ Иехоние и къуэшхэмрэ къыхуалъхуащ."
"New","40","1","12","Израил цӀыхухэр Бабилэн ягъэӀэпхъуа нэужь, Иехоние Салафиил къыхуалъхуащ; Салафиил Зоровавел къыхуалъхуащ;"
"New","40","1","13","Зоровавел Авиуд къыхуалъхуащ; Авиуд Елиаким къыхуалъхуащ; Елиаким Азор къыхуалъхуащ;"
"New","40","1","14","Азор Садок къыхуалъхуащ; Садок Ахим къыхуалъхуащ; Ахим Елиуд къыхуалъхуащ;"
"New","40","1","15","Елиуд Елеазар къыхуалъхуащ; Елеазар Матфан къыхуалъхуащ; Матфан Екъуб къыхуалъхуащ;"
"New","40","1","16","Екъуб Исуф къыхуалъхуащ. Ар МэссихькӀэ* зэджэ Хьисэ къэзылъхуа Мэрием и щхьэгъусэщ."
"New","40","1","17","Аращи, Ибрэхьим бегъымбарым деж къыщыщӀэдзауэ Даут пащтыхьым деж къэсыху щӀэблэ пщыкӀуплӀ мэхъу; Даут пащтыхьым деж къыщыщӀэдзауэ израил цӀыхухэр Бабилэн къалэшхуэм залымыгъэкӀэ щагъэӀэпхъуам нэс щӀэблэ пщыкӀуплӀ мэхъу; израил цӀыхухэр Бабилэн щагъэӀэпхъуам къыщыщӀэдзауэ Мэссихь деж къэсыху щӀэблэ пщыкӀуплӀ мэхъу."
"New","40","1","18","Хьисэ Мэссихь къызэралъхуар мыпхуэдэущ: Исуф Хьисэ и анэ Мэрием къишэну къыхихат, ауэ ахэр зэрымышэ щӀыкӀэ Тхьэм и Псэ ЛъапӀэм и ӀэмыркӀэ Мэрием уэндэгъуу къыщӀэкӀащ."
"New","40","1","19","Мэрием илӀ Исуф щыпкъагъэ зигу илъ цӀыхути, Мэрием и напэр цӀыхухэм я пащхьэм щытримыхын щхьэкӀэ, ар щэхуу иригъэкӀыжын мурад ищӀащ."
"New","40","1","20","Исуф а Ӏуэхум пыхьауэ, Зиусхьэным и мелыӀычыр абы пщӀыхьэпӀэу къыхуэкӀуащ. – Даут и къуэ Исуф, – къыжиӀащ абы, – Мэрием къэпшэну умышынэ; абы къилъхуну сабийр къызыхэкӀыр Тхьэм и Псэ ЛъапӀэр арщ."
"New","40","1","21","Мэрием къуэ къыхуэхъунущ икӀи абы цӀэуэ фӀэпщынур Хьисэщ,* абы и лъэпкъым я гуэныхьхэр ящхьэщихынурэ, мыкӀуэду къригъэлынущи."
"New","40","1","22","А псор апхуэдэу щӀэхъуар Зиусхьэным бегъымбарым игу кърилъхьэу жригъэӀа псалъэхэр пэж хъун щхьэкӀэщ:"
"New","40","1","23","«Хъыджэбзыр лъэщыджэ хъунущ, къуэи къилъхунущ. Абы цӀэуэ фӀащынур Еммануилщ. „Тхьэр ди гъусэщ“, аращ а цӀэм къикӀыр»."
"New","40","1","24","Исуф къэушри, Зиусхьэным и мелыӀычым къызэрыжриӀам тету зекӀуащ икӀи Мэрием къишащ."
"New","40","1","25","Ауэ ар къишэн ипэ, Мэрием и япэ къуэр къилъхуащ. Исуф абы цӀэуэ фӀищар Хьисэщ."
"New","40","2","1","Ирод пащтыхьым и тетыгъуэм Иудей хэкум щыщ Бэтлэхьэм къалэм Хьисэ къыщалъхуа нэужь, тхьэгурымагъуэхэр къуэкӀыпӀэмкӀэ къикӀри, Ерусалим къэкӀуащ."
