Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ev e rʼeqema rʼikʼinyata Îsa Mesîh, rʼikʼinyata Dawid, rʼikʼinyata Birahîm:"
"New","40","1","2","Birahîmrʼa Îshaq bû, Îshaqrʼa Aqûb bû, Aqûbrʼa Cihûda û birava bûn,"
"New","40","1","3","Cihûdarʼa Pêrês û Zera bûn, (navê dîya wan Tʼamar bû), Pêrêsrʼa Hesrûn bû, Hesrûnrʼa Rʼam bû,"
"New","40","1","4","Rʼamrʼa Amînadav bû, Amînadavrʼa Nehşon bû, Nehşonrʼa Selmon bû,"
"New","40","1","5","Selmonrʼa Bowaz bû, (navê dîya wî Rʼexab bû), Bowazrʼa Ovêd bû, (navê dîya wî Rʼûtʼ bû), Ovêdrʼa Yêşa bû"
"New","40","1","6","û Yêşarʼa Dawid pʼadşa bû. Dawid pʼadşarʼa Silêman bû, (dîya wî berê kʼulfeta Ûrîya bû),"
"New","40","1","7","Silêmanrʼa Rʼehobowam bû, Rʼehobowamrʼa Ebîya bû, Ebîyarʼa Asaf bû,"
"New","40","1","8","Asafrʼa Yêhoşefat bû, Yêhoşefatrʼa Yoram bû, Yoramrʼa Ûzîya bû,"
"New","40","1","9","Ûzîyarʼa Yotam bû, Yotamrʼa Ahaz bû, Ahazrʼa Hizqîya bû,"
"New","40","1","10","Hizqîyarʼa Minaşe bû, Minaşerʼa Amos bû, Amosrʼa Yoşîya bû"
"New","40","1","11","û Yoşîyarʼa Yexonîya û birava bûn. Wî çaxî cimeʼt sirgûn çû Babîlonê."
"New","40","1","12","Lê pey sirgûnçûyîna Babîlonêda, ji Yexonîyarʼa Şaltîyêl bû, Şaltîyêlrʼa Zerûbabel bû,"
"New","40","1","13","Zerûbabelrʼa Abîyûd bû, Abîyûdrʼa Êlyaqîm bû, Êlyaqîmrʼa Azûr bû,"
"New","40","1","14","Azûrrʼa Sadoq bû, Sadoqrʼa Axîn bû, Axînrʼa Êlyûd bû,"
"New","40","1","15","Êlyûdrʼa Êlazar bû, Êlazarrʼa Metan bû, Metanrʼa Aqûb bû,"
"New","40","1","16","Aqûbrʼa Ûsiv bû, mêrê Meryemê, ya ku Îsa ji wê welidî, ku Mesîh tê gotinê."
"New","40","1","17","Awa ji Birahîm hʼeta Dawid çardeh nisil derbaz bibûn, ji Dawid hʼeta sirgûnçûyîna Babîlonêda çardeh nisil û ji sirgûnçûyîna Babîlonêda hʼeta Mesîh dîsa çardeh nisil bûn."
"New","40","1","18","Bûyîna Îsa Mesîh bi vî tiherî bû. Meryema dîya Wî Ûsivrʼa nîşankirî bû, lê dergîstîya xweda Meryem bi hʼukumê Rʼuhʼê Pîroz hʼemle kʼifş bû."
"New","40","1","19","Lê Ûsivê dergîstîyê wê ku merivekî rʼast bû, nexwest wê rʼûrʼeş ke, fikirî ku dizîva wê berʼde."
"New","40","1","20","Çaxê Ûsiv hê ser vê yekê difikirî, va milyakʼetekî Xudan xewnêda wîva xuya bû û gotê: «Ûsivê kurʼê Dawid! Netirse, ku dergîstîya xwe Meryemê bistînî. Ewî ku wê ji wê bibe, ew ji Rʼuhʼê Pîroz e."
"New","40","1","21","Ewê kurʼekî bîne û tê navê Wî Îsa daynî, çimkî Ewê cimeʼta Xwe ji gunêd wan xilaz ke»."
"New","40","1","22","Ev her tişt aha qewimî, wekî ew gotina Xudane bi zarê pʼêxember bê sêrî ku dibêje:"
"New","40","1","23","«Va qîza bikʼir wê hʼemle be, kurʼekê jêrʼa bibe û navê Wî Îmmanûyêl wê daynin», ku tê feʼmkirinê: «Xwedê tʼevî me ye»."
"New","40","1","24","Gava Ûsiv ji xewê hʼişyar bû, ewî li gora gotina milyakʼetê Xudan kir, dergîstîya xwe stand."
"New","40","1","25","Lê serê xwe wêrʼa danenî, hʼeta ku ew kurʼ jêrʼa bû. Û navê Wî Îsa danî."
