Testament,Book,Chapter,Verse,Content
"New","40","1","1","Enkitabu eiunoto e Yesus Kristos, enkerai e David, enkerai e Abraham."
"New","40","1","2","Etoiwuo Abraham Isaak. Neiu Isaak Yakoob. Neiu Yakoob Yuda o lalashera lenyena;"
"New","40","1","3","neiu Yuda Peres o Seraa te Tamar; neiu Peres Esrom; neiu Esrom Raam;"
"New","40","1","4","neiu Raam Aminadab; neiu Aminadab Naashon; neiu Naashon Salmon;"
"New","40","1","5","neiu Salmon Boas te Rahab; neiu Boas Obed te Rut; neiu Obed Yese;"
"New","40","1","6","neiu Yese olkarsis David. Neiu David Salomo tʼengʼoroyoni e Uria:"
"New","40","1","7","neiu Salomo Rehabeam; neiu Rehabeam Abia; neiu Abia Asa;"
"New","40","1","8","neiu Asa Yosafat; neiu Yosafat Yoram; neiu Yoram Usiya;"
"New","40","1","9","neiu Usiya Yotam; neiu Yotam Ahas; neiu Ahas Hiskiya;"
"New","40","1","10","neiu Hiskiya Manase; neiu Manase Amon neiu Amon Yosiya;"
"New","40","1","11","neiu Yosiya Yekonya o lalashera lenyena tʼenkata enkibooroto te Babel."
"New","40","1","12","Ore peishunye enkibooroto te Babel, neiu Yekonya Sealtiel; neiu Sealtiel Serubabel;"
"New","40","1","13","neiu Serubabel Abihud; neiu Abihud Eliakim; neiu Eliakim Asor;"
"New","40","1","14","neiu Asor Sadok; neiu Sadok Akim; neiu Akim Eliud;"
"New","40","1","15","neiu Eliud Eleasar; neiu Eleasar Matan; neiu Matan Yakoob;"
"New","40","1","16","neiu Yakoob Yosef, olmoruo le Maria natoiwuo Yesus, oji Kristos."
"New","40","1","17","Akae, ore lajijik pookin eiter te Abraham metabaiki David, naa lajijik tomon o ong'wan; ore eiter te David metabaiki enkibooroto te Babel, lajijik tomon o ongʼwan; ore eiter tʼenkibooroto te Babel metabaiki Kristos, lajijik tomon o ong'wan."
"New","40","1","18","Neaku eiunoto e Yesus Kristos nji: Ore Maria ng'otonye enye, esanjanita Yosef neton eitu enyikakino, nelioi emena tʼenkidimata Olmumua Sinyati."
"New","40","1","19","Tiaraki nara Yosef oltung'ani supat, neitu eyeu neitukurru neyeu neing'ua ninye tʼemikio."
