Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ali ni lishauma lyamaimyo lyavanakuluvake Yesu Klistu ndukulugwe Daudi na jojo ndukulugwe Abulaamu."
"New","40","1","2","Napanelo Abulaamu ammaleké Ishaki, Ishaki kummaleka Yakobo, Yakobo kummaleka Yuda pamo na vakuluvake na vanung'unuvake."
"New","40","1","3","Yuda kummaleka Peleshi namu Shelaa, ava, jujugwave kuva Tamali. Peleshi kummaleka Eshiloni, Eshiloni kummaleka Alamu,"
"New","40","1","4","Alamu kummaleka Aminadabi, Aminadabi kummaleka Naashoni, Naashoni kummaleka Shalamoni,"
"New","40","1","5","Shalamoni kummaleka Buwashi, aju, anyoke kuva Laabe. Buwashi kummaleka Obedi, aju, anyoke kuva Luti. Obedi kummaleka Yeshe,"
"New","40","1","6","kutwala Yeshe kummaleka Umu Daudi. Napanelo Umu Daudi kummaleka Shalomoni, aju, anyoke kuva ndyagwe Uliyashi."
"New","40","1","7","Shalomoni kummaleka Loboamu, Loboamu kummaleka Abiyashi, Abiyashi kummaleka Asha,"
"New","40","1","8","Asha kummaleka Yoshapati, Yoshapati kummaleka Yolamu, Yolamu kummaleka Ushiyashi,"
"New","40","1","9","Ushiyashi kummaleka Yotamu, Yotamu kummaleka Akashi, Akashi kummaleka Eshekiyashi,"
"New","40","1","10","Eshekiyashi kummaleka Manasheshe, Manasheshe kummaleka Amomu, Amomu kummaleka Yoshiyashi,"
"New","40","1","11","Yoshiyashi kummaleka Yekoniyashi pamo na vanung'unuvake. Awo uvele wakati wavavakamulénge vanaishilaeli kuvaukanavo ku Babiloni."
"New","40","1","12","Napanelo ling'oto lyavanaishilaeli kukamuligwa kuka ku Babiloni, Yekoniyashi anímmaleka Shalatiyeli, Shalatiyeli kummaleka Shelubabeli,"
"New","40","1","13","Shelubabeli kummaleka Abiude, Abiude kummaleka Eliyakimu, Eliyakimu kummaleka Asholi,"
"New","40","1","14","Asholi kummaleka Shadoke, Shadoke kummaleka Akimu, Akimu kummaleka Eliyude,"
"New","40","1","15","Eliyude kummaleka Eleashali, Eleashali kummaleka Matani, Matani kummaleka Yakobo,"
"New","40","1","16","kutwala Yakobo kummaleka Yoshe ntwagwe Maliya, Maliya jojo ámmaleke Yesu wavanshema Klistu."
"New","40","1","17","Nadoni kutunduvangila Abulaamu mpaka Daudi dindípagwa dimbula dyavanu kumi na nsheshe, kutunduvangila Daudi mpaka pavakamuligwe vanaishilaeli kuka ku Babiloni yadavo dindípagwa dimbula kumi na nsheshe na kutunduvangila pavapagwíte vanaishilaeli ku Babiloni mpaka Klistu dindípagwa momo dimbula kumi na nsheshe."
"New","40","1","18","Napanelo Yesu Klistu aju, kuvalekwa kwake kuvele doni. Jujumunu Maliya wantamadíle Yoshe pakulota kunnomba kanji vakanava kulambana, Maliya andíimita kwaindila ya Imumu Wanashwe."
"New","40","1","19","Bai Yoshe alivikíle kunnomba Maliya kwoda avele munu waishaliya na halatíle kuntaa dyoni nkongwe jo, andyámuwa muntima mwake kunneka shipiipii."
"New","40","1","20","Akuno apanga nnugu wake au, njelo wake Umu andímwidila mwindoti ndamwaulila kushidoni, “Yoshe ndukulugwe Daudi, haunajope yakumpwashalela Maliya kuva ndyavo mwaa nae andiimita kwaindila ya Imumu Wanashwe."
"New","40","1","21","Nae anammaleka mwana nnume na wako undamupa lina lya Yesu mwaa alota kuvaposha venentete vake kwamadambi ave.”"
"New","40","1","22","Vinu avi uti vinditandeka pakulota liwikile popo lilove lyatangwéle Umu kwaindila yankúlava wake aashidoni,"
"New","40","1","23","“Mwenu, mwali ntete anammaleka mwana nnume. Mwana ajo vananshema lina lya Emanuweli,” kwakuvalangangila mana ake, Nnungu ankupagwa namu wetu."
"New","40","1","24","Bai Yoshe pashishwike andítandela momo mwamwaulidile njelo wake Umu, nae anímpwashalela Maliya kuva nkongwe ndyagwe."
"New","40","1","25","Napanelo haléle na ndyagwe mpaka pammaleke mwana kutwala nae mwana jo kumupa lina lya Yesu."
