Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ninmeh yejvah tlen yi wejkavitl opanokeh ikojkolvah Jesucristo, tlen valajtok de David, iva noijki valajtok de Abraham."
"New","40","1","2","Abraham oyá teta de Isaac. Isaac oyá teta de Jacob. Jacob oyá teta de Judá ivan iknivah."
"New","40","1","3","Judá ivan Tamar okinpixkeh inpilvah intoka Fares iva Zara. Fares oyá teta de Esrom. Esrom oyá teta de Aram."
"New","40","1","4","Aram oyá teta de Aminadab. Aminadab oyá teta de Naasón. Naasón oyá teta de Salmón."
"New","40","1","5","Salmón ivan Rahab okipixkeh inkone itoka Booz. Booz ivan Rut okipixkeh inkone itoka Obed. Obed oyá teta de Isaí."
"New","40","1","6","Isaí oyá teta de tlen wei tlanavati David, iva David oyá teta de Salomón. Imama Salomón yen okatka itonana in Urías."
"New","40","1","7","Salomón oyá teta de Roboam. Roboam oyá teta de Abías. Abías oyá teta de Asa."
"New","40","1","8","Asa oyá teta de Josafat. Josafat oyá teta de Joram. Joram oyá teta de Uzias."
"New","40","1","9","Uzias oyá teta de Jotám. Jotám oyá teta de Acaz. Acaz oyá teta de Ezequías."
"New","40","1","10","Ezequías oyá teta de Manasés. Manasés oyá teta de Amón. Amón oyá teta de Josías."
"New","40","1","11","Josías oyá teta de Jeconías iva okinpixki oksekimeh ipilvah, tlen okinpixki nepa tiempo ijkuak in gentejtih de Israel okinvikakeh para kan país de Babilonia."
"New","40","1","12","Satepa ijkuak in gentejtih de Israel okinvikakeh para Babilonia, Jeconías okipixki se ikone itoka Salatiel. Salatiel oyá teta de Zorobabel."
"New","40","1","13","Zorobabel oyá teta de Abiud. Abiud oyá teta de Eliaquim. Eliaquim oyá teta de Azor."
"New","40","1","14","Azor oyá teta de Sadoc. Sadoc oyá teta de Aquim. Aquim oyá teta de Eliud."
"New","40","1","15","Eliud oyá teta de Eleazar. Eleazar oyá teta de Matán. Matán oyá teta de Jacob."
"New","40","1","16","Jacob oyá teta de José. Iva José ye tlen oyá itotata in María. Iva María okipixki ikone itoka Jesús, tlen tiknotzah Cristo."
"New","40","1","17","Opanokeh majtlaktli ivan navi tekojkolvah desde Abraham asta David. Noijki opanokeh majtlaktli ivan navi tekojkolvah desde David asta ijkuak in gentejtih de Israel okinvikakeh para Babilonia. Iva noijki opanokeh majtlaktli ivan navi tekojkolvah desde ijkuak okinvikakeh para Babilonia iva asta ijkuak oneski in Cristo."
"New","40","1","18","Ijkí opanolok ijkuak oneski in Jesucristo. María tlen imama in Jesús, yokitlajtlankah para monamiktis ivan José. Pero antes de mosetiliskeh, María yokipiaya ikonetzi ijtik ika ivelitilis in Tioijyotzintli."
"New","40","1","19","Iva José, tlen yokatka para monamiktis ivan María, ye se kuali tlakatl. Ye amo okinekki kiteixpantis para kipijpinatis in María, iva por eso okijto kikajkavas san ichtaka."
"New","40","1","20","Ye okiyejyekovaya ijkó kichivas, pero José okitemiki se ilvikaktlatitlanili de toTeko okimonextili iva okilvi: —José, te tlen tivalevatok iwejkaixvi de David, amo ximavi de timonamiktis ivan María, porke in Tioijyotzintli ika ivelitilis okichi ma kipia yejón konetl."
"New","40","1","21","María kipias se konetl, iva tiktokayotis JESÚS, porke Ye kinmakixtis in gentejtih de Israel de nochi intlajtlakol."
"New","40","1","22","Nochi nin ijkó opanolok para ma mochiva tlen okijto in toTeko por medio de yen tiotenejmachti, ijkuak okijto:"
"New","40","1","23","Se ichpochtli tlen ayamo kipia itotata kipias se konetl, iva yejón konetl yetos itoka Emanuel, Emanuel kijtosneki: toYejwatzi tovan kajki."
"New","40","1","24","Ijkuak José oijsak, okichi ijkó kemi okinavati in ilvikaktlatitlanili de toTeko, iva omonamikti ivan María."
"New","40","1","25","Pero yejvah amo osepankochiah sino asta ijkuak María okipixki ikone. Iva José okitokayoti in konetl Jesús."
"New","40","2","1","Jesús oneski itech altepetl Belén itech tlali de Judea ijkuak Herodes okatka wei tlanavati. Ijkuakó ovalajkeh ik kan valkisa tonali sekimeh ixtlamatkeh de sitlalimeh iva oajsikoh kan siudad de Jerusalén,"
"New","40","2","2","tlajtlantivitzeh: —¿Kanin kajki in wei tlanavati de judiojtih tlen yoneski? Otikittakeh isitlal ik ikan valkisa tonali, iva otivalajkeh otikweijkachivakoh."
"New","40","2","3","In wei tlanavati Herodes iva nochtin gentejtih de Jerusalén omomavtijkeh ijkuak ijkó okikakkeh."
"New","40","2","4","Herodes okinmololo nochtin tlayakankeh tiopixkeh iva in tlamachtijkeh de itlanavatil Moisés. Iva okintlajtlani kanin nesis in Cristo."
"New","40","2","5","Iva yejvah okilvijkeh: —Nesis itech altepetl Belén, itech tlali de Judea. Porke ijkó okijkuilo in tiotenejmachti:"
"New","40","2","6","Te Belén tlen tika itech tlali de Judá, te maski titzikitzi, te okachi tiweititok. Porke motech kisas se wei tlayakanki, tlen kinyakanas nopilvah, tlen gentejtih de Israel."
"New","40","2","7","Ijkuakó Herodes san ichtaka okinnotzki in ixtlamatkeh de sitlalimeh, iva okintlajtlani itech tlan tonali mero oneski yejón sitlali."
"New","40","2","8","Tonses okintitlanki ma viah Belén, iva okinmilvi: —Xiviah ompa, iva kuali xitlajtlanikah kanin kajki yejón konetl. Iva ijkuak inkajsitivih, san nima innechilviskeh para noijki nias nikweijkachivati."
"New","40","2","9","In ixtlamatkeh de sitlalimeh satepa de okikakkeh tlen okinnavati in Herodes, oonnevakeh para Belén. Iva in sitlali tlen okittakeh ik kan valkisa tonali, okinyakantiah iva omoketzato asta kan kajki in konetl."
"New","40","2","10","Ijkuak in ixtlamatkeh de sitlalimeh okittakeh in sitlali, sa tlawel opakeh."
"New","40","2","11","Ijkuak okalakeh kalijtik, okittakeh in konetl ivan María tlen imama in konetl. Omotlankuaketzkeh iva okiweijkachijkeh in konetl. Satepa okintlapojkeh inkajajvah iva okitliekolijkeh oro, kopali iva ajviakayotl itoka mirra."
"New","40","2","12","Satepa, in ixtlamatkeh de sitlalimeh otemikeh Dios okinmilvi ayakmo ma mokuapakah inavak Herodes, por eso satepa yejvah omokuapkeh para inpaís itech oksé ojtli."
"New","40","2","13","Ijkuak in ixtlamatkeh de sitlalimeh yoyajkeh, José okitemiki se iilvikaktlatitlanil in toTeko, okilvi: —Ximeva José, xikvika in chokotzi ivan imama para kan país de Egipto iva ompa ximokava asta ijkuak ne nimitznavatis oksé welta xivalmokuapa. Porke Herodes kitemojtinemis in konetl para kimiktis."
"New","40","2","14","San nima yejón yovak ijkuak oijsak in José, omejki iva okivikak in konetl ivan imama para Egipto."
"New","40","2","15","Iva ompa omokajkeh asta ijkuak Herodes omikki. Ijkó opanolok para ma mochiva tlen toTeko okijto por medio de yen tiotenejmachti: “De Egipto oniknotzki noKone.”"
"New","40","2","16","Ijkuak Herodes okimatki ke okikajkayajkeh in ixtlamatkeh de sitlalimeh, sa tlawel okualanki iva otlanavati ma kinmixpolokah nochtin chokojtzitzintih tlen chantih itech altepetl Belén iva itech nochtin oksekimeh altepemeh tlen ik ompa kateh. Herodes otlanavati ma kinmixpolokah nochtin chokojtzitzintih de ome xivitl para tlani."
"New","40","2","17","Ijkó opanolok kemi okijkuilo in tiotenejmachti Jeremías:"
