Testament,Book,Chapter,Verse,Content
"Old","1","1","1","Ekuqaleni uNkulunkulu wadala amazulu lomhlaba."
"Old","1","1","2","Njalo umhlaba wawungelasimo ungelalutho, lobumnyama babuphezu kokujula; loMoya kaNkulunkulu wayendiza phezu kwamanzi."
"Old","1","1","3","UNkulunkulu wasesithi: Kakube khona ukukhanya; kwasekusiba khona ukukhanya."
"Old","1","1","4","UNkulunkulu wasebona ukukhanya ukuthi kuhle; uNkulunkulu wasesehlukanisa phakathi kokukhanya lobumnyama."
"Old","1","1","5","UNkulunkulu wasebiza ukukhanya ngokuthi yimini, lobumnyama wabubiza ngokuthi yibusuku. Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lokuqala."
"Old","1","1","6","UNkulunkulu wasesithi: Kakube khona umkhathi phakathi kwamanzi; kawehlukanise phakathi kwamanzi lamanzi."
"Old","1","1","7","UNkulunkulu wasesenza umkhathi, wasesehlukanisa phakathi kwamanzi angaphansi komkhathi lamanzi aphezu komkhathi; kwasekusiba njalo."
"Old","1","1","8","UNkulunkulu wasebiza umkhathi ngokuthi ngamazulu. Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesibili."
"Old","1","1","9","UNkulunkulu wasesithi: Kakuqoqelwe amanzi avela ngaphansi kwamazulu ndawonye, njalo kakubonakale umhlabathi owomileyo; kwasekusiba njalo."
"Old","1","1","10","UNkulunkulu wasebiza umhlabathi owomileyo ngokuthi ngumhlaba, lenhlangano yamanzi wayibiza ngokuthi zinlwandle. UNkulunkulu wasebona ukuthi kuhle."
"Old","1","1","11","UNkulunkulu wasesithi: Umhlaba kawumilise utshani, imibhida ethela inhlanyelo, isihlahla sesithelo sisenza isithelo ngohlobo lwaso, onhlanyelo yaso ikuso phezu komhlaba. Kwasekusiba njalo."
"Old","1","1","12","Umhlaba wasuveza utshani, imibhida ethela inhlanyelo ngohlobo lwayo, lesihlahla sisenza isithelo, esinhlanyelo yaso ikuso ngohlobo lwaso. UNkulunkulu wasebona ukuthi kuhle."
"Old","1","1","13","Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesithathu."
"Old","1","1","14","UNkulunkulu wasesithi: Kakube khona izikhanyiso emkhathini wamazulu, ukuze zehlukanise phakathi kwemini lobusuku; njalo zibe yizibonakaliso lezikhathi ezimisiweyo, lensuku leminyaka."
"Old","1","1","15","Njalo zibe yizikhanyiso emkhathini wamazulu, ukuze zikhanyise emhlabeni. Kwasekusiba njalo."
"Old","1","1","16","UNkulunkulu wasesenza izikhanyiso ezimbili ezinkulu: Isikhanyiso esikhulu ukuze sibuse imini, lesikhanyiso esincinyane ukuze sibuse ubusuku, kanye lezinkanyezi."
"Old","1","1","17","UNkulunkulu wasezimisa emkhathini wamazulu, ukuthi zikhanyise emhlabeni,"
"Old","1","1","18","lokuthi zibuse emini lebusuku, lokwehlukanisa phakathi kokukhanya lobumnyama. UNkulunkulu wasebona ukuthi kuhle."
"Old","1","1","19","Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesine."
"Old","1","1","20","UNkulunkulu wasesithi: Amanzi kawagcwale ukunyakazela kwemiphefumulo ephilayo, njalo kakuphaphe inyoni phezu komhlaba emkhathini wamazulu."
"Old","1","1","21","UNkulunkulu wasedala oququmadevu bolwandle abakhulu, laso sonke isidalwa esiphilayo esibhinqikayo, amanzi agcwele sona, ngohlobo lwaso, layo yonke inyoni elempiko, ngohlobo lwayo. UNkulunkulu wasebona ukuthi kuhle."
"Old","1","1","22","UNkulunkulu wasekubusisa, esithi: Zalani, lande, njalo ligcwalise amanzi enlwandle, lenyoni kazande emhlabeni."
"Old","1","1","23","Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesihlanu."
"Old","1","1","24","UNkulunkulu wasesithi: Umhlaba kawuveze izidalwa eziphilayo ngohlobo lwazo, izifuyo lokuhuquzelayo lenyamazana zomhlaba ngenhlobo zazo. Kwasekusiba njalo."
"Old","1","1","25","UNkulunkulu wasesenza inyamazana zomhlaba ngenhlobo zazo, lezifuyo ngenhlobo zazo, lakho konke okuhuquzelayo komhlaba ngenhlobo zakho. UNkulunkulu wasebona ukuthi kuhle."
"Old","1","1","26","UNkulunkulu wasesithi: Asenze abantu ngomfanekiso wethu."
"Old","1","1","27","UNkulunkulu wasemdala umuntu ngomfanekiso wakhe; wamdala ngomfanekiso kaNkulunkulu; owesilisa lowesifazana wabadala."
"Old","1","1","28","UNkulunkulu wasebabusisa, uNkulunkulu wasesithi kibo: Zalani lande, ligcwalise umhlaba njalo liwehlisele phansi; libuse phezu kwenhlanzi zolwandle, laphezu kwenyoni zamazulu, laphezu kwakho konke okuphilayo okuhuquzela emhlabeni."
"Old","1","1","29","UNkulunkulu wasesithi: Khangelani, ngilinike yonke imibhida ethela inhlanyelo, esebusweni bomhlaba wonke, laso sonke isihlahla, okukuso isithelo sesihlahla esithela inhlanyelo; kini singesokudla."
"Old","1","1","30","Njalo kuyo yonke inyamazana yomhlaba, lakuyo yonke inyoni yamazulu, lakukho konke okuhuquzela emhlabeni, okukukho umoya ophilayo, lonke uhlaza ngolokudla. Kwasekusiba njalo."
