Testament,Book,Chapter,Verse,Content
"New","40","1","1","Hiddi dhaloota Yesuus Kiristoosii fiixaa Abrahaamiitii fi fiixaa Daawitii kana."
"New","40","1","2","Abrahaam Yisaaqiin uumate. Yisihaaq Yaaqoobiin uumate. Yaaqoobillee Yihuuda'aa fi obboleeyyan Yihuuda'aa uumate."
"New","40","1","3","Yihuudaan Timaariin irraa Faaresii fi Zaaraa uumate. Faarees Hesromiin uumate. Hesromillee Aaraamiin uumate."
"New","40","1","4","Aaraam Aminaadaabiin uumate; Amiinaadab Nahaasooniin uumate; Nahaasoonillee Salmooniin uumate."
"New","40","1","5","Salmoon Rahaabiin irraa Bo'aaziin uumate; Bo'aaz Ruutiin irraa Iyyoobeediin uumate; Iyyoobeedillee Isseyiin uumate."
"New","40","1","6","Issey mooticha Daawitiin uumate; Daawiti haadha manaa Oriiyo'oo irraa Salamooniin uumate."
"New","40","1","7","Salamoon Rehobi'aamiin uumate; Rehobi'aam Abiiyaa uumate; Abiiyaanillee Asaafiin uumate."
"New","40","1","8","Asaaf Iyyoshaafaaxiin uumate; Iyyoshaafaax Yooraamiin uumate; Yooraamillee Oziyaasiin uumate."
"New","40","1","9","Oziyaas Yo'aataamiin uumate; Yo'aataamillee Akaaziin uumate; Akaazi Hisqiyaasiin uumate."
"New","40","1","10","Hisqiyaas Minaasee uumate; Minaasseenillee Amooniin uumate; Amoon Iyyoosiyaasiin uumate."
"New","40","1","11","Iyyosiyaasillee hennaa boojuu Baabiloonii Ekoniiyaanii fi obboleewwan Ekoniiyaanii uumate."
"New","40","1","12","Boojjuu Babilooniitiin maayii Ikoniyaan Salaatiyaaliin uumate. Salaatiyaalillee Zarubabeeliin uumate."
"New","40","1","13","Zarubaabeel Abiyuudiin uumate, Abiyuudillee Eliyaaqimiin uumate, Eliyaaqimillee Azariin uumate."
"New","40","1","14","Azari Saadoqiin uumate. Saadoq Akiimiin uumate, Akiimillee Eliyudiin uumate."
"New","40","1","15","Eliyuud Ala'azaariin uumate, Al'azaar Maattaaniin uumate, Mattaanillee Yaaqoobiin uumate."
"New","40","1","16","Yaaqoobillee Yooseefiin uumate. Yooseefiin kun ka Maariyaamiin qaadhimate. Maariyaamiin tun ka, «Kiristoos» jedhamee maqaan itti moggaafame Yesuusiin deette."
"New","40","1","17","Dhaloonni kun martinuu Abrahaamiin irraa haga Daawitii dhaloota kudha Afur. Daawitiin irraa haga boojuu Baabiloonii dhaloota Kudha Afur. Boojuu Baabiloonii irraa haga dhaloota Kiristoosii dhaloota kudha Afur."
"New","40","1","18","Dhaloonni Yesuus Kiristoosii akkana. Haati isaa Maariyaam Yooseefiif kennamtee uduu jirtu, inni isi'itti uduu hin dhandhe Ayyaana Woyyu'uun ulfooftee argamte."
"New","40","1","19","Yooseefiin isii qaadhimate kun nama qajeela'a. Kanaaf isii saalfachiisuu waan hin barbaanneef, dhossa'aan isii dhiisuu yaade."
"New","40","1","20","Uduu inni kana yaada'aaru, Maleekkaan Goofta'aa eebju'uun itti mudhateeti akkana isaan jedhe, «Yooseef Ilma Daawitii, qaadhimamtuun tee Maariyaam Ayyaana Woyyu'uun waan ulfoofteef isii fuudhuu hin sodaatin."
"New","40","1","21","Isiin Ilma dhiiraa deetti; Innillee banii cubbuu irraa hin fayyisa maqaa isaallee Yesuus jettee waamta» jedheen."
"New","40","1","22","Kun martinuu wonti Gooftaan karaa raagaatiin dubbate sun akka raawwatamuuf ta'e."
"New","40","1","23","Wonti dubbatame sunillee, «Durbi duudaan hin ulfoofti; Ilmallee hin deetti; maqaan isaa, ‹Amaanu'eel› jedhamee waamama;» «Amaanu'eel» jechuun, «Rabbi nu woliin jira» jechu'u."
"New","40","1","24","Yooseefillee hirribaa dammaqee, akkuma Maleekkaan Rabbii isa ajaje godhe. Qadhimamtuu ufiillee gara mana ufii fudhate."
"New","40","1","25","Haga isiin ilma hangafaa deettuutti inni isii bira hin geenne. Maqaa isaallee Yesuus jedheen."
"New","40","2","1","Bara Heroodis mootii ta'eeru, qachaa Beetelihem Yihuuda'aa keessatti Yesuus dhalate. Achiin maayii ogeeyyiin Urjii qoran karaa baya adu'uutii gara Yeruusaalemii dhufan."
"New","40","2","2","«Mootiin Yihuudotaa ka dhalate, eessa jira? nu urjii isaa karaa aduun baatutti arginee, isaa sagadu'uuf dhufneerra» jedhanii iyyaafatan."
"New","40","2","3","Mootiin Heroodisillee kana dhagayee naye."
"New","40","2","4","Inni bulchoota gadootaatii fi barsiisoota Seera Muuse'ee wolitti qabee, «Kiristoos eessatti dhalata?» jedhee isaan gaafate."
"New","40","2","5","Isaan akkana jedhaniin «Biyya Yihuuda'aa qachaa Beeteliheemiititti dhalata; kun dubbii raagaan,"
"New","40","2","6","‹Ati Beeteliheemii Yihuudaa keessaa! qachoota gugurdaa Yihuuda'aa maraa keessaa ati horoma hin diqqaattu; Sababaanillee ka banii kiyya Isiraa'eliin bulchu, Bulchaan si keessatti dhalata› jedhamee barreeffameera» jedhaniin."
"New","40","2","7","Heroodiis ogeeyyii dhossa'aan waamee, bara urjiin mudhatte isaan irraa sirri'itti qulqulleefatee hubate."
"New","40","2","8","«Dhaqa'aatii, waan daa'imaa midhaassa'aa qoradha'aa; hennaa isa argitan, anillee dhaqee akka isaa sagadu natti himaa'a» jedhee, gara Beeteliheemii isaan erge."
"New","40","2","9","Isaan waan Mootiin isaaniin jedhe dhagayanii, ka'anii bayanii deeman; Baya biftu'uutitti urjiin isaan argan sun, haga hulee daa'imni jiruu san irra dhaabattutti afoo isaanii deemte."
"New","40","2","10","Isaanillee urjiin akka dhaabatte hennaa argan guddisanii gammadan."
"New","40","2","11","Mana seenanii, daa'ima haadha isaa Maariyaamiin woliin arganii, gad kufanii isaa sagadan. Achiin maayii Saanduqa ufii bananii, kennaa worqi'ii, Hiixana fi qumbii isaa kennan."
"New","40","2","12","Achiin maayessa isaan gara Heroodisii akka hin deebine, Rabbi eebju'uun waan isaan uf eeggachiiseef, karaa biraatiin gara biyya ufii deebi'an."
"New","40","2","13","Haga ogeeyyiin sun gara biyya ufii deebi'an, ergamaan Goofta'aa eebju'uun Yooseefitti mudhatee, «Heroodis daa'ima ajjeesuu waan barbaaduuf, ka'iitii, daa'imaa fi haadha isaa qabadhuutii gara Misirii baqadhu; haga ani sitti himutti achuma taa'i» jedheen."
"New","40","2","14","Yooseefillee halkanniin ka'ee haadha fi daa'imallee qabatee, gara biyya Misirii deeme."
"New","40","2","15","Haga Heroodis du'utti achuma taa'e; Gooftaan afaan raagaatiin, «Ani biyya Misiriitii ilma kiyya waame» jedhee dubbate suni akka raawwatamuuf kun ta'e."
"New","40","2","16","Worri urjii qoru akka isa soban hennaa hubate, Heroodis guddisee aare. Hennaa urjiin itti mudhatte worra urjii qoran irraa akka gaafatee hubatetti, daa'imman Beetelihem keessaatii fi naannoo san maraa, ta woggaa lamaa yookiin achii gadi ta'an loltoota ufii ergee ajjeesisiise."
"New","40","2","17","Akka kanaan wonti raattichi Ermiyaas jedhe raawwatame."
"New","40","2","18","Wonti inni raagallee, «Laagaan Raama'atti dhagayame, laagaa wocaa fi booyaa ti. Raahel ijoollee ufiitiif bootte; ijoolleen isi'ii waan dhumatteef, jajjabaachuu dadhabde» jedha."
"New","40","2","19","Haga Heroodis du'een maayessa, Maleekaan Goofta'aa eebju'uun Yooseefitti mudhate."
"New","40","2","20","«Worri lubbuu daa'imaa soqan waan du'aniiraniif, ka'ii, daa'imaa fi haadhallee qabadhuutii gara biyya Israa'elii dhaqi!» jedheen."
"New","40","2","21","Innillee ka'ee daa'imaa fi haadha qabatee, gara biyya Isira'eelii gale."
"New","40","2","22","Arkelawoos bakka abbaa isaa Heroodisii akka mooye hennaa dhagaye, garas deemuu waan sodaateef, eebju'uun ka gara biyya Galiila'aa deemu argee, gara biyya Galiila'aa deeme."
"New","40","2","23","Raattotaan waan Yesuusii, «Inni ‹Naazireeticha› jedhama» jedhamee ka dubbatame akka raawwatamuuf, gara qachaa Naazireeti jedhamtuu dhaqee achi taa'e."
"New","40","3","1","Bara san Yohaannisiin cuuphaan lafa gammoojjii biyya Yihuuda'aa keessatti, «Jeennanni sami'ii dhiyaatteerti cubbuu irraa deebi'aa!» jedhee lallaba'aa dhufe."
"New","40","3","2",""
"New","40","3","3","Raatticha Isaayyaasiin, «Namni tokko lafa gammoojjii keessaa iyya'aa, ‹Karaa Goofta'aa qopheessaa'a›; daandii inni irra deemu qajeelchaa'a!» Hennaa jedhu inni waan Yohaannisii dubbate."
"New","40","3","4","Uffanni Yohaannisii rifeensa gaalaa irraa hojjatame; inni mudhii ufii teephaan hidhata; Nyaanni isaallee awwaannisaa fi damma gammoojjii keessaati."
"New","40","3","5","Hennaa san Yeruusaaleemii, Yihuuda'aa fi biyya cinaa laga Yoordaanosii maraa irraa baniin gara isaa dhufan."
"New","40","3","6","Cubbuu ufiillee himata'aa laga Yoordaanoosii keessatti harka Yohaannisiititti cuuphaman."
"New","40","3","7","Yohaannis Fariisotaa fi Saduuqonni hedduu cuphamu'uuf gara isaa hennaa dhufan argee, «Isin ilmaan buuti'ii! Akka isin mufii Rabbii ta isinitti dhufa'aartu jalaa baqattan eentu isinitti hime?"
"New","40","3","8","Eegasuu cubbuu irraa deebi'uu keessan waan mudhisu hojjadhaa'a."
"New","40","3","9","Abbaan keenna Abrahaam jechuun waan isin baasu hin seeyinaa'a. Rabbi dhakaa kanniin fuudhee, Abrahaamiif ilmaan akka ta'an godhuu akka danda'u ani isinitti hima."
"New","40","3","10","Amma dhagaraan mukkiin hiddatti muru'uuf qophaayeera; munni daraaraa mishaa hin daraarre maruu muramee, ibiddatti gatama."
"New","40","3","11","Akka isin cubbuu irraa deebitan mudhisu'uuf ani bisaaniin isin cuupha, ka na maayessa dhufa'aaru ammoo Ayyaana Woyyu'uu fi ibiddaan isin cuupha. Inni guddisee na caala; ani kophee isaatuu harkaan qabu'uuf nama male miti."
"New","40","3","12","Inni Manshii harkaa qaba. Oyiddillee sirritti qulqulleessa. Qamadii gootara'atti galcha. Buraa ammoo ibidda bobayee hin dhaamne keessatti guba»."
"New","40","3","13","Yesuus hennaa san Yohaannisiin cuuphaan akka isa cuuphuuf gara laga Yordanoosii dhufe."
"New","40","3","14","Yohaannis ammoo, «Natu siin cuuphama malee, situ naan cuuphamaa?» jedhaa'a ufirraa isa dhoogga'aa ture."
"New","40","3","15","Yesuus ammoo deebisee, «Akkanaan qajeellummaa maraa raawwachuu nu barbaachisa, amma na hoffolchi» jedheen. Yohaannisillee hin hoffolcheen."
"New","40","3","16","Yesuus cuuphamee bisaan keessaa akkuma bayeen, Yoosuu samiin banamee Ayyaanni Rabbii akka handari'ii hennaa isa irratti bu'u arge."
"New","40","3","17","Laagaan samii irraa, «Kun Ilma kiyya jaalatamaa Ani itti gammadu» jedhe."
"New","40","4","1","Achiin maayessa akka Yesuus daabiloosiin ataabamu, Ayyaanni Woyyuun gara gammooji'ii isa fide."
"New","40","4","2","Inni guyyaa afurtamaa fi halkan afurtamaa haga soomeen maayessa hin beelaye."
"New","40","4","3","Achiin maayessa ataabtichii gara isaa dhufee, «Ati Ilma Rabbii yoo taate, dhagaa kana xoroshoo akka ta'u ajaji» jedhe."
"New","40","4","4","Innillee deebisee «Namni dubbii afaan Rabbiitii bayuun jiraata malee, xoroshoo calla'aan hin jiraatu» jedhamee barreeffameera jedheen."
"New","40","4","5","Achiin maayessa daabiloos Yesuusiin gara qachaa woyyitti'ii fidee, Ginnoo mana woyyuu gubbaa irra akka dhaabatu godhe."
"New","40","4","6","Barreeffamin Woyyuun, lutti Kee dhaga'aan akka hin gufanne, akka isaan harka ufiitiin si qaban, maleekkota ufii sii erga «Ati Ilma Rabbii yoo taate as irraa gad uf dhiisi» jedheen."
"New","40","4","7","Yesuusillee deebisee, Barreeffamni Woyyuun, «Waaqa Gooftaa kee hin qorin jedhamee barreeffameera» jedheen."
"New","40","4","8","Ammallee daabiloos gara gaara dheeraa tokko gubba'atti ol isa baasee, Mootoolee biyya lafaatii fi ulfinna isaanillee itti mudhiseeti,"
"New","40","4","9","«Yoo kuftee naa sagadde, kana maraa sii kenna» jedheen."
"New","40","4","10","Hennaa san Yesuus, «Ati seexana, narraa fagaadhu! kitaaba Woyyuu keessatti, ‹Waaqa Gooftaa keetii sagadi, isuma callaa kaddaami› jedhamee barreeffameera» jedheen."
"New","40","4","11","Achiin maayessa daabiloos Yesuusiin dhiisee deeme; maleekoonnillee dhufanii isa tajaajilan."
"New","40","4","12","Yesuus akka Yohaannis dabarfamee kenname hennaa dhagaye, gara Galiila'aa deebi'e."
"New","40","4","13","Qachaa Naazireetii gadhiisee Zaabiloonii fi Niftaaleemiin keessaa gara biyya galaana biraa gara Qifirnaahoomii dhaqee achi taa'e."
"New","40","4","14","Wonti Isaayyaas raattichi raage,"
"New","40","4","15","«Lafa Zaabilooniitii fi lafa Niftaalemii, karaa galaana Yordaanoosiitiin gama, Galiilaa lafa worra Yihuudota hin taaneetitti!"
"New","40","4","16","Baniin dukkana keessa jiraate, ifa guddaa arge; worra lafa du'aatii fi gaadidduu du'aa jala jiraataniif, ifni ife» jedhu akka raawwatamuuf kun ta'e."
"New","40","4","17","Hennaa san irraa kaasee Yesuus, «Jeennanni sami'ii waan dhiyaatteertuuf, cubbuu irraa deebi'aa'a!» jedhee lallabuu jalaqabe."
"New","40","4","18","Qarqara galaana Galiila'aatiin uduu lufa'aaru obboleeyyan lamaan, Simoonii ka Pheexroos jedhamee fi Indiriyaas obboleessi Simoonii hennaa isaan siiboo gara galaanaa darban arge; Isaan worra qurxummii qaban."
"New","40","4","19","Yesuus isaaniin, «Na faana koottaa'a! Ani worra namoota qabdan isin taasisaa» jedheen."
"New","40","4","20","Yomasan siiboo ufii dhiisanii isa faana deeman."
"New","40","4","21","Inni akkuma achii deemeen, obboleeyyan lamaan Yaaqoobii fi Yohaannisiin, ilmaan Zabdewoosii arge. Isaan yabala ufii keessatti abbaa ufii Zabdewoosiin woliin Siiboo uduu midhaaffatan argee, isaan waame;"
"New","40","4","22","Isaannillee yoosuu yabalaa fi abbaa ufiillee dhiisanii isa faanaa deeman."
"New","40","4","23","Yesuusillee manniin sagada Yihuudotaa keessatti barsiisa'aa, Oduu Nagayaa waan jeennata Rabbii lallaba'aa, dhibe'ee fi dhukkuba adda addaa maraa irraa banii fayyisa'aa Galiilaa maraa keessa deddeeme."
"New","40","4","24","Gurri isaallee biyya Sooriya'aa maratti dhagayame. Kanaafuu worra dhibamanii, dhukkuba adda addaatiin rakkatan, worra jinniin qabeeru, worra dhukkuba gaggabdo'oo qabanii fi ka qaamni isaanii laamshaye maraa gara isaa fidan. Yesuusillee isaan fayyise."
"New","40","4","25","Achiin maayessa gumiin hedduun Galiila'aa, qachaa qachoota kudhanii jedhamuu keessaa, Yeruusaalemii, Yihuuda'aa fi Yoordaanosiin gamaallee baniin hedduu isa faanaa deeman."
"New","40","5","1","Yesuus hennaa gumii hedduu arge, gaara irra ol bayee taa'e. Darasoonnillee gara isaa dhufan."
"New","40","5","2","Achiin maayessa inni akkana jedhee isaan barsiise."
"New","40","5","3","«Worri Ayyaanaan hiyyeeyyii ta'an, worra eebbifame, Jeennanni sami'ii ta isaanii waan taateef!"
"New","40","5","4","Worri gaddan worra eebbifame; jajjabina waan argataniif."
"New","40","5","5","Worri gad uf qabu worra eebbifame; waan biyya lafaa dhaalaniif."
"New","40","5","6","«Worri qajeellummaa beelayanii fi dheebotan worra eebbifame; waan quufaniif."
"New","40","5","7","Worri namaa dhiifama godhan worra eebbifame; Rabbi waan isaanii araaramuuf!"
"New","40","5","8","Worri yaanni garaa isaanii qulqulluu ta'e worra eebbifame; isaan Rabbiin waan arganiif!"
"New","40","5","9","Worri nama wolitti araarsan worra eebbifame; isaan ijoollee Rabbii jedhamanii!"
"New","40","5","10","Worri qajeellumma'aaf ari'aman worra eebbifame; Jeennanni sami'ii ta isaanii waan taateef!"
"New","40","5","11","«Anaaf jedhanii yoo namoonni isin arrabsan, yoo isin ari'an, yoo dharaan maqaa isin balleessan isin worra eebbifame."
"New","40","5","12","Isaan raattota isiniin duraatuu akkasuma ari'aa turan. Gatiin keessan samii gubba'atti guddaa waan ta'eef, gammadaa ililfadhaa'a» isaaniin jedhe."
"New","40","5","13","Isin akka sooqidda lafaa ti. Sooqiddi mi'aa sooqiddummaa ufii yoo dhabe, maali'iin mi'aaya? Gara diidaa gatamee namoonni irra deeman malee, womaafuu bu'aa hin qabu."
"New","40","5","14","«Isin ifa adunya'aa ti. Qachaan gaara gubbaa jirtu dhokachuu hin dandeettu."
"New","40","5","15","Namoonni ifaa ibsanii, akka nama mana keessa jiru maraaf ifutti, waan ifaan irra kaayamu irra kaayan malee, gonbisoo jala hin kaayan."
"New","40","5","16","Hujii mishaa keessan arganii, Abbaa keessan ka samii jiru akka kabajjan, ifni keessan nama maraa afo'otti haa ifuu» jedheen."
"New","40","5","17","«Ani waan seeraa fi waan raattonni barsiisan diigu'uuf dhufe hin seeyinaa'a. Raawwachu'uuf dhufe malee, diigu'uuf hin dhufne."
"New","40","5","18","Ani dhugamaan isiniin jedha, sami'ii fi ardiin haga luftutti seera keessaa tokkottiin yookiin qabxiin tokkottiinuu horoma hin raawwatamti malee hin baddu."
"New","40","5","19","Eegasuu seera kanniin maraa keessa ka irra diqqa'aa tokkottiillee ka diigu, akka diiganillee ka namoota barsiisu, jeennata sami'ii keessatti nama maraa irraa diqqa'a jedhama. Namni seera kana eeguu fi akka eegan ka barsiisu ammoo, jeennata sami'ii keessatti gudda'a jedhama."
"New","40","5","20","Akkana isiniin jedha, qajeellummaan keessan qajeellummaa barsiisota Seera Muuse'eetii fi Fariisotaa yoo caale malee, horoma jeennata sami'ii hin galtan» isaaniin jedhe."
"New","40","5","21","Worra duraatiin, « ‹Hin ajjeesin, namni yoo nama ajjeese abboota murti'ii afo'otti itti murama› ka jedhame dhageettaniirtan."
"New","40","5","22","Ani ammoo akkana isiniiniin jedha, eennullee obboleessa yookiin obboleettii ufiititti yoo mufate, abboota murti'ii afo'otti itti murama; namni obboleessa ufiitiin «Gowwaa'a!» yoo jedhe yaa'iitu itti murteessa. Ka obboleessa ufiitiin ‹Duudaa'a!› jedhu maruu murtii ibidda asaabaatiif dhiyaata."
