Testament,Book,Chapter,Verse,Content
"New","40","1","1","Jesucristo aillu quillca, Davidmanda mirai, David Abrahanmanda mirai."
"New","40","1","2","Abrahamba churi Isac aca, Isacpa churi Jacob aca, Jacobpa churiuna Judá aca paihua uquiunandi."
"New","40","1","3","Judá churiuna Fares Zarandi aca, Tamarmanda llucshijguna, Farespa churi Esrom aca, Esromba churi Aram aca."
"New","40","1","4","Aramba churi Aminadab aca, Aminadabpa churi Naason aca, Naasomba churi Salmón aca."
"New","40","1","5","Salmomba churi Booz aca, Rahabmanda llucshij, Boozpa churi Obed aca, Rutmanda llucshij, Obedpa churi Isai aca."
"New","40","1","6","Isaihua churi rey apu David aca, rey apu Davidpa churi Salomón aca, Uriaspa huarmimanda llucshij."
"New","40","1","7","Salomomba churi Roboam aca, Roboamba churi Abías aca, Abíaspa churi Asa aca."
"New","40","1","8","Asajpa churi Josafat aca, Josafatpa churi Joram aca, Joramba churi Uzías aca."
"New","40","1","9","Uzíaspa churi Jotam aca, Jotamba churi Acaz aca, Acazpa churi Ezequías aca."
"New","40","1","10","Ezequíaspa churi Manases aca, Manasespa churi Amón aca, Amomba churi Josías aca."
"New","40","1","11","Josíaspa churiuna Jeconías aca paihua uquiunandi, Babilonia llactama apashca horas."
"New","40","1","12","Babiloniama apashca huasha, Jeconíaspa churi Salatiel aca, Salatielba churi Zorobabel aca."
"New","40","1","13","Zorobabelba churiuna Abiud aca, Eliaquindi, Eliaquimba churi Azor aca."
"New","40","1","14","Azorba churi Sadoc aca, Sadocpa churi Aquim aca, Aquimba churi Eliud aca."
"New","40","1","15","Eliudpa churi Eleazar aca, Eleazarba churi Matan aca, Matamba churi Jacob aca."
"New","40","1","16","Jacobpa churi José aca, Josega María cari aca. Maríamanda Cristo nishca Jesús pagarimuca. Cristo Dios ajllashca nin."
"New","40","1","17","Shinajpi, Abrahanmanda Davidgama chunga chuscu cuti mirashcauna tianauca. Davidmanda Babiloniama apanagama chunga chuscu miraiguna tiaca. Babiloniama apashcamanda Cristogama chunga chuscu miraiguna aca."
"New","40","1","18","Jesucristo pagarina casnami aca. Paihua mama María, Josehua pactachishca asha, manaraj llutarijllaira, huahuara tupaca icsai, Santo Espiritumanda."
"New","40","1","19","Paihua cari José, ali shungu runa asha, huarmi ama manali rimashca achu nisha, pacalla pacalla paita saquinara iyaca."
"New","40","1","20","Casna iyasha tiaushcai, shu Diosmanda ángel paita ricurimuca, pai puñusha nuspaushcai. Angel paita nica: José, Davidpa Churi, ama manzhaichu camba huarmi Mariara apingaj. Paihua icsai tupashca huahuaga Santo Espiritumandami."
"New","40","1","21","Shu churira pagarichinga, paita shutichingui Jesús, paihua runaunara quishpichinga paiguna uchaunamanda."
"New","40","1","22","Cai tucui tucuca, Señorba rimashca shimiuna pactaringaj, profeta nishca Diosmanda rimaj rimashcasna."
"New","40","1","23","Shu huanra huarmi huahuara taringami, shu churira pagarichingami. Paita Emanuel nishca shutichingui. Cai shuti nin: Dios ñucanchihuami."
"New","40","1","24","José pai nuspashcamanda lliccharisha Señorba ángel rimashcasna rasha, paihua huarmira apica."
"New","40","1","25","Shinasha, paihua mana llutaricachu ñaupa churi pagarina huashagama. Paita shutichica JESÚS."
"New","40","2","1","Jesús Judea partii tiaj Belén llactai pagarimushca horas, Herodes rey apu tiashcai, indi llucshina partimanda huaquin yachajguna Jerusalenma shamunauca."
"New","40","2","2","¿Maibira pagarishcai judioguna rey apu? ninauca. Paihua estrellasta ricushcanchi indi llucshina partii. Paita adorangaj shamushcanchi."
"New","40","2","3","Herodes rey apuga caita uyasha turbarica, tucui Jerusalen llactandi."
"New","40","2","4","Herodes tucui sacerdote apuunara, runaunamanda yachaira yachachijgunaras cayasha, paigunara tapuca: ¿Cristoga maibira pagarina acai? nisha."
"New","40","2","5","Paiguna ninauca: Judeamanda Belembi; Diosmanda rimaj casnami quillcashca:"
"New","40","2","6","Can Belén, Judea partii tiaj, Judá apuunamanda mana yali ichillachu angui. Canmanda shu pushaj runa llucshinga, ñuca aillu Israelda cuirangaj."
"New","40","2","7","Shinajpi Herodes chi yachajgunara pacalla pacalla cayasha, paigunamanda ali tapucami estrellas ricurishca tiempora."
"New","40","2","8","Paigunara cachaca Belén llactama, Chima richi, nisha, huahuamanda sumajlla tapuichi. Paita tarishaga cuentahuaichi, ñuca shinallara shamusha huahuara adorangaj."
"New","40","2","9","Paiguna rey apura uyashca huasha rinaucami. Indi llucshina partii ricushca estrellas paiguna ñaupajpi rica pactai ringama, shinajpi huahua tiaushca huasi ahuai shayarica."
"New","40","2","10","Estrellasta ricusha cushiyanauca ashcara."
"New","40","2","11","Huasii icusha huahuara ricunauca paihua mama Mariandi. Tuama urmasha, huahuara adoranauca. Paiguna valijgunara pascasha, huahuara cunauca curiras, incienso nishca gusto asnaj ambiras, mirra nishca asnaj iraras."
"New","40","2","12","Astaun, nuspashcaunai rimashca aca ama tigrangaj Herodesma, paiguna rinauca shu nambira."
"New","40","2","13","Paiguna rishca huasha, shu Señormanda ángel ricurimuca Josema pai nuspashcaunai, paita nisha: Atari, huahuara paihua mamandi pushari, Egipto nishca llactama miticuiri. Chihui chapai ñuca canda rimanagama. Herodes huahuara mascangami huañuchingaj."
"New","40","2","14","Pai lliccharisha, tuta huahuara paihua mamandi pushasha, Egipto llactama rinauca."
"New","40","2","15","Chihui tianauca Herodes huañunagama, Señor rimashcara pactachingaj, Diosmanda rimaj rimashcasna: Egiptomanda ñuca Churira cayacani."
"New","40","2","16","Shinajpi Herodes yachajguna paita umachinaupi ricusha, ashcara piñarisha, huahuaunara huañuchingaj cachaca, tucui ichilla cari huahuanara, ishqui huata tupumanda pishiunara, Belembi tiajgunara, chi rayai tiajgunaras, yachajguna rimashca tiempomanda yupasha."
"New","40","2","17","Chi horasllai Jeremías nishca Diosmanda rimaj rimashca shimi pactarica, pai nishca:"
