Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ñawpa tiempu Jesukristu nasirkan alli kamachikuk Davidpa ñawpa awilunchi Abrahampa ayllunkunamanta."
"New","40","1","2","Abrahamka karkan Isakpa tatan. Isakka karkan Jakobopa tatan. Jakoboka karkan Judapa wawkinkunapa tatan."
"New","40","1","3","Judaka karkan Farespa Sarapa tatan. Farespa Sarapa maman karkan Tamar. Fareska karkan Esrompa tatan. Esromka karkan Arampa tatan."
"New","40","1","4","Aramka karkan Aminadabpa tatan. Payka karkan Naasonpa tatan. Naasonka karkan Salmonpa tatan."
"New","40","1","5","Salmonka karkan Boospa tatan. Boospa maman karkan Rahab. Booska karkan Obedpa tatan. Paypa mamanka karkan Ruti. Obedka karkan Isayipa tatan."
"New","40","1","6","Isayika karkan alli kamachikuk Davidpa tatan. Davidka karkan Salomonpa tatan. Salomonpa maman manara Davidpa warmin kashpa Uriyaspa warmin karkan."
"New","40","1","7","Salomonka karkan Roboampa tatan. Roboamka karkan Abiyaspa tatan. Payka karkan Asapa tatan."
"New","40","1","8","Asaka karkanna Josafatpa tatan. Josafatka karkan Jorampa tatan. Joramka karkanna Usiyaspa tatan."
"New","40","1","9","Usiyaska karkan Jotampa tatan. Jotamka karkan Akaspa tatan. Akaska karkan Esekiyaspa tatan."
"New","40","1","10","Esekiyaska karkan Manasespa tatan. Manaseska karkan Amonpa tatan. Amonka karkan Josiyaspa tatan."
"New","40","1","11","Josiyaska karkan Jekoniyaspa wawkinkunapa tatan. Chay pachana Babilonia llaktamanta runakuna israel runakunataka apishpana pusharkansapa llaktanman chaypi paykunapa munanankunata rurashpa kawsanankunapana."
"New","40","1","12","Chaymanta Babilonia llaktamanta kutimuptinkuna Jekoniyaska karkan Salatielpa tatan. Salatielka karkan Sorobabelpa tatan."
"New","40","1","13","Sorobabelka karkan Abiyupa tatan. Abiyuka Eliakimpa tatan karkan. Eliakimka Asorpa tatan karkan."
"New","40","1","14","Asorka Sadokpa tatan karkan. Sadokka karkan Akimpa tatan. Akimka Eliyupa tatan karkan."
"New","40","1","15","Eliyuka karkan Eleasarpa tatan. Eleasarka Matanpa tatan karkan. Matanka Jakobopa tatan karkan."
"New","40","1","16","Jakoboka Josepa tatan karkan. Joseka Mariyapa kusan karkan. Mariyaka karkan Jesuspa maman. Tata Dios Jesustaka kachamurkan kay allpaman runakunata uchankunamanta salvanankunapa. Chayrayku Jesuspa suk shutin karkan Kristu."
"New","40","1","17","Ñawpa awilunchi Abrahammantapacha kamachikuk Davidkaman chunka chusku kuti chay runakuna mirarkansapa. Chaymanta Davidmantapacha Babilonia llaktaman israel runakunata pushashkankuna pachakaman chunka chusku kuti chay runakuna mirarkansapa. Babiloniaman pushashkankunamantapacha Tata Diosmanta salvakuk runa nasishkan tiempukaman chunka chusku kuti chay runakuna mirarkansapa."
"New","40","1","18","Jesukristu kashna nasirkan. Tiyarkan suk shipash Mariya. Chay shipash mañaduna karkan kasarakunanpa Josewan. Manara Josewan tantanakushpara Mariyaka okupadana karkan Tata Diospa Espiritunpa."
"New","40","1","19","Joseka novian Mariya okupada kananta yachashpa manana munarkannachu paywan kasarayta. Alli rurak runa kashpa mana munarkanchu demandayta ama llaktamasinkunapi pinkachinanpa. Yuyaykurkan upallalla sakiyta."
"New","40","1","20","Sakinanpa yuyaykuykaptinna suk tuta muskuyninpi Tata Diospa angelnin willarkan: “Kanmi ñawpa Davidpa miraknin kanki. Chayrayku Tata Dios munan noviayki Mariyawan kasaranaykipa. Chay wawanka Tata Diospa Espiritunpami. Manami ullkupachu. Ama pinkakuychu noviayki Mariyawan kasarayta."
"New","40","1","21","Mariyaka suk ullku wambrata wawayanka. Chay wambra llaktamasinkunata kastigumanta salvankasapa. Chayrayku chay wambrata shutiyachinki Jesus.” Chayta willashpa chay angelka Josetaka sakirkan."
"New","40","1","22","Ñawpa pacha Tata Dioska suk yachachikuk runata willarkan: “Suk sensilla shipashmi ullku wambrata wawayanka. Payta shutiyachinkichi Emanuel.” Emanuel riman “Tata Dios ñukanchikunawan.” Chay killkadun rimashkanshina Mariyaka wawayarkan."
"New","40","1","23",""
"New","40","1","24","Joseka puñuymanta rikchashpa Tata Diospa angelnin willashkanta kasushpa Mariyawan kasararkan."
"New","40","1","25","Kasarashkankunawasha Mariyaka wawayanankaman manami Josewanka puñurkanrachu. Mariyapa wawan nasiptin Joseka shutiyachirkan Jesus."
"New","40","2","1","Sinchi kamachikuk Herodes chay llaktakunapi kamachikushkan tiempu Belen llaktapi Jesuska nasirkan. Chay Belen llaktaka Judea partipi karkan. Jesus nasiptinna inti llukshimunan partimanta luserukunata yachakuk yachaysapa runakuna shamurkansapa."
"New","40","2","2","Jerusalen llaktapi chayashpankuna chaypi kawsak runakunata willarkansapa: —Chay karu llaktaynikunapi suk llipyak luseruta kawashkanisapa. Chay luseruta kawashpaynikuna yachanisapa suk wambra nasishkanta kankuna judiyu runakunata kamachishunaykichipa. Chayrayku shamushkanisapa payta kuyanaynikunapa. ¿Maypiti nasishka?"
"New","40","2","3","Chayta uyarishpa kamachikuk Herodeska sukaman turbakurkan. Sukaman manchakurkan. Jerusalen llaktapi kawsak runakunapish turbakurkansapa."
"New","40","2","4","Chaypina Herodeska tukuy saserdotekunapa kamachikukninkunata Moisespa killkadunta yachachikkunata kayachishpa tapurkansapa: —Kankunaka Tata Diospa rimananta yachashpaykichi willawaychi ¿maypiti nasinka Tata Diosmanta shamuk salvakuk runa?"
"New","40","2","5","Chaypina chay runakuna aynirkansapa: —Kay Judea partipi Belen llaktapi nasinka. Ñawpa yachachikuk runa Tata Dios rimashkanta killkarkan:"
"New","40","2","6","“Judea partipi aypa atun llaktakuna tiyaptinpish taksha Belen llaktapi suk wambra nasinka alli kamachikuk kananpa. Paymi israel wambraynikunata allita yachachinkasapa.”"
"New","40","2","7","Chayta uyarishpa Herodeska chay alli yachak runakunata pakallalla kayachirkan. Paykunata tapurkansapa: —¿Aykapiti rikurimushka chay alli llipyak luseruka?"
"New","40","2","8","Paykuna willaptinkuna Herodeska willarkansapa: —Rillaychi Belen llaktaman. Chaypi chay nasidu wambrata allita maskamuychi. Payta tarishpaykichi shamuychi willawak ñukapish rinaynipa payta kuyak."
"New","40","2","9","Chashna Herodes willaptinkuna Belen llaktaman chay yachaysapa runakunaka rirkansapa. Riykashpankuna llaktankunapi kawashkankuna luseruta kashkan kawarkansapa. Chay luseruka ñawpakninkunata rishpa shayarirkan maypicha Jesus kananpi."
"New","40","2","10","Paykunaka chay luseruta kawashpankuna sukaman kushikurkansapa."
"New","40","2","11","Chaymanta chay wasipi yaykushpankuna mamanwan wambra Jesusta kawarkansapa. Chaypina paykunaka kunkurikushpankuna chay wambrataka kuyarkansapa. Chaypina apamushkan kajonninkunamanta surkurkansapa kurita, kaspi wikin mishkiklla asnakta, ampinakuna kaspi wikinta. Chay kimsa layakunata wambra Jesusta kuyashpa kurkansapa."
"New","40","2","12","Chaymanta Tata Dioska paykunata muskuyninkunapi willarkansapa amana Herodesman rinankunapa. Chayrayku Tata Diosta allita kasushpa suk chikan ñanta llaktankunaman kutirkansapa."
"New","40","2","13","Chaypina chay yachaysapa runakuna llaktankunaman rishkankunawasha Tata Diospa angelnin Josetaka muskuyninpi rikurishpa willarkan: —Herodeska kay wambra Jesustaka maskachinka wañuchichinanpa. Chayrayku utkana atarishpayki wambrata mamanwan tantallata pushay Egipto llaktaman. Chaypi kipariychi ñuka willanaynikaman kutimunaykichipa."
"New","40","2","14","Chashna chay angel willaptin Joseka atarimushpa chay tutalla wambra Jesusta mamanwan tantallata pusharkan Egipto llaktaman."
"New","40","2","15","Ñawpa yachachikuk runa Tata Diospa rimashkanta killkarkan: “Egipto llaktamanta wambraynita kayarkani.” Tata Dios killkadunpi rimashkanshina paykunaka Egipto llaktapi kawsarkansapa Herodes wañunankaman."
"New","40","2","16","Chaypina kamachikuk Herodeska yacharkan yachaysapa runakuna llullachishpa chikan ñanta llaktankunaman kutishkankunata. Chayrayku sukaman piñakurkan. Jerusalenpi kashpankuna chay yachaysapa runakunaka payta willarkansapa aykapimi chay luseruka rikurimushka nishpa. Chayta willaptinkuna Herodeska yacharkan mashna watayukna Jesus kananta. Chaypina Jesusta wañuchinayashpa Belen llaktaman soldadunkunata kacharkan. Paykunaka Belenpi tukuy ladunpi tiyak llaktillukunapipish tukuy manara ishkay watayuk wambrillukunata wañuchirkansapa."
"New","40","2","17","Ñawpa yachachikuk Jeremiyas killkarkan: “Rama llaktapi tukuy warmikuna ñawpa Rakelshina sukaman llakishpa kaparishpa wakakurkansapa wawankunata wañuchiptinkuna. Mana munarkansapachu ni pi kushichinankunapa wawankuna wañushka kaptinkuna.” Chay killkadunpi rimashkanshina llullukunata wañuchirkansapa."
"New","40","2","18",""
"New","40","2","19","Chaymanta Herodes wañuptin Egipto llaktapi Jose puñuykaptin Tata Diospa angelnin willarkan:"
"New","40","2","20","“Atariyna. Chay wambrata mamanwan tantallata pushashpayki kutiy Israel llaktaykichiman. Chay wambra wañuchinayak runakunaka ñami wañushkasapana.”"
"New","40","2","21","Chaypina Joseka angelta kasushpana wambrataka mamanwan pusharkan Israel llaktaman."
"New","40","2","22","Chayashpankuna Joseka yacharkan Herodespa wambran Arkelao Judea partipi kamachikuk kananta. Chayrayku manchakurkan Judeaman riyta. Tata Dios muskuyninpi willaptin Galilea partiman rirkansapa."
"New","40","2","23","Ñawpa yachachikuk runakuna rimarkansapa: “Nasaret llaktapi kawsaptin Tata Diosmanta shamudu runata shutiyachinkasapa Nasareno.” Chayrayku Jose Galilea partipi chayashpa Nasaret llaktapi rirkansapa kawsak."
"New","40","3","1","Chaymanta aypa watakuna washan Judea partiman suk runa Juan rirkan chunlla chakidu pampapi yachachikuk. Aypa runakunata Juan bawtisaptinkuna payta shutiyachirkansapa Juan Bawtista."
"New","40","3","2","Chaypina Juanka willarkansapa: —Tata Dios sukaman munan mandunpi yaykunaykichipa. Chayrayku tukuy mana alli rurashkaykichimanta wanaychi."
"New","40","3","3","Ñawpa alli yachachikuk Isaiyas killkarkan: “Chunlla chakidu pampapi suk runa sinchita yachachikuykan: ‘Señorninchipa suk ñanta allichaychi. Suk ñanta kuskachaychi chayta purinanpa.’ ” Chashna killkashpa Isaiyaska Juanpami killkarkan."
"New","40","3","4","Juanpa llachapan kamellu millwanmanta awadu karkan. Karapamanta ruradu chumbiwan sinturanta watak. Atun marukunata sacha amukunapa mishkinta mikuk."
"New","40","3","5","Chaypina aypa runakuna Jerusalen llaktamanta Judea partimanta Jordan yaku ladun llaktakunamanta llukshiksapa Juanta uyarinankunapa."
"New","40","3","6","Chaypina chay runakuna Juanta uchankunata willarkansapa. Chashna uchankunata willaptinkuna Jordan yakupi Juanka bawtisarkansapa."
