Testament,Book,Chapter,Verse,Content
"New","40","1","1","Родословіе Іисуса Христа, Сына Давидова, Сына Авраамова."
"New","40","1","2","Авраамъ родилъ Исаака; Исаакъ родилъ Іакова; Іаковъ родилъ Іуду и братьевъ его;"
"New","40","1","3","Іуда родилъ Фареса и Зару отъ Ѳамари; Фаресъ родилъ Есрома; Есромъ родилъ Арама;"
"New","40","1","4","Арамъ родилъ Аминадава; Аминадавъ родилъ Наассона; Наассонъ родилъ Салмона;"
"New","40","1","5","Салмонъ родилъ Вооза отъ Рахавы; Воозъ родилъ Овида отъ Руѳи; Овидъ родилъ Іессея;"
"New","40","1","6","Іессей родилъ Давида царя; Давидъ царь родилъ Соломона отъ бывшей за Уріею;"
"New","40","1","7","Соломонъ родилъ Ровоама; Ровоамъ родилъ Авію; Авія родилъ Асу;"
"New","40","1","8","Аса родилъ Іосафата; Іосафатъ родилъ Іорама; Іорамъ родилъ Озію;"
"New","40","1","9","Озія родилъ Іоаѳама; Іоаѳамъ Родилъ Ахаза; Ахазъ родилъ Езекію;"
"New","40","1","10","Езекія родилъ Манассію; Манассія родилъ Амона; Амонъ родилъ Іосію;"
"New","40","1","11","Іосія родилъ Іоакима; Іоакимъ Родилъ Іехонію и братьевъ его, предъ переселеніемъ въ Вавилонъ."
"New","40","1","12","По переселеніи же въ Вавилонъ, Іехонія родилъ Салаѳіиля; Салаѳіиль родилъ Зоровавеля;"
"New","40","1","13","Зоровавель родилъ Авіуда; Авіудъ родилъ Еліакима; Еліакимъ родилъ Азора;"
"New","40","1","14","Азоръ родилъ Садока; Садокъ родилъ Ахима; Ахимъ родилъ Еліуда;"
"New","40","1","15","Еліудъ родилъ Елеазара; Елеазаръ родилъ Матѳана; Матѳанъ родилъ Іакова;"
"New","40","1","16","Іаковъ родилъ Іосифа, мужа Маріи, отъ Которой родился Іисусъ, называемый Христосъ."
"New","40","1","17","Итакъ всѣхъ родовъ отъ Авраама до Давида четырнадцать родовъ; я отъ Давида до переселенія въ Вавилонъ четырнадцать родовъ; и отъ переселенія въ Вавилонъ до Христа четырнадцать родовъ."
"New","40","1","18","Рождество Іисуса Христа было такъ: по обрученіи Матери Его Маріи съ Іосифомъ, прежде нежели сочетались они, оказалось, что Она имѣетъ во чревѣ отъ Духа Святаго."
"New","40","1","19","Іосифъ же мужъ ея, будучи праведенъ и не желая огласить Ее, хотѣлъ тайно отпустить Ее."
"New","40","1","20","Но когда онъ помыслилъ это, — се, Ангелъ Господень явился ему во снѣ и сказалъ: Іосифъ, сынъ Давидовъ! не бойся принять Марію, жену твою; ибо родившееся въ Ней есть отъ Дух Святаго;"
"New","40","1","21","родитъ же Сына, и наречешь Ему имя: Іисусъ; ибо Онъ спасетъ людей Своихъ отъ грѣховъ ихъ."
"New","40","1","22","А все сіе произошло, да сбудется реченное Господомъ чрезъ пророка, который говоритъ:"
"New","40","1","23","се, Дѣва во чревѣ пріиметъ и родитъ Сына, и нарекутъ имя Ему: Еммануилъ, что́ значитъ: съ нами Богъ (Ис. 7, 14)."
"New","40","1","24","Вставъ отъ сна, Іосифъ поступилъ какъ повелѣлъ ему Ангелъ Господень, и принялъ жену свою,"
"New","40","1","25","и не зналъ Ея, какъ наконецъ Она родила Сына Своего первенца, и онъ нарекъ Ему имя: Іисусъ."
"New","40","2","1","Когда же Іисусъ родился въ Виѳлеемѣ Іудейскомъ во дни царя Ирода, пришли въ Іерусалимъ волхвы  съ востока, и говорятъ:"
"New","40","2","2","гдѣ родившійся Царь Іудейскій? ибо мы видѣли звѣзду Его на востокѣ и пришли поклониться Ему."
"New","40","2","3","Услышавъ это, Иродъ царь встревожился, и весь Іерусалимъ съ нимъ."
"New","40","2","4","И собравъ всѣхъ первосвященниковъ и книжниковъ народныхъ, спрашивалъ у нихъ: гдѣ должно родиться Христу?"
"New","40","2","5","Они же сказали ему: въ Виѳлеемѣ Іудейскомъ, ибо такъ написано чрезъ пророка:"
"New","40","2","6","и ты, Виѳлеемъ, земля Іудина, ни чѣмъ не меньше воеводствъ Іудиныхъ; ибо изъ тебя произойдетъ Вождь, Который упасетъ народъ Мой Израиля (Мих. 5, 2)."
"New","40","2","7","Тогда Иродъ, тайно призвавъ волхвовъ, вывѣдалъ отъ нихъ время появленія звѣзды"
"New","40","2","8","и, пославъ ихъ въ Виѳлеемъ, сказалъ: пойдите, тщательно развѣдайте о Младенцѣ, и когда найдете, извѣстите меня, чтобы и мнѣ пойти поклониться Ему."
"New","40","2","9","Они, выслушавши царя, пошли. И — се, звѣзда, которую видѣли они на востокѣ, шла передъ ними, какъ наконецъ пришла, и остановилась надъ мѣстомъ, гдѣ былъ Младенецъ."
"New","40","2","10","Увидѣвши же звѣзду, они возрадовались радостью весьма великою,"
"New","40","2","11","и вошедши въ домъ, увидѣли Младенца съ Маріею, Матерью Его и падши поклонились Ему; и открывши сокровища свои, принесли ему дары: золото, ладанъ и смирну."
"New","40","2","12","И получивши во снѣ откровеніе не возвращаться къ Ироду, инымъ путемъ отошли въ страну свою."
"New","40","2","13","Когда же они отошли, — се, Ангелъ Господень является во снѣ Іосифу и говоритъ: встань, возьми Младенца и Матерь Его, и бѣги въ Египетъ, и будь тамъ, доколѣ не скажу тебѣ; ибо Иродъ хочетъ искать Младенца, чтобы погубить Его."
"New","40","2","14","Онъ всталъ, взялъ Младенца и Матерь Его ночью, и пошелъ въ Египетъ,"
"New","40","2","15","и тамъ былъ до смерти Ирода, да сбудется реченное Господомъ чрезъ пророка, который говоритъ: изъ Египта воззвалъ Я Сына Моего (Ос. 11, 1)."
"New","40","2","16","Тогда Иродъ, увидѣвъ себя осмѣяннымъ волхвами, весьма разгнѣвался и послалъ избить всѣхъ младенцевъ въ Виѳлеемѣ и во всѣхъ предѣлахъ его, отъ двухъ лѣтъ и ниже, по времени, которое вывѣдалъ отъ волхвовъ."
"New","40","2","17","Тогда сбылось реченное чрезъ пророка Іеремію, который говоритъ:"
"New","40","2","18","гласъ въ Рамѣ слышанъ, плачъ рыданіе, и вопль великій; Рахиль плачетъ о дѣтяхъ своихъ и не хочетъ утѣшиться, ибо ихъ нѣтъ (Іер. 31, 15)."
"New","40","2","19","По смерти же Ирода, — се, Ангелъ Господень во снѣ является Іосифу въ Египтѣ"
"New","40","2","20","и говоритъ: встань, возьми Младенца и Матерь Его и иди въ землю Израилеву, ибо умерли искавшіе души Младенца."
"New","40","2","21","Онъ всталъ, взялъ Младенца и Матерь Его и пришелъ въ землю Израилеву."
"New","40","2","22","Услышавъ же, что Архелай царствуетъ въ Іудеѣ вмѣсто Ирода, отца своего, убоялся туда идти; но, получивъ во снѣ откровеніе, пошелъ въ предѣлы Галилейскіе,"
"New","40","2","23","и пришедъ поселился въ городѣ, называемомъ Назаретъ, да сбудется реченное чрезъ пророковъ, что Онъ Назореемъ наречется (Суд. 13, 5)."
"New","40","3","1","Въ тѣ дни приходитъ Іоаннъ Креститель и проповѣдуетъ въ пустынѣ Іудейской"
"New","40","3","2","и говоритъ: покайтесь, ибо приблизилось Царство Небесное."
"New","40","3","3","Ибо онъ тотъ, о которомъ сказалъ пророкъ Исаія: гласъ вопіющаго въ пустынѣ: приготовьте путь Господу, прямыми сдѣлайте стези Ему (Ис. 40, 3)."
"New","40","3","4","Самъ же Іоаннъ имѣлъ одежду изъ верблюжьяго волоса и поясъ кожаный на чреслахъ своихъ; а пищею его были акриды и дикій медъ."
"New","40","3","5","Тогда Іерусалимъ и вся Іудея, и вся окрестность Іорданская выходили къ нему"
"New","40","3","6","и крестились отъ него въ Іорданѣ, исповѣдуя грѣхи свои."
"New","40","3","7","Увидѣвъ же Іоаннъ многихъ фарисеевъ и саддукеевъ, идущихъ къ нему креститься, сказалъ имъ: порожденія ехиднины! кто внушилъ вамъ бѣжать отъ будущаго гнѣва?"
"New","40","3","8","сотворите же достойный плодъ покаянія,"
"New","40","3","9","и не думайте говорить въ себѣ: отецъ у насъ Авраамъ; ибо говорю вамъ, что Богъ можетъ изъ камней сихъ воздвигнуть дѣтей Аврааму;"
"New","40","3","10","уже и сѣкира при корнѣ деревъ лежитъ: всякое дерево, не приносящее добраго плода, срубаютъ и бросаютъ въ огонь;"
"New","40","3","11","я крещу васъ въ водѣ въ покаяніе, но Идущій за мною сильнѣе меня; я не достоинъ понести обувь Его; Онъ будетъ крестить васъ Духомъ Святымъ и огнемъ;"
"New","40","3","12","лопата  Его въ рукѣ Его, и Онъ очиститъ гумно Свое, и соберетъ пшеницу Свою въ житницу, а солому сожжетъ огнемъ неугасимымъ."
"New","40","3","13","Тогда приходитъ Іисусъ изъ Галилеи на Іорданъ къ Іоанну креститься отъ него."
"New","40","3","14","Іоаннъ же удерживалъ Его и говорилъ: мнѣ надобно креститься отъ Тебя, и Ты ли приходишь ко мнѣ?"
"New","40","3","15","Но Іисусъ сказалъ ему въ отвѣтъ: оставь теперь; ибо такъ надлежитъ намъ исполнить всякую правду. Тогда Іоаннъ допускаетъ Его."
"New","40","3","16","И крестившись Іисусъ тотчасъ вышелъ изъ воды, — и се, отверзлись Ему небеса, и увидѣлъ Іоаннъ Духа Божія, Который сходилъ, какъ голубь, и ниспускался на Него."
"New","40","3","17","И се, гласъ съ небесъ глаголющій: Сей есть Сынъ Мой Возлюбленный, въ Которомъ Мое благоволеніе."
"New","40","4","1","Тогда Іисусъ возведенъ былъ Духомъ въ пустыню, для искушенія отъ діавола,"
"New","40","4","2","и постившись сорокъ дней и сорокъ ночей, напослѣдокъ взалкалъ."
"New","40","4","3","И приступилъ къ Нему искуситель и сказалъ: если Ты Сынъ Божій скажи, чтобы камни сіи сдѣлались хлѣбами."
"New","40","4","4","Онъ же сказалъ ему въ отвѣтъ: написано: не хлѣбомъ однимъ будетъ жить человѣкъ, но всякимъ словомъ, исходящимъ изъ устъ Божіихъ (Втор. 8, 3)."
"New","40","4","5","Потомъ беретъ Его діаволъ въ святый городъ и поставляетъ Его на крылѣ храма,"
"New","40","4","6","и говоритъ Ему: если Ты Сынъ Божій, бросься внизъ; ибо написано: Ангеламъ Своимъ заповѣдаетъ о Тебѣ, и на рукахъ понесутъ Тебя, да не преткнешься о камень ногою Твоею (Псал. 90, 11-12)."
"New","40","4","7","Іисусъ сказалъ ему: написано также: не искушай Господа Бога твоего (Втор. 6, 16)."
"New","40","4","8","Опять беретъ Его діаволъ на весьма высокую гору, и показываетъ Ему всѣ царства міра и славу ихъ,"
"New","40","4","9","и говоритъ Ему: все это дамъ Тебѣ, если падши поклонишься мнѣ."
"New","40","4","10","Тогда Іисусъ говоритъ ему: отойди отъ Меня, сатана; ибо написано: Господу Богу твоему поклоняйся, и Ему одному стужи (Втор. 6, 13)."
"New","40","4","11","Тогда оставляетъ Его діаволъ, и — се, Ангелы приступили и служили Ему."
"New","40","4","12","Услышавъ же Іисусъ, что Іоаннъ отданъ подъ стражу, удалился въ Галилею,"
"New","40","4","13","и оставивъ Назаретъ, пришелъ и поселился въ Капернаумѣ приморскомъ, въ предѣлахъ Завулоновыхъ и Нефѳалимовыхъ,"
"New","40","4","14","да сбудется реченное чрезъ пророка Исаію, который говоритъ:"
"New","40","4","15","земля Завулонова и земля Нефѳалимова, на пути приморскомъ, за Іорданомъ, Галилея языческая,"
"New","40","4","16","народъ, сидящій во тьмѣ, увидѣлъ свѣтъ великій, и сидящимъ въ странѣ и тѣни смертной возсіялъ свѣтъ (Ис. 9, 1-2)."
"New","40","4","17","Съ того времени Іисусъ началъ проповѣдывать и говорить: покайтесь, ибо приблизилось Царство Небесное."
"New","40","4","18","Проходя же близъ моря Галилейскаго, Онъ увидѣлъ двухъ братьевъ: Симона, называемаго Петромъ, и Андрея, брата его, закидывающихъ сѣти въ море; ибо они были рыболовы;"
"New","40","4","19","и говоритъ имъ: идите за Мною, и Я сдѣлаю васъ ловцами человѣковъ."
"New","40","4","20","И они тотчасъ, оставивши сѣти, послѣдовали за Нимъ."
"New","40","4","21","Оттуда идя далѣе, увидѣлъ Онъ другихъ двухъ братьевъ, Іакова Зеведеева и Іоанна, брата его, въ лодкѣ съ Зеведеемъ, отцемъ ихъ, починивающихъ сѣти свои, и призвалъ ихъ."
"New","40","4","22","И они тотчасъ, оставивши лодку и отца своего, послѣдовали за Нимъ."
"New","40","4","23","И ходилъ Іисусъ по всей Галилеѣ, уча въ синагогахъ ихъ и проповѣдуя Евангеліе Царствія и исцѣляя всякую болѣзнь и всякую немощь въ людяхъ."
"New","40","4","24","И прошелъ о Немъ слухъ по всей Сиріи; и приводили къ Нему всѣхъ немощныхъ, одержимыхъ различными болѣзнями, и припадками и бѣсноватыхъ, и лунатиковъ, и разслабленныхъ, и Онъ исцѣлялъ ихъ."
"New","40","4","25","И слѣдовало за Нимъ множество народа изъ Галилеи и Десятиградія и Іерусалима и Іудеи, и изъ-за Іордана!"
"New","40","5","1","Увидѣвъ народъ, Онъ взошелъ на гору; и когда сѣлъ, приступили къ Нему ученики Его."
"New","40","5","2","И Онъ, отверзши уста Свои, училъ ихъ, говоря:"
"New","40","5","3","блаженны нищіе духомъ, ибо ихъ есть Царство Небесное."
"New","40","5","4","Блаженны плачущіе, ибо они утѣшатся."
"New","40","5","5","Блаженны кроткіе, ибо они наслѣдуютъ землю."
"New","40","5","6","Блаженны алчущіе и жаждущіе правды, ибо они насытятся."
"New","40","5","7","Блаженны милостивые, ибо они помилованы будутъ."
"New","40","5","8","Блаженны чистые сердцемъ, ибо они Бога узрятъ."
"New","40","5","9","Блаженны миротворцы, ибо они будутъ наречены сынами Божіими."
