Testament,Book,Chapter,Verse,Content
"New","40","1","1","Порекло Исуса Христа, сина Давида, Аврамова сина."
"New","40","1","2","Аврам роди Исака, Исак роди Јакова, Јаков роди Јуду и браћу његову,"
"New","40","1","3","Јуда роди Фареса и Зару с Тамаром, Фарес роди Есрома, Есром роди Арама,"
"New","40","1","4","Арам роди Аминадава, Аминадав роди Насона, Насон роди Салмона,"
"New","40","1","5","Салмон роди Воза с Рахавом, Воз роди Јовида с Рутом, Јовид роди Јесеја,"
"New","40","1","6","а Јесеј роди Давида цара. Давид роди Соломона с Уријницом,"
"New","40","1","7","Соломон роди Ровоама, Ровоам роди Авију, Авија роди Асу,"
"New","40","1","8","Аса роди Јосафата, Јосафат роди Јорама, Јорам роди Озију,"
"New","40","1","9","Озија роди Јоатама, Јоатам роди Ахаза, Ахаз роди Езекију,"
"New","40","1","10","Езекија роди Манасију, Манасија роди Амона, Амон роди Јосију,"
"New","40","1","11","а Јосија роди Јехонију и браћу његову у време одвођења у Вавилон."
"New","40","1","12","А по одвођењу у Вавилон Јехонија роди Салатила, Салатило роди Зоровавеља,"
"New","40","1","13","Зоровавељ роди Авиуда, Авиуд роди Елиакима, Елиаким роди Азора,"
"New","40","1","14","Азор роди Садока, Садок роди Ахима, Ахим роди Елиуда,"
"New","40","1","15","Елиуд роди Елеазара, Елеазар роди Матана, Матан роди Јакова,"
"New","40","1","16","а Јаков роди Јосифа, мужа Марије, која роди Исуса који се зове Месија."
"New","40","1","17","Свега, дакле, колена: од Аврама до Давида четрнаест колена, од Давида до одвођења у Вавилон четрнаест колена и од одвођења у Вавилон до Месије четрнаест колена."
"New","40","1","18","А рођење Исуса Христа било је овако: Марија, мати његова, била је заручница Јосифова; још док се нису били састали, нађе се да је зачела од Духа светога."
"New","40","1","19","А Јосиф, муж њезин, будући праведан и не хотећи је јавно срамотити, намисли је тајно отпустити."
"New","40","1","20","Но кад он то помисли, а то му се јави у сну анђео Господњи и рече: Јосифе, сине Давидов, не бој се да узмеш Марије, жене своје; јер што се у њој зачело од Духа је светога."
"New","40","1","21","Родиће сина, и надени му име Исус; јер ће он спасти народ свој од греха њихових."
"New","40","1","22","А све ово било је да се испуни што је Господ рекао преко пророка који каже:"
"New","40","1","23","""Ето, девојка ће зачети и родиће сина, и наденуће му име Емануило"", т. ј. преведено: с нама је Бог."
"New","40","1","24","А кад се Јосиф пробуди од сна, учини као што му је заповедио анђео Господњи, и узе жену своју."
"New","40","1","25","И не позна је док не роди сина, и надену му име Исус."
"New","40","2","1","А кад се Исус родио у Витлејему јудејском, за време цара Ирода, гле, мази са истока дођоше у Јерусалим"
"New","40","2","2","и рекоше: Где је цар јудејски који се родио? Видели смо, наиме, његову звезду на истоку и дошли смо да му се поклонимо."
"New","40","2","3","А кад то чу цар Ирод, уплаши се, и сав Јерусалим с њим."
"New","40","2","4","И сабра све првосвештенике и књижевнике народне и питаше их где ће се Месија родити."
"New","40","2","5","А они му рекоше: У Витлејему јудејском. Јер је овако написао пророк:"
"New","40","2","6","""И ти, Витлејеме, земљо Јудина, никако ниси најмањи међу кнезовима Јудиним; јер ће из тебе изићи кнез који ће пасти народ мој, Израиља""."
"New","40","2","7","Онда Ирод тајно дозва маге, сазна од њих тачно време кад се звезда јавила,"
"New","40","2","8","и посла их у Витлејем и рече: Идите и распитајте добро за дете; а кад га нађете, јавите ми, да и ја дођем да му се поклоним."
"New","40","2","9","А они, саслушавши цара, отидоше. И гле, звезда коју су видели на истоку, иђаше пред њима док не дође и не стаде над местом где је било дете."
"New","40","2","10","А кад видеше звезду, обрадоваше се врло."
"New","40","2","11","И уђоше у кућу и видеше дете с Маријом, матером његовом, и падоше и поклонише му се. Па отворише ковчеге своје и дариваше га златом, тамјаном и смирном."
"New","40","2","12","И како су у сну примили заповест да се не враћају к Ироду, другим путем отидоше у своју земљу."
"New","40","2","13","А кад они отидоше, гле, анђео Господњи јави се Јосифу у сну и рече: Устани, узми дете и матер његову и бежи у Египат. И буду онде док ти не кажем, јер ће Ирод тражити дете да га погуби."
"New","40","2","14","А он устаде, узе дете и матер његову ноћу и отиде у Египат."
"New","40","2","15","И био је онде до смрти Иродове, да се испуни што је Господ рекао преко пророка који каже: ""Из Египта дозвах сина свога""."
"New","40","2","16","А кад Ирод виде да су га мази преварили, разгневи се врло, и посла и поби сву децу у Витлејему и у свој околини његовој, од две године и ниже, по времену које је тачно дознао од мага."
"New","40","2","17","Тада се испуни што је рекао пророк Јеремија:"
"New","40","2","18","""У Рами се чу глас, плач и јаукање много: Рахиља плаче за децом својом, и неће да се утеши, јер их нема""."
"New","40","2","19","А по смрти Иродовој, гле, анђео Господњи јави се у сну Јосифу у Египту"
"New","40","2","20","и рече: Устани, узми дете и матер његову, па иди у земљу Израиљеву; јер су умрли који су тражили живот детињи."
"New","40","2","21","А он устаде, узе дете и матер његову и дође у земљу Израиљеву."
"New","40","2","22","Но кад чу да Архелај влада у Јудеји место Ирода, оца свога, побоја се онамо ићи. И, поучен у сну, отиде у крајеве галилејске,"
"New","40","2","23","и дође и настани се у граду по имену Назарет - да се испуни што су казали пророци: Назарећанин ће се звати."
"New","40","3","1","У оно време дође Јован Крститељ и проповедаше у пустињи јудејској"
"New","40","3","2","и говораше: Покајте се, јер се приближило царство небеско!"
