Testament,Book,Chapter,Verse,Content
"New","40","1","1","Knige rodstva Jezuš Kristuša, siná Dávidovoga, siná Abrahámovoga."
"New","40","1","2","Abrahám je porôdo Ižáka; Ižák je pa porôdo Jákoba; Jákob je pa porôdo Juda, i brate njegove."
"New","40","1","3","Juda je pa porôdo Fáreša i Zára z Támare; Fáreš je pa porôdo Ešroma; Ešrom je pa porôdo Arama."
"New","40","1","4","Aram je pa porôdo Aminadába; Aminadáb je pa porôdo Naaššona; Naaššon je pa porôdo Šalmona."
"New","40","1","5","Šalmon je pa pôrodo Boózá z Ráhabe; Boóz je pa porôdo Obeda z Rute; Obed je pa porôdo Ješšea."
"New","40","1","6","Ješše je pa porôdo Dávid Krála: Dávid Král je pa porôdo Šalamona z Uriášove žené."
"New","40","1","7","Šalamon je pa porôdo Roboáma; Roboám je pa porôdo Abia; Abia je pa porôdo Aša."
"New","40","1","8","Aša je pa porôdo Jošafáta; Jošafát je pa porôdo Joráma; Jorám je pa porôdo Oziáša."
"New","40","1","9","Oziáš je pa porôdo Joatama; Joatam je pa porôdo Aháza; Aház je pa porôdo Ezekiáša."
"New","40","1","10","Ezekiáš je pa porôdo Manaššešša; Manaššeš je pa porôdo Amona; Amon je pa porôdo Jóšiáša."
"New","40","1","11","Jošiáš je pa porôdo Jehoniáša, i brate njegove za vrêmena Babilonskoga seljenjá."
"New","40","1","12","Po Babilonskom seljenjé je pa Jehoniáš porôdo Šalatiela; Šalatiel je pa porôdo Zorobábela."
"New","40","1","13","Zorobábel je pa porôdo Abiuda; Abiud je pa porôdo Eliákima; Eliákim je pa porôdo Azora."
"New","40","1","14","Azor je pa porôdo Šádoka; Šádok je pa porôdo Ahima; Ahim je pa porôdo Eliuda."
"New","40","1","15","Eliud je pa porôdo Eleázara; Eleázar je pa porôdo Mátána; Mátán je pa porôdo Jákoba."
"New","40","1","16","Jákob je pa porôdo Jožefa možá Marie, z štere je porôdjen Jezuš, ki se zové Kristuš."
"New","40","1","17","Záto vsa eta pokolênja od Abraháma notri do Dávida so štirinájsetera pokolênja; i od Dávida notri do Babilonskoga seljenjá je štirinájset pokolênj, i od Babilonskoga seljenjá je štirinájset pokolênj notri do Kristuša."
"New","40","1","18","Jezuš Kristuša rodjenjé je pa etak bilô: zaročena mati njegova Mária Jožefi prvle, liki sta vküp prišla, nájdena je noséča z Dühá svétoga."
"New","40","1","19","Jožef pa njé môž, pravičen bodôči nej jo je šteo osramotiti; nego jo je šteo skrivomá odpüstiti."
"New","40","1","20","Gda bi pa eta v sebi premišlávao: ovo, Angel Gospodnov se je njemi skázao vu sne, erkôči: Jožef Sin Dávidov, neboj se k sebi prijéti Mário ženo tvojo. Ár ka se je v njê popríjalo, z Svétoga Dühá je."
"New","40","1","21","Porodi pa Sina, i zváo boš imé njegovo Jezuš; ár on zveliča lüdstvo svoje od grêhov njegovi."
"New","40","1","22","(Tô se je pa celô záto zgôdilo: da bi se spunilo, ka je povêdano od Gospodna po Proroki erkôčem:"
"New","40","1","23","Ovo, dêva bode noséča, i porodi Sina, i zváli bodo imé njegovo: Emmánuel, štero je razklajeno: znami Bôg.)"
"New","40","1","24","Obüdjen pa Jožef zesna včíno je tak, liki je zapovedao njemi Angel Gospodnov; i k sebi je prijao ženo svojo."
"New","40","1","25","I nej jo je spoznao: dokeč je nej parodila sina svojega prvorodjenoga; i zváo je imé njegovo Jezuš."
"New","40","2","1","Gda se je pa Jezuš porôdo v Betlehemi Júde, vu dnévi Herodeš Krála; ovo môdri so prišli od sunčenoga zhoda v Jerušálem erkôči:"
"New","40","2","2","Gde je te porodjeni kral Židovski? Ár smo vidili njegovo zvêzdo na sunčenom zhodi, i prišli smo ga molit."
"New","40","2","3","Tô pa slišavši Herôdeš Král, zburkao se je, i žnjim ves Jerušálem."
"New","40","2","4","I, vküp spravivši vse vládnike popovske, i pisáče lüdstva spítávao je od njih: gde bi se meo Kristuš poroditi?"
"New","40","2","5","Oni so pa erkli njemi: v Betlehemi Júde. Ár je tak pisano po proroki:"
"New","40","2","6","I ti Betlehem, zemla Júde, znikakšim tálom si nej nájménša med poglavniki Júde. Ar z tébe bode zhájao voj; šteri bode páso lüdstvo moje Izráelsko."
"New","40","2","7","Teda je Herodeš skrivomá zvao te môdre, i skrblivo je zvedávao od njih ono vrêmen; v kom se je skázala ta zvêzda."
"New","40","2","8","I, poslao je v Betlehem, i erčé: idôči skrblivo spitávajte od deteta; gda je pa nájdete, nazvêstite mi, da je i jas, tá idôči, molim."
