Testament,Book,Chapter,Verse,Content
"New","40","1","1","Leyi i buku ya nxaxameto wa rixaka ra Yesu Kriste, N'wana Davhida, N'wana Abrahamu:"
"New","40","1","2","Abrahamu aveleki Izaki, Izaki aveleka Yakobe, Yakobe aveleka Yuda ni vamakwavu,"
"New","40","1","3","Yuda na Tamara vaveleka Farezi na Zera, Farezi aveleka Esromo, Esromo aveleka Arama."
"New","40","1","4","Arama aveleka Aminadaba, Aminadaba aveleka Nasoni, Nasoni aveleka Salmoni,"
"New","40","1","5","Salmoni na Rahabe vaveleka Bowazi, Bowazi na Ruti vaveleka Obede, Obede aveleka Yese, Yese aveleka hosi Davhida."
"New","40","1","6","Davhida ni lweyi aali nsati wa Uriya vaveleka Solomoni;"
"New","40","1","7","Solomoni aveleka Robuwamu, Robuwamu aveleka Abiya, Abiya aveleka Aza,"
"New","40","1","8","Aza aveleka Yosafati, Yosafati aveleka Yorama, Yorama aveleka Uziya;"
"New","40","1","9","Uziya aveleka Yothamu, Yothamu aveleka Akazi, Akazi aveleka Hezekiya."
"New","40","1","10","Hezekiya aveleka Manase, Manase aveleka Amosi, Amosi aveleka Yosiya;"
"New","40","1","11","Yosiya aveleka Yekoniya ni vamakwavu, nkarhini lowu vayisiweke ha wona vukaraweni, Babilona."
"New","40","1","12","Loko vayisiwile Babilona, Yekoniya aveleka Salatiyele, Salatiyele aveleka Zerubabele,"
"New","40","1","13","Zerubabele aveleka Abiyudi, Abiyudi aveleka Eliyakimi, Eliyakimi aveleka Azori;"
"New","40","1","14","Azori aveleka Sadoki, Sadoki aveleka Akimi, Akimi aveleka Eliyudi,"
"New","40","1","15","Eliyudi aveleka Eliyazari, Eliyazari aveleka Matani, Matani aveleka Yakobe;"
"New","40","1","16","Yakobe aveleka Yosefa nuna wa Mariya, lweyi angaveleka Yesu, lweyi ativiwaka hi vito ra ku i Kriste."
"New","40","1","17","Hikolaho-ke, kusukela ka Abrahamu kuyafika ka Davhida, tinxaka hinkwatu i khume ni mune; kusukela ka Davhida kuyafika nkarhini wa kuyisiwa Babilona i khume ni mune wa tinxaka; kutani kusukela nkarhini wa kuyisiwa Babilona kuyafika ka Kriste, i khume ni mune wa tinxaka."
"New","40","1","18","Kuvelekiwa ka Yesu Kriste kuhumelelile hi ndlela leyi: Loko Mariya mamana wa yena atshembisiwile hi Yosefa, otshuka atikuma na ali ni nyimba hi Moya Lowokwetsima na vangasihlangana."
"New","40","1","19","Lesvi Yosefa nuna wa yena aali munhu wolulama, nasvona aangalavi kumukhomisa tingana, ayendla makungu ya kumutshika xihundleni."
"New","40","1","20","Loko ahapimisa svosvo, ntsumi ya Hosi yihumelela ka yena hi norho, yiku: “Yosefa n'wana Davhida, ungachavi kutitekela Mariya nsati wa wena, hikuva lesvi anga na svona svihuma ka Moya Lowokwetsima."
"New","40","1","21","Ataveleka n'wana wa mufana, kutani wena utamuchula vito ra Yesu, hikuva hi yena lweyi angataponisa vanhu va yena asvijohweni sva vona.”"
"New","40","1","22","Lesvi hinkwasvu svihumelelile lesvaku kuhetiseka lesvi Hosi ayisvivulile hi muprofeta lweyi angaku:"
"New","40","1","23","“Masvivo, wanhwanyana atakuma nyimba, ataveleka n'wana wa mufana; vatamuchula vito ra ‘Emanuwele’ (hi lesvaku: ‘Xikwembu xi na hina.’”)"
"New","40","1","24","Loko Yosefa apfukile hi le vurhongweni, ayendla hilaha ntsumi ya Hosi yingamubzela hakona, atitekela nsati wa yena."
"New","40","1","25","Kambe angamutivanga kukondza kuvelekiwa n'wana wa mufana, kutani amuchula vito ra Yesu."
"New","40","2","1","Kuteloko Yesu avelekiwile Betlelehema wa Yudeya, nkarhini wa kufuma ka hosi Heroda, tintlhari ta le vuxeni tifika Yerusalema"
"New","40","2","2","tiku: “Yi kwihi Hosi ya Vayuda leyivelekiweke xana? Hikuva hivonile nyeleti ya yona le vuxeni, kutani hitile kutayigandzela.”"
"New","40","2","3","Loko hosi Heroda asvitwa, achava ngopfu, na vona vayaki va Yerusalema vachava hinkwavu."
"New","40","2","4","Ahlengeleta Vaprista lavakulu hinkwavu ni Vatsali va tiko, avavutisa aku: “Xana Kriste afanele kuvelekiwa kwihi?”"
"New","40","2","5","Vamubzela vaku: Doropeni ra Betlelehema wa Yudeya, hikuva hi lesvi svingatsaliwa hi muprofeta lweyi angaku:"
"New","40","2","6","“‘Na wena Betlelehema, tiko ra Yudeya, awu ntsongo xikarhi ka matiko ya Yuda, hikuva ka wena kutahuma murhangeli lweyi angatafambisa tiko ra mina ra Israyele.’”"
"New","40","2","7","Hi loko Heroda avitana tintlhari xihundleni, ativutisisa nkarhi lowu nyeleti yingahumelela ha wona."
"New","40","2","8","Kutani atirhuma Betlelehema, aku: “Fambani, miyavutisisa svinene hi ta xihlangi; kutaku loko mixikumile, mitanitivisa, lesvaku na mina nitayaxigandzela.”"
"New","40","2","9","Loko titwile marito ya hosi, tisuka tifamba; kutani nyeleti yoleyo tingayivona avuxeni, yitirhangela mahlweni yiyayima henhla ka laha xihlangi axili kona."
"New","40","2","10","Loko tivona nyeleti, titsaka hi kutsaka lokukulu ngopfu."
"New","40","2","11","Kutani tiyanghena ndlwini, tikuma xihlangi ni mamana wa xona Mariya; kolaho tikhinsama, tixigandzela; kutani titlhantlha mindzhwalu ya tona, tixihumesela tinyiko ta golidi, ni b'aso, ni mafurha ya mira."
"New","40","2","12","Kuteloko titivisiwile anorhweni lesvaku tingahahundzi hi le ka Heroda, titlhelela ka le kwavu hi ndlela yin'wana."
