Testament,Book,Chapter,Verse,Content
"New","40","1","1","İbrahimʼin ve Davudʼun soyundan gelen İsa Mesihʼin soy kaydı şöyledir:"
"New","40","1","2","İbrahim, İshakʼın babasıydı. İshak, Yakubʼun babasıydı. Yakub, Yahuda ve kardeşlerinin babasıydı."
"New","40","1","3","Yahuda, Tamarʼdan doğan Peres ve Zerahʼın babasıydı. Peres, Hesronʼun babasıydı. Hesron, Ramʼın babasıydı."
"New","40","1","4","Ram, Amminadavʼın babasıydı. Amminadav, Nahşonʼun babasıydı. Nahşon, Salmonʼun babasıydı."
"New","40","1","5","Salmon, Rahav tarafından Boazʼın babasıydı. Boaz, Rut tarafından Ovedʼin babasıydı. Oved, İşayʼın babasıydı."
"New","40","1","6","İşay, Kral Davudʼun babasıydı. Davud, Uriyaʼnın karısından doğan Süleymanʼın babasıydı."
"New","40","1","7","Süleyman, Rehavamʼın babasıydı. Rehavam, Aviyaʼnın babasıydı. Aviya, Asaʼnın babasıydı."
"New","40","1","8","Asa, Yehoşafatʼın babasıydı. Yehoşafat, Yehoramʼın babasıydı. Yehoram, Uzziyaʼnın babasıydı."
"New","40","1","9","Uzziya, Yotamʼın babasıydı. Yotam, Ahazʼın babasıydı. Ahaz, Hizkiyaʼnın babasıydı."
"New","40","1","10","Hizkiya, Manaşeʼnin babasıydı. Manaşe, Amonʼun babasıydı. Amon, Yoşiyaʼnın babasıydı."
"New","40","1","11","Yoşiya, Yekonya ve kardeşlerinin babasıydı. Bunlar, İsrail halkının Babilʼe sürüldüğü zaman doğdular."
"New","40","1","12","Yekonya, halk Babilʼe sürüldükten sonra doğan Şealtiyelʼin babasıydı. Şealtiyel, Zerubbabilʼin babasıydı."
"New","40","1","13","Zerubbabil, Avihudʼun babasıydı. Avihud, Elyakimʼin babasıydı. Elyakim, Azorʼun babasıydı."
"New","40","1","14","Azor, Sadokʼun babasıydı. Sadok, Ahimʼin babasıydı. Ahim, Elihudʼun babasıydı."
"New","40","1","15","Elihud, Elazarʼın babasıydı. Elazar, Mattanʼın babasıydı. Mattan, Yakubʼun babasıydı."
"New","40","1","16","Yakub, Meryemʼin kocası olan Yusufʼun babasıydı. Meryemʼden Mesih diye bilinen İsa doğdu."
"New","40","1","17","Böylece İbrahimʼden Davudʼa kadar on dört kuşak, Davudʼdan İsrail halkının Babilʼe sürüldüğü zamana kadar da on dört kuşak vardır. Halkın Babilʼe sürüldüğü zamandan Mesihʼe kadar yine on dört kuşak vardır."
"New","40","1","18","İsa Mesihʼin doğması şöyle oldu: Oʼnun annesi Meryem, Yusufʼla nişanlıydı. Onlar birleşmeden önce Meryemʼin Kutsal Ruhʼtan gebe olduğu anlaşıldı."
"New","40","1","19","Meryemʼin nişanlısı Yusuf iyi bir adamdı. Meryemʼi halkın gözünde rezil etmek istemedi. Bunun için nişanı sessizce bozmak niyetindeydi."
"New","40","1","20","Yusuf tam bunu düşünürken, Rabbin bir meleği ona rüyada göründü. Ona, “Ey Davud oğlu Yusuf” dedi. “Meryemʼi karın olarak yanına almaktan korkma. Çünkü ondaki bebek Kutsal Ruhʼtandır."
"New","40","1","21","O bir oğul doğuracak. Adını İsa koyacaksın. Çünkü halkını günahlarından O kurtaracak.”"
"New","40","1","22","Bütün bunlar, Rabbin peygamber aracılığıyla söylediği şu söz yerine gelsin diye oldu:"
"New","40","1","23","“İşte bakire kız gebe kalacak, bir oğul doğuracak. Oʼnun adını İmmanuel koyacaksınız.” İmmanuel, “Allah bizimle” demektir."
"New","40","1","24","Yusuf uykudan kalkınca, Rabbin meleğinin ona buyurduğu gibi yaptı. Meryemʼi karısı olarak yanına aldı."
"New","40","1","25","Ama Meryem oğlunu doğurana kadar Yusuf onunla birleşmedi. Çocuğun adını İsa koydu."
"New","40","2","1","İsa, Kral Hirodesʼin zamanında, Yahudiyeʼdeki Beytlehem kasabasında doğdu. Bundan sonra yıldızbilimciler doğudan Yeruşalim şehrine geldiler."
