Testament,Book,Chapter,Verse,Content
"New","40","1","1","Бу китап Ыбрайымың оглы болан Давудың оглы Иса Месихиң несил шеҗере китабыдыр."
"New","40","1","2","Ыбрайым Ысхагың атасыды. Ысхак Якубың атасыды. Якуп Иуда ве онуң доганларының атасыды."
"New","40","1","3","Иуда Тамарадан доглан Пересиң ве Зерахың атасыды. Перес Хесроның атасыды. Хесрон Рамың атасыды."
"New","40","1","4","Рам Аминадабың атасыды. Аминадап Нахшоның атасыды. Нахшон Салмоның атасыды."
"New","40","1","5","Салмон Рахавдан доглан Боазың атасыды. Боаз Рутдан доглан Обедиң атасыды. Обед Ессәниң атасыды."
"New","40","1","6","Ессе Давут патышаның атасыды. Давут Урияның аялындан болан Сүлейманың атасыды."
"New","40","1","7","Сүлейман Рехавамың атасыды. Рехавам Абияның атасыды. Абия Асаның атасыды."
"New","40","1","8","Аса Ехошафатың атасыды. Ехошафат Ёрамың атасыды. Ёрам Узияның атасыды."
"New","40","1","9","Узия Ётамың атасыды. Ётам Ахазың атасыды. Ахаз Хизкияның атасыды."
"New","40","1","10","Хизкия Манашәниң атасыды. Манаше Амоның атасыды. Амон Ёшияның атасыды."
"New","40","1","11","Ёшия Бабыл сүргүни вагтында доглан Ехонияның ве онуң доганларының атасыды."
"New","40","1","12","Ехония Бабыл сүргүнинден соң доглан Шеалтиелиң атасыды. Шеалтиел Зерубабелиң атасыды."
"New","40","1","13","Зерубабел Абихудың атасыды. Абихуд Элякимиң атасыды. Эляким Азорың атасыды."
"New","40","1","14","Азор Садокың атасыды. Садок Ахимиң атасыды. Ахим Элихудың атасыды."
"New","40","1","15","Элихуд Элиязарың атасыды. Элиязар Маттаның атасыды. Маттан Якубың атасыды."
"New","40","1","16","Якуп Меръемиң адамсы Юсубың атасыды. Меръемден хем Месих дийлен Иса догулды."
"New","40","1","17","Шейлеликде, Ыбрайымдан Давуда ченли болан несиллер җеми он дөрт аркадыр. Давутдан Бабыл сүргүнине ченли хем он дөрт, Бабыл сүргүнинден Месихе ченли хем он дөрт аркадыр."
"New","40","1","18","Иса Месихиң доглушы шейле болды: Онуң эҗеси Меръемиң Юсуп билен адаглыка, бири-бирлери билен яссыкдаш болмазларындан өң, Мукаддес Рухдан гөврели боланлыгы әшгәр болды."
"New","40","1","19","Онуң адамсы Юсуп бир догры адам болансоң, оны утанҗа гоймак ислемән, яшырынлык билен бошатмагы йүрегине дүвди."
"New","40","1","20","Эмма ол бу затлар хакда ойланып йөркә, Реббиң бир перишдеси онуң дүйшүне гирип: «Эй, Давут оглы Юсуп! Сен Меръеми өзүңе аяллыга алмакдан горкма, чүнки онуң гөвресинде дөрән зат Мукаддес Рухдандыр."
"New","40","1","21","Ол бир Огул дограр, сен Онуң адына Иса дакарсың, чүнки Ол Өз халкыны гүнәлеринден халас эдер» дийди."
"New","40","1","22","Буларың хеммеси Реббиң пыгамбер аркалы айдан шу сөзүниң ерине етмеги үчин болды:"
"New","40","1","23","«Ине, бир гыз гөврели болуп, бир огул дограр, Онуң адына Эммануел дакарлар». Бу — «Худай бизиң билендир» диен маныны берйәр."
"New","40","1","24","Юсуп укудан оянанындан соң, Реббиң перишдесиниң табшырышы ялы, аялыны алды."
"New","40","1","25","Аялы илкинҗи оглуны догурянча, онуң янында ятмады, чаганың адына болса Иса дакды."
"New","40","2","1","Хиродес патышаның заманында Яхуданың Бейтуллахам шәхеринде Иса энеден догланында, ине, Иерусалиме гүндогардан мүнечҗимлер гелип:"
"New","40","2","2","«Ехудыларың Патышасы болуп доглан ниреде? Биз гүндогарда Онуң йылдызыны гөрүп, Оңа сежде этмәге гелдик» дийдилер."
"New","40","2","3","Муны эшидип, Хиродес патыша ве онуң билен бирликде тутуш Иерусалим галагоплуга дүшди."
"New","40","2","4","Ол әхли баш руханылары, халкың канунчыларыны йыгнап, олардан Месих ниреде догулмалы дийип сорады."
"New","40","2","5","Олар шейле җогап бердилер: «Яхуданың Бейтуллахамында, чүнки пыгамбер аркалы шейле язылыпдыр:"
"New","40","2","6","„Эй, Яхуда үлкесиндәки Бейтуллахам, сен Яхуда хөкүмдарлары арасында асла иң кичиси дәлсиң. Чүнки халкым Ысрайыла чопанчылык этҗек Хөкүмдар сенден чыкҗакдыр\»."
"New","40","2","7","Онсоң Хиродес мүнечҗимлери яшырын янына чагырып, йылдызың хачан гөрненини чинтгәп сорады."
"New","40","2","8","«Барың, чага хакда ягшыҗа сораг-идег эдиң, тапаңызда маңа хем хабар бериң, мен хем барып, Оңа сежде этҗек» дийип, олары Бейтуллахама иберди."
"New","40","2","9","Олар патышаны диңләп, ёла рована болдулар. Ине, гүндогарда гөрен йылдызлары өңлерине дүшүп, чаганың болан ериниң үстүне гелип дурды."
"New","40","2","10","Олар йылдызы гөрүп, җуда бегендилер."
"New","40","2","11","Өе гирип, чага билен эҗеси Меръеми гөрдүлер. Дызларына чөкүп, Оңа сежде этдилер-де, хазыналарыны ачып, алтын, ладан ве мүр совгат бердилер."
"New","40","2","12","Хиродесиң янына өврүлмезлик хакда дүйш үсти билен дуйдурыш берленсоң, олар өз юртларына башга ёл билен гайтдылар."
"New","40","2","13","Мүнечҗимлер угранларындан соң, Реббиң бир перишдеси Юсубың дүйшүне гирип: «Тур, чага билен эҗесини ал-да, Мүсүре гач, саңа айдянчам шол ерде гал, чүнки Хиродес чаганы өлдүрмек үчин Оны агтарҗак болуп йөр» дийди."
"New","40","2","14","Юсуп турды-да, чага билен Онуң эҗесини алып, гиҗе Мүсүре гитди."
"New","40","2","15","Реббиң пыгамбер аркалы: «Мен Оглумы Мүсүрден чагырдым» дийип айданы ерине етер ялы, Хиродесиң өлүмине деңеч шол ерде галды."
"New","40","2","16","Мүнечҗимлериң алданыны биленсоң, Хиродес гаты гахарланып, Бейтуллахама ве онуң этрабындакы әхли обалара адам иберди-де, мүнечҗимлерден сорап аныклан вагтында болан огланларың ики яшлысына ченли хеммесини өлдүртди."
"New","40","2","17","Шейлеликде, Еремия пыгамбер аркалы айдылан шу сөз ерине етди:"
"New","40","2","18","«Рамадан бир сес эшидилди, агы ве чуң матам сеси. Чагалары үчин аглаян Рахел өзүне теселли берилмегини ислемейәр, чүнки олар ёк»."
"New","40","2","19","Хиродес өленде, Реббиң бир перишдеси Мүсүрде Юсубың дүйшүне гирип:"
"New","40","2","20","«Тур, чага билен Онуң эҗесини ал-да, Ысрайыл юрдуна гайт, чүнки чаганың җанының кастына чыканлар өлди» дийди."
"New","40","2","21","Ол турды, чагадыр эҗесини алып, Ысрайыл юрдуна гайтды."
"New","40","2","22","Йөне Археласың өз атасы Хиродесиң ерине Яхуданың патышасы боланыны эшидип, ол ере бармага горкды, дүйш билен дуйдурыш берленсоң болса, Җелиле этрапларына ёла дүшди."
"New","40","2","23","Гелип, Насыра диен бир шәхерде месген тутды, шейдип, пыгамбер аркалы: «Оңа насыралы дийлер» дийип айдылан сөз ерине етди."
"New","40","3","1","Шол гүнлерде Яхуданың чөлүнде вагыз эдип, чокундырыҗы Яхя пейда болды."
"New","40","3","2","Ол: «Тоба эдиң, чүнки Гөгүң Патышалыгы голайлады» диййәрди."
"New","40","3","3","Себәби ол Ишая пыгамбериң: «Чөлде гыгыряның сеси: „ Реббиң ёлуны тайярлаң, Онуң ёдаларыны догрулаң"" диййәр» диенидир."
