Testament,Book,Chapter,Verse,Content
"Old","1","1","1","Mfiase no Onyankopɔn bɔɔ ɔsoro ne asase."
"Old","1","1","2","Na asase da hɔ hunu a enni bɔbea biara na Onyankopɔn honhom butuw nsu no ani."
"Old","1","1","3","Na Onyankopɔn kae sɛ: Ɛnyɛ hann! Na ɛyɛɛ hann."
"Old","1","1","4","Na Onyankopɔn huu hann no sɛ eye. Na Onyankopɔn paee hann ne sum no mu."
"Old","1","1","5","Na ɔfrɛɛ hann no sɛ: Adekyee, na esum no de, ɔfrɛɛ no adesae. Na ade sae, na ade kyee, da a edi kan nen."
"Old","1","1","6","Na Onyankopɔn kae sɛ: Ntrɛwmu mmra nsu no ntam, na ɛmmɛpae nsu no mu."
"Old","1","1","7","Na Onyankopɔn yɛɛ ahun mu ntrɛwmu, na ɔpaee nsu a ɛwɔ ntrɛwmu no ase ne nsu a ɛwɔ ntrɛwmu no so no mu. Na ɛyɛɛ sa."
"Old","1","1","8","Na Onyankopɔn frɛɛ ntrɛw mu no ɔsoro. Na ade sae, na ade kyee, da a ɛto so abien nen."
"Old","1","1","9","Na Onyankopɔn kae sɛ: Nsu a ɛwɔ ɔsoro ase no mmoaboa ano wɔ faako, na wonhu asase kesee. Na ɛyɛɛ sa."
"Old","1","1","10","Na Onyankopɔn frɛɛ kesee no asase, na nsu mmoaano no, ɔfrɛɛ no ɛpo. Na Onyankopɔn hui sɛ eye."
"Old","1","1","11","Na Onyankopɔn kae sɛ asase mfifi nwura frɔmfrɔm, nhaban a ɛsow aba, nnua a ɛsow nnuaba sɛnea ne su te a n'aba wɔ mu, wɔ asase so. Na ɛyɛɛ sa."
"Old","1","1","12","Na asase fifii wura, nhaban a ɛsow aba sɛnea ne su te, ne nnua a ɛsow nnuaba a n'aba wɔ mu sɛnea ne su te. Na Onyankopɔn hui sɛ eye."
"Old","1","1","13","Na ade sae, na ade kyee, da a ɛto so abiɛsa nen."
"Old","1","1","14","Na Onyankopɔn kae sɛ: Akanea mmra ɔsoro ntrɛwmu no mu, na ɛmmɛpae awia ne anadwo mu, na ɛnyɛ nsɛnkyerɛnne ne bere nkyekyem ne nna ne mfe;"
"Old","1","1","15","na ɛnyɛ akanea wɔ ɔsoro ntrɛwmu no mu, na ɛnharan asase so. Na ɛyɛɛ sa."
"Old","1","1","16","Na Onyankopɔn yɛɛ akanea akɛse abien no, ɔkanea kɛse no, sɛ enni awia so, ne ɔkanea ketewa no, sɛ enni anadwo so, ne nsoromma nso."
"Old","1","1","17","Na Onyankopɔn de sisii ɔsoro ntrɛwmu no mu sɛ ɛnharan asase so,"
"Old","1","1","18","na enni awia ne anadwo so, na ɛmpae hann ne esum no mu. Na Onyankopɔn hui sɛ eye."
"Old","1","1","19","Na ade sae, na ade kyee, da a ɛto so anan nen."
"Old","1","1","20","Na Onyankopɔn kae sɛ: Nsu no nnɔ abɔde a ɛte ase manyamanya, na ntakraboa ntu mfa asase so ɔsoro ntrɛwmu no ani."
"Old","1","1","21","Na Onyankopɔn bɔɔ nsuboa akɛse ne abɔde a ɛte ase a ɛkeka ne ho a ɛyɛ nsu mu manyamanya nyinaa, sɛnea wɔn su te, ɛne nnomaa a wɔwɔ ntaban nyinaa, sɛnea wɔn su te. Na Onyankopɔn hui sɛ eye."
"Old","1","1","22","Na Onyankopɔn hyiraa wɔn sɛ: Monwo, na monnɔ, na monyɛ ɛpo mu nsu mu ma, na ntakraboa nnɔɔso asase so."
"Old","1","1","23","Na ade sae, na ade kyee, da a ɛto so anum nen."
"Old","1","1","24","Na Onyankopɔn kae sɛ: Asase mma abɔde a ɛtete ase mfi mmra, sɛnea wɔn su te; ntɔteboa ne mmoa a wɔwea ne asase so mmoadoma, sɛnea wɔn su te. Na ɛyɛɛ sa."
"Old","1","1","25","Na Onyankopɔn yɛɛ asase so mmoadoma sɛnea wɔn su te, ne ntɔteboa sɛnea wɔn su te, ne mmoa a wɔwea fam nyinaa sɛnea wɔn su te. Na Onyankopɔn hui sɛ eye."
"Old","1","1","26","Na Onyankopɔn kae sɛ: Momma yɛnyɛ onipa wɔ yɛn suban so sɛ yɛn sɛso, na wonni ɛpo mu mpataa ne wim nnomaa ne ntɔteboa ne mmoa a wɔwea asase so nyinaa so."
"Old","1","1","27","Na Onyankopɔn bɔɔ onipa wɔ ne suban so, Yiw Onyankopɔn suban so na ɔbɔɔ no, ɔbarima ne ɔbea na ɔbɔɔ wɔn."
