Testament,Book,Chapter,Verse,Content
"New","40","1","1","Запис родоводу Ісуса Христа, сина Давидового, сина Авраамового."
"New","40","1","2","Авраам народив Ісаака, Ісаак народив Якова, Яків народив Іуду і його братів,"
"New","40","1","3","Іуда народив Фареса й Зару від Фамар, Фарес народив Есрома, Есром народив Арама,"
"New","40","1","4","Арам народив Амінадава, Амінадав народив Наассона, Наассон народив Салмона,"
"New","40","1","5","Салмон народив Вооза від Рахав, Вооз народив Оведа від Руф, Овед народив Єссея,"
"New","40","1","6","Єссей народив царя Давида, цар Давид народив Соломона від Урієвої жінки,"
"New","40","1","7","Соломон народив Ровоама, Ровоам народив Авію, Авія народив Асу,"
"New","40","1","8","Аса народив Іосафата, Іосафат народив Іорама, Іорам народив Озію,"
"New","40","1","9","Озія народив Іоафама, Іоафам народив Ахаза, Ахаз народив Єзекію,"
"New","40","1","10","Єзекія народив Манассію, Манассія народив Амона, Амон народив Іосію,"
"New","40","1","11","Іосія народив Єхонію і його братів за часів переселення у Вавілон."
"New","40","1","12","Після переселення у Вавілон Єхонія народив Салафиїла, Салафиїл народив Зоровавеля,"
"New","40","1","13","Зоровавель народив Авіуда, Авіуд народив Еліакима, Еліаким народив Азора,"
"New","40","1","14","Азор народив Садока, Садок народив Ахима, Ахим народив Еліуда,"
"New","40","1","15","Еліуд народив Елеазара, Елеазар народив Матфана, Матфан народив Якова,"
"New","40","1","16","Яків народив Йосипа, чоловіка Марії, від якої народився Ісус, званий Христом."
"New","40","1","17","Отже, усіх поколінь від Авраама до Давида — чотирнадцять поколінь, від Давида до переселення у Вавілон — чотирнадцять поколінь, від переселення у Вавілон до Христа — чотирнадцять поколінь."
"New","40","1","18","Народження ж Ісуса Христа було так. Після заручення Його матері Марії з Йосипом, перш ніж вони зійшлися, виявилося, що вона має в утробі від Святого Духа."
"New","40","1","19","Йосип же, її чоловік, будучи праведним і не бажаючи виставити її на ганьбу, вирішив тайкома розлучитися з нею."
"New","40","1","20","Та коли він подумав про це, ось ангел Господній з’явився йому уві сні і сказав: Йосипе, сину Давидів, не бійся взяти до себе Марію, свою дружину, бо зачате в ній є від Святого Духа."
"New","40","1","21","Вона народить Сина, і ти даси Йому ім’я Ісус, бо Він спасе Свій народ від його гріхів."
