Testament,Book,Chapter,Verse,Content
"New","40","1","1","Книга родоводу Ісуса Христа, Сина Давидового, Сина Авраамового."
"New","40","1","2","Авраам родив Ісаака; Ісаак родив Якова; Яків родив Іуду та братів його;"
"New","40","1","3","Іуда родив Фареса та Зару від Фамари; Фарес родив Єсрома; Єсром родив Арама;"
"New","40","1","4","Арам родив Амінадава; Амінадав родив Насона; Насон родив Салмона;"
"New","40","1","5","Салмон родив Вооза від Рахави; Вооз родив Йовіда від Рути; Йовід родив Єссея;"
"New","40","1","6","Єссей родив царя Давида; Давид родив Соломона від Урієвої;"
"New","40","1","7","Соломон родив Ровоама; Ровоам родив Авію; Авія родив Асу;"
"New","40","1","8","Аса родив Йосафата; Йосафат родив Йорама; Йорам родив Озію;"
"New","40","1","9","Озія родив Йоафама; Йоафам родив Ахаза; Ахаз родив Єзекію;"
"New","40","1","10","Єзекія родив Манассію; Манассія родив Амона; Амон родив Йосію;"
"New","40","1","11","Йосія родив Єхонію та братів його, під час переселення у Вавілон."
"New","40","1","12","По переселенню у Вавілон, Єхонія родив Салатіїла; Салатіїл родив Заровавеля;"
"New","40","1","13","Заровавель родив Авіюда; Авіюд родив Єліякима; Єліяким родив Азора;"
"New","40","1","14","Азор родив Садока; Садок родив Ахима; Ахим родив Єліуда;"
"New","40","1","15","Єліуд родив Єліазара; Єліазар родив Матфана; Матфан родив Якова;"
"New","40","1","16","Яків родив Йосифа, мужа Марії, від котрої народився Ісус, названий Христом."
"New","40","1","17","Всіх родів від Авраама до Давида — чотирнадцять родів; від Давида до переселення у Вавілон — чотирнадцять родів; і від переселення у Вавілон — чотирнадцять родів."
"New","40","1","18","Народження ж Ісуса Христа сталося так. Коли матір Його Марію заручено з Йосифом, то перше ніж вони зійшлися, виявилося, що вона мала в утробі від Духа Святого."
"New","40","1","19","Йосиф же, чоловік її, будучи праведним і не бажаючи ославити її, хотів таємно відпустити її."
"New","40","1","20","Коли ж він думав про те, ось ангел Господній з'явився йому уві сні і сказав: «Йосифе, сину Давидів, не бійся прийняти Марію, дружину твою, бо зачате в ній є від Духа Святого."
"New","40","1","21","І вона народить сина, а ти даси ім'я Йому Ісус, бо Він спасе людей Своїх від гріхів їхніх»."
"New","40","1","22","А все це сталося, щоб збулося сказане Господом через пророка, який говорить:"
"New","40","1","23","«Ось, діва зачне в утробі і народить Сина, і дадуть ім'я Йому Еммануїл, що означає: з нами Бог»."
"New","40","1","24","Пробудившись від сну, Йосиф вчинив так, як звелів йому ангел Господній, і прийняв дружину свою."
"New","40","1","25","І не знав її, поки не породила Сина свого первонародженого, і він дав Йому ім'я Ісус."
"New","40","2","1","Коли ж Ісус народився у Віфліємі Іудейському за царювання Ірода, прийшли мудреці зі сходу в Єрусалим"
"New","40","2","2","і питають: «Де є народжений Цар Іудейський? Бо ми бачили зорю Його на сході і прийшли поклонитись Йому»."
"New","40","2","3","Коли цар Ірод почув це, то стривожився, і весь Єрусалим з ним."
"New","40","2","4","І, зібравши всіх первосвящеників і книжників народних, випитував у них, де має народитися Христос."
"New","40","2","5","Вони ж відповіли йому: «У Віфліємі Іудейському, бо так написано пророком:"
"New","40","2","6","'І ти, Віфлієме, земле Іудина, нічим не гірший між князівствами Іудиними, бо з тебе вийде Вождь, Котрий буде пасти народ Мій Ізраїля'»."
