Testament,Book,Chapter,Verse,Content
"New","40","1","1","Vivli e gjeneallogjisë Jisu-Krishtit, të birit Dhavidhit, të birit Avraamit."
"New","40","1","2","Avraamit i lindi Isaaku; edhe Isaakut i lindi Jakovi; edhe Jakovit i lindi Judha edhe të vëllezërit’ e ati;"
"New","40","1","3","Edhe Judhës’ i lindi Faresi edhe Zaraj nga Thamara; edhe Faresit i lindi Esromi; edhe Esromit i lindi Arami;"
"New","40","1","4","Edhe Aramit i lindi Aminavadhi; edhe Aminavadhit i lindi Naassoni;"
"New","40","1","5","Edhe Naasonit i lindi Sallmoni; edhe Sallmonit i lindi Voozi nga Rahava, edhe Voozit i lindi Ovidhi nga Rutha;"
"New","40","1","6","Edhe Ovidhit i lindi Jesseu; edhe Jesseut i lindi Dhavidhi mbëreti. Edhe Dhavidhit mbëretit i lindi Sollomoni nga gruaja e Uriut;"
"New","40","1","7","Edhe Sollomonit i lindi Rovoami; edhe Rovoamit i lindi Aviaj; edhe Aviajt i lindi Asaj;"
"New","40","1","8","Edhe Asajt i lindi Josafati; edhe Josafatit i lindi Jorami; edhe Joramit i lindi Ozia;"
"New","40","1","9","Edhe Ozisë i lindi Joathami; edhe Joathamit i lindi Ahazi; edhe Ahazit i lindi Ezekia;"
"New","40","1","10","edhe Ezekisë i lindi Manassiu; edhe Manassiut i lindi Amoni; edhe Amonit i lindi Josia;"
"New","40","1","11","Edhe Josisë i lindi Jehonia edhe të vëllezërit’ e ti, mbë të shpërngulurit të Vavyllonësë."
"New","40","1","12","Edhe pas të shpërngulurit Vavyllonësë, Jehonisë i lindi Sallathieli; edhe Sallathielit i lindi Zorovaveli;"
"New","40","1","13","Edhe Zorovavelit i lindi Aviudhi; edhe Aviudhit i lindi Eliakejmi; edhe Eliakejmit i lindi Azori;"
"New","40","1","14","Edhe Azorit i lindi Sadhuku; edhe Sadhukut i lindi Ahejmi;"
"New","40","1","15","Edhe Ahejmit i lindi Eliudhi; edhe Eliudhit i lindi Eleazari; edhe Eleazarit i lindi Matthani;"
"New","40","1","16","Edhe Matthanit i lindi Jakovi; edhe Jakovit i lindi Josifi burr’ i Marisë, që nga ajo lindi Jisui që thuhetë Krisht."
"New","40","1","17","Gjithë brezatë pra që nga Avraami gjer mbë ditë të Dhavidhit, janë katër-mbë-dhietë breza; edhe që nga Dhavidhi e gjer mbë të shpërngulurit të Vavyllonësë janë katër-mbë-dhietë breza; edhe që nga të shpërngulurit’ e Vavyllonësë e gjer mbë ditë të Krishtit janë katër-mbë-dhietë breza."
"New","40","1","18","Edhe të lindurit’ e Jisu-Krishtit kështu ka qënë; passi u mbëlua e ëma e ati Maria me Josifënë, përpara se të bashkoneshinë, u gjënt me barrë nga Frym’e Shënjtëruarë."
"New","40","1","19","Edhe Josifi, burr’ i asaj, tuke qënë i drejtë, e tuke mos dashurë t’i nxjerrë asaj zërin e lik, desh ta lëshonjë fshehurazi."
"New","40","1","20","Po ay kur ishte tuke menduarë këto punë, ja ëngjëll’ i Zotit tek iu duk nd’ëndërrë, e i tha: Josif, i bir’ i Dhavidhit, mos u frikëso të marrç përanë vetëhesë gruanë tënde Mariamënë; sepse të mbarsuritë që u bë tek ajo është nga Frym’e Shënjtëruarë;"
"New","40","1","21","Edhe do të piellë bir, edhe do t’ia quanjç emërinë Jisu; sepse ay do të shpëtonjë llauzin’ e ti nga fajet’ e atyre."
"New","40","1","22","(Edhe gjithë këjo u bë, që të mbushetë ç’është thënë nga Zoti me anë të profitit,"
"New","40","1","23","Që thotë. “Ja vërgjëresha te do të mbarsetë, edhe do të piellë bir, edhe do t’ia qjuanjën’ emërin’Emanuill”, që ajo këthyerë do me thënë Perëndia bashkë me ne)."
"New","40","1","24","Edhe Josifi si u squa nga gjumi, bëri sikundrë e urdhëroj ëngjëll’ i Zotit, edhe mori përanë vetëhesë gruan’ e ti."
"New","40","1","25","Edhe nuk’e njohu atë, gjersa polli të birin’ e saj të parëlindurinë; edhe ia quajti emërinë Jisu."
"New","40","2","1","Edhe Jisuj si lindi ndë Vithleemë të Judhesë, ndë dit të mbëretit Irodhit, ja ca magjishtarë nga të lindurit’ e diellit erthnë ndë Jerusalim, e thoshinë:"
"New","40","2","2","Ku është mbëret’ i Judhenjvet që ka lindurë? Sepse pam’ yllin’ e ati ndë të lindurit diellit, e erdhëm t’i falemi."
"New","40","2","3","Edhe mbëreti Irodhi kur dëgjoj, u droth edhe gjithë Jerusalimi bashkë me atë."
