Testament,Book,Chapter,Verse,Content
"New","40","1","1","كْتاب آصَل يَسوع المَسيح بَن داوَد بَن إبراهيم."
"New","40","1","2","إبراهيم جاب إسحاق وإِسحاق جاب يَعقوب ويَعقوب جاب يَهودا وخاوتو،"
"New","40","1","3","يَهودا جاب فارَص وزارَح من تامار وفارَص جاب حَصرون وحَصرون جاب أَرام،"
"New","40","1","4","أَرام جاب عَمّيناداب وعَمّيناداب جاب نَحشون ونَحشون جاب سَلمون،"
"New","40","1","5","سَلمون جاب بوعَز من راحاب وبوعَز جاب عوبيد من راعوت وعوبيد جاب يَسّى،"
"New","40","1","6","يَسّى جاب السَلطان داوَد والسَلطان داوَد جاب سُلَيمان من مَرت أورِيّا،"
"New","40","1","7","سُلَيمان جاب رَحَبعام ورَحَبعام جاب أَبِيّا وأَبِيّا جاب آسا،"
"New","40","1","8","آسا جاب يَهوشافاط ويَهوشافاط جاب يورام ويورام جاب عُزيّا،"
"New","40","1","9","عُزيّا جاب يوتام ويوتام جاب أَحاز وأَحاز جاب حِزقيّا،"
"New","40","1","10","حِزقيّا جاب مَنَسّى ومَنَسّى جاب آمون وآمون جاب يوشَيّا،"
"New","40","1","11","يوشَيّا جاب يَكُنيا وخاوتو في وَقت النَفية لبابَل."
"New","40","1","12","بَعد النَفية لبابَل، جاب يَكُنيا شَأَلتِئيل وشَأَلتِئيل جاب زَرُبّابَل،"
"New","40","1","13","زَرُبّابَل جاب أَبيهود وأَبيهود جاب أَلياقيم وأَلياقيم جاب عازور،"
"New","40","1","14","عازور جاب صادوق وصادوق جاب أَخيم وأَخيم جاب أَليود،"
"New","40","1","15","أَليود جاب أَليعازَر وأَليعازَر جاب مَتّان ومَتّان جاب يَعقوب،"
"New","40","1","16","يَعقوب جاب يوسَف راجل مَريَم اللي وَلدَت يَسوع اللي يَتسَمّا المَسيح."
"New","40","1","17","كايَن رْبَعطاشَن جيل من إِبراهيم لداوَد ورْبَعطاشَن جيل من داوَد للنَفية لبابَل، ورْبَعطاشَن جيل من النَفية لبابَل للمَسيح."
"New","40","1","18","زْيادة يَسوع المَسيح هَكدا كانَت: مَريَم يَمّاه كانَت مخَطوبة ليوسَف. قْبَل ما يْعيشو كيف كيف، لْقات روحها بالجوف بالروح القُدّوس،"
"New","40","1","19","وكان راجَلها يوسَف راجَل صالَح وما حَبش يَفضَحها، هِمّالا حَب يْبَطَّل معاها فالسَر."
"New","40","1","20","وكي كان يْخَمَّم في هاد الشي، هاو وين مْلاك من الرَب ضْهَرلو فالمْنام وقاللو: ""يا يوسَف بَن داوَد، ما تْخافْش تاخُد مَريَم مَرتَك خاطَر اللي راهي رافدة بيه الجوف من الروح القُدّوس،"
"New","40","1","21","رايحة تْزَيَّد وْلَد وأَنتَ تْسَمّيه يَسوع، خاطَر هُوَ اللي يْسَلَّك شَعبو من دْنوبهُم""."
"New","40","1","22","هاد الشي كامَل صْرا باش يْتَم كْلام الرَب اللي قالو النَبي:"
"New","40","1","23","""هايلِك العاتَق تَرفَد الجوف وتْزَيَّد وْلَد ويْسَمّيوَه ""عَمّانوئيل""""، اللي مَعنَاه ""الله مْعانا""""."
