Testament,Book,Chapter,Verse,Content
"New","40","1","1","Кніга радаводу Езуса Хрыста, сына Давіда, сына Абрагама."
"New","40","1","2","Абрагам быў бацькам Ізаака, а Ізаак быў бацькам Якуба, а Якуб быў бацькам Юды і братоў ягоных."
"New","40","1","3","А Юда быў бацькам Фарэса і Зары з Тамары, а Фарэс быў бацькам Эсрома, а Эсром быў бацькам Арама."
"New","40","1","4","А Арам быў бацькам Амінадаба, а Амінадаб быў бацькам Наасона, а Наасон быў бацькам Сальмона."
"New","40","1","5","А Сальмон быў бацькам Баоза з Рагабы, а Баоз быў бацькам Абэда з Руты, а Абэд быў бацькам Есэя,"
"New","40","1","6","а Есэй быў бацькам Давіда караля, а Давід кароль быў бацькам Салямона з тае, што была Урыява."
"New","40","1","7","А Салямон быў бацькам Рабаама, а Рабаам быў бацькам Абіі, а Абія, быў бацькам Асы."
"New","40","1","8","А Аса быў бацькам Язафата, а Язафат быў бацькам Ярама, а Ярам быў бацькам Озіі."
"New","40","1","9","А Озія быў бацькам Ёатама, а Ёатам быў бацькам Ахаза, а Ахаз быў бацькам Эзэхіі."
"New","40","1","10","А Эзэхія быў бацькам Манасэса, а Манасэс быў бацькам Амона, а Амон быў бацькам Ёзіі."
"New","40","1","11","А Ёзія быў бацькам Ехоніі і братоў яго ў час перасяленьня ў Бабілён."
"New","40","1","12","А па перасяленьні ў Бабілён Ехонія быў бацькам Салятыеля, а Салятыель быў бацькам Зарабабэля."
"New","40","1","13","А Зарабабэль быў бацькам Абіюда, а Абіюд быў бацькам Эліяхіма, а Эліяхім быў бацькам Азора."
"New","40","1","14","А Азор быў бацькам Садока, а Садок быў бацькам Ахіма, а Ахім быў бацькам Эліюда."
"New","40","1","15","А Эліюд быў бацькам Элеазара, а Элеазар быў бацькам Матана, а Матан быў бацькам Якуба."
"New","40","1","16","А Якуб быў бацькам Язэпа, мужа Марыі, з каторай нарадзіўся Езус, называны Хрыстос."
"New","40","1","17","Дык ад Абрагама да Давіда ўсіх пакаленьняў было чатырнаццаць; і ад Давіда да перасяленьня ў Бабілён - чатырнаццаць пакаленьняў; і ад перасяленьня ў"
"New","40","1","18","З нараджэньнем Езуса Хрыста было так: Калі маці Яго Марыя была заручана з Язэпам, перш чым пачалі жыці разам, выявілася, што яна цяжарная за справай Духа Сьвятога."
"New","40","1","19","Язэп жа, яе муж, будучы справядлівым і ня хочучы яе зьняславіць, надумаўся тайком яе пакінуць."
"New","40","1","20","А калі пра гэта думаў, вось жа анёл Госпадаў паказаўся яму ў-ва сьне і сказаў: ""Язэпе, сыне Давідаў, ня бойся прыняць Марыю, сужонку тваю, бо што ў ёй пачалося, пачалося з Духа Сьвятога."
"New","40","1","21","Вось жа народзіць сына, і дасі Яму імя Езус, бо Ён збавіць народ свой ад грахоў ягоных""."
"New","40","1","22","А ўсё гэта сталася, каб збылося тое, што сказана было Госпадам праз прарока, які сказаў:"
"New","40","1","23","""Вось жа Дзева пачне і народзіць сына, і назавуць імя Яго Эмануэль"", што значыць Бог з намі."
"New","40","1","24","Затым Язэп, падняўшыся зо сну, зрабіў так, як яму загадаў анёл Госпадаў, і прыняў сваю сужонку."
"New","40","1","25","І не пазнаў яе, аж пакуль яна нарадзіла Сына, і даў імя Яму Езус."
"New","40","2","1","Калі затым нарадзіўся Езус у Бэтлееме Юдэйскім, у дні караля Герода, вось прыбылі магі з Усходу ў Ерузалім"
"New","40","2","2","і пыталіся: ""Дзе той кароль Юдэйскі, што нарадзіўся? Бо мы бачылі зорку ягоную на Усходзе дый прыбылі пакланіцца яму""."
"New","40","2","3","Пачуўшы гэтае, кароль Герод устрывожыўся, і увесь Ерузалім з ім."
"New","40","2","4","Ды сабраўшы ўсіх першасьвятароў і кніжнікаў народа, даведваўся ад іх, дзе меў Хрыстос нарадзіцца."
"New","40","2","5","А яны яму сказалі: ""У Бэтлееме Юдэйскім, бо так напісана прарокам:"
"New","40","2","6","""І ты, Бэтлеем, зямля Юдзіна, ніякім чынам ня меншая між княстваў Юдзіных, бо з цябе зьявіцца Правадыр, які будзе валодаць Маім народам Ізраэлем""."
"New","40","2","7","Тады Герод тайком паклікаў магаў і дакладна выведаў час зоркі, якая ім паказалася."
"New","40","2","8","Ды, адпраўляючы іх у Бэтлеем, сказаў: ""Ідзіце і даведайцеся дакладна пра Дзіцятка; і калі знойдзеце, паведаміце мне, каб і я прыйшоў пакланіцца Яму."
"New","40","2","9","Яны, выслухаўшы караля, адправіліся ў дарогу. І вось зорка, якую - яны бачылі на Усходзе, папераджала іх, аж спынілася над месцам, дзе было Дзіця."
"New","40","2","10","Убачыўшы зорку, яны вельмі ўсьцешыліся."
"New","40","2","11","І, увайшоўшы ў дом, знайшлі Дзіцятка з Марыяй, Маткай Яго, і, упаўшы, пакланіліся Яму. Затым, адкрыўшы скарбы свае, ахвяравалі Яму дары: золата, кадзіла і міру."
"New","40","2","12","І, атрымаўшы ў сьне наказ, каб не вяртацца да Герода, іншай дарогай вярнуліся ў свой край. Уцёкі ў Эгіпет"
"New","40","2","13","Калі яны адыйшлі, анёл Госпадаў аб'явіўся Язэпу ў-ва сьне і сказаў: ""Устань, вазьмі Дзіця і Матку Ягоную ды ідзі ў Эгіпет, ды і заставайся там, пакуль не скажу табе. Бо Герод будзе шукаць Дзіцяці, каб Яго забіць""."
"New","40","2","14","Дык Язэп, устаўшы, узяў ноччу Дзіця і Маці Яго і ўцёк у Эгіпет."
"New","40","2","15","І заставаўся там да сьмерці Герода, каб споўнілася сказанае Госпадам праз прарока, які казаў: ""З Эгіпту пазваў Я Сына Майго"". Зьбіццё немаўлят"
"New","40","2","16","Тады Герод, бачучы, што магі яго падманулі, раззлаваўся моцна і паслаў пазабіваць усіх дзяцей, што былі ў Бэтлееме і ў яго ваколіцах ад двух гадоў і ніжэй, паводле часу, пра які пытаўся ў магаў."
"New","40","2","17","Тады споўнілася, што было прадказана прарокам Ярэміям, каторы казаў:"
"New","40","2","18","""Чуецца голас у Раме, плач і стогн вялікі: Рахель плача па сынах сваіх і ня можа супакоіцца, бо іх няма"". Вяртаньне ў Назарэт"
"New","40","2","19","Калі Герод памёр, вось паказаўся анёл Госпадаў Язэпу ў-ва сьне ў Эгіпце"
"New","40","2","20","і сказаў: ""Устань, вазьмі Дзіця і Маці Ягоную ды варочайся ў зямлю Ізраэля, бо памерлі тыя, што цікавалі на Яго жыцьцё""."
"New","40","2","21","Дык ён, сабраўшыся, ўзяў Дзіця і Маці Ягоную і вярнуўся ў зямлю Ізраэля."
"New","40","2","22","Пачуўшы, што ў Юдэі каралюе Археляос па Геродзе, бацьку сваім, баяўся туды ісьці, і папярэджаны ў-ва сьне, пайшоў у ваколіцы Галілеі."
"New","40","2","23","Затым, прыбыўшы, абжыўся ў горадзе, званым Назарэт, каб збылося, што сказана прарокамі: ""Назарэем будзе звацца""."
"New","40","3","1","У тыя дні паявіўся Ян Хрысьціцель, прапаведуючы ў пустыні Юдэйскай"
"New","40","3","2","і кажучы: ""Навяртайцеся, бо наблізілася Каралеўства Нябеснае""."
"New","40","3","3","А ён быў тым, пра каго прадказваў прарок Ісая, кажучы: ""Голас гамонячага ў пустыні: ""Прыгатуйце дарогу Госпаду, прастуйце сьцежкі Яму!"""
"New","40","3","4","Сам жа Ян насіў адзеньне з вярблюдавага воласу і дзяжку скураную на паясьніцы сваёй, а ежай Яму была шаранча і дзікі мёд."
"New","40","3","5","Дык да яго выходзілі Ерузалім і ўся Юдэя, ды ўсе ваколіцы каля Ярдана,"
"New","40","3","6","і былі ім хрышчаны ў Ярдане, вызнаючы свае грахі."
"New","40","3","7","А калі ўгледзеў многіх фарысэяў і садукеяў, прыходзячых да хросту свайго, сварыўся на іх: ""Род зьмяіны, хто заручыўся, што ўбяжыце ад будучага гневу?"
"New","40","3","8","Чыніце належны плод навярненьня,"
"New","40","3","9","і ня думайце хваліцца: ""Маем бацьку Абрагама"". Бо кажу вам, што Бог магутны з гэтых каменьняў можа падняць сыноў Абрагаму."
"New","40","3","10","Бо ўжо сякера прыстаўлена да караня дрэваў; кожнае дрэва, якое не дае добрага плоду, будзе высечана і кінута ў агонь."
"New","40","3","11","Я вас хрышчу вадою дзеля навярненьня, але Той, Хто прыйдзе па мне, дужэйшы, чым я. Яму я ня варты насіць сандалаў. Ён будзе хрысьціць вас Духам Сьвятым і агнём."
"New","40","3","12","Ён трымае ў сваёй руцэ веялку, і ачысьціць ток свой, ды зьбярэ пшаніцу сваю ў гумно, а мякіну спаліць незгасаемым агнём."
"New","40","3","13","Тады Езус прыйшоў з Галілеі на Ярдан да Яна прыняць хрост ад яго."
"New","40","3","14","Але Ян узбараняўся дзеля Яго, кажучы: ""Я павінен быць ахрышчаны Табою, а Ты ідзеш да мяне?"""
"New","40","3","15","Але Езус сказаў яму: ""Пакінь цяпер, бо гэтак нам належыць выпаўніць усякую справядлівасьць"". Тады (Ян) прыняў Яго."
"New","40","3","16","А калі Езус быў ахрышчаны, зараз выйшаў з вады, і вось жа адкрыліся нябёсы, і ўбачыў Духа Божага, зыходзячага як галуба і прыходзячага на Яго."
"New","40","3","17","Ды голас з неба, кажучы: ""Гэта Сын Мой улюблёны, Якога Я ўпадабаў сабе""."
"New","40","4","1","Пасьля Езус быў заведзены Духам у пустыню для спакушаньня д'яблам."
"New","40","4","2","І, папасьціўшы сорак дзён і сорак начэй, пачуўся галодным."
"New","40","4","3","Дык прыступіўся да Яго спакусьнік і сказаў: ""Калі Ты - Сын Божы, скажы, каб гэтыя каменьні перамяніліся ў хлеб""."
"New","40","4","4","(Езус) у адказ сказаў яму: ""Напісана: ня толькі хлебам жыве чалавек, але і кожным словам, якое паходзіць з вуснаў Божых""."
"New","40","4","5","Затым пераносіць Яго д'ябал у сьвяты горад і ставіць на версе сьвятыні,"
"New","40","4","6","і кажа Яму: ""Калі Ты - Сын Божы, дык кінься ўніз; бо напісана: ""Анёлам сваім паручыў (Бог) Цябе, і яны на руках панясуць Цябе, каб часам аб камень не скалечыў нагі Тваёй""."
"New","40","4","7","Езус сказаў яму: ""Зноў жа напісана: ""Не спакушай Госпада, Бога твайго""."
"New","40","4","8","Дык зноў пераносіць Яго д'ябал на вельмі высокую гару ды паказвае Яму ўсе каралеўствы сьвету і іх славу,"
"New","40","4","9","і кажа Яму: ""Усё гэта аддам Табе, калі ўпадзеш і паклонішся мне""."
"New","40","4","10","Тады Езус сказаў яму: ""Ідзі ад Мяне, шатан! Бо напісана: ""Госпаду, Богу твайму, кланяцца будзеш і аднаму Яму служыць будзеш""."
"New","40","4","11","Тады пакінуў Яго д'ябал, і вось прыступіліся анёлы і служылі Яму."
"New","40","4","12","Калі Езус пачуў, што Ян увязьнены, то перанёсься ў Галілею."
"New","40","4","13","Затым, пакінуўшы горад Назарэт, прыйшоў і абжыўся ў Кафарнаўме надморскім, на рубяжы плямён Забулёна і Нэфталі,"
"New","40","4","14","каб збылося прадказанае прарокам Ісаям, які казаў:"
"New","40","4","15","""Зямля Забулёна і зямля Нэфталі, на дарозе прыморскай за Ярданам, Галілея паганская;"
"New","40","4","16","народ, які сядзеў у цемры, убачыў сьвятло вялікае, і седзячым у краі засеня сьмерці ўзыйшло сьвятло."
"New","40","4","17","Адсюль пачаў Езус вучыць і казаць: Навяртайцеся, бо прыблізілася Каралеўства Нябеснае""."
"New","40","4","18","А калі Езус ішоў каля мора Галілейскага, убачыў двух братоў - Сымона, называнага Пятром, і Андрэя, брата яго, як запускалі сеткі ў мора, бо былі рыбакамі."
"New","40","4","19","І сказаў ім: ""Хадзеце за Мной! Зраблю вас рыбакамі людзей""."
"New","40","4","20","Яны, адразу кінуўшы сеткі, пайшлі за Ім."
"New","40","4","21","І, пайшоўшы адтуль, убачыў двух іншых братоў, Якуба Зэбэдэявага і Яна, брата ягонага, як з бацькам сваім, Зэбэдэям, правілі сеткі ў лодцы, і паклікаў іх."
"New","40","4","22","А яны адразу, пакінуўшы сеткі і бацьку, пайшлі за Ім."
"New","40","4","23","І аыбходзіў Езус усю Галілею, і вучыў у сынагогах іх, і вясьціў Эвангельле Каралеўства, ды аздараўляў сярод людзей усякую хваробу і ўсякую немач."
"New","40","4","24","І аб Ім разыйшлася слава па ўсёй Сырыі. Дык прыносілі да Яго ўсіх рознымі немачамі хварэючых і церпячых, ды апанаваных ліхім, і люнатыкаў, і спараліжаваных, і Езус аздараўляў іх."
"New","40","4","25","І хадзілі за Ім вялікія грамады з Галілеі, і з Дэкаполя, і з Ерузаліма, і з Юдэі, ды з-за Ярдана."
"New","40","5","1","Бачачы грамады, Езус узыйшоў на гару; і калі сеў, падыйшлі да Яго вучні Ягоныя;"
"New","40","5","2","а Ён, адкрыўшы вусны свае, стаў іх навучаць, кажучы:"
"New","40","5","3","""Шчасьлівыя ўбогія духам, бо іхняе Каралеўства Нябеснае."
"New","40","5","4","Шчасьлівыя плачучыя, бо яны будуць пацешаны."
"New","40","5","5","Шчасьлівыя ціхія, бо яны заўладаюць зямлёю."
"New","40","5","6","Шчасьлівыя жадаючыя і прагнучыя справядлівасьці, бо яны будуць насычаныя"
"New","40","5","7","Шчасьлівыя міласэрныя, бо ім будзе аказана міласэрдзе."
"New","40","5","8","Шчасьлівыя чыстага сэрца, бо яны Бога аглядаць будуць."
"New","40","5","9","Шчасьлівыя міратворцы, бо іх назавуць сынамі Божымі."
"New","40","5","10","Шчасьлівыя, што перасьледаваньне церпяць дзеля справядлівасьці, такіх бо Каралеўства Нябеснае."
"New","40","5","11","Шчасьлівыя вы, калі дзеля Мяне вас будуць зьневажаць, ды перасьледаваць, ды ўсяк блага і фальшыва пра вас гаварыць будуць."
"New","40","5","12","Радуйцеся і весяліцеся, бо заплата для вас шчодрая ў небе; так вось перасьледавалі прарокаў, што перад вамі жылі."
"New","40","5","13","Вы - соль зямлі. А калі соль зьвятрэе, дык чым тады яе саліць? Ні на што больш не прыдасца, як толькі выкінуць на двор, каб яе людзі тапталі."
"New","40","5","14","Вы - сьвятло сьвету. Ня можа схавацца горад, памешчаны на гары."
"New","40","5","15","Таксама не паляць сьвечкі і не хаваюць яе пад пасудзіну, але ставяць на сьвечніку, каб сьвяціла ўсім, што ў доме."
"New","40","5","16","Так хай сьвеціць сьвятло вашае на віду ў людзей, каб яны бачылі вашыя добрыя ўчынкі ды хвалілі Айца вашага, які ў небе."
"New","40","5","17","Ня думайце, што Я прыйшоў скасаваць Закон і Прарокаў. Я прыйшоў не скасаваць, але споўніць."
"New","40","5","18","Бо сапраўды кажу вам: пакуль неба і зямля не прамінуць, ані адна ёта, ані адна крэска ня зьменіцца ў Законе, аж пакуль ўсё ня збудзецца."
"New","40","5","19","Хто таму парушыць адно з гэтых прыказаньяў найменшых ды так людзей навучыць, той будзе званы найменшым у Каралеўстве Нябесным. А хто выканае і навучыць, той будзе званы вялікім у Каралеўстве Нябесным."
"New","40","5","20","Бо кажу вам, калі ваша справядлівасьць ня будзе большай, чым у кніжнікаў і ў фарысэяў, ня ўвойдзеце вы ў Каралеўства Нябеснае."
"New","40","5","21","Чулі, што сказана было прабацькам: ""Не забівай"", а хто б забіў, той будзе суджаны."
"New","40","5","22","А Я вам кажу, што той, хто гневаецца на брата свайго, будзе суджаны; а хто б сказаў брату свайму: ""Рака"", будзе суджаны радай, а хто б сказаў: ""Дурны"", будзе варты агня пякельнага."
"New","40","5","23","Калі затым панясеш дар свой на аўтар, а там прыпомніш, што брат твой мае нешта супраць цябе,"
"New","40","5","24","дык пакінь дар твой каля аўтара, і ідзі перш пагадзіся з братам тваім, і пасьля прыйдзеш і складзеш у ахвяру дар твой."
"New","40","5","25","Пагадзіся з супраціўнікам тваім скора, пакуль з ім у дарозе, каб часам не аддаў цябе суддзі, а суддзя - слузе, ды ня быў бы ты ўкінуты ў вязьніцу."
"New","40","5","26","Сапраўды кажу табе, ня выйдзеш адтуль, пакуль не аддасі апошняй капейкі."
"New","40","5","27","Чулі, што сказана прабацькам: ""Не чужалож!"""
"New","40","5","28","А Я вам кажу, што кожны, хто глядзіць на жанчыну з пажаданьнем, ужо яе зчужаложыў у сэрцы сваім."
"New","40","5","29","Калі затым тваё правае вока горшыць цябе, выдзяры яго ды кінь ад сябе; бо лепш табе, каб прапаў адзін з членаў тваіх, чымся ўсё цела тваё мела быць укінута ў пекла."
"New","40","5","30","І калі правая твая рука горшыць цябе, адрэж яе ды адкінь ад сябе; бо карысьней табе, каб прапаў адзін з членаў тваіх, чымся ўсё цела тваё мела быць укінута ў пекла."
