Testament,Book,Chapter,Verse,Content
"Old","1","1","1","起初，神創造天地。"
"Old","1","1","2","地是空虛混沌，淵面黑暗；神的靈運行在水面上。"
"Old","1","1","3","神說：「要有光」，就有了光。"
"Old","1","1","4","神看光是好的，就把光暗分開了。"
"Old","1","1","5","神稱光為「晝」，稱暗為「夜」。有晚上，有早晨，這是頭一日。"
"Old","1","1","6","神說：「諸水之間要有空氣，將水分為上下。」"
"Old","1","1","7","神就造出空氣，將空氣以下的水、空氣以上的水分開了。事就這樣成了。"
"Old","1","1","8","神稱空氣為「天」。有晚上，有早晨，是第二日。"
"Old","1","1","9","神說：「天下的水要聚在一處，使旱地露出來。」事就這樣成了。"
"Old","1","1","10","神稱旱地為「地」，稱水的聚處為「海」。神看着是好的。"
"Old","1","1","11","神說：「地要發生青草和結種子的菜蔬，並結果子的樹木，各從其類，果子都包着核。」事就這樣成了。"
"Old","1","1","12","於是地發生了青草和結種子的菜蔬，各從其類；並結果子的樹木，各從其類；果子都包着核。神看着是好的。"
"Old","1","1","13","有晚上，有早晨，是第三日。"
"Old","1","1","14","神說：「天上要有光體，可以分晝夜，作記號，定節令、日子、年歲，"
"Old","1","1","15","並要發光在天空，普照在地上。」事就這樣成了。"
"Old","1","1","16","於是神造了兩個大光，大的管晝，小的管夜，又 造 眾星，"
"Old","1","1","17","就把這些光擺列在天空，普照在地上，"
"Old","1","1","18","管理晝夜，分別明暗。神看着是好的。"
"Old","1","1","19","有晚上，有早晨，是第四日。"
"Old","1","1","20","神說：「水要多多滋生有生命的物；要有雀鳥飛在地面以上，天空之中。」"
"Old","1","1","21","神就造出大魚和水中所滋生各樣有生命的動物，各從其類；又造出各樣飛鳥，各從其類。神看着是好的。"
"Old","1","1","22","神就賜福給這一切，說：「滋生繁多，充滿海中的水；雀鳥也要多生在地上。」"
"Old","1","1","23","有晚上，有早晨，是第五日。"
"Old","1","1","24","神說：「地要生出活物來，各從其類；牲畜、昆蟲、野獸，各從其類。」事就這樣成了。"
"Old","1","1","25","於是神造出野獸，各從其類；牲畜，各從其類；地上一切昆蟲，各從其類。神看着是好的。"
"Old","1","1","26","神說：「我們要照着我們的形像、按着我們的樣式造人，使他們管理海裏的魚、空中的鳥、地上的牲畜，和全地，並地上所爬的一切昆蟲。」"
"Old","1","1","27","神就照着自己的形像造人，乃是照着他的形像造男造女。"
"Old","1","1","28","神就賜福給他們，又對他們說：「要生養眾多，遍滿地面，治理這地，也要管理海裏的魚、空中的鳥，和地上各樣行動的活物。」"
"Old","1","1","29","神說：「看哪，我將遍地上一切結種子的菜蔬和一切樹上所結有核的果子全賜給你們作食物。"
"Old","1","1","30","至於地上的走獸和空中的飛鳥，並各樣爬在地上有生命的物， 我將 青草 賜給 牠們作食物。」事就這樣成了。"
"Old","1","1","31","神看着一切所造的都甚好。有晚上，有早晨，是第六日。"
"Old","1","2","1","天地萬物都造齊了。"
"Old","1","2","2","到第七日，神造物的工已經完畢，就在第七日歇了他一切的工，安息了。"
"Old","1","2","3","神賜福給第七日，定為聖日；因為在這日，神歇了他一切創造的工，就安息了。"
"Old","1","2","4","創造天地的來歷，在耶和華神造天地的日子，乃是這樣，"
"Old","1","2","5","野地還沒有草木，田間的菜蔬還沒有長起來；因為耶和華神還沒有降雨在地上，也沒有人耕地，"
"Old","1","2","6","但有霧氣從地上騰，滋潤遍地。"
"Old","1","2","7","耶和華神用地上的塵土造人，將生氣吹在他鼻孔裏，他就成了有靈的活人， 名叫 。"
"Old","1","2","8","耶和華神在東方的 伊甸 立了一個園子，把所造的人安置在那裏。"
"Old","1","2","9","耶和華神使各樣的樹從地裏長出來，可以悅人的眼目， 其上的果子 好作食物。園子當中又有生命樹和分別善惡的樹。"
"Old","1","2","10","有河從 伊甸 流出來，滋潤那園子，從那裏分為四道："
"Old","1","2","11","第一道名叫 比遜 ，就是環繞 哈腓拉 全地的。在那裏有金子，"
"Old","1","2","12","並且那地的金子是好的；在那裏又有珍珠和紅瑪瑙。"
"Old","1","2","13","第二道河名叫 基訓 ，就是環繞 古實 全地的。"
"Old","1","2","14","第三道河名叫 底格里斯 ，流在 亞述 的東邊。第四道河就是 幼發拉底河 。"
"Old","1","2","15","耶和華神將那人安置在 伊甸園 ，使他修理，看守。"
"Old","1","2","16","耶和華神吩咐他說：「園中各樣樹上的果子，你可以隨意吃，"
"Old","1","2","17","只是分別善惡樹上的果子，你不可吃，因為你吃的日子必定死！」"
"Old","1","2","18","耶和華神說：「那人獨居不好，我要為他造一個配偶幫助他。」"
"Old","1","2","19","耶和華神用土所造成的野地各樣走獸和空中各樣飛鳥都帶到那人面前，看他叫甚麼。那人怎樣叫各樣的活物，那就是牠的名字。"
"Old","1","2","20","那人便給一切牲畜和空中飛鳥、野地走獸都起了名；只是那人沒有遇見配偶幫助他。"
"Old","1","2","21","耶和華神使他沉睡，他就睡了；於是取下他的一條肋骨，又把肉合起來。"
"Old","1","2","22","耶和華神就用那人身上所取的肋骨造成一個女人，領她到那人跟前。"
"Old","1","2","23","那人說： 這是我骨中的骨， 肉中的肉， 可以稱她為「女人」， 因為她是從「男人」身上取出來的。"
"Old","1","2","24","因此，人要離開父母，與妻子連合，二人成為一體。"
"Old","1","2","25","當時夫妻二人赤身露體，並不羞恥。"
"Old","1","3","1","耶和華神所造的，惟有蛇比田野一切的活物更狡猾。蛇對女人說：「神豈是真說不許你們吃園中所有樹上的果子嗎？」"
"Old","1","3","2","女人對蛇說：「園中樹上的果子，我們可以吃，"
"Old","1","3","3","惟有園當中那棵樹上的果子，神曾說：『你們不可吃，也不可摸，免得你們死。』」"
"Old","1","3","4","蛇對女人說：「你們不一定死；"
"Old","1","3","5","因為神知道，你們吃的日子眼睛就明亮了，你們便如神能知道善惡。」"
"Old","1","3","6","於是女人見那棵樹 的果子 好作食物，也悅人的眼目，且是可喜愛的，能使人有智慧，就摘下果子來吃了，又給她丈夫，她丈夫也吃了。"
"Old","1","3","7","他們二人的眼睛就明亮了，才知道自己是赤身露體，便拿無花果樹的葉子為自己編做裙子。"
"Old","1","3","8","天起了涼風，耶和華神在園中行走。那人和他妻子聽見神的聲音，就藏在園裏的樹木中，躲避耶和華神的面。"
"Old","1","3","9","耶和華神呼喚那人，對他說：「你在哪裏？」"
"Old","1","3","10","他說：「我在園中聽見你的聲音，我就害怕；因為我赤身露體，我便藏了。」"
"Old","1","3","11","耶和華說：「誰告訴你赤身露體呢？莫非你吃了我吩咐你不可吃的那樹上的果子嗎？」"
"Old","1","3","12","那人說：「你所賜給我、與我同居的女人，她把那樹上的果子給我，我就吃了。」"
"Old","1","3","13","耶和華神對女人說：「你做的是甚麼事呢？」女人說：「那蛇引誘我，我就吃了。」"
"Old","1","3","14","耶和華神對蛇說： 你既做了這事，就必受咒詛， 比一切的牲畜野獸更甚； 你必用肚子行走， 終身吃土。"
"Old","1","3","15","我又要叫你和女人彼此為仇； 你的後裔和女人的後裔也彼此為仇。 女人的後裔要傷你的頭； 你要傷他的腳跟。"
"Old","1","3","16","又對女人說： 我必多多加增你懷胎的苦楚； 你生產兒女必多受苦楚。 你必戀慕你丈夫； 你丈夫必管轄你。"
"Old","1","3","17","又對 亞當 說： 你既聽從妻子的話， 吃了我所吩咐你不可吃的那樹上的果子， 地必為你的緣故受咒詛； 你必終身勞苦才能從地裏得吃的。"
"Old","1","3","18","地必給你長出荊棘和蒺藜來； 你也要吃田間的菜蔬。"
"Old","1","3","19","你必汗流滿面才得糊口， 直到你歸了土， 因為你是從土而出的。 你本是塵土，仍要歸於塵土。"
"Old","1","3","20","亞當 給他妻子起名叫 夏娃 ，因為她是眾生之母。"
"Old","1","3","21","耶和華神為 亞當 和他妻子用皮子做衣服給他們穿。"
"Old","1","3","22","耶和華神說：「那人已經與我們相似，能知道善惡；現在恐怕他伸手又摘生命樹的果子吃，就永遠活着。」"
"Old","1","3","23","耶和華神便打發他出 伊甸園 去，耕種他所自出之土。"
"Old","1","3","24","於是把他趕出去了；又在 伊甸園 的東邊安設基路伯和四面轉動發火焰的劍，要把守生命樹的道路。"
"Old","1","4","1","有一日，那人和他妻子 夏娃 同房， 夏娃 就懷孕，生了 該隱 ，便說：「耶和華使我得了一個男子。」"
"Old","1","4","2","又生了 該隱 的兄弟 亞伯 。 亞伯 是牧羊的； 該隱 是種地的。"
"Old","1","4","3","有一日， 該隱 拿地裏的出產為供物獻給耶和華；"
"Old","1","4","4","亞伯 也將他羊羣中頭生的和羊的脂油獻上。耶和華看中了 亞伯 和他的供物，"
"Old","1","4","5","只是看不中 該隱 和他的供物。 該隱 就大大地發怒，變了臉色。"
"Old","1","4","6","耶和華對 該隱 說：「你為甚麼發怒呢？你為甚麼變了臉色呢？"
"Old","1","4","7","你若行得好，豈不蒙悅納？你若行得不好，罪就伏在門前。它必戀慕你，你卻要制伏它。」"
"Old","1","4","8","該隱 與他兄弟 亞伯 說話；二人正在田間。 該隱 起來打他兄弟 亞伯 ，把他殺了。"
"Old","1","4","9","耶和華對 該隱 說：「你兄弟 亞伯 在哪裏？」他說：「我不知道！我豈是看守我兄弟的嗎？」"
"Old","1","4","10","耶和華說：「你做了甚麼事呢？你兄弟的血有聲音從地裏向我哀告。"
"Old","1","4","11","地開了口，從你手裏接受你兄弟的血。現在你必從這地受咒詛。"
"Old","1","4","12","你種地，地不再給你效力；你必流離飄蕩在地上。」"
"Old","1","4","13","該隱 對耶和華說：「我的刑罰太重，過於我所能當的。"
"Old","1","4","14","你如今趕逐我離開這地，以致不見你面；我必流離飄蕩在地上，凡遇見我的必殺我。」"
"Old","1","4","15","耶和華對他說：「凡殺 該隱 的，必遭報七倍。」耶和華就給 該隱 立一個記號，免得人遇見他就殺他。"
"Old","1","4","16","於是 該隱 離開耶和華的面，去住在 伊甸 東邊 挪得 之地。"
"Old","1","4","17","該隱 與妻子同房，他妻子就懷孕，生了 以諾 。 該隱 建造了一座城，就按着他兒子的名將那城叫做 以諾 。"
"Old","1","4","18","以諾 生 以拿 ； 以拿 生 米戶雅利 ； 米戶雅利 生 瑪土撒利 ； 瑪土撒利 生 拉麥 。"
"Old","1","4","19","拉麥 娶了兩個妻：一個名叫 亞大 ，一個名叫 洗拉 。"
"Old","1","4","20","亞大 生 雅八 ； 雅八 就是住帳棚、牧養牲畜之人的祖師。"
"Old","1","4","21","雅八 的兄弟名叫 猶八 ；他是一切彈琴吹簫之人的祖師。"
"Old","1","4","22","洗拉 又生了 土八‧該隱 ；他是打造各樣銅鐵利器的 。 土八‧該隱 的妹子是 拿瑪 。"
"Old","1","4","23","拉麥 對他兩個妻子說： 亞大 、 洗拉 ，聽我的聲音； 拉麥 的妻子，細聽我的話語： 壯年人傷我，我把他殺了； 少年人損我，我把他害了 。"
"Old","1","4","24","若殺 該隱 ，遭報七倍， 殺 拉麥 ，必遭報七十七倍。"
"Old","1","4","25","亞當 又與妻子同房，她就生了一個兒子，起名叫 塞特 ，意思說：「神另給我立了一個兒子代替 亞伯 ，因為 該隱 殺了他。」"
"Old","1","4","26","塞特 也生了一個兒子，起名叫 以挪士 。那時候，人才求告耶和華的名。"
"Old","1","5","1","亞當 的後代記在下面。（當神造人的日子，是照着自己的樣式造的，"
"Old","1","5","2","並且造男造女。在他們被造的日子，神賜福給他們，稱他們為「人」。）"
"Old","1","5","3","亞當 活到一百三十歲，生了一個兒子，形像樣式和自己相似，就給他起名叫 塞特 。"
"Old","1","5","4","亞當 生 塞特 之後，又在世八百年，並且生兒養女。"
"Old","1","5","5","亞當 共活了九百三十歲就死了。"
"Old","1","5","6","塞特 活到一百零五歲，生了 以挪士 。"
"Old","1","5","7","塞特 生 以挪士 之後，又活了八百零七年，並且生兒養女。"
"Old","1","5","8","塞特 共活了九百一十二歲就死了。"
"Old","1","5","9","以挪士 活到九十歲，生了 該南 。"
"Old","1","5","10","以挪士 生 該南 之後，又活了八百一十五年，並且生兒養女。"
"Old","1","5","11","以挪士 共活了九百零五歲就死了。"
"Old","1","5","12","該南 活到七十歲，生了 瑪勒列 。"
"Old","1","5","13","該南 生 瑪勒列 之後，又活了八百四十年，並且生兒養女。"
"Old","1","5","14","該南 共活了九百一十歲就死了。"
"Old","1","5","15","瑪勒列 活到六十五歲，生了 雅列 。"
"Old","1","5","16","瑪勒列 生 雅列 之後，又活了八百三十年，並且生兒養女。"
"Old","1","5","17","瑪勒列 共活了八百九十五歲就死了。"
