Testament,Book,Chapter,Verse,Content
"New","40","1","1","押拉函 後、 大衛 之裔、耶穌基督族譜。○"
"New","40","1","2","押拉函 生 以塞 、 以塞 生 雅佮 、 雅佮 生 猶大 、與兄弟、"
"New","40","1","3","猶大 自 他瑪 氏生 比里士 、 西剌 、 比里士 生 希斯崙 、 希斯崙 生 亞藍 、"
"New","40","1","4","亞藍 生 亞米拿答 、 亞米拿答 生 拿順 、 拿順 生 撒門 、"
"New","40","1","5","撒門 自 剌合 氏生 波士 、 波士 自 路得 氏生 阿拔 、 阿拔 生 耶西 、"
"New","40","1","6","耶西 生 大衛 王○ 大衛 自 烏利亞 妻生 鎖羅門 、"
"New","40","1","7","鎖羅門 生 羅波暗 、 羅波暗 生 亞比亞 、 亞比亞 生 亞撒 、"
"New","40","1","8","亞撒 生 約沙發 、 約沙發 生 約藍 、 約藍 生 烏西亞 、"
"New","40","1","9","烏西亞 生 約覃 、 約覃 生 亞喝士 、 亞喝士 生 希西家 、"
"New","40","1","10","希西家 生 馬拿西 、 馬拿西 生 亞門 、 亞門 生 約西亞 、"
"New","40","1","11","民見徙於 巴比倫 時、 約西亞 生 耶哥尼亞 、與兄弟。○"
"New","40","1","12","徙 巴比倫 後、 耶哥尼亞 生 社里鐵 、 社里鐵 生 鎖羅把伯 、"
"New","40","1","13","鎖羅把伯 生 亞比鬱 、 亞比鬱 生 伊利亞金 、 伊利亞金 生 亞所 、"
"New","40","1","14","亞所 生 撒鐸 、 撒鐸 生 亞衿 、 亞衿 生 伊律 、"
"New","40","1","15","伊律 生 伊利亞撒 、 伊利亞撒 生 馬坦 、 馬坦 生 雅佮 、"
"New","40","1","16","雅佮 生 約燮 、是為 馬利亞 之夫、耶穌稱基督者生自 馬利亞 也。○"
"New","40","1","17","如是由 押拉函 至 大衛 十四代、由 大衛 至徙 巴比倫 十四代、由徙 巴比倫 至基督十四代。○"
"New","40","1","18","夫耶穌基督、其生如左、母 馬利亞 許嫁 約燮 、未于歸、既遇有孕自乎聖神。"
"New","40","1","19","其夫 約燮 義人也、不願顯辱之、意欲隱去之。"
"New","40","1","20","思此閒、視有主之使見於夢曰、 大衛 之裔 約燮 、勿懼攜取爾妻 馬利亞 、蓋所孕者自聖神也。"
"New","40","1","21","彼將生子、爾且稱其名為耶穌、蓋將救其民脫厥罪也。"
"New","40","1","22","凡此既成、以盈滿主由先知所言曰、"
"New","40","1","23","視彼處女、將孕生子、人稱其名、 以馬內利 、譯即上帝偕我也。"
"New","40","1","24","約燮 自寢而興、如主使所命而行、攜取其妻、"
"New","40","1","25","未與同室、及至生子、則稱其名為耶穌。○"
"New","40","2","1","希律 王諸日、耶穌既生於 猶太 之 廢利函 、視有博士數人自東方至 耶路撒冷 、"
"New","40","2","2","曰、生而為 猶太 人王者安在、蓋我在東方見其星、故來拜之。"
"New","40","2","3","希律 王聞之愕、舉 耶路撒冷 皆然。"
"New","40","2","4","乃集諸祭司長民諸士子、問之以基督於何處生。"
"New","40","2","5","遂語之曰、在 猶太 之 廢利函 、蓋由先知載曰、"
"New","40","2","6","猶大 地 廢利函 乎、在 猶大 之侯中、爾非最小者、蓋將有君自爾是出、以牧我 以色列 民矣。"
"New","40","2","7","於是 希律 隱召博士、得以詳聞星見之時。"
"New","40","2","8","遂遣之至 廢利函 、云爾往詳訪嬰孩事、遇之則告我、俾我亦來拜之。"
"New","40","2","9","博士聞王而去、視有東方所見之星前導、至嬰孩所在、則止其上。"
"New","40","2","10","博士見星、喜不自勝。"
"New","40","2","11","入屋見嬰孩與母 馬利亞 、俯伏拜嬰孩、啟其藏、以黃金、乳香、沒藥、諸物獻。"
"New","40","2","12","且於夢得示、令勿返就 希律 、則由他路往歸己土。○"
"New","40","2","13","既往後、視有主之使於夢見 約燮 曰、起、攜嬰孩及母逃入 挨及 、寓彼、待我告爾、蓋 希律 將索嬰孩滅之。"
"New","40","2","14","遂起、攜嬰孩及母、夜往 挨及 、"
"New","40","2","15","寓彼、至 希律 卒、以盈滿主由先知所言、云、曾召我子出 挨及 矣。"
"New","40","2","16","於是 希律 見為博士所戲、怒甚、遣人、以 廢利函 及四境所有之男子、依其詳聞於博士之時、凡二歲以下者殺之。"
"New","40","2","17","於是盈滿昔由先知 耶利米 所言、云、"
"New","40","2","18","在 拉馬 聞聲、哭泣慟甚、 拉結 哭其諸子、不願受慰、以其無存。○"
"New","40","2","19","希律 既卒、視有主之使者在 挨及 、於夢見 約燮 、曰、"
"New","40","2","20","起、攜嬰孩及母、往 以色列 地、蓋索嬰孩魂者已死矣。"
"New","40","2","21","遂起、攜嬰孩及母至 以色列 地。"
"New","40","2","22","但聞 亞基老 繼父 希律 王乎 猶太 、則懼往於彼、乃於夢得示、故適 加利利 境、"
"New","40","2","23","至一邑名 拿撒栗 、居之、以盈滿昔由諸先知所言、云、其將稱為 拿撒栗 人矣。○"
"New","40","3","1","當此諸日、施蘸 約翰 來宣於 猶太 之野、"
"New","40","3","2","曰、爾其悔志、蓋天國邇矣。"
"New","40","3","3","此乃昔由先知 以賽亞 所言者、曰、謹於野者其聲云、備主路、直其徑。"
"New","40","3","4","夫 約翰 衣駝毛、腰皮帶、食則蝗蟲野蜜。"
"New","40","3","5","於是 耶路撒冷 、盡 猶太 、 約但 四方、咸出就之、"
"New","40","3","6","在 約但 河受其蘸、認己罪。"
"New","40","3","7","約翰 見 法利賽 、 撒都該 人多就其蘸、語之曰、蝮類乎、誰示爾逃避方來之怒乎。"
"New","40","3","8","故爾惟結果堪於悔志、"
"New","40","3","9","勿以為內自云、我有 押拉函 為父、蓋我告爾、上帝能自此石而起諸子于 押拉函 。"
"New","40","3","10","今也斧置諸樹根、故凡樹不結美果者、被伐而投火。"
"New","40","3","11","我乃蘸爾於水、以致悔志、但後我來者力勝於我、其履我亦不足提、彼將蘸爾於聖神及火。"
"New","40","3","12","其手執箕、將簸淨厥場、斂麥入倉、而燒糠以不滅之火。○"
"New","40","3","13","時耶穌來自 加利利 、至 約但 、就 約翰 以受其蘸。"
"New","40","3","14","約翰 辭曰、我須受蘸於爾、爾乃就我乎。"
"New","40","3","15","惟耶穌應語之曰、今姑容諸、我儕宜如是以盈滿諸義。乃容之。"
"New","40","3","16","耶穌既蘸、即自水而上、乃見諸天為之開。遂見上帝之神如鴿降臨其上、"
"New","40","3","17","又自諸天有聲、云、此我愛子我所喜悅。○"
"New","40","4","1","於是神引耶穌適野受試於魔。"
"New","40","4","2","禁食既四十日夜、後遂飢、"
"New","40","4","3","試者至語之曰、爾若上帝子、則語此諸石使為餅。"
"New","40","4","4","惟彼應日、經載云、人將生、不第藉餅、乃藉上帝口凡所出之言。"
"New","40","4","5","魔則攜之至聖邑、置之殿頂、"
"New","40","4","6","謂之曰、爾若上帝子、自投下、蓋經載云、將為爾命厥眾使、將手扶爾、免爾足觸石。"
"New","40","4","7","耶穌語之曰、經亦載云、勿試主、爾之上帝。"
"New","40","4","8","魔復攜之、登最高山、以天下萬國、與其榮華、示之。"
"New","40","4","9","語之曰、若俯伏拜我、此皆以予爾。"
"New","40","4","10","耶穌則告之曰、 撒但 退、蓋載經云、爾將拜主、爾之上帝、獨崇事焉。"
"New","40","4","11","於是魔去之。乃見有諸使至役事之。"
"New","40","4","12","耶穌聞 約翰 被付、乃往 加利利 、"
"New","40","4","13","又去 拿撤栗 、至 迦百農 居焉、其地濱海、在 西布倫   納大利 境、"
"New","40","4","14","以盈滿昔由先知 以賽亞 所言云、"
"New","40","4","15","西布倫 地、 納大利 地、沿海之路、 約但 河外、列邦之 加利利 、"
"New","40","4","16","坐暗之民、已見大光、坐死地陰翳者、有光昇及之。○"
"New","40","4","17","自是耶穌始宣曰、爾其悔志、蓋天國邇矣。○"
"New","40","4","18","遊行 加利利 海濱、見 西門 稱 彼得 與兄弟 安得寥 、二兄弟施罟於海、蓋漁者也。"
