Testament,Book,Chapter,Verse,Content
"New","40","1","1","Авраампа Давид йӑхӗнчен ҫуралнӑ Иисус Христосӑн йӑх-несӗл тымарӗ."
"New","40","1","2","Авраам ачи Исаак пулнӑ; Исаак ачи – Иаков; Иаков ачисем Иудӑпа унӑн пӗртӑванӗсем пулнӑ;"
"New","40","1","3","Иуда ачисем – Фареспа Зара, вӗсен амӑшӗ Фамарь пулнӑ. Фарес ачи – Есром, Есром ачи Арам пулнӑ;"
"New","40","1","4","Арам ачи – Аминадав; Аминадав ачи – Наассон; Наассон ачи Салмон пулнӑ."
"New","40","1","5","Салмон ачи – Вооз, унӑн амӑшӗ Рахава пулнӑ. Вооз Овид ашшӗ пулнӑ, Овид амӑшӗ Руфь пулнӑ. Овид ачи Иессей пулнӑ;"
"New","40","1","6","Иессей ачи Давид патша пулнӑ; Давид ачи – Соломон, Соломон амӑшӗ малтан Урия арӑмӗ пулнӑ;"
"New","40","1","7","Соломон ачи – Ровоам, Ровоам ачи – Авия, Авия ачи Аса пулнӑ;"
"New","40","1","8","Аса ачи – Иосафат, Иосафат ачи – Иорам, Иорам ачи Озия пулнӑ;"
"New","40","1","9","Озия ачи – Иоафам, Иоафам ачи – Ахаз, Ахаз ачи Езекия пулнӑ."
"New","40","1","10","Езекия ачи – Манассия, Манассия ачи – Амон, Амон ачи Иосия пулнӑ;"
"New","40","1","11","Иосия ачи – Иоаким; Израиль халӑхне Вавилона куҫарса каяс умӗн Иоакимран Иехонияпа унӑн пӗртӑванӗсем ҫуралнӑ."
"New","40","1","12","Вавилона куҫарса кайнӑ хыҫҫӑн Иехонияран Салафииль ҫуралнӑ; Салафииль ачи Зоровавель пулнӑ;"
"New","40","1","13","Зоровавель ачи – Авиуд, Авиуд ачи – Елиаким, Елиаким ачи Азор пулнӑ;"
"New","40","1","14","Азортан Садок ҫуралнӑ; Садок ачи – Ахим, Ахим ачи Елиуд пулнӑ;"
"New","40","1","15","Елиудран Елеазар ҫуралнӑ; Елеазар ачи – Матфан, Матфан ачи Иаков пулнӑ;"
"New","40","1","16","Иаковран Мариян упӑшки Иосиф ҫуралнӑ, Мария вара Христос теекен Иисуса ҫуратнӑ."
"New","40","1","17","Ҫапла вара Авраамран пуҫласа Давида ҫитиччен пурӗ вун тӑватӑ сыпӑк. Давидран пуҫласа Вавилона куҫарса кайиччен те вун тӑватӑ сыпӑк. Вавилона куҫнинчен пуҫласа Христос ҫураличчен те вун тӑватӑ сыпӑк."
"New","40","1","18","Иисус Христос ҫурални вара акӑ ҫапла пулса иртнӗ: Иисус Амӑшне, Марияна, Иосиф валли ҫураҫсан, вӗсем пӗрле пурӑнма пуҫличченех, Святой Сывлӑш хӑвачӗпе Мариян ҫие юлнӑ."
"New","40","1","19","Унӑн пулас упӑшки Иосиф тӳрӗ пурӑнакан ҫын пулнӑ. Вӑл, Мариян ятне ярас мар тесе, сас-хура кӑлармасӑр Ӑна пӑрахма шут тытнӑ."
"New","40","1","20","Анчах та вӑл ҫапла шухӑшласанах ӑна тӗлӗкре Хуҫа Туррӑмӑрӑн ангелӗ курӑннӑ. «Давид патша йӑхӗнчи Иосиф, – тенӗ Турӑ ангелӗ, – эсӗ арӑмна, Марияна, ху патна илме ан хӑра, Вӑл Святой Сывлӑш хӑвачӗпе йывӑр ҫын пулнӑ."
"New","40","1","21","Вӑл Ывӑл Ача ҫуратӗ, эсӗ ҫав Ачана Иисус ятлӑ хурӑн, мӗншӗн тесен Вӑл Хӑйӗн халӑхне ҫылӑхӗсенчен ҫӑлӗ»."
"New","40","1","22","Ҫак ӗҫсем Хуҫа Турӑ пророк урлӑ калани пурнӑҫланмашкӑн пулса иртнӗ, пророк ҫапла каланӑ пулнӑ:"
"New","40","1","23","«Акӑ Хӗр йывӑр ҫын пулса Ывӑл Ача ҫуратӗ, Ӑна Еммануил ятлӑ хурӗҫ». Еммануил тени «Турӑ пирӗнпе» тенине пӗлтерет."
"New","40","1","24","Иосиф ыйхӑран вӑраннӑ. Унтан вӑл, Хуҫа Туррӑмӑрӑн ангелӗ хушнӑ пекех, арӑмне хӑй патне илнӗ."
"New","40","1","25","Анчах вӑл Марияпа ҫывӑрман. Пурӑна-киле Мария Хӑйӗн пӗртен-пӗр Ывӑлне ҫуратнӑ. Иосиф Ӑна Иисус ятлӑ хунӑ."
"New","40","2","1","Ирод патша вӑхӑтӗнче, Иудейӑри Вифлеем хулинче Иисус ҫуралсан, хӗвел тухӑҫӗнчи ӑсчахсем Иерусалима пынӑ та халӑхран ҫапла ыйтнӑ:"
"New","40","2","2","«Иудейсен Патши пулма ҫуралнӑ Ача ӑҫта-ши? Ӗнтӗ эпир хӗвел тухӑҫӗнче Унӑн ҫӑлтӑрне куртӑмӑр та Ӑна пуҫҫапма килтӗмӗр»."
"New","40","2","3","Ҫакна илтсен Ирод патша та, пӗтӗм Иерусалим ҫыннисем те аптӑраса ӳкнӗ."
"New","40","2","4","Вара Ирод аслӑ священниксене, халӑха Моисей саккунне вӗрентекенсене пурне те пухнӑ та: «Христосӑн ӑҫта ҫуралмалла?» – тесе тӗпчесе ыйтнӑ."
