Testament,Book,Chapter,Verse,Content
"New","40","1","1","Rodokmen Ježíše Krista, syna Davidova, syna Abrahamova."
"New","40","1","2","Abraham zplodil Izáka, Izák zplodil Jakuba, Jakub zplodil Judu a jeho bratry."
"New","40","1","3","Juda zplodil Faresa a Zarama z Thamary, Fares zplodil Esrona, Esron zplodil Arama,"
"New","40","1","4","Aram zplodil Aminadaba, Aminadab zplodil Násona, Náson zplodil Salmona,"
"New","40","1","5","Salmon zplodil Bóza z Rahaby, Bóz zplodil Obeda z Eut, Obed zplodil Jessaie, Jessai zplodil krále Davida."
"New","40","1","6","Král David zplodil Šalomouna z manželky Uriášovy,"
"New","40","1","7","Šalomoun zplodil Roboama, Roboam zplodil Abiáše,"
"New","40","1","8","Abiáš zplodil Asu, Asa zplodil Josafata, Josafat zplodil Jorama, Joram zplodil Osiáše,"
"New","40","1","9","Osiáš zplodil Joathama, Joatham zplodil Achaza, Achaz zplodil Ezechiáše,"
"New","40","1","10","Ezechiáš zplodil Manassesa, Manasses zplodil Amosa, Amos zplodil Josiáše,"
"New","40","1","11","Josiáš zplodil Jechoniáše a jeho bratry za stěhování do Babylona."
"New","40","1","12","A po stěhování do Babylona Jechoniáš zplodil Salathiela, Salathiel zplodil Zorobabela,"
"New","40","1","13","Zorobabel zplodil Abiuda, Abiud zplodil Eliakima, Eliakim zplodil Azora,"
"New","40","1","14","Azor zplodil Sadoka, Sadok zplodil Achima, Achim zplodil Eliuda,"
"New","40","1","15","Eliud zplodil Eleazara, Eleazar zplodil Mathana, Mathan zplodil Jakuba,"
"New","40","1","16","Jakub zplodil Josefa, muže Marie, z které se narodil Ježíš, který se nazývá Kristus."
"New","40","1","17","Všech pokolení od Abrahama až po Davida bylo tedy čtrnáct, od Davida až po stěhování do Babylona čtrnáct pokolení, od stěhování do Babylona až do Krista čtrnáct pokolení."
"New","40","1","18","Zrození Ježíše Krista se stalo takto. Jeho matka Maria byla zasnoubena Josefovi, a dříve než se sešli, shledalo se, že je těhotná z Ducha svatého."
"New","40","1","19","Protože její muž Josef byl spravedlivý a nechtěl ji vydat (pohaně), zamýšlel tajně ji propustit."
"New","40","1","20","Ale když o tom uvažoval, hle, zjevil se mu ve snu anděl Páně a řekl: „Josefe, Davidův synu, neboj se vzít k sobě svou manželku Marii, neboť co v ní bylo počato, je z Ducha svatého."
"New","40","1","21","Porodí pak syna a dáš mu jméno Ježíš; on totiž spasí svůj lid od jeho hříchů.“"
"New","40","1","22","Toto všecko se stalo, aby se naplnilo, co řekl Pán skrze proroka:"
"New","40","1","23","Hle, panna počne a porodí syna a nazvou ho jménem Emanuel, což je v překladu „Bůh s námi.“"
"New","40","1","24","Když se Josef probudil ze spánku, udělal, jak mu přikázal anděl Páně, a vzal svou manželku k sobě."
"New","40","1","25","A nepoznal jí, až porodila syna; a nazval ho jménem Ježíš."
"New","40","2","1","Když se tedy narodil Ježíš v Betlémě v Judeji za dnů krále Heroda, hle, přišli do Jerusalema mudrci od východu"
"New","40","2","2","a pravili: „Kde je ten narozený židovský král? Viděli jsme totiž jeho hvězdu na východě a přišli jsme se mu poklonit.“"
"New","40","2","3","Sotva to Herodes uslyšel, vzrušil se a celý Jerusalem s ním."
"New","40","2","4","I svolal všechny velekněze a vykladatele Písma v lidu a vyptával se jich, kde se má Mesiáš narodit."
"New","40","2","5","A oni mu řekli: „V Betlémě v Judeji, neboť tak psal prorok:"
