Testament,Book,Chapter,Verse,Content
"New","40","1","1","Kniha rodu Ježíše Krista, syna Davidova, syna Abrahamova:"
"New","40","1","2","Abraham zplodil Izáka, Izák zplodil Jákoba, Jákob zplodil Judu a jeho bratry."
"New","40","1","3","Judas pak zplodil Fáresa a Záru z Támary a Fáres zplodil Ezroma. Ezrom zplodil Arama."
"New","40","1","4","Aram pak zplodil Amínadaba a Amínadab zplodil Názona. Názon zplodil Salmona."
"New","40","1","5","Salmon zplodil Boáze z Rachab a Boáz zplodil Obéda z Rút. Obéd pak zplodil Isaje."
"New","40","1","6","Isaj zplodil krále Davida a král David zplodil Šalomouna z manželky Uriášovy."
"New","40","1","7","Šalomoun zplodil Roboáma, Roboám zplodil Abiáše, Abiáš zplodil Azu,"
"New","40","1","8","Aza zplodil Jozafata, Jozafat zplodil Jorama, Joram zplodil Oziáše."
"New","40","1","9","Oziáš pak zplodil Joatama a Joatam zplodil Achaza. Achaz zplodil Ezechiáše."
"New","40","1","10","Ezechiáš pak zplodil Manasese a Manases zplodil Amona. Amon pak zplodil Joziáše."
"New","40","1","11","Joziáš pak zplodil Jekoniáše a jeho bratry za babylónského zajetí."
"New","40","1","12","Po zavlečení do Babylónu pak Jekoniáš zplodil Salatiela a Salatiel zplodil Zorobábela."
"New","40","1","13","Zorobábel zplodil Abiuda a Abiud zplodil Eliakima, Eliakim pak zplodil Azora."
"New","40","1","14","Azor potom zplodil Sádocha, Sádoch zplodil Achima a Achim zplodil Eliuda."
"New","40","1","15","Eliud zplodil Eleazara, Eleazar zplodil Mátana, Mátan zplodil Jákoba."
"New","40","1","16","Jákob pak zplodil Josefa, muže Marie, z níž se narodil Ježíš zvaný Kristus."
"New","40","1","17","A tak [bylo] celkem čtrnáct pokolení od Abrahama až do Davida, čtrnáct pokolení od Davida až do babylónského zajetí a čtrnáct pokolení od babylónského zajetí až do Krista."
"New","40","1","18","Narození Ježíše Krista se událo takto: Když byla jeho matka Marie zasnoubena Josefovi, ještě než se sešli, ukázalo se, že je těhotná z Ducha Svatého."
"New","40","1","19","Ale její muž Josef byl spravedlivý a protože ji nechtěl vystavit potupě, rozhodl se propustit ji potají."
"New","40","1","20","Když pak o těch věcech přemýšlel, hle, Pánův anděl se mu ukázal ve snu a řekl: ""Josefe, synu Davidův, neboj se vzít si Marii za svou manželku, neboť to, co je v ní počato, je z Ducha Svatého."
"New","40","1","21","Porodí pak syna a dáš mu jméno Ježíš, neboť on zachrání svůj lid od jejich hříchů."""
"New","40","1","22","Toto všechno se stalo, aby se naplnilo to, co Pán promluvil skrze proroka, který řekl:"
"New","40","1","23","""Hle, panna bude těhotná a porodí syna a dají mu jméno Emmanuel,"" které se překládá: Bůh s námi."
"New","40","1","24","Když se pak Josef probudil ze spánku, udělal, co mu přikázal Pánův anděl a přijal [Marii] za svou manželku."
"New","40","1","25","Ale nepoznal ji až do té doby, než porodila svého prvorozeného syna; a dal mu jméno Ježíš."
"New","40","2","1","Když se pak Ježíš narodil v judském Betlémě za dnů krále Heroda, hle, do Jeruzaléma přišli mágové od východu"
"New","40","2","2","a říkali: ""Kde je ten narozený židovský král? Viděli jsme totiž na východě jeho hvězdu a přišli jsme, abychom se mu poklonili."""
