Testament,Book,Chapter,Verse,Content
"New","40","1","1","Yezu Krista buruju filɛ nin ye. Yezu Krista buruju bɔra Dawuda la, Dawuda fana buruju bɔra Ibrayima na."
"New","40","1","2","Ibrayima tun ye Isiyaka facɛ ye. Isiyaka fana tun ye Yakuba facɛ ye. Yakuba fana tun ye Zuda n'a balimaw facɛ ye."
"New","40","1","3","Zuda fana tun ye Farɛsi ni Zara sɔrɔ Tamari ma. Farɛsi fana tun ye Ɛsirɔn facɛ ye. Ɛsirɔn fana tun ye Aramu facɛ ye."
"New","40","1","4","Aramu fana tun ye Aminadabu facɛ ye. Aminadabu fana tun ye Naasɔn facɛ ye. Naasɔn fana tun ye Salimɔn facɛ ye."
"New","40","1","5","Salimɔn fana tun ye Boozi sɔrɔ Araabu ma. Boozi fana tun ye Zobɛdi sɔrɔ Uruti ma. Zobɛdi fana tun ye Zese facɛ ye."
"New","40","1","6","Zese fana tun ye masacɛ Dawuda facɛ ye. Dawuda fana tun ye Solomani facɛ ye. Solomani bamuso tun ye Uri ka muso ye."
"New","40","1","7","Solomani fana tun ye Orobowamu facɛ ye. Orobowamu fana tun ye Abiya facɛ ye. Abiya fana tun ye Aza facɛ ye."
"New","40","1","8","Aza fana tun ye Zozafati facɛ ye. Zozafati fana tun ye Zoramu facɛ ye. Zoramu fana tun ye Oziyasi facɛ ye."
"New","40","1","9","Oziyasi fana tun ye Zowatan facɛ ye. Zowatan fana tun ye Akazi facɛ ye. Akazi fana tun ye Ezekiyasi facɛ ye."
"New","40","1","10","Ezekiyasi fana tun ye Manase facɛ ye. Manase fana tun ye Amɔn facɛ ye. Amɔn fana tun ye Zoziyasi facɛ ye."
"New","40","1","11","Zoziyasi fana tun ye Zekoniyasi n'a balimaw facɛ ye. Zekoniyasi ka tile la, Babilɔnikaw ye see sɔrɔ u kan, u ye u cɛ ka taa u kɛ jɔɔnw ye Babilɔni."
"New","40","1","12","U bɔnin kɔ jɔnya la Babilɔni, Zekoniyasi ye Salatiyɛli wolo. Salatiyɛli fana ye Zorobabɛli wolo."
"New","40","1","13","Zorobabɛli fana ye Abiyudi wolo. Abiyudi fana ye Eliyakimu wolo. Eliyakimu fana ye Azɔri wolo."
"New","40","1","14","Azɔri fana ye Sadɔki wolo. Sadɔki fana ye Akimu wolo. Akimu fana ye Eliyudi wolo."
"New","40","1","15","Eliyudi fana ye Eleyazari wolo. Eleyazari fana ye Matan wolo. Matan fana ye Yakuba wolo."
"New","40","1","16","Yakuba fana ye Yusufu wolo. Yusufu ye Mariyamu furu. Mɔgɔw bɛ Yezu min wele ko Krista, Mariyamu ye ale bamuso ye."
"New","40","1","17","K'a ta Ibrayima ma ka n'a bila Dawuda la, faa tan ni naani bɛ olu cɛ. K'a ta Dawuda ma ka n'a bila u taawaati ma jɔnya la, faa tan ni naani bɛ o waati cɛ. K'a ta jɔnya waati ma Babilɔni ka n'a bila Krista la, faa tan ni naani fana bɛ o waati cɛ."
"New","40","1","18","Yezu Krista wolola cogo min na, o filɛ. A bamuso tɔgɔ tun ko Mariyamu, a maminɛnin tun bɛ Yusufu fɛ. Sanni u ka furu kɛ, o y'a sɔrɔ Mariyamu ye kɔnɔ ta Nii Senuman barika la."
"New","40","1","19","Yusufu tun ye mɔgɔnyuman ye minkɛ, a tun t'a fɛ ka Mariyamu tɔgɔ cɛn mɔgɔw nyana. O la, a y'a; naniya ko a bɛna ban Mariyamu na dogo la."
"New","40","1","20","O; naniya tanin kɔ, Matigi ka mɛlɛkɛ dɔ y'a yɛrɛ yira a la sigo la k'a fɔ a ye ko: “Dawuda deen Yusufu, i kana siran ka Mariyamu furu, bari a ye kɔnɔ ta Nii Senuman barika la."
"New","40","1","21","A bɛna dencɛ wolo, i k'a tɔgɔ la ko Yezu, bari ale le bɛn'a ka mɔgɔw kisi u ka kojuguw tɔɔrɔ ma.”"
"New","40","1","22","O koow bɛɛ kɛra ten janko kira tun ye Matigi ka kuma min fɔ, o ka kɛ. A tun y'a fɔ ko:"
"New","40","1","23","“Sunguru dɔ bɛna kɔnɔ ta ka dencɛ wolo. O deen nin tɔgɔ bɛna la ko Emanuwɛli, o kɔrɔ ko Ala b'an cɛma.”"
"New","40","1","24","Yusufu kununna tuma min na, Matigi ka mɛlɛkɛ tun ye min fɔ a ye, a y'o kɛ. A ye Mariyamu furu siri."
"New","40","1","25","Nga, u ma jɛn fɔɔ Mariyamu nana jigi dencɛ la. Yusufu ye o deen nin tɔgɔ la ko Yezu."
"New","40","2","1","Yezu wolola Bɛtilehɛmu, Zuda mara la. O waati la, Erɔdi tun ye o yɔrɔ masacɛ ye. A wolola minkɛ, lɔnnikɛla dɔw bɔra kɔrɔn fɛ ka taa Zeruzalɛmu"
"New","40","2","2","k'a koo nyininga ko: “Zuwifuw ka masacɛ min wolola sisan, o bɛ min? An nan'a bonya bari an y'a ka lolo ye k'an to kɔrɔn fɛ.”"
"New","40","2","3","Masacɛ Erɔdi y'o mɛn tuma min na, ale ni Zeruzalɛmukaw bɛɛ kɔnɔnafilila."
"New","40","2","4","Erɔdi ye sarakalasebagaw kuntigiw ni sariya karamɔgɔw bɛɛ lajɛn k'u nyininga ko Ala ka Mɔgɔ wolomanin nin ka kan ka wolo min."
"New","40","2","5","U y'a jaabi ko: “A ka kan ka wolo Bɛtilehɛmu, Zude mara la, bari kira dɔ tun y'a sɛbɛn ko:"
"New","40","2","6","‘Bɛtilehɛmu min ye Zude mara dugubaw dɔ ye, kuntigi bɛna bɔ yen ka Isirayɛlidenw mara olu minw ye ne ka mɔgɔw ye.’ ”"
"New","40","2","7","O kɔ, Erɔdi ye lɔnnikɛla nunu wele dogo la k'u nyininga ko: “Aw ye lolo nin ye waati jumɛn?”"
"New","40","2","8","A ye sira d'u ma k'a fɔ u ye ko: “Aw ye taa Bɛtilehɛmu ka dennyɛnin yɔrɔ nyini ka nya. N'aw y'a ye, aw ye kɔsegi ka n'a fɔ ne ye janko ne fana ka ta'a bonya.”"
"New","40","2","9","Masacɛ tilanna a ka kuma na tuma min na, u ye sira minɛ. K'u to taama na, u tun ye lolo min ye k'u to kɔrɔn fɛ, u y'o ye u nyafɛ tugu. Dennyɛnin tun bɛ yɔrɔ min na, lolo nin bilara u nyafɛ fɔɔ ka taa lɔ o yɔrɔ sanfɛ."
"New","40","2","10","U ye lolo nin ye tuma min na, u nisɔn diyara kosɛbɛ."
