Testament,Book,Chapter,Verse,Content
"New","40","1","1","Dammbe Iisaa Almasiihu, taanii Daawuuda, taanii Ibarahiima, annii:"
"New","40","1","2","Ibarahiima rimi Isiyaaka, Isiyaaka rimi Yaakuuba, Yaakuuba rimi Yahuuda e miɲiraaɓe mum,"
"New","40","1","3","Yahuuda rimi Fares e Sera, ɓee ngoni ɓe o rimdi e Tamara, Fares rimi Hisuruuna, Hisuruuna rimi Aram,"
"New","40","1","4","Aram rimi Aminadaabu, Aminadaabu rimi Nasuuna, Nasuuna rimi Salmon,"
"New","40","1","5","Salmon rimi Bo'es, oo woni mo o rimdi e Rahab, Bo'es rimi Obed, oo woni mo o rimdi e Ruut, Obed rimi Yessa,"
"New","40","1","6","Yessa rimi Daawuuda kaananke oo. Daawuuda rimi Suleymaana, oo woni mo o rimdi e debbo ɗalaaɗo Uriya,"
"New","40","1","7","Suleymaana rimi Robo'am, Robo'am rimi Abiya, Abiya rimi Asa,"
"New","40","1","8","Asa rimi Yusafat, Yusafat rimi Yoram, Yoram rimi Ujiya,"
"New","40","1","9","Ujiya rimi Yotam, Yotam rimi Akas, Akas rimi Hejekiya,"
"New","40","1","10","Hejekiya rimi Manaasa, Manaasa rimi Amon, Amon rimi Yusiya,"
"New","40","1","11","Yusiya rimi Yekuniya e miɲiraaɓe mum. Ɗum hawrii e jamaanu nde Yahuudiyankooɓe konaa so naɓiraa Baabila ndee."
"New","40","1","12","Caggal ɓe konaama ɓe naɓaama Baabila, Yekuniya rimi Salaatiyel, Salaatiyel rimi Jorobaabel,"
"New","40","1","13","Jorobaabel rimi Abihuda, Abihuda rimi Eliyakim, Eliyakim rimi Ajora,"
"New","40","1","14","Ajora rimi Sadok, Sadok rimi Akim, Akim rimi Eliyuda,"
"New","40","1","15","Eliyuda rimi Eliyaajaru, Eliyaajaru rimi Mattan, Mattan rimi Yaakuuba,"
"New","40","1","16","Yaakuuba rimi Yuusufu, jom suudu Mariyama, Mariyama woni inna Iisaa noddirteeɗo Almasiihu oo."
"New","40","1","17","No dammbe ɗee njokkondirta iwde Ibarahiima faa yottii Daawuuda, jamaanuuji sappo e nay hawrata, iwde Daawuuda faa yottii nde Yahuudiyankooɓe konaa naɓiraa Baabila, jamaanuuji sappo e nay hawrata, iwde nde Yahuudiyankooɓe konaa naɓiraa Baabila faa yottii Almasiihu oo, jamaanuuji sappo e nay hawrata."
"New","40","1","18","No Iisaa Almasiihu finiri annii: Mariyama inniiko oo yo cabbaaɗo Yuusufu, kaa fade makko suddeede, Ruuhu Ceniiɗo waɗi mo cowiiɗo."
"New","40","1","19","Yuusufu cabbuɗo mo oo yo neɗɗo pooccitiiɗo, ana waɲi hersa makko, miili yaltude e cabbugal ngal e cuucuukka."
"New","40","1","20","Nde o miili ɗum ndee, malaa'ika Joomiraaɗo wari e makko ley koyɗol, wii mo: —Aan Yuusufu, taanii Daawuuda, pati hul ɓamde Mariyama, sabi ɓinngel o saawi ngel e Ruuhu Ceniiɗo iwi."
"New","40","1","21","O riman ɓiɗɗo gorko, inndiraa mo Iisaa. Sabi oon hisinan yimɓe mum e luutti mum'en ɗii."
"New","40","1","22","Ɗum fuu, ɗum waɗii yalla haala ka Laamɗo yottiniri annabaajo oo kaa ana tabita nde oon wii:"
"New","40","1","23","«Surba oo ɓaman reedu, rima ɓiɗɗo gorko, oon inndirte Immaanuwel.» Maanaa innde ndee yo: «Laamɗo ana wondi e meeɗen»."
"New","40","1","24","Nde Yuusufu fini ndee, waɗiri no malaa'ika Joomiraaɗo oo wiirunoo ɗum nii. O ɓami Mariyama,"
"New","40","1","25","kaa o reentaali e mum faa ɓeyni ɓiɗɗo gorko. Yuusufu inndiri oon Iisaa."
"New","40","2","1","Iisaa fini Baytilaama ley leydi Yahuudiya e jamaanu laamu Hirudus. Jom'en annde iwrii funnaange, ngari Urusaliima."
"New","40","2","2","Nde ɓe ngari ndee, ɓe mbii: —Hoto kaananke Yahuudiyankooɓe dimaaɗo jooni oo woni? Min njii hoodere makko ɓanngii funnaange, min ngarii sujidande mo."
"New","40","2","3","Oon kabaaru jiiɓi hakkille Hirudus, kaɲum e Urusaliimankooɓe fuu."
"New","40","2","4","O noddi hooreeɓe yottinooɓe sadaka ɓee e dunkee'en Sariya ɓee fuu, o lamndii ɗum'en hoto Almasiihu oo foti rimeede."
"New","40","2","5","Ɓe njaabii mo, ɓe mbii: —Baytilaama ley leydi Yahuudiya, sabi ko annabaajo oo winndunoo koo annii:"
"New","40","2","6","«Aan, Baytilaama, leydi Yahuudiya, taƴoral a wanaa ngeenndi pamardi barke e geelle Yahuuda mawɗe ɗee. Sabi ardotooɗo iwan e maa, garoowo durde Israa'iilankooɓe, yimɓe am.»"
"New","40","2","7","E ley ɗum, Hirudus noddi jom'en annde ɓee e cuucuukka, lamndii ɓe wakkati mo hoodere ndee ɓanngi oo. Ɓeen pammini mo."
"New","40","2","8","Caggal mum, o neli ɓe Baytilaama, o wii ɓe: —Njehee, kumpitoyo-ɗon kabaaru cukalel ngel faa taƴoron. So on njii ngel, kumpitee kam yalla miɗo yaha miin duu, mi sujidanoya ngel."
"New","40","2","9","Nde ɓe nani ko kaananke oo haali koo ndee, ɓe mbitti. Non ɓe coynii hoodere nde ɓe njiinoo funnaange ndee. Ko ɓe njii nde koo, ɓe ceyii seyo manngo sanne. Nde ardii ɓe yaade. Nde nde yottii ɗo cukalel ngel woni ɗoo ndee, nde darii."
"New","40","2","10",""
"New","40","2","11","Ɓe naati ley galle oo, ɓe njii cukalel ngel e inna mum Mariyama. Ɓe korfii, ɓe cujidani ngel, ɓe kumti gineeji maɓɓe, ɓe teddiniri ngel kaŋŋe e gowe e ɗacce uurooje biyeteeɗe miiri."
"New","40","2","12","Caggal ɗum, Laamɗo daalii ɓe ley koyɗol pati ɓe mbirfitoo to Hirudus, ɓe kootiri leydi maɓɓe laawol gonngol."
"New","40","2","13","Nde ɓe mbitti ndee, malaa'ika Joomiraaɗo wari e Yuusufu ley koyɗol, wii ɗum: —Imma, ɓam cukalel ngel e inna mum, dogu njahaa Misira, keddo-ɗaa ton faa nde mbii-maa-mi ngartaa. Sabi Hirudus waran tewtude cukalel ngel faa wara ɗum."
"New","40","2","14","Yuusufu immii jemma, naɓi cukalel ngel e inna maggel Misira."
"New","40","2","15","O heddii ton faa Hirudus maayi, yalla haala ka Laamɗo yottinirnoo annabaajo oo kaa ana tabita nde oon wii: «Mi noddii ɓiyam gonɗo Misira.»"
"New","40","2","16","Nde Hirudus faami jom'en annde ɓee njammbike ɗum ndee, mettaa sanne. O yamiri sukaaɓe worɓe Baytilaama e ɗakkol mum fuu mbaree, gila keccoy faa heɓuɓe duuɓi ɗiɗi. O waɗi ɗum hakke ɲalaaɗe ɗe jom'en annde ɓee ndokki mo taƴoral mum ɗee."
"New","40","2","17","Ɗum tabitirii haala ka Laamɗo yottiniri annabi Yeremiya kaa nde oon wii:"
"New","40","2","18","«Wullaango nanaama ley ngeenndi Rama, kaɲum e bojji e boytaali: Ɗum Rahiilu woyata cukaloy mum. O jaɓaali waaltineede, sabi koy keddaaki.»"
"New","40","2","19","Caggal maayde Hirudus, malaa'ika Joomiraaɗo wari e Yuusufu to Misira too ley koyɗol,"
"New","40","2","20","wii ɗum: —Imma, wirfintin cukalel ngel e inna mum leydi Israa'iila, sabi yiɗunooɓe warde suka oo ɓee maayii."
"New","40","2","21","Yuusufu immii, naɓti cukalel ngel e inna mum leydi Israa'iila."
"New","40","2","22","Kaa o nanii Arikilawus loomtiima baam mum Hirudus laatike kaananke Yahuudiya, o huli yaade ton. Ley ɗum, Laamɗo jeertini mo ley koyɗol, o yehi leydi Galili,"
"New","40","2","23","o hoɗoyi ngeenndi mbiyeteendi Nasaraatu. Non ɗum laatorii so ɗum tabintini ko annabaaɓe ɓee mbiinoo koo: «O wiyete Nasaraatunke.»"
"New","40","3","1","E oon jamaanu, Yaayaa mo lootogal batisima ɓanngi. Omo ooynoo ley ladde jeereende Yahuudiya, omo wiya:"
"New","40","3","2","—Tuubee, sabi Laamu Laamɗo ɓattiima."
"New","40","3","3","Oo woni mo annabi Esaaya sappinoo, nde wiinoo: «Neɗɗo ana ooynoo ley ladde jeereende, ana wiya: Moƴƴinee laawol Joomiraaɗo ngol, ndartinee ɗati makko!»"
"New","40","3","4","Kaddungal Yaayaa yo caɲiraangal leeɓi ngelooba, omo humii nguruwol. Nguure makko yo buureeti e njuumri ladde."
"New","40","3","5","Yimɓe iwri Urusaliima e leydi Yahuudiya e seraaji maayo Urdun fuu, ngari e makko."
"New","40","3","6","Eɓe njaadira luutti maɓɓe, Yaayaa looti ɓe lootogal batisima ley maayo Urdun."
"New","40","3","7","Nde o yii Farisa'en e Saduki'en heewɓe ana ngara faa lootee lootogal batisima ndee, o wii ɗum'en: —Ɓiɓɓe bolle! Homo jeertini on ndogon jukkungo waroowo?"
"New","40","3","8","Ngollee golleeji kawrooji e tuubal."
"New","40","3","9","Pati miilee e ɓerɗe mon: «Minen, min taaniraaɓe Ibarahiima.» Sabi miɗo wiya on: Laamɗo ana waawi waylitinde ɗee kaaƴe laatoo ɓiɓɓe Ibarahiima!"
"New","40","3","10","Jooni, jammbere ndee huncaama faa soppa ɗaɗi leɗɗe. Ndennoo, lekki fuu ki rimataa ɓiɗɗe lobbe, soppete, wedee e yiite."
"New","40","3","11","Miin, ndiyam mbatisiran-mi on faa hollita on tuubii. Kaa garoowo caggal am oo, kaɲum ɓuri kam baawɗe, mi fotaa fay soccude paɗe makko. Kanko, Ruuhu Ceniiɗo e yiite o batisirta on."
"New","40","3","12","O lanndinike faa o hennoo ɲamri makko faa laaɓa. O mooɓta ɲamri makko ley beembal, kaa ɲaande ndee o duppiran ɗum yiite nge ɲifataa."
"New","40","3","13","Oon wakkati fuu, Iisaa iwi Galili, wari maayo Urdun to Yaayaa, yalla Yaayaa ana loota ɗum lootogal batisima."
"New","40","3","14","Kaa Yaayaa ujii, wii mo: —Aan haani lootude kam, hono aan ngardataa ga am faa mi loote?"
"New","40","3","15","Iisaa jaabii mo, wii: —Walaa baasi, jaɓu ngaɗaa non, sabi hono non kaan-ɗen hiɓɓinirde ko dartii fuu. Nden, o jaɓi."
"New","40","3","16","Iisaa lootaa tan, ƴeeŋi iwde e ndiyam ɗam. E oon wakkati, kammu oo udditii, o yii Ruuhu Laamɗo ana jippoo no wuugaandu nii, ana wara e makko."
"New","40","3","17","Ɗon daande iwri dow kammu, wii: —Oo ɗoo yo Ɓiyam mo korsin-mi, mo cuɓii-mi."
"New","40","4","1","E oon wakkati, Ruuhu Ceniiɗo naɓi Iisaa ley ladde jeereende, yalla Ibiliisa ana tewta seytaade mo."
"New","40","4","2","Iisaa ɲaamaali faa waɗi balɗe capanɗe nay jemma e ɲalooma. Caggal ɗum, o yolbi."
"New","40","4","3","Nii, Ceytotooɗo oo ɓattitii mo, wii mo: —So a Ɓii Laamɗo, yamir ɗee kaaƴe laatoo ɲaamdu."
"New","40","4","4","Kaa o jaabii oon, o wii: —Ana winndii: «Wanaa ɲaamdu tan neɗɗo wuurdata, ko neɗɗo wuurdata dee, haala fuu ka Laamɗo haali.»"
"New","40","4","5","Caggal ɗum, Ibiliisa naɓi mo Urusaliima ngeenndi ceniindi ndii, darni mo dow leŋŋe-leŋŋe Suudu Dewal Mawndu,"
"New","40","4","6","wii mo: —So a Ɓii Laamɗo, suur njippo-ɗaa e leydi. Sabi ana winndii: «Laamɗo yamiran malaa'ika'en mum njaɓɓite pati koyngal maa gaaɲo e haayre.»"
"New","40","4","7","Oon wii mo: —Ana winndii kasen: «Pati ittu koro Laamɗo, Joomiraaɗo maa.»"
"New","40","4","8","Kasen Ibiliisa naɓi mo dow waamnde haayre toownde sanne, holli mo laamuuji aduna ɗii fuu e darja mum'en,"
"New","40","4","9","wii mo: —Mi hokkete ɗum ɗoo fuu so tawii a sujidanii kam."
"New","40","4","10","Oon wii mo: —Fottanam too, Ibiliisa! Sabi ana winndii: «Laamɗo Joomiraaɗo maa tan kaan-ɗaa sujidande, kanko tan kaan-ɗaa rewde.»"
"New","40","4","11","Oon wakkati fuu, Ibiliisa seli e makko. Malaa'ika'en ngari e makko, ana ngollana mo."
"New","40","4","12","Nde Iisaa nani Yaayaa uddaama ley kasu ndee, o wirfitii Galili."
"New","40","4","13","O eggi Nasaraatu, o hoɗoyi Kafarnahum e daande weendu nduu ley leydi Jebulon, kaɲum e Naftali,"
"New","40","4","14","yalla ana tabintina haala ka Laamɗo yottiniri annabi Esaaya kaa nde oon wii:"
"New","40","4","15","«Leydi Jebulon e leydi Naftali gonɗe dow laawol weendu, caggal maayo Urdun, e Galili hoɗorde yimɓe ɓe nganaa Yahuudiyankooɓe:"
"New","40","4","16","Leɲol gonnoongol e nimre ngol yii fooyre mawnde. Wuurɓe e ley leydi maayde niɓɓundi, fooyre yaaynani ɗum'en.»"
"New","40","4","17","Gila nden, Iisaa fuɗɗi waajaade ana wiya: —Tuubee, sabi Laamu Laamɗo ɓattiima."
