Testament,Book,Chapter,Verse,Content
"New","40","1","1","Verzeichnis der Vorfahren von Jesus Christus, dem Sohn Davids und dem Sohn Abrahams:"
"New","40","1","2","Abraham war der Vater Isaaks, Isaak der Vater Jakobs, Jakob der Vater Judas und seiner Brüder."
"New","40","1","3","Juda war der Vater von Perez und Serach; ihre Mutter war Tamar. Perez war der Vater von Hezron, Hezron der Vater von Ram,"
"New","40","1","4","Ram von Amminadab, Amminadab von Nachschon, Nachschon von Salmon"
"New","40","1","5","und Salmon von Boas; die Mutter des Boas war Rahab. Boas war der Vater Obeds; Obeds Mutter war Ruth. Obed war der Vater Isais,"
"New","40","1","6","Isai der Vater des Königs David. David war der Vater Salomos; Salomos Mutter war die Frau des Urija."
"New","40","1","7","Salomo war der Vater von Rehabeam, Rehabeam der Vater von Abija, Abija von Asa,"
"New","40","1","8","Asa von Joschafat, Joschafat von Joram, Joram von Usija,"
"New","40","1","9","Usija von Jotam, Jotam von Ahas, Ahas von Hiskija,"
"New","40","1","10","Hiskija von Manasse, Manasse von Amon und Amon von Joschija."
"New","40","1","11","Joschija war der Vater Jojachins und seiner Brüder; damals wurde das Volk nach Babylon in die Verbannung geführt."
"New","40","1","12","Nach der Zeit der Verbannung folgte Schealtiel, der Sohn Jojachins. Schealtiel war der Vater von Serubbabel,"
"New","40","1","13","Serubbabel der Vater von Abihud, Abihud von Eljakim, Eljakim von Azor,"
"New","40","1","14","Azor von Zadok, Zadok von Achim, Achim von Eliud,"
"New","40","1","15","Eliud von Eleasar, Eleasar von Mattan und Mattan von Jakob."
"New","40","1","16","Jakob war der Vater von Josef, dem Mann der Maria. Sie war die Mutter Jesu, der auch Christus genannt wird."
"New","40","1","17","Insgesamt sind es also von Abraham bis David vierzehn Generationen, von David bis zur Verbannung nach Babylon wieder vierzehn Generationen und von der Verbannung nach Babylon bis zu Christus noch einmal vierzehn Generationen."
"New","40","1","18","Dies ist die Geschichte der Geburt Jesu Christi: Maria, seine Mutter, war mit Josef verlobt. Aber noch bevor die beiden geheiratet und Verkehr miteinander gehabt hatten, erwartete Maria ein Kind; sie war durch den Heiligen Geist schwanger geworden."
