Testament,Book,Chapter,Verse,Content
"New","40","1","1","Jézus Krisztusnak, a Dávid fiának, Ábrahám fiának nemzetségkönyve."
"New","40","1","2","Ábrahám fia Izsák volt; Izsák fia Jákob; Jákob fia Juda s testvérei;"
"New","40","1","3","Juda fia Fáres és Zára Támártól; Fáres fia Esrom; Esrom fia Arám;"
"New","40","1","4","Arám fia Aminá-dáb; Aminádáb fia Naásson; Naásson fia Sálmon;"
"New","40","1","5","Sálmon fia Boáz Ráhábtól; Boáz fia Obed Rúttól; Obed fia Jesse;"
"New","40","1","6","Jesse fia Dávid király. Dávid király fia Salamon volt, az Uriás feleségétől;"
"New","40","1","7","Salamon fia Roboám; Roboám fia Abia; Abija fia Asa;"
"New","40","1","8","Asa fia Josafát; Josafát fia Jórám; Jórám fia Óziás;"
"New","40","1","9","Óziás fia Jóátám; Jóátám fia Ákáz; Ákáz fia Ezékiás;"
"New","40","1","10","Ezékiás fia Manasses; Manasses fia Ámon; Ámon fia Jósiás;"
"New","40","1","11","Jósiás fia Jekóniás s testvérei a babilóniai fogság idejéből."
"New","40","1","12","A babilóniai fogság után Jekóniás fia Salatiel volt; Salatiel fia Zorobábel;"
"New","40","1","13","Zorobábel fia Abiud; Abiud fia Eliákim; Eliákim fia Azór;"
"New","40","1","14","Azór fia Sádok; Sádok fia Akim; Akim fia Eliud;"
"New","40","1","15","Eliud fia Eleázár; Eleázár fia Mattan; Mattan fia Jákob;"
"New","40","1","16","Jákob fia József, Máriának, a Krisztusnak mondott Jézus anyjának férje."
"New","40","1","17","E szerint az egész nemzetség Ábrahámtól Dávidig tizennégy nemzetség; Dávidtól a babilóniai fogságig tizennégy nemzetség; a babilóniai fogságtól Krisztusig tizennégy nemzetség."
"New","40","1","18","Jézus Krisztus születése pedig így volt: Az anyja, Mária, a József jegyese, még mielőtt egybekeltek volna, Szent Lélektől áldott állapotba jutott,"
"New","40","1","19","József, az ő férje azonban, mint igaz ember, nem akarván megbélyegezni őt, elhatározta, hogy titkon bocsátja el."
"New","40","1","20","De épp, mikor ezen gondolkodott, az Úrnak angyala megjelent néki álmában s azt mondta: József, Dávid fia! Ne féld hazavinni Máriát, a feleségedet Ő a Szent Lélek áldottja."
"New","40","1","21","Fia lesz s a fiát Jézusnak nevezed, mert ő szabadítja meg népét bűneitől."
"New","40","1","22","Mindez pedig azért történt, hogy beteljesedjék az Úrnak mondása, aki a próféta által így szólott:"
"New","40","1","23","A szűz anyává lesz és fiúszülöttjét Emmánuelnek nevezik, vagyis magyarul: Velünk az Isten."
"New","40","1","24","S József, mihelyt felserkent álmából, úgy tett, amint az Úrnak angyala parancsolta néki: hazavitte feleségét"
"New","40","1","25","s nem illette addig, amíg meg nem szülte elsőszülött fiát és ő azt Jézusnak nevezte."
"New","40","2","1","Mikor aztán Jézus megszületett Júdeának Betlehem nevű városában, Heródes király korában, napkeletről bölcsek jöttek Jeruzsálembe"
"New","40","2","2","és tudakolták: Hol van a zsidóknak újszülött királya? Láttuk az ő csillagát keleten és eljöttünk, hogy hódoljunk néki."
"New","40","2","3","E hírre Heródes király s vele együtt egész Jeruzsálem megdöbbent"
"New","40","2","4","s egybegyűjtvén a nép minden főpapját és írástudóját, megkérdezte tőlük, hol kell a Krisztusnak megszületnie?"
"New","40","2","5","Azok azt felelték néki: Júdeának Betlehem nevű városában, mert, így írta meg a próféta:"
"New","40","2","6","Te Betlehem, Juda földje, Semmiképpen sem vagy az utolsó Juda székhelyei között; Mert belőled támad az a fejedelem, Aki Izraelnek, az én népemnek pásztora lészen."
"New","40","2","7","Ekkor Heródes, a titokban magához hivatott bölcsektől, pontosan megtudakolta a csillagjelenés idejét"
"New","40","2","8","s elküldötte őket Betlehembe. Menjetek el - úgymond - és szorgalmatosa kérdezősködjetek a kis gyermek után s ha megtaláljátok, adjátok tudtomra, hogy én is elmenjek és hódoljak néki."
"New","40","2","9","S azok, a király beszédét megértvén, útrakeltek. S ím a napkeleten látott csillag előttük ment, amíg oda nem ért és meg nem állt a hely felett, ahol a gyermek volt."
"New","40","2","10","A csillag láttára igen megörültek"
