Testament,Book,Chapter,Verse,Content
"New","40","1","1","Kitab ini mencatat tentang kisah Yesus sang Mesias, keturunan dari Daud, dan Daud adalah keturunan dari Abraham. Inilah permulaan garis keturunan-Nya."
"New","40","1","2","Abraham, Ishak, Yakub,"
"New","40","1","3","Yehuda, Peres (dan Zerah, ibu mereka adalah Tamar), Hezron,"
"New","40","1","4","Ram, Aminadab, Nahason,"
"New","40","1","5","Salmon, Boaz (ibunya bernama Rahab), Obed (ibunya adalah Rut), Isai,"
"New","40","1","6","Raja Daud, Salomo (ibunya adalah mantan istri Uria),"
"New","40","1","7","Rehoboam, Abia, Asa,"
"New","40","1","8","Yosafat, Yoram, Uzia,"
"New","40","1","9","Yotam, Ahaz, Hizkia,"
"New","40","1","10","Manasye, Amon, Yosia,"
"New","40","1","11","dan Yosia ayah Yoyakhin dan saudara-saudaranya, pada waktu pembuangan ke Babel."
"New","40","1","12","Sesudah bangsa Israel kembali pulang dari penawanan di Babel sampai Yesus dilahirkan, inilah daftar nenek moyang-Nya, yaitu Sealtiel, Zerubabel,"
"New","40","1","13","Abiud, Eliakim, Azor,"
"New","40","1","14","Zadok, Akim, Eliud,"
"New","40","1","15","Eleazar, Matan, Yakub."
"New","40","1","16","Dan Yusuf yang adalah suami Maria, ibu Yesus, yang disebut Mesias."
"New","40","1","17","Jadi mulai dari Abraham sampai Daud ada 14 generasi, dari Daud sampai bangsa Israel diangkut ke Babel sebagai tawanan ada 14 generasi, dan sesudah kembali dari penawanan sampai lahirnya Mesias, ada 14 generasi."
"New","40","1","18","Inilah kisah kelahiran Yesus sang Mesias. Ibu-Nya, Maria bertunangan dengan Yusuf, tetapi sebelum mereka sah menjadi suami dan istri, Maria sudah hamil oleh karena kuasa Roh Kudus."
"New","40","1","19","Yusuf, tunangan Maria, adalah seorang pria yang baik dan tidak ingin mempermalukan Maria di depan umum, maka dia bermaksud untuk memutuskan pertunangan mereka dengan diam-diam."
"New","40","1","20","Sementara Yusuf sedang memikirkan hal ini, malaikat Tuhan datang kepadanya dalam mimpinya dan berkata, “Yusuf, keturunan Daud, janganlah takut untuk menikahi Maria sebab dia hamil oleh kuasa Roh Kudus."
"New","40","1","21","Dia akan melahirkan seorang anak laki-laki dan kamu akan memberi nama Yesus kepada anak itu, sebab anak itu akan menyelamatkan orang-orang dari dosa-dosa mereka.”"
"New","40","1","22","(Semua ini terjadi untuk menepati janji-janji yang Tuhan berikan melalui nabinya:"
"New","40","1","23","“Seorang perawan akan mengandung, dan akan melahirkan seorang anak laki-laki. Dan mereka akan menyebut anak itu Imanuel,” yang artinya “Allah ada bersama kita.”)"
"New","40","1","24","Ketika Yusuf bangun dari tidurnya, dia melakukan apa yang dikatakan oleh malaikat Tuhan itu."
"New","40","1","25","Yusuf menikahi Maria, tapi tidak bersetubuh dengannya sampai sesudah Maria melahirkan seorang anak laki-laki, dan memberi-Nya nama Yesus."
"New","40","2","1","Sesudah Yesus dilahirkan di kota Betlehem di daerah Yudea di bawah pemerintahan Raja Herodes, beberapa orang bijak datang dari arah timur ke Yerusalem."
"New","40","2","2","“Dimanakah Raja orang Yahudi yang baru lahir itu?” tanya mereka. “Kami melihat bintangnya di timur dan kami datang untuk menyembah Dia.”"
"New","40","2","3","Ketika Raja Herodes mendengar berita ini, dia dan seluruh penduduk Yerusalem merasa sangat gelisah."
"New","40","2","4","Lalu Herodes memanggil semua imam kepala dan guru-guru agama, dan bertanya di mana Mesias seharusnya dilahirkan."
"New","40","2","5","“Di kota Betlehem di daerah Yudea”, jawab mereka, “sebab itulah yang ditulis oleh para nabi:"
"New","40","2","6","‘Betlehem di daerah Yudea, kamu tidak menjadi kota yang paling tidak penting di antara kota-kota besar di Yehuda, sebab seorang pemimpin yang berasal dari padamu akan menggembalakan umat-Ku Israel.’”"
"New","40","2","7","Lalu Herodes memanggil orang-orang bijak itu dan mengadakan pertemuan dengan mereka secara pribadi. Dalam pertemuan ini Herodes mendapat tahu dari mereka waktu yang tepat tentang kapan bintang itu muncul pertama kali."
"New","40","2","8","Dan dikirimnya mereka ke kota Betlehem dengan pesan, “Ketika kalian tiba di sana, carilah tempat anak itu berada. Dan ketika kalian menemukan-Nya, segeralah mengabariku, agar saya juga dapat datang dan menyembah Dia juga.”"
"New","40","2","9","Sesudah mereka mendengar perkataan sang raja, mereka berangkat. Di langit muncul bintang yang mereka lihat di timur yang memimpin mereka selama ini, sampai bintang itu kemudian berhenti tepat di atas tempat di mana anak itu berada."
"New","40","2","10","Maka ketika mereka melihat bintang itu, sangat bersukacitalah mereka!"
"New","40","2","11","Lalu masuklah mereka ke dalam rumah itu dan melihat anak itu bersama dengan Maria, ibunya. Mereka membungkukkan tubuh dan menyembah Dia. Lalu membuka tas-tas mereka yang penuh dengan harta benda, dan memberi kepada-Nya hadiah berupa emas, kemenyan, dan mur."
"New","40","2","12","Karena diperingati dalam mimpi untuk tidak kembali kepada Herodes, orang-orang bijak ini kembali ke negeri mereka melalui jalan yang berbeda."
"New","40","2","13","Dan sesudah orang-orang bijak itu pulang, malaikat Tuhan muncul kembali kepada Yusuf melalui sebuah mimpi, dan berkata, “Bangunlah, dan bawalah anak itu dengan ibunya, dan larilah ke Mesir. Tinggallah di situ sampai saya memberi kabar lagi kepadamu untuk kembali. Sebab Herodes ingin mencari Anak itu dan membunuh Dia.”"
"New","40","2","14","Maka malam itu juga Yusuf bangun, membawa Maria serta Yesus dan pergi menuju ke Mesir."
"New","40","2","15","Dan mereka menetap di sana sampai Herodes meninggal. Kejadian ini memenuhi janji yang Tuhan berikan melalui hamba-Nya sang nabi, “Dari Mesir Aku memanggil Anak-Ku.”"
"New","40","2","16","Raja Herodes menjadi sangat marah ketika menyadari bahwa dia sudah dibohongi oleh orang-orang bijak itu. Maka dikirimnya para tentara untuk membunuh anak-anak laki-laki yang berusia di bawah dua tahun di kota Betlehem dan daerah sekitarnya. Hal ini berdasarkan kurun waktu yang dia dapat dari para orang bijak itu."
"New","40","2","17","Dengan cara ini, maka perkataan Allah melalui nabi Yeremia ditepati."
"New","40","2","18","“Terdengar suara tangisan yang mengerikan di Rama, sebab Rahel menangisi anak-anaknya. Mereka semua sudah mati, dan dia tidak bisa ditenangkan lagi.”"
"New","40","2","19","Sesudah kematian Herodes, malaikat Tuhan kembali muncul di dalam mimpi kepada Yusuf di Mesir dan berkata,"
"New","40","2","20","“Bangunlah! Bawalah Anak itu dan ibu-Nya, dan kembalilah ke negeri Israel, sebab orang-orang yang mencoba membunuh Anak itu sudah mati.”"
"New","40","2","21","Maka bangunlah Yusuf dan membawa serta Anak itu dengan ibu-Nya kembali ke negeri Israel."
"New","40","2","22","Namun Yusuf menjadi takut ketika mendengar bahwa Arkelaus sudah menggantikan ayahnya Herodes sebagai Raja negeri Yudea, sehingga dia tidak jadi pergi ke sana melainkan ke daerah Galilea."
"New","40","2","23","Di sana ia menetap di Nazaret. Dan ini sesuai dengan yang diucapkan oleh para nabi, “Dia akan disebut orang Nazaret.”"
"New","40","3","1","Bertahun-tahun kemudian, Yohanes Pembaptis tampil ke hadapan orang banyak, menyerukan kalimat ini di gurun Yudea,"
"New","40","3","2","“Bertobatlah, sebab Kerajaan Surga sudah datang!”"
"New","40","3","3","Dialah yang dibicarakan oleh Nabi Yesaya ketika dia berkata, “Ada suara yang berseru di padang gurun, ‘Persiapkanlah jalan bagi Tuhan. Luruskanlah jalan bagi Dia.’”"
"New","40","3","4","Yohanes berpakaian dari kulit unta, dengan ikat pinggang terbuat dari kulit melingkari pinggangnya. Makanannya adalah belalang dan madu hutan."
"New","40","3","5","Banyak orang datang kepadanya dari Yerusalem, seluruh Yudea, dan dari seluruh daerah Sungai Yordan,"
"New","40","3","6","dan dibaptis di Sungai Yordan, dan mengakui dosa-dosa mereka di depan umum."
"New","40","3","7","Tetapi ketika Yohanes melihat banyak orang Farisi dan Saduki datang untuk meminta diri dibaptis, berkatalah dia kepada mereka, “Kalian keturunan ular beracun! Siapa yang memberi kalian peringatan bahwa kalian bisa lari dari penghakiman yang sedang datang?"
