Testament,Book,Chapter,Verse,Content
"New","40","1","1","Inilah silsilah Yesus Sang Mesias. Ia lahir dari keluarga Daud, dari keturunan Abraham."
"New","40","1","2","Abraham adalah ayah Ishak. Ishak adalah ayah Yakub. Yakub adalah ayah Yehuda dan saudara-saudaranya."
"New","40","1","3","Yehuda adalah ayah Peres dan Zerah, ibu mereka adalah Tamar. Peres adalah ayah Hezron. Hezron adalah ayah Ram."
"New","40","1","4","Ram adalah ayah Aminadab. Aminadab adalah ayah Nahason. Nahason adalah ayah Salmon."
"New","40","1","5","Salmon adalah ayah Boas, ibunya adalah Rahab. Boas adalah ayah Obed, ibunya adalah Rut. Obed adalah ayah Isai."
"New","40","1","6","Isai adalah ayah dari Raja Daud. Daud adalah ayah Salomo, ibunya pernah menjadi istri Uria."
"New","40","1","7","Salomo adalah ayah Rehabeam. Rehabeam adalah ayah Abia. Abia adalah ayah Asa."
"New","40","1","8","Asa adalah ayah Yosafat. Yosafat adalah ayah Yehoram. Yehoram adalah ayah Uzia."
"New","40","1","9","Uzia adalah ayah Yotam. Yotam adalah ayah Ahas. Ahas adalah ayah Hizkia."
"New","40","1","10","Hizkia adalah ayah Manasye. Manasye adalah ayah Amon. Amon adalah ayah Yosia."
"New","40","1","11","Yosia adalah ayah dari Yekhonya dan saudara-saudaranya, yang hidup pada saat orang Yahudi dibawa ke Babel."
"New","40","1","12","Setelah mereka di bawa ke Babel: Yekhonya adalah ayah Sealtiel. Sealtiel adalah ayah Zerubabel."
"New","40","1","13","Zerubabel adalah ayah Abihud. Abihud adalah ayah Elyakim. Elyakim adalah ayah Azor."
"New","40","1","14","Azor adalah ayah Zadok. Zadok adalah ayah Akhim. Akhim adalah ayah Eliud."
"New","40","1","15","Eliud adalah ayah Eleazar. Eleazar adalah ayah Matan. Matan adalah ayah Yakub."
"New","40","1","16","Yakub adalah ayah Yusuf. Yusuf adalah suami Maria, dan Maria adalah ibu Yesus, yang disebut Kristus."
"New","40","1","17","Jadi, ada empat belas keturunan dari Abraham sampai Daud. Dan juga ada empat belas keturunan dari Daud sampai masa bangsa ini dibuang ke Babel. Lalu ada empat belas keturunan lagi dari masa mereka dibuang ke Babel sampai kelahiran Kristus."
"New","40","1","18","Beginilah kisah kelahiran Yesus Kristus. Pada saat itu Maria, ibu-Nya, sudah ditunangkan dengan Yusuf. Tetapi sebelum mereka hidup sebagai suami istri, Yusuf mendapati bahwa Maria sudah hamil. Ia mengandung oleh kuasa Roh Kudus."
"New","40","1","19","Yusuf, suami Maria, adalah seorang laki-laki yang baik dan ia tidak mau membuat Maria malu di depan umum. Jadi, ia merencanakan untuk menceraikan Maria secara diam-diam."
"New","40","1","20","Tetapi ketika Yusuf sedang memikirkan hal ini, datanglah malaikat Tuhan ke dalam mimpinya. Malaikat itu berkata kepadanya, “Yusuf, anak Daud, janganlah kamu takut untuk mengambil Maria sebagai istrimu, sebab bayi yang ada dalam kandungannya itu berasal dari Roh Kudus."
"New","40","1","21","Ia akan melahirkan seorang anak laki-laki, dan kamu akan menamai-Nya Yesus, karena Ialah yang akan menyelamatkan umat-Nya dari dosa-dosa mereka.”"
"New","40","1","22","Semua hal ini terjadi untuk menggenapi firman Tuhan yang telah disampaikan melalui Nabi Yesaya:"
"New","40","1","23","“Seorang perawan akan mengandung dan melahirkan seorang anak laki-laki, dan mereka akan menamai Dia Imanuel,” yang berarti “Allah beserta kita”."
"New","40","1","24","Setelah Yusuf bangun, ia melakukan apa yang diperintahkan malaikat Tuhan kepadanya. Ia menikahi Maria."
"New","40","1","25","Tetapi Yusuf tidak melakukan hubungan suami istri dengan Maria sampai Anak itu lahir. Dan Yusuf menamai-Nya Yesus."
