Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ыбырайымның ұрпағы Дәуіттің Ұлы Иса Мәсіхтің шежіресіне арналған жазба."
"New","40","1","2","Ыбырайымнан Ысқақ туылды, Ысқақтан Жақып туылды, Жақыптан Яһуда мен оның бауырлары туылды."
"New","40","1","3","Яһудадан Парес пен Зарах туылды, олардың анасы Тамар болатын. Парестен Хесрон туылды, Хесроннан Рам туылды."
"New","40","1","4","Рамнан Әминадап туылды, Әминадаптан Нағосон туылды, Нағосоннан Салмон туылды."
"New","40","1","5","Салмоннан Боғоз туылды, ал Боғоздың анасы Рахаб болатын, Боғоздан Ғабит туылды, Ғабиттің анасы Рут болатын, Ғабиттен Есей туылды."
"New","40","1","6","Есейден Дәуіт патша туылды, Дәуіттен Сүлеймен туылды, Сүлейменнің шешесі Үрияның әйелі болған."
"New","40","1","7","Сүлейменнен Рохабоғам туылды, Рохабоғамнан Абиях туылды, Абияхтан Аса туылды."
"New","40","1","8","Асадан Жосапат туылды, Жосапаттан Жорам туылды, Жорамнан Озиях туылды."
"New","40","1","9","Озияхтан Жотам, Жотамнан Ахаз туылды, Ахаздан Езекия туылды."
"New","40","1","10","Езекиядан Манасса туылды, Манассадан Амон туылды, Амоннан Жосия туылды."
"New","40","1","11","Жосиядан Ехониях туылды әрі сол кезден Бабылға жер аударылатын кезге дейін оның бауырлары туылды."
"New","40","1","12","Бабылға жер аударылғаннан кейін Ехонияхтан Салатиел туылды, Салатиелден Зоробабел туылды."
"New","40","1","13","Зоробабелден Әбиуд туылды, Әбиудтен Елиәкім туылды, Елиәкімнен Азор туылды."
"New","40","1","14","Азордан Садық туылды, Садықтан Әкім туылды, Әкімнен Елиуд туылды."
"New","40","1","15","Елиудтен Елезар туылды, Елезардан Маттан, Маттаннан Жақып туылды."
"New","40","1","16","Жақыптан Жүсіп туылды, ал Жүсіп Мәсіх деп аталған Исаны дүниеге әкелген Мәриямның күйеуі болатын."
"New","40","1","17","Сөйтіп, Ыбырайымнан Дәуітке дейін он төрт ұрпақ, Дәуіттен Бабылға жер аударылған кезге дейін де он төрт ұрпақ, Бабылға жер аударылған кезден Мәсіхке дейін де он төрт ұрпақ болды."
"New","40","1","18","Иса Мәсіхтің дүниеге келген тарихы былай еді: Оның шешесі Мәриям Жүсіпке айттырылып қойылған болатын, алайда олар үйленбей тұрып, Мәриямның аяғы ауыр екені мәлім болды. Оның құрсағындағы Нәресте Киелі Рухтан болатын."
"New","40","1","19","Оның күйеуі әділ адам болғандықтан, қалыңдығын ұятқа қалдырғысы келмей, жасырын түрде жібере салуға шешім қабылдады."
"New","40","1","20","Сөйтіп, ол осылай жоспарлай бастағанда, Жаратқан Иенің періштесі оның түсінде аян беріп: «Дәуіттің ұлы Жүсіп, Мәриямды өз әйелің етіп алуға қорықпа, себебі одан туылатын Нәресте Киелі Рухтан пайда болды."
"New","40","1","21","Сол туылған Ұлға Иса деп ат қоясың, өйткені Ол өз халқын күнәларынан құтқаратын болады», - деді."
"New","40","1","22","Осының бәрі Жаратқан Иемізден болғандықтан, орындалуы да пайғамбарлар арқылы айтылғанға сай болды. Өйткені онда:"
"New","40","1","23","«Міне, пәк қыз құрсақ көтеріп, Ұл туады, Оған «Имануил» деп ат қояды, мұның мағынасы «Құдай бізбен бірге» дегенді білдіреді», - делінген."
"New","40","1","24","Жүсіп ұйқыдан оянған соң, бәрін Иеміздің періштесі бұйырғандай істеп, Мәриямды әйелі ретінде қабылдады."
"New","40","1","25","Мәриям Ұлын туғанға дейін күйеуімен жақындасқан жоқ. Олар Нәрестенің атын Иса деп қойды."
"New","40","2","1","Иса Ирод патшаның билік құрған кезінде, Яһудея аймағындағы Бетлехемде, дүниеге келді. Сол кезде Иерусалимге шығыстан ғұламалар келіп:"
"New","40","2","2","-Яһудейлер үшін туылған Патша қайда екен? Біз шығыстан Оның жұлдызын көрдік, Оған бас иіп, тағзым ету үшін келдік, - десті."
"New","40","2","3","Мұны естіген Ирод патша мазасыз күйге түсті және бүкіл Иерусалимде де тура сондай мазасыздық пайда болды."
"New","40","2","4","Сонда ол барлық яһудейлердің бас қызметкерлері мен Таурат заңы зерттеушілерін жинап алып, олардан:-Мәсіх қай жерде туылуы тиіс еді? - деп сұрады."
"New","40","2","5","Олар Ирод патшаға: -Яһудея аймағындағы Бетлехемде, өйткені пайғамбарлар арқылы жазылған жазбада:"
"New","40","2","6","«Ал сен, Яһудея жеріндегі Бетлехем, Яһудей билерінің ешқайсысынан да кіші емессің, сондықтан сенен Менің халқым Исраилді жетелеп, бағатын Көсем шығады», -деп жазылғанды айтып берді."
"New","40","2","7","Сонда Ирод жасырын түрде ғұламаларды шақыртып алды, олардан жұлдыздың пайда болған уақытын нақтылап біліп алған соң,"
"New","40","2","8","оларды Бетлехемге жіберіп тұрып: -Барыңдар да, сол Нәресте жайлы мұқият сұрастырып біліңдер. Оны тапқан соң, маған хабар беріңдер, мен де Оған барып тағзым етейін, - деді."
"New","40","2","9","Олар пaтшаны тыңдап болған соң, жүріп кетті. Міне, шығыстан көрген жұлдыз оларға жол көрсетіп, жүріп отырып, Нәресте жатқан жердің үстіне келіп тоқтады."
"New","40","2","10","Олар жұлдызды көргенде, қатты қуанып, шаттанды."
"New","40","2","11","Үйге келген кезде, Нәресте анасы Мәрияммен бірге екенін көрді де, тізерлеп, бастарын иіп, Оған тағзым етті. Бағалы сыйға толы сандықшаларын ашып, алтын, ладан және смирнаны тарту етті."
