Testament,Book,Chapter,Verse,Content
"New","40","1","1","بنەچەک عیسا مەسیح که له نەتەوەێ داود پادشا و ئێبراهیم پەێخەمەره:"
"New","40","1","2","ئێبراهیم باوگ ئەسحاق بی، ئەسحاقیش باوگ یاقوب بی، یاقوب باوگ یەهودا و براگانێ بی،"
"New","40","1","3","یەهودا باوگ فرس و زراح بی که داڵگێان تامار بی، فرس باوگ حسرون بی، حسرون باوگ رام بی،"
"New","40","1","4","رام باوگ عەمیناداب بی، عەمیناداب باوگ نەحشون بی، نەحشون باوگ سەلمون بی،"
"New","40","1","5","سەلمون باوگ بوعەز بی که داڵگێ راحاب بی، بوعەز باوگ عوبید بی که داڵگێ روت بی، عوبید باوگ یەسا بی،"
"New","40","1","6","یەسا باوگ داود پادشا بی. داود باوگ سڵێمان بی، داڵگ سڵێمان وەرجه ئەوه ژن ئوریا بی،"
"New","40","1","7","سڵێمان باوگ رحوبعام بی، رحوبعام باوگ ئەبیا بی، ئەبیا باوگ ئاسا بی،"
"New","40","1","8","ئاسا باوگ یەهوشافات بی، یەهوشافات باوگ یورام بی، یورام باوگ عوزیا بی،"
"New","40","1","9","عوزیا باوگ یوتام بی، یوتام باوگ ئاحاز بی، ئاحاز باوگ حزقیا بی،"
"New","40","1","10","حزقیا باوگ مەنەسی بی، مەنەسی باوگ ئامون بی، ئامون باوگ یوشیا بی،"
"New","40","1","11","یوشیا باوگ یەکونیا و براگانێ بی، وه ئەو وەخته جویلەکەیل شاروەدەر کریانه ئەڕا بابڵ."
"New","40","1","12","لەشون شاروەدەری جویلەکەیل ئەڕا بابڵ: یەکونیا باوگ شەئەلتیئیل بی، شەئەلتیئیل باوگ زروبابڵ بی،"
"New","40","1","13","زروبابڵ باوگ ئەبیهود بی، ئەبیهود باوگ ئلیاقیم بی، ئلیاقیم باوگ عازور بی،"
"New","40","1","14","عازور باوگ سادوق بی، سادوق باوگ ئەخیم بی، ئەخیم باوگ ئلیود بی،"
"New","40","1","15","ئلیود باوگ ئلعازار بی، ئلعازار باوگ مەتان بی، مەتان باوگ یاقوب بی،"
"New","40","1","16","یاقوب باوگ یوسف شوی مریەم بی که عیساێ ناودار وه مەسیح هاورده دنیا."
