Testament,Book,Chapter,Verse,Content
"New","40","1","1","Livro a oyariwa wa Yesu Kristu, mwana a Davide, mwana a Abrahamu."
"New","40","1","2","Abrahamu áyara Isake; nave Isake áyara Yakobo; nave Yakobo áyara Yuda ni annawe;"
"New","40","1","3","nave Yuda áyara Farese ni Zara mwa Tamare; nave Farese áyara Ezronu; nave Ezronu áyara Aramu;"
"New","40","1","4","nave Aramu áyara Aminadabe; nave Aminadabe áyara Naasoni; nave Naasoni áyara Salmoni;"
"New","40","1","5","nave Salmoni áyara Boazi mwa Rahabe; nave Boazi áyara Obede mwa Rute; nave Obede áyara Yese;"
"New","40","1","6","nave Yese áyara Davide mwene owo."
"New","40","1","7","Nave Davide áyara Solomoni mwa mwara a Uriya; nave Solomoni áyara Roboamu; nave Roboamu áyara Abiya; nave Abiya áyara Asa;"
"New","40","1","8","nave Asa áyara Yosafete; nave Yosafete áyara Yoramu; nave Yoramu áyara Uziya;"
"New","40","1","9","nave Uziya áyara Yotama; nave Yotama áyara Ahaze; nave Ahaze áyara Hezekiya;"
"New","40","1","10","nave Hezekiya áyara Manase; nave Manase áyara Amoni; nave Amoni áyara Yosiya;"
"New","40","1","11","nave Yosiya áyara Yekoniya ni annawe va mahiku ókushiwa o Babulo."
"New","40","1","12","Nave vachuli vaya va okushiwa iwo o Babulo, Yekoniya áyara Salatieli; nave Salatieli áyara Zorobabele;"
"New","40","1","13","nave Zorobabele áyara Abiyudi; nave Abiyudi áyara Eliyakimu; nave Eliyakimu áyara Azoro;"
"New","40","1","14","nave Azoro áyara Sadoki; nave Sadoki áyara Akimu; nave Akimu áyara Eliyudi;"
"New","40","1","15","nave Eliyudi áyara Eleazara; nave Eleazara áyara Matani; nave Matani áyara Yakobo;"
"New","40","1","16","nave Yakobo áyara Yosefe, iyawe a Mariya, yowo Yesu otchuwiwa Kristu áyariwe mwa yowo."
"New","40","1","17","Hiha maloko othene opacherya va Abrahamu ophiyerya va Davide ti maloko khumi na masheshe; nave opacherya va Davide ophiyerya vókushiwa o Babulo maloko khumi na masheshe; nave opacherya vókushiwa o Babulo ophiyerya wa Kristu maloko khumi na masheshe."
"New","40","1","18","Nave oyariwa wawe wa Yesu Kristu wári wawihiha: Amannya Mariya áhakameliwa ti Yosefe, nyenya ehithelanne yawo, áphwanyiwa yowo arupanle mwa Munepa Wawéla."
"New","40","1","19","Nyenya Yosefe iyawe, ári ékhaikhai, nave’tho hákhwenle omúliha muru, érerya m’murimani omuhiya yowo wiphini."
"New","40","1","20","Nyenya vawupuwela?-?upuwela yowo itchu iha, onani, ngelo a Apwiya áhoneya wa yowo mulohani, alocha, Yosefe, mwana a Davide, ohóve wikusherya mekhá Mariya mwará; vawi eyo yawakheliwa mwa yowo eri ya Munepa Wawéla."
"New","40","1","21","Nave anarwa‐ayara mwana mwamulopwana, nave onarwa‐omutchuwa nsina nawe Yesu; vawi Yola anarwa‐avulusha atchu awe wa sotcheka saya."
"New","40","1","22","Nave sothe sene iha sákhala wi yériwe yolochiwa ti Apwiya mwa mulipa‐miririmo, ni wi,"
"New","40","1","23","Onani mwali anarwa‐arupala, Nave anarwa‐ayara mwana mwamulopwana, Nave enarwa‐emutchuwa nsina nawe Emanueli; ti notaphuleya, Muluku ni Hiyo."
"New","40","1","24","Nave Yosefe ávinya va erilo awe, éra ntoko énriye omuléla ngelo a Apwiya, íkusherya mekhiye mwariye;"
"New","40","1","25","nave hámusuwenle yowo ophiyerya amuyanre mwanawe; amutchuwa nsina nawe Yesu."
"New","40","2","1","Nave va ovariwa wawe wa Yesu m’Betelehemu a Yudeya m’mahiku a Herode mwene, onani, alipa‐miruku a wiwo onakhuwa nsuwa yáphiya o Yerusalemu, yi,"
"New","40","2","2","Ori wowi yowo ayariwe Mwene a a Yuda? ntakhara náhona etheneri yawe wiwo onakhuma nsuwa, nave nárwa omuthamala Yowo."
"New","40","2","3","Nave Herode mwene owo vawiwa ela áhukhuliwa, ni Yerusalemu othene vamoha ni yowo."
"New","40","2","4","Nave áthukumannyiye alipa‐ephepa atokotoko othene ni alipa‐orepa a atchu, áhákoha, Ayariwele wowi Kristu’wo?"
"New","40","2","5","Nave yawo yámuléla, M’Betelehemu a Yudeya: ntakhara wárepiwa wawihiha ti mulipa‐miririmo, wi,"
"New","40","2","6","Nave weyo Betelehemu, elapo ya Yudeya, Honakhala nari mukhanikhani mwa atokwene a Yudeya, Vawi Óhola anarwa‐avinyerya mwa weyo, Yowo anarwa‐akukhula atchu aka aIsrayeli."
"New","40","2","7","Vavo Herode áwitchana Alipa‐miruku awo wiphini,"
"New","40","2","8","ákohasha elukuluku aya yóneiyaya etheneri’yo. Arumiha o Betelehemu, ii, Haweni mwavyashe sa mwámwana owo; nave mwamphwanya, mukikokiherye masu, wi miyo’tho kirwe orwa‐omuthamala yowo."
"New","40","2","9","Nave yawo, yíwalaya mwene yárowa; nave onani, etheneri’yo yónilaya wiwo onakhuma nsuwa, yáhahóla yawo, ophiyerya yárwa yemela vasulu vene vari mwámwana owo."
"New","40","2","10","Nave yawo vawona etheneri’yo, yáhakalalasha ni ohakalala otokotoko."
"New","40","2","11","Nave vophiya o ’mpa yáhona mwámwana owo ni Mariya amannya, nave yáhúwela vathi omukokhorela yowo; etaphula muhakhu aya, emvaha yowo samahala, ti mivira ni libane ni mure."
"New","40","2","12","Nave yawo yáléliwaya mulohani wi ehikokele wa Herode, yárowa oya wilaponi waya va ephiro ekina."
"New","40","2","13","Nave yawo yáchimunlaya, onani, ngelo a Apwiya áhoneya wa Yosefe mulohani, ii, Nkavinya, okushe mwana owo ni amannya, otchawele o Aigupto, nave okhale wiwo ophiyerya kinarwa‐koléla; ntakhara Herode anakhwela mwana wi amwiphe."
"New","40","2","14","Nave yowo ávinya, akusha mwámwana ni amannya ohiyu, achimula oya o Aigupto; akhalaru wiwo ophiyerya árimenliye Herode:"
"New","40","2","15","wi yériwe yólochiwa ti Apwiya mwa mulipa‐miririmo wi, Káhitchana mwanaka akhume mu Aigupto."
"New","40","2","16","Vavo Herode, vawona wi yámlosowiha alipa‐miruku awo, ásarasareya murima tchiri, arumiha wi átoloshe asanamwane othene a m’Betelehemu, ni a m’mawani mwaya mothene, óphiyerya miyakha mili ni asinanchu othene, ntoko mwa elukuluku yeyo ákohiliye wa Alipa‐miruku awo."
"New","40","2","17","Vavo yáheriwa yolochiwa ti Yeremiya mulipa‐miririmo, wi,"
"New","40","2","18","Masu yahiweya m’Rama, Eyinlo ni ochénya winchipale, Rakele awunlela anamwane awe; Nave hanakhwela ohakalalihiwa, Ntakhara hávovo yawo."
"New","40","2","19","Nyenya vórimela Herode, onani, ngelo a Apwiya áhoneya mulohani wa Yosefe mu Aigupto,"
"New","40","2","20","ii, Nkavinya, okushe mwámwana ni amannya, orowe wilaponi ya Israyeli: ntakhara ókhwa yole ókhwela okumi awe wa mwámwana owo."
"New","40","2","21","Nave ávinya yowo, akusha mwámwana ni amannya evolowa mwilaponi ya Israyeli."
"New","40","2","22","Nyenya vawiwa yowo wi Arkelao ári mwene a Yudeya mu nipuroni mwa atithinnya Herode, áhova oya wiwo; nave áléliwiye ti Muluku mulohani, árowa avolowa wilaponi ya Galileya,"
"New","40","2","23","arwa akilatheya mwitchokoni nsina naya Nazarete: wi yériwe yolochiwa ti alipa‐miririmo, wi, Anarwa‐atchuwiwa mNazarayo."
"New","40","3","1","Nave, m’mahiku ale árwa Yohane Mbatisi, mu’takhwani ya Yudeya,"
"New","40","3","2","alocha, Rukunushani mirima, ntakhara Omwene wa Wirimu wohachamela."
"New","40","3","3","Ntakhara yola ti yowo ámlonchiye Yesaya mulipa‐miririmo, wi, Masu a ókhuwela mu’takhwani, Ryeheryani nikhwála na Apwiya, Lukamihani iphiro sawe."
"New","40","3","4","Nave Yohane mekhiye yowo árino yowara yawe ya mapururu a ekamila, ni mukwáchala wa nrapala mu’yununi mwawe; ni yólya yawe yári nasope ni mahavu a mu’takhwani."
"New","40","3","5","Vavo vámkhumela yowo Yerusalemu, ni Yudeya othene, ni elapo yothene yawáchamana ni Yordano;"
"New","40","3","6","ebatisiwa ti yowo m’muhicheni wa Yordano, erikimupulula sotcheka saya."
"New","40","3","7","Nave yowo vawona anchipale a aFarisi ni a aSaduki órwa wubatisoni wawe, áhi wa yawo, Anamwane a enowa nyuwo, tani othorihenryeni otchawa esara enamórwa?"
"New","40","3","8","Onihani nyuwo sawima sophwanela orukunuwa murima:"
"New","40","3","9","nave muhererye olocha mwa nyuwo mekhinyu, Atithihu n’rino Abrahamu; vawi kinalocha wa nyuwo wi anawerya Muluku mwa maluku ala ovíherya Abrahamu anamwane."
"New","40","3","10","Nave’tho hihano vava epaso yohiyathiwa va’khiche va miri; ntakhara awe mwiri wohima sawima saphama onúhiwa ovonyiwa va moroni."
"New","40","3","11","Miva kinobatisani nyuwo m’mahini va orukunuwa; nyenya Yowo órwa vachuli vaka, ori okipwaha ikuru, yowo nkinaphwanela otesha isapato sawe: Yola anarwa‐obatisani mwa Munepa Wawéla ni m’moroni:"
"New","40","3","12","yovérela yawe eri mu ntatani mwawe, nave anarwa‐avérasha va’tchachoni vawe; nave anarwa‐athukumanya tirigu awe mu’khupini, nyenya inyukula anarwa‐eyela m’moroni wohishipha."
"New","40","3","13","Vavo Yesu ávinya o Galileya arwa o Yordano, wa Yohane, wi abatisiwe ti yowo."
"New","40","3","14","Nyenya Yohane áhi amuwatele, alocha, Kinaphwanela miyo obatisiwa ti Nyuwo, nave Nyuwo munarwa wa miyo?"
"New","40","3","15","nyenya Yesu áhákhula, ii wa yowo, Emya hihano: vawi wawihihá ori waphama wi hiyo n’sariherye ekhaikhai yothene. Vavo ámwemyererya Yowo."
"New","40","3","16","Nave Yesu, ábatisiwiye, vava ákhuma m’mahini: nave onani, erimu yámuhuleyerya, nave áhona Munepa wa Muluku wókhuruwa ntoko epompa orwa va Yowo;"
"New","40","3","17","nave onani masu órwela wirimu awi, Ola ti Mwanaka osiveliwa Owo, mwa Yowo Kinnahakal’ala."
"New","40","4","1","Vavo Yesu ákushiwa ti Munepa o’takhwani wi éhiwe ti Musaserya."
"New","40","4","2","Nave vári Yowo hárino olya mahiku makhumi masheshe othana ni ohiyu, vachuli vaya ávoliwa etala."
"New","40","4","3","Nave awéha owo árwa alochano, Mwári Mwana a Muluku, nkalélani wi maluku ala ekhale ipau."
"New","40","4","4","Nyenya Yowo áhákhula ii, Wórepiwa, Mutchu harwa‐akhala ni okumi ni epauru, nyenya ni masu othene ókhuma mwano mwa Muluku."
"New","40","4","5","Vavo Musaserya ámukusha Yowo o muchetcheni wawéla;"
"New","40","4","6","amwiyathi Yowo vasulu va namukaphe a empa ya Muluku, alochano, Mwári Mwana a Muluku, mwisúwihe mekhinyu vathi: vawi wórepiwa, wi, Anarwa‐aléla angelo awe sa weyo, Nave va mataya enarwa‐yotesha weyo, Wi ohitannye wene va nlukuni nnani nawá."
"New","40","4","7","Yesu álochano, Nave’tho wórepiwa, Ohimwéhe Apwiya Mulukuá."
"New","40","4","8","Vavo’tho Musaserya ámukusha Yowo o mwakoni worekama, amoniha ilapo sothe sene sa elapo ya vathi, ni nchichimiho naya;"
"New","40","4","9","ii wa Yowo, Sothe sene kinovahani Nyuwo, múwa vathi ni okikokhorela miyo."
