Testament,Book,Chapter,Verse,Content
"New","40","1","1","Иисус Христозун, Давидин оолунун хем Авраамын оолунун сенселеси будур:"
"New","40","1","2","Авраамдан дуума Исаак. Исаактан дуума Иаков. Иаковдан дуума Иуда хем онун кардашлары."
"New","40","1","3","Иудадан дуума Фарес хем Зара, ангыларын анасы Фамар. Фарестӓн дуума Есром. Есромдан дуума Арам."
"New","40","1","4","Арамдан дуума Аминадав. Аминадавдан дуума Наассон. Наассондан дуума Салмон."
"New","40","1","5","Салмондан дуума Вооз, Воозун анасы Раав. Вооздан дуума Овид, ангысынын анасы Руф. Овидтӓн дуума Иессей."
"New","40","1","6","Иессейдӓн дуума падишах Давид. Давидтӓн дуума Соломон, ангысы Урийанын дулундан дууду."
"New","40","1","7","Соломондан дуума Ровоам. Ровоамдан дуума Авийа. Авийадан дуума Аса."
"New","40","1","8","Асадан дуума Иосафат. Иосафаттан дуума Иорам. Иорамдан дуума Озийа."
"New","40","1","9","Озийадан дуума Иоафам. Иоафамдан дуума Ахаз. Ахаздан дуума Езекийа."
"New","40","1","10","Езекийадан дуума Манассийа. Манассийадан дуума Амон. Амондан дуума Иосийа."
"New","40","1","11","Иосийадан дуума Иехонийа хем онун кардашлары, таа Израил миллети гечмедийнӓн Вавилон есирлиинӓ."
"New","40","1","12","Вавилона гечтиктӓн сора: Иехонийадан дуума Салафиил. Салафиилдӓн дуума Зоровавел."
"New","40","1","13","Зоровавелдӓн дуума Авиуд. Авиудтан дуума Елиаким. Елиакимдӓн дуума Азор."
"New","40","1","14","Азордан дуума Садок. Садоктан дуума Ахим. Ахимдӓн дуума Елиуд."
"New","40","1","15","Елиудтан дуума Елеазар. Елеазардан дуума Матфан. Матфандан дуума Иаков."
"New","40","1","16","Иаковдан дуума Иосиф, Марийанын коӂасы. Марийадан дуума Иисус, Ангысына денер Христос."
"New","40","1","17","Ӧлӓ ки, Авраамдан Давидӓ кадар ондӧрт евлат бойу; Давидтӓн Вавилон есирлиинӓ кадар ондӧрт евлат бойу; Вавилон есирлииндӓн Христоза кадар хеп ондӧрт евлат бойу."
"New","40","1","18","Иисус Христозун дуумасы бӧлӓ олду: ачан Онун анасы Марийа Иосифлӓн йавклу олдуйду, ама таа йашамардылар барабар, аннашылды, ани Марийа Айоз Духтан гебӓ калды."
"New","40","1","19","Онун йавклусу Иосиф, чӱнкӱ доору бир адамды да истӓмӓрди утандырсын Марийайы аалемин ӧнӱндӓ, карарлады саклыдан ондан атылмаа."
"New","40","1","20","Буну дӱшӱнӓркӓн, Саабидӓн бир ангил дӱшӱндӓ она гӧрӱндӱ да деди: «Иосиф, Давидин оолу! Коркма Марийайы кендинӓ кары алмаа, зерӓ онун гебӓ калмасы Айоз Духтан."
"New","40","1","21","Марийа бир оол дуудураӂэк. Онун адыны Иисус койаӂан, зерӓ О Кенди инсаныны гӱнахларындан куртараӂэк»."
"New","40","1","22","Буннар хепси олду, ки таманнансын, не Сааби сӧледи пророклан, ангысы деер:"
"New","40","1","23","«Тӓ кыз гебӓ калаӂэк да бир оол дуудураӂэк. Онун адыны койаӂэклар „Еммануил“, аннамасы „Аллах бизимнӓн“»."
"New","40","1","24","Ачан Иосиф уйанды, йапты ниӂӓ Саабинин ангили сымарлады, да Марийайы кары кендинӓ каблетти."
"New","40","1","25","Ама онуннан бирлешмеди, таа Марийа дуудурмайынӂа оолуну, да дууан ушаан адыны Иисус койду."
"New","40","2","1","Ачан Иисус дууду Иудейанын Вифлеем касабасында, падишах Иродун вакыдында, гелдилӓр гӱндуусундан Иерусалимӓ йылдыз билгичлери да дедилӓр:"
"New","40","2","2","«Нередӓ Иудейлерин Падишахы, ани дууду? Зерӓ биз гӧрдӱк гӱндуусунда Онун йылдызыны да гелдик Она баш иилтмӓӓ»."
"New","40","2","3","Ачан падишах Ирод буну ишитти, о касаветленди. Онуннан билӓ бӱтӱн Иерусалими кахыр басты."
"New","40","2","4","Ирод топлады бӱӱк попазлары хем билгичлери да сорду оннара: «Нередӓ лӓӓзым дуусун Христос?»"
"New","40","2","5","«Иудейанын Вифлеем касабасында, зерӓ бӧлӓ пророктан йазылы», — ӂувап еттилӓр оннар:"
"New","40","2","6","«Сӓн, Вифлеем, Иуданын ери, хич диилсин ен кӱчӱк Иуданын ӧндерӂилерин ӧнӱндӓ, зерӓ сендӓн чыкаӂэк Ӧндерӂи, Ангысы гӱдеӂек Беним инсанымы — Израили»."
"New","40","2","7","Озаман Ирод йылдыз билгичлерини саклыдан чаарды да, аннайып вакыды, незаман йылдыз пейдаланды,"
"New","40","2","8","йоллады оннары Вифлеемӓ, дейип: «Гидин да ислӓӓ аарайын Ушаа. Ачан булаӂэныз, хабер верин бана, ки бӓн дӓ гидейим да Она баш иилдейим»."
"New","40","2","9","Оннар, падишахы сеслейип, гиттилӓр. Йылдыз, ани гӧрдӱйдӱлӓр гӱндуусунда, йолу гӧстерӓрди оннара. Ачан етишти орайы, нередӓ Ушак булунурду, дургунду."
"New","40","2","10","Гӧрӱп йылдызы, оннар пек севиндилӓр."
"New","40","2","11","Ачан оннар гирдилӓр ичйанына, гӧрдӱлӓр Ушаа анасыннан, Марийайлан. Йылдыз билгичлери диз чӧктӱлӓр да баш иилттилӓр Она. Ачып хазналарыны, баашладылар Она алтын, гӱннӱк хем смирна йаайы."
"New","40","2","12","Чӱнкӱ Аллах дӱшлериндӓ хаберледи, геери Ирода дӧнмесиннӓр, оннар кенди мемлекетлеринӓ гиттилӓр башка йолдан."
"New","40","2","13","Ачан йылдыз билгичлери гиттилӓр, Саабидӓн бир ангил Иосифӓ дӱшӱндӓ гӧрӱндӱ да деди: «Калк, ал Ушаа хем Онун анасыны да кач Мысыра. Орада дурасын, бӓн сана сӧлейинӂӓ, зерӓ Ирод аарайаӂэк ӧлдӱрсӱн Ушаа»."
"New","40","2","14","Иосиф калкты геӂӓ, алды Ушаа хем анасыны да гитти Мысыра."
"New","40","2","15","Орада дурду Иродун ӧлӱмӱнӓ кадар, ки таманнансын, не пророклан Сааби сӧледийди: «Мысырдан Бӓн чаардым Оолуму»."
"New","40","2","16","Ирод аннады, ани йылдыз билгичлери ону алдаттылар. О пек ӱфкеленди да йоллады аскерлери Вифлеемӓ, ӧлдӱрсӱннӓр дейни хепси ушаклары ики йашындан ашаа, таман о вакыда гӧрӓ, ниӂӓ аннадыйды йылдыз билгичлериндӓн."
"New","40","2","17","Озаман таманнанды, не сӧлендийди пророк Иеремийадан, ангысы деер:"
"New","40","2","18","«Бир сес ишидилер Рамада, аалайыш хем аӂы баарыш. Рахилӓ аалээр кенди ушакларыны да истӓмеер хошланмаа, зерӓ оннар йок»."
