Testament,Book,Chapter,Verse,Content
"New","40","1","1","In yejua imintoka iuejkatajuan JesuCristo yejuan teuejkakoneu itech David niman teuejkakoneu itech Abraham."
"New","40","1","2","Abraham tajtli katka de Isaac, niman Isaac tajtli katka de Jacob, niman Jacob tajtli katka de Judá niman ikniuan."
"New","40","1","3","Judá tajtli katka de Fares niman Zara, niman iminnanaj itoka katka Tamar. Fares tajtli katka de Esrom, niman Esrom tajtli katka de Aram."
"New","40","1","4","Aram tajtli katka de Aminadab, niman Aminadab tajtli katka de Naasón, niman Naasón tajtli katka de Salmón."
"New","40","1","5","Salmón tajtli katka de Booz, niman inanaj Booz itoka katka Rahab. Booz tajtli katka de Obed, niman inanaj Obed itoka katka Rut. Obed tajtli katka de Isaí,"
"New","40","1","6","niman Isaí tajtli katka de on rey David. Rey David tajtli katka de Salomón, niman inanaj Salomón kauajli katka de Urías."
"New","40","1","7","Salomón tajtli katka de Roboam, niman Roboam tajtli katka de Abías, niman Abías tajtli katka de Asa."
"New","40","1","8","Asa tajtli katka de Josafat, niman Josafat tajtli katka de Joram, niman Joram tajtli katka de Uzías."
"New","40","1","9","Uzías tajtli katka de Jotam, niman Jotam tajtli katka de Acaz, niman Acaz tajtli katka de Ezequías."
"New","40","1","10","Ezequías tajtli katka de Manasés, niman Manasés tajtli katka de Amón, niman Amón tajtli katka de Josías."
"New","40","1","11","Josías tajtli katka de Jeconías niman ikniuan. Niman yejuamej nemiyaj ipan on tonaltin ijkuak on hebreos* okimajsikej niman okinuikakej ipan on país itoka Babilonia."
"New","40","1","12","Sakin*, ijkuak on hebreos* yokinuikakej ipan on país itoka Babilonia, Jeconías onochiu tajtli de Salatiel, niman Salatiel tajtli katka de Zorobabel."
"New","40","1","13","Zorobabel tajtli katka de Abiud, niman Abiud tajtli katka de Eliaquim, niman Eliaquim tajtli katka de Azor."
"New","40","1","14","Azor tajtli katka de Sadoc, niman Sadoc tajtli katka de Aquim, niman Aquim tajtli katka de Eliud."
"New","40","1","15","Eliud tajtli katka de Eleazar, niman Eleazar tajtli katka de Matán, niman Matán tajtli katka de Jacob."
"New","40","1","16","Jacob tajtli katka de José yejuan iueuentsin katka María, niman María nantli katka de Jesús. Yejua no itoka Cristo yejuan kijtosneki on yejuan Dios okitlalij para tlamandaros."
"New","40","1","17","Yejua ika tej, Desde Abraham hasta David, onochiu majtlaktli uan naui iuejkatajuan Cristo. Niman desde David hasta on tonaltin ijkuak on hebreos* okimajsikej niman okinuikakej Babilonia, no onochiu majtlaktli uan naui iuejkatajuan Cristo. Niman desde on tonaltin ijkuak on hebreos* okimajsikej niman okinuikakej Babilonia hasta ijkuak onen Cristo, no onochiu majtlaktli uan naui iuejkatajuan Cristo."
"New","40","1","18","Ijkin otlakat JesuCristo. María, on inanaj, yokitlalijka compromiso para nonamiktis iuan José. Pero ijkuak xe nemiyaj san sekan, María okimat ika yokan ikonetsin. On konetsintli okan ikan ipoder on Espíritu Santo."
"New","40","1","19","José, yejuan sakin* iuan ononamiktij María, yejua sen kuajli tlakatl katka. Yejua nochipa okichiu tlen kuajli. Niman yejua xokinek para kipijpinajtis María. Yejua ika José kinemiliaya san kichtakatlalkauis para xakaj kimatis."
"New","40","1","20","Niman chika yejua ijkin kinemiliaya, sen ángel yejuan toTEKO okuajtitlan okinotitij itemikpan niman okijlij: —José, teuejkakoneu itech David, maka xmomojti tikselis María para mosiuau, pampa on konetsintli, yejua okan onochiu ikan ipoder Espíritu Santo."
"New","40","1","21","María kitlakatilis sen konetsintli, niman tiktokayotis Jesús pampa yejua kinmakixtis de intlajtlakoluan on yejuan kineltokaskej."
"New","40","1","22","Nochi in onochiu para onocumpliroj on tlen toTEKO okijtojka itechkopa on tiotlajtojketl."
"New","40","1","23","Yejua ijkin okijtoj: Sen ichpochtli yejuan xe yakaj tlakatl iuan noteka, kanas ikonetsin, niman kitlakatilis sen tlakakonetsintli. Niman on konetsintli kitokayotis Emanuel. (Emanuel kijtosneki: Dios touan nemi.)"
"New","40","1","24","Ijkuak José otlachix, iuan ononamiktij María ken on ángel yejuan toTEKO okuajtitlan okinauatij."
"New","40","1","25","Pero José xonotekak iuan María maski iuan nemiya, yej hasta ijkuak yotlakat on iyenkuiyokonetsin. Niman ijkuak yotlakat on konetsintli, José okitokayotij Jesús."
