Testament,Book,Chapter,Verse,Content
"New","40","1","1","Hiddi dhaloota Yesuus Kiristoosii sanyii Abrahaamiitii fi sanyii Daawwitii kana."
"New","40","1","2","Abrahaam Yisihaaq uumate; Yisihaaq Yaaqoob uumate; Yaaqoob Yihuda'aa fi obboleeyyan Yihuda'aa uumate;"
"New","40","1","3","Yihudaan Taamaar irraa Faaresii fi Zaaraa uumate; Faares Hesrom uumate; Hesrom Aaraam uumate;"
"New","40","1","4","Aaraam Aminaadaab uumate; Aminaadaab Nahasoon uumate; Nahasoon Salmoon uumate;"
"New","40","1","5","Salmoon Rahaab irraa Bo'az uumate; Bo'az Ruuti irraa Yoobeed uumate; Yoobeed Iseyi uumate;"
"New","40","1","6","Iseyi Daawwitii mooticha uumate; Daawwiti haadha manaa Uriiyaa irraa Solomoon uumate;"
"New","40","1","7","Solomoon Rehobi'aam uumate; Rehobi'aam Abiiyaa uumate; Abiiyaan Asaafi uumate;"
"New","40","1","8","Asaafi Yoshaafaax uumate; Yoshaafaax Yooraam uumate; Yooraam Oziyaas uumate;"
"New","40","1","9","Oziyaas Yo'ataam uumate; Yo'ataam Akaaz uumate; Akaaz Hisqiyaas uumate;"
"New","40","1","10","Hisqiyaas Minaasee uumate; Minaaseen Amos uumate; Amos Yosiyaas uumate;"
"New","40","1","11","Yosiyaas bara kolbaan Israa'elii gara biyya Baabiloonii booji'ante Yekoniyaasii fi obboleeyyan Yekoniyaasii uumate."
"New","40","1","12","Kolbaan Israa'elii gara biyya Baabiloon booji'anteen duuba Yekoniyaas Salaati'el uumatel; Salaati'el Zarubaabel uumate;"
"New","40","1","13","Zarubaabel Abiyuudin uumate; Abiyuudin Eliyaaqim uumate; Eliyaaqim Azor uumate;"
"New","40","1","14","Azor Zaadoq uumate; Zaadoq Akiim uumate; Akiim Eliyud uumate;"
"New","40","1","15","Eliyud Ele'azaar uumate; Ele'azaar Maattaan uumate; Maattaan Yaaqoob uumate;"
"New","40","1","16","Yaaqoob Yoseef uumate; Yoseefiin kun ka Maariyaam fuudhe; isiin, ka, “Masiihii” jedhamee moggaafame, ta Yesuus deette."
"New","40","1","17","Tanaaf Abrahaam irraa kaasee haga Daawwitiititti dhaloota kudhanii afuritti jira; Daawwiti irraa kaasee haga bara kolbaan Israa'elii gara biyya Baabiloonii booji'antetti dhaloota kudhanii afuritti jira; booji'ama gara Baabilooniitii haga dhaloota Masiihiille'etti dhaloota kudhanii afuritti jira."
"New","40","1","18","Dhalooti Yesuus Kiristoosii akkana. Haati isaa Maariyaamiin Yoseefiif kadhatanteertu adoo isaan wol bira hin geyin dura, Ayyaana Woyyichaan ulfoottee dhaggante."
"New","40","1","19","Yoseefiin isii kadhateeru sun nama balchaa waan te'eef, kolbaa duratti Maariyaamii qaanessuu hin barbaanne; maarre dhokaataan isii lakkisiisaaf yaade."
"New","40","1","20","Adoo inni tana yaadiisatti jiruu, ergamaan Waaqaa oojju'uun isatti mudhatee, “Yoseefii sanyii Daawwitii! Maariyaamiin ati kadhatteertu, Ayyaana Woyyichaan waan ulfootteertuuf, akka niitii teeti teetu gara mana keetii fudhatiisaaf hin sodaatin."
"New","40","1","21","Isiin ilma hin deetti; inni waan kolbaa ifii cubbuu irraa fayyisuuf, maqaa isaa, ‘Yesuus’ jettaan” jedheen."
"New","40","1","22","Kun martinuu wonni Goottaan karaa raagichaatiin dubbateeeru akka muummottuuf teete."
"New","40","1","23","Wonni dubbatameerulle, “Durri duudduun hin ulfootti; ilmalle hin deetti; maqaa isaalle, ‘Amaanu'el’ jedhamee waamama;” “Amaanu'el” jechuun, “Waaqi nu woliin jira” jechu'u."
"New","40","1","24","Maarre Yoseef yennaa dammaqe, akkuma ergamaan Gootta'aa itti hime, Maariyaamii kadhateeru akka niiti'iititti gara mana ifii fudhate."
