Testament,Book,Chapter,Verse,Content
"New","40","1","1","Salbacü Jesus Abrahampïtawan Davidpa milayninpïmi śhamun. Paypa awquilluncuna caycunam cala:"
"New","40","1","2","Abrahampa chulinmi Isaac. Isaacpa chulinñatacmi Jacob. Jacobpa chulincunañatacmi Judäwan śhullcancuna."
"New","40","1","3","Judäpa chulincunañatacmi Tamarćhu Fareswan, Zara. Farespa chulinñatacmi Esrom. Esrompa chulinñatacmi Aram."
"New","40","1","4","Arampa chulinñatacmi Aminadab. Aminadabpa chulinñatacmi Naason. Naasonpa chulinñatacmi Salmon."
"New","40","1","5","Salmonpa walmin Rahabćhümi Booz chulin cala; Boozpañatacmi walmin Rutćhu Obed chulin. Obedpa chulinñatacmi Isaí."
"New","40","1","6","Isaïpa chulinñatacmi Israelpa puydï mandänin David. Mandacü Davidpa chulinñatacmi Salomon. Paypa mamanmi cañä Uriaspa walmin."
"New","40","1","7","Salomonpa chulinñatacmi Roboam. Roboampa chulinñatacmi Abias. Abiaspa chulinñatacmi Asa."
"New","40","1","8","Asap chulinñatacmi Josafat. Josafatpa chulinñatacmi Joram. Jorampa chulinñatacmi Uzias."
"New","40","1","9","Uziaspa chulinñatacmi Jotam. Jotampa chulinñatacmi Acaz. Acazpa chulinñatacmi Ezequias."
"New","40","1","10","Ezequiaspa chulinñatacmi Manases. Manasespa chulinñatacmi Amon. Amonpa chulinñatacmi Josias."
"New","40","1","11","Josiaspa chulincunañatacmi Jeconiaswan lluy śhullcancuna. Chayćhümi Israel caśhtacunäta Babilonia malca prïsucta puśhaculcäla."
"New","40","1","12","Chayćhüñam Jeconiaspa chulin Salatiel cala. Salatielpa chulinñatacmi Zorobabel."
"New","40","1","13","Zorobabelpa chulinñatacmi Abiud. Abiudpa chulinñatacmi Eliaquim. Eliaquimpa chulinñatacmi Azor."
"New","40","1","14","Azorpa chulinñatacmi Sadoc. Sadocpa chulinñatacmi Aquim. Aquimpa chulinñatacmi Eliud."
"New","40","1","15","Eliudpa chulinñatacmi Eleazar. Eleazarpa chulinñatacmi Matan. Matanpa chulinñatacmi Jacob."
"New","40","1","16","Jacobpa chulinñatacmi José, Mariap wayapan. Mariap wawinñatacmi Caćhaśhan Salbacüca nipäcuśhan Jesus."
"New","40","1","17","Chayurá Abrahampïta aśhta mandacü Davidcamam pasala ćhunca tawayu awquillucuna. Chaynütacmi mandacü Davidpïta aśhta Israelta Babilonia apacuśhancama ćhunca tawayu awquilluncunatac pasala. Chaynütacmi chay apaśhancäpi aśhta Caćhaśhan Salbacü Jesus näsinancamapis ćhunca tawayu awquillucunatac pasala."
"New","40","1","18","Caćhaśha Salbacü Jesuspa näsishan caynümi cala: Mariam limaśha cala Joséwan cuscapäcunanpä. Manaläpis cuscayaptinmi Chuya Ispiritup munayninwan Maria patayüña licalila."
"New","40","1","19","Jinaptinmi José alli nuna cayninwan, Mariacta mana pin'ayman juluyta munal “Mana tantiachillal caćhaycüśhä” nil pinsayäla."
"New","40","1","20","Chaynüta pinsaśhtin chay tuta puñuyaptinmi Diospa caćhan anjilnin suyñuyninćhu licalilcamul nila: “Davidpa caśhtan José, limay-masiqui Mariawan cuscayta ama ishcayyaychu. Pay'a Chuya Ispiritup munayninwanmi patayu licalïsha cayan."
"New","40","1","21","Chay ishyacuśhan walaśhcätá ‘Jesusta’ śhutichanqui, nunacunäta juchanpi julüca captinmi” nil."
"New","40","1","22","Lluy caycuna pasala Diospa unay willacünin nishannümi:"
