Testament,Book,Chapter,Verse,Content
"New","40","1","1","Cartea genealogiei lui Isus Cristos, fiul lui David, fiul lui Avraam."
"New","40","1","2","Avraam l-a născut pe Isaac, Isaac l-a născut pe Iacov, Iacov i-a născut pe Iuda și pe frații lui,"
"New","40","1","3","Iuda i-a născut pe Fares și pe Zara din Tamar, Fares l-a născut pe Esrom, Esrom l-a născut pe Aram,"
"New","40","1","4","Aram l-a născut pe Aminadab, Aminadab l-a născut pe Naason, Naason l-a născut pe Salmon,"
"New","40","1","5","Salmon l-a născut pe Boaz din Rahab, Boaz l-a născut pe Obed din Rut, Obed l-a născut pe Iese,"
"New","40","1","6","Iese l-a născut pe regele David. David l-a născut pe Solomon din soția lui Urie,"
"New","40","1","7","Solomon l-a născut pe Roboam, Roboam l-a născut pe Abia, Abia l-a născut pe Asa,"
"New","40","1","8","Asa l-a născut pe Iosafat, Iosafat l-a născut pe Ioram, Ioram l-a născut pe Ozia,"
"New","40","1","9","Ozia l-a născut pe Iotam, Iotam l-a născut pe Ahaz, Ahaz l-a născut pe Ezechia,"
"New","40","1","10","Ezechia l-a născut pe Manase, Manase l-a născut pe Amos, Amos l-a născut pe Iosia,"
"New","40","1","11","Iosia l-a născut pe Iehonia și pe frații acestuia, pe vremea deportării în Babilon."
"New","40","1","12","După deportarea în Babilon, Iehonia l-a născut pe Salatiel, Salatiel l-a născut pe Zorobabel,"
"New","40","1","13","Zorobabel l-a născut pe Abiud, Abiud l-a născut pe Eliachim, Eliachim l-a născut pe Azor,"
"New","40","1","14","Azor l-a născut pe Țadoc, Țadoc l-a născut pe Achim, Achim l-a născut pe Eliud,"
"New","40","1","15","Eliud l-a născut pe Eleazar, Eleazar l-a născut pe Matan, Matan l-a născut pe Iacov,"
"New","40","1","16","Iacov l-a născut pe Iosif, soțul Mariei din care S-a născut Isus, Cel care este numit Cristos."
"New","40","1","17","Așadar, în total, de la Avraam până la David sunt paisprezece generații, de la David până la deportarea în Babilon paisprezece generații, iar de la deportarea în Babilon până la Cristos paisprezece generații."
"New","40","1","18","Nașterea lui Isus Cristos s-a petrecut astfel: pe când Maria, mama Lui, era logodită cu Iosif, dar înainte de a fi ei împreună, ea s-a aflat însărcinată de la Duhul Sfânt."
"New","40","1","19","Iosif, soțul ei, fiind un om drept și nevoind s-o facă de rușine, a intenționat s-o părăsească în secret."
"New","40","1","20","Pe când medita la aceste lucruri, iată, un înger al Domnului i s-a arătat într-un vis și i-a zis: „Iosif, fiul lui David, nu te teme s-o iei pe Maria ca soție a ta, căci ce s-a conceput în ea este de la Duhul Sfânt."
"New","40","1","21","Ea va naște un Fiu și Îi vei pune numele Isus, căci El va mântui pe poporul Său de păcatele lui.”"
"New","40","1","22","Toate acestea s-au întâmplat ca să se împlinească ceea ce fusese spus de către Domnul prin profetul care a zis:"
