Testament,Book,Chapter,Verse,Content
"New","40","1","1","Awa ndiwo makholo a dzindza ya Yezu Kirixtu, Mwana wa Dhavidhi, Mwana wa Abharaamu."
"New","40","1","2","Abharaamu abala Izaki, Izaki abala Djakobo, Djakobo abala Djudaa na abale ace."
"New","40","1","3","Djudaa na nkazi wace Tamari abala Peresi na Zara, Peresi abala Eziromu, Eziromu abala Arau."
"New","40","1","4","Arau abala Abhinadhabhi, Abhinadhabhi abala Naasomi, Naasomi abala Salomau."
"New","40","1","5","Salomau na nkazi wace Raabhi abala Bhowazi, Bhowazi na nkazi wace Ruti abala Obhedhi, Obhedhi abala Djesi,"
"New","40","1","6","Djesi abala Mambo Dhavidhi. Dhavidhi abala Salomau na nkazi akhali wa Uriya,"
"New","40","1","7","Salomau abala Robhuwau, Robhuwau abala Abhiya, Abhiya abala Aza."
"New","40","1","8","Aza abala Djosafati, Djosafati abala Djoramu, Djoramu abala Uziya."
"New","40","1","9","Uziya abala Djotamu, Djotamu abala Akasi, Akasi abala Ezekiya."
"New","40","1","10","Ezekiya abala Manase, Manase abala Amoni, Amoni abala Djosiya."
"New","40","1","11","Djosiya abala Djekoniya na abale ace, pa midzidzi ikhadatapatwa mbumba ya madjuda kwenda ku dziko ya Bhabhilonya."
"New","40","1","12","Pa kubuluka kwawo pa kutapatwa ku dziko ya Bhabhilonya, Djekoniya abala Salatiyeli, Salatiyeli abala Zorobhabheli."
"New","40","1","13","Zorobhabheli abala Abhiyudhi, Abhiyudhi abala Eliyakimu, Eliyakimu abala Azori."
"New","40","1","14","Azori abala Sadhoki, Sadhoki abala Akimu, Akimu abala Eliyudhi."
"New","40","1","15","Eliyudhi abala Eliazari, Eliazari abala Matani, Matani abala Djakobo."
"New","40","1","16","Djakobo abala Zuze, mamuna wace Mariya. Mariya abalambo Yezu, anacemerwa Kirixtu ."
"New","40","1","17","Na tenepo, asagumanika makholo khumi na manai a dzindza ya madjuda, kutomera kuna Abharaamu mpaka kuna Dhavidhi. Kutomera kuna Dhavidhi mpaka kubuluka kwawo pa kutapatwa ku Bhabhilonya, asagumanika makholo khumi na manai. Pontho kubulukira ku Bhabhilonya mpaka kufikira pa kubaliwa kwa Kirixtu, asagumanika makholo khumi na manai."
"New","40","1","18","Kubalwa kudacitwa Yezu Kirixtu ndi tenepa: Mariya, mai wace Yezu, pa n'dzidzi ukhabvundzirana iwo na mamuna wace Zuze, amuona mbali na pathupi mbadzati kudziwana na iye. Mbwenye ipi pyacitika na mphambvu za Nzimu Wakucena."
"New","40","1","19","Zuze, mankhadzi wace Mariya, na thangwi ya kukhala munthu wakulungama, pontho toera akhonde kun'nyadzisa, anyerezera kun'khonda n'cibiso-biso."
"New","40","1","20","Mbwenye n'dzidzi unowu ukhanyerezera iye kun'khonda, Mulungu atuma anju wace, mbabwera mu ndoto mbampanga kuti: “Zuze, mwana wa Dhavidhi, leka kugopa kutambira Mariya kuti akhale nkazi wako, thangwi ipi pina iye pyacitika na mphambvu za Nzimu Wakucena."
"New","40","1","21","Iye anadza kabala mwana-mamuna, iwe unadza kan'thula dzina ya Yezu . Thangwi Iye anadza kapulumusa mbumba yace n'kudawa kwawo.”"
"New","40","1","22","Pyonsene ipi pyacitika toera pisimbisiswe pire pikhadapangwa mporofeta kale ene na Mulungu kuti:"
"New","40","1","23","“Lang'anani, mwali m'bodzi anadza kakhala na pathupi mbabala mwana-mamuna, dzina yace inadza kakhala Emanuweli .” Emanuweli ndi kubveka kuti: “Mulungu ali pakati pathu.”"
"New","40","1","24","Zuze, mudadza iye kadzizimuka n'citulo, acita ninga mukhadampangira anju wa Mulungu, mbakwata nkazi wace."
"New","40","1","25","Mbwenye akhonda kudziwana na iye, mpaka kufikira kubaliwa kwa mwana. Buluka penepo, Zuze an'thula mwana dzina ya “Yezu.”"
"New","40","2","1","Yezu abaliwa ku cisa ca Bheleya, ku dziko ya Djudeya, pa midzidzi ikhatonga mambo Herodhi. Pakupita ntsiku zingasi Yezu mbadabalwa kale, abwera ku Djerusalema anthu anyakudziwisa pya nyenyezi, a kumabulukira dzuwa. Pidafika iwo,"
"New","40","2","2","abvundzisa tenepa: “Ali kupi mambo wa madjuda adabaliwa cincino? Thangwi ife taiona nyenyezi yace kumabulukira dzuwa. Na tenepo, tabwera kamulambira.”"
"New","40","2","3","Mambo Herodhi, na kupibva pinthu penepi, atutumuka napyo pikulu iye na anthu anango onsene a mu nzinda unowu wa Djerusalema."
"New","40","2","4","Na thangwi eneyo, mambo Herodhi acemeresa akulu onsene aanyantsembe na anyakudziwisa a Mwambo a mbumba, mbaabvundza kuti: “Kodi ndipangeni, ndi kupi kunafuna baliwa Kirixtu?”"
"New","40","2","5","Iwo antawira tenepa: “Anabaliwa ku Bheleya, mu dziko ya Djudeya.” Thangwi Mulungu alonga na mporofeta Mikeya kuti:"
