Testament,Book,Chapter,Verse,Content
"New","40","1","1","Toto je záznam rodokmeňa Ježiša Krista, syna Dávidovho a syna Abrahámovho."
"New","40","1","2","Abrahám mal syna Izáka, Izák Jákoba, Jákob Júdu a jeho bratov,"
"New","40","1","3","Júda splodil Faresa a Zára (ich matkou bola Tamara), Fares mal syna Hezrona a ten Arama,"
"New","40","1","4","Aram mal syna Aminadaba, ten mal syna Násona a Náson mal syna Salmona,"
"New","40","1","5","Salmon mal s Rachabou syna Boaza, Boaz mal s Rút syna Obeda a ten mal syna Jesseho,"
"New","40","1","6","Jesse bol otcom Dávida, ktorý sa stal kráľom Izraela, Dávid splodil s Uriášovou manželkou Šalamúna,"
"New","40","1","7","Šalamún splodil Roboáma, Roboám Abiu, Abia Azafa,"
"New","40","1","8","Azaf bol otcom Jozafata, Jozafat otcom Joráma a Jorám bol otcom Oziáša,"
"New","40","1","9","Oziáš splodil Joatama, Joatam Achaza, Achaz Ezechiáša,"
"New","40","1","10","Ezechiáš mal syna Manasesa, Manases mal syna Amosa a ten bol otcom Joziáša,"
"New","40","1","11","Joziáš bol otcom Jechoniáša a jeho bratov (v čase odvlečenia do Babylonu)."
"New","40","1","12","Po babylonskom zajatí splodil Jekoniáš Salatiela a Salatiel Zorobábela,"
"New","40","1","13","Zorobábel mal syna Abiúda, Abiúd Eliakima a Eliakim Azora,"
"New","40","1","14","Azor mal syna Sádoka, ten syna Achima a Achim syna Eliúda,"
"New","40","1","15","Eliúd splodil Eleazara, ten mal syna Mátana a Mátan mal syna Jákoba."
"New","40","1","16","Jákob bol otcom Jozefa, ktorý bol mužom Márie, matky Ježiša, nazývaného Kristus."
"New","40","1","17","Od Abraháma po Dávida to teda bolo štrnásť generácií, ďalších štrnásť generácií od Dávida po babylonské zajatie a od zajatia v Babylone až po Krista zasa štrnásť."
"New","40","1","18","S narodením Ježiša Krista to bolo takto: Jeho matka Mária bola zasnúbená s Jozefom. No ešte skôr než sa vzali, vysvitlo, že počala z moci Ducha Svätého."
"New","40","1","19","Jozef bol muž prísnych zásad, preto sa rozhodol, že sa s ňou rozíde. Chcel to však urobiť v tajnosti, aby ju nevystavil verejnej potupe."
"New","40","1","20","Keď o tom uvažoval, vo sne sa mu zjavil Pánov anjel a povedal: „Jozef, syn Dávidov, neboj sa prijať Máriu za svoju ženu, lebo dieťa, ktoré čaká, pochádza z Ducha Svätého."
"New","40","1","21","Narodí sa jej syn a dáš mu meno Ježiš, lebo on vyslobodí svoj ľud z jeho hriechov."
"New","40","1","22","Takto sa naplnilo všetko, čo Boh hovoril prostredníctvom proroka:"
"New","40","1","23","‚Počujte, panna otehotnie, porodí syna a dajú mu meno Emanuel,‘ čo znamená: Boh je s nami.“"
"New","40","1","24","Keď sa Jozef prebudil, urobil tak, ako mu Pánov anjel prikázal a prijal Máriu za svoju ženu."
"New","40","1","25","Ale intímne spolu nežili, kým sa jej nenarodil syn, ktorému dal meno Ježiš."
"New","40","2","1","Ježiš sa narodil v meste Betlehem v Judsku za vlády kráľa Herodesa. V tom čase prišli do Jeruzalema mudrci z východných krajín"
"New","40","2","2","a vypytovali sa: „Kde je ten židovský kráľ, ktorý sa práve narodil? Videli sme na východe jeho hviezdu a prišli sme sa mu pokloniť.“"
"New","40","2","3","Keď sa to dozvedel kráľ Herodes, veľmi sa znepokojil a spolu s ním aj všetci obyvatelia Jeruzalema."
"New","40","2","4","Herodes zvolal všetkých veľkňazov a učiteľov Zákona a vyzvedal sa od nich, kde sa má Mesiáš narodiť."
"New","40","2","5","Odpovedali mu: „V Betleheme, v Judsku, lebo prorok napísal:"
"New","40","2","6","‚Betlehem, nie si najbezvýznamnejší medzi judskými mestami, lebo z teba vyjde vodca, ktorý sa bude starať o môj ľud, Izrael, ako pastier o ovce.‘ “"
"New","40","2","7","Herodes si tajne pozval mudrcov z východu a podrobne sa ich vypytoval, kedy sa im hviezda po prvý raz zjavila."
"New","40","2","8","Poslal ich do Betlehema s takouto úlohou: „Choďte a dôkladne zistite všetko o tom dieťati, a keď ho nájdete, príďte mi to oznámiť, aby som sa mu mohol ísť pokloniť aj ja.“"
"New","40","2","9","Mudrci si kráľa vypočuli a vydali sa na cestu. A hviezda sa im znova zjavila a viedla ich, až zastala nad miestom, kde bolo dieťa."
"New","40","2","10","Keď uvideli hviezdu, náramne sa potešili."
"New","40","2","11","Vošli do domu a našli tam dieťa s jeho matkou Máriou. Padli pred ním na kolená a klaňali sa mu ako kráľovi. Potom mu obetovali prinesené dary – zlato, kadidlo a drahocenný olej."
"New","40","2","12","Vo sne ich však Boh varoval, aby sa nevracali k Herodesovi. Do svojej krajiny sa teda pobrali inou cestou."
"New","40","2","13","Po ich odchode sa Jozefovi vo sne zjavil anjel Pánov a prikázal mu: „Vstaň, vezmi dieťa i jeho matku, uteč s nimi do Egypta a zostaň tam, kým ti nepoviem. Herodes bude totiž pátrať po dieťati, aby ho zabil.“"
"New","40","2","14","Jozef hneď v noci vzal dieťa i jeho matku a vybral sa s nimi do Egypta."
"New","40","2","15","Tam boli až do smrti kráľa Herodesa. Tak sa splnilo, čo povedal Pán ústami proroka: „Z Egypta som povolal svojho syna.“"
"New","40","2","16","Keď Herodes zistil, že ho mudrci podviedli, vzbĺkol hnevom. Do Betlehema i jeho okolia poslal vojakov a dal povraždiť všetkých chlapcov do dvoch rokov – tento vek vyrátal podľa údajov, čo sa dozvedel od mudrcov."
"New","40","2","17","Vtedy sa akoby znova naplnili slová proroka Jeremiáša:"
"New","40","2","18","„V meste Ráma počuť nárek, plač a kvílenie. To Ráchel oplakáva svoje deti a nemožno ju potešiť, lebo ich niet.“"
"New","40","2","19","Keď Herodes zomrel, Jozefovi sa v Egypte znova ukázal vo sne Pánov anjel"
"New","40","2","20","a povedal mu: „Vezmi dieťa i jeho matku a vráť sa do izraelskej krajiny, lebo už zomreli tí, čo chceli dieťa zabiť.“"
"New","40","2","21","Jozef poslúchol a vrátil sa spolu s dieťatkom a jeho matkou do izraelskej krajiny."
"New","40","2","22","Veľmi sa však zľakol, keď sa dozvedel, že Herodesovým nástupcom v Judsku je jeho syn Archelaus. Vo sne dostal ďalší pokyn od Boha, aby šiel do Galiley."
"New","40","2","23","Usadil sa v Nazarete, čím sa naplnili slová prorokov o Mesiášovi, že ho ľudia budú poznať ako: „Toho z Nazareta.“"
"New","40","3","1","V tom čase vystúpil Ján Krstiteľ a kázal ľuďom, ktorí prichádzali za ním na judskú púšť:"
"New","40","3","2","„Prestaňte hrešiť a obráťte sa k Bohu, lebo prichádza nebeské kráľovstvo.“"
"New","40","3","3","To je ten, o ktorom hovoril prorok Izaiáš: „Na púšti volá hlas: Pripravte cestu Pánovi a odstráňte z nej všetky prekážky.“"
"New","40","3","4","Ján nosil odev z ťavej srsti, prepásaný koženým opaskom. Živil sa tým, čo poskytovala púšť: kobylkami a medom divých včiel."
"New","40","3","5","Schádzali sa k nemu ľudia z Jeruzalema, z celého Judska i z krajov okolo Jordánu."
"New","40","3","6","Dávali sa krstiť v rieke Jordán, a tým verejne vyznávali svoje hriechy."
"New","40","3","7","Keď však Ján videl, že sa prichádzajú krstiť aj mnohí farizeji a saduceji – povedal im: „Vy hadie plemeno! Prečo si myslíte, že takto môžete uniknúť pred Božím hnevom?"
"New","40","3","8","Dokážte svojím životom, že ste sa odvrátili od vlastných hriechov."
"New","40","3","9","Nemyslite si, že sa vám nemôže nič stať len preto, že si vravíte ‚Sme potomkovia Abraháma.‘ Neklamte samých seba! Veď Boh môže aj tieto kamene oživiť a urobiť z nich Abrahámove deti."
"New","40","3","10","Sekera Božieho súdu je už priložená ku koreňom stromov. Každý strom, ktorý neprináša dobré ovocie, bude vyťatý a hodený do ohňa."
"New","40","3","11","Ja krstím vodou tých, ktorí ľutujú svoje previnenia a vyznávajú ich. Ale po mne príde niekto omnoho väčší ako ja, ktorému nie som hodný ani len obuv vyzuť. On vás bude krstiť Svätým Duchom a ohňom."
"New","40","3","12","On prečistí zrno, zbaví ho pliev, pšenicu zhromaždí do sýpky, ale plevy spáli v neuhasiteľnom ohni.“"
"New","40","3","13","Vtedy prišiel Ježiš z Galiley k Jordánu za Jánom, aby sa dal od neho pokrstiť."
"New","40","3","14","Ján sa mu v tom však snažil zabrániť: „Ty by si mal pokrstiť mňa! Prečo prichádzaš, aby som pokrstil ja teba?“"
"New","40","3","15","No Ježiš mu odpovedal: „Len to urob, lebo musíme vykonať všetko, čo Boh žiada.“ A tak ho Ján pokrstil."
"New","40","3","16","Hneď, ako po krste Ježiš vystúpil z vody, otvorilo sa nebo a uvidel Božieho Ducha, ktorý akoby holubica zostupoval na neho."
"New","40","3","17","Zároveň zaznel z neba hlas: „Toto je môj Syn. Milujem ho a to, čo robí, ma napĺňa radosťou!“"
"New","40","4","1","Potom Duch Boží viedol Ježiša na púšť, aby ho tam diabol pokúšal."
"New","40","4","2","Po tom, ako sa Ježiš postil štyridsať dní a nocí, veľmi vyhladol."
"New","40","4","3","Tu sa k nemu priblížil pokušiteľ a povedal mu: „Ak si naozaj Boží Syn, prikáž týmto kameňom, aby sa premenili na chleby!“"
"New","40","4","4","Ale Ježiš mu odpovedal: „Je napísané: Na to, aby človek žil, nepotrebuje len jedlo, ale aj slová, ktoré vychádzajú z Božích úst.“"
"New","40","4","5","Potom ho diabol zaviedol do Jeruzalema na vežu chrámu"
"New","40","4","6","a povedal: „Ak si Boží Syn, zoskoč dolu! Veď je napísané: Boh prikáže svojim anjelom, aby ťa ochránili, a ponesú ťa na rukách, aby si si neporanil nohy o kameň.“"
"New","40","4","7","Ježiš mu zasa odpovedal: „Ale je napísané aj toto: Nebudeš pokúšať Boha, je tvojím Pánom!“"
"New","40","4","8","Napokon ho diabol vyviedol na veľmi vysoký vrch a ukázal mu všetky kráľovstvá sveta s ich bohatstvom a slávou."
"New","40","4","9","Tam mu povedal: „Toto všetko ti dám, ak predo mnou padneš na kolená a vzdáš mi úctu!“"
"New","40","4","10","Ježiš mu odpovedal: „Strať sa mi z očí, pokušiteľ! Lebo je napísané: Pána, svojho Boha budeš uctievať a iba jemu budeš slúžiť!“"
"New","40","4","11","V tej chvíli ho diabol opustil. Ježiša obklopili anjeli a starali sa o neho."
"New","40","4","12","Keď sa Ježiš dopočul, že Ján je vo väzení, vrátil sa do Galiley."
"New","40","4","13","Nezostal však v Nazarete, ale usadil sa v Kafarnaume. To mesto ležalo na brehu Genezaretského jazera, v oblasti, ktorú kedysi obývali izraelské kmene Zabulon a Neftalí."
"New","40","4","14","Takto sa splnila predpoveď proroka Izaiáša:"
"New","40","4","15","„V krajine Zabulonovej a Neftalího, na ceste k moru, za Jordánom, Galilea pohanov –"
"New","40","4","16","ľud ponorený do temnoty uzrie veľké svetlo. Svetlo zažiari tým, ktorí žijú v krajine tieňa smrti.“"
"New","40","4","17","Odvtedy začal Ježiš kázať: „Zmeňte svoje zmýšľanie a obráťte sa k Bohu, lebo nebeské kráľovstvo je blízko.“"
"New","40","4","18","Jedného dňa šiel Ježiš po brehu Galilejského mora a zazrel dvoch mužov, ako do vody hádžu siete. Boli to rybári Šimon, neskôr nazývaný Peter, a jeho brat Andrej."
"New","40","4","19","Ježiš na nich zavolal: „Poďte za mnou a ja vám ukážem, ako získavať ľudí pre večnosť!“"
"New","40","4","20","Obaja hneď opustili siete a šli za ním."
"New","40","4","21","O kúsok ďalej iní dvaja bratia, Jakub a Ján, spolu so svojím otcom Zebedejom opravovali v loďke siete. Aj ich zavolal."
"New","40","4","22","A obaja razom zanechali svoju loďku i otca a pobrali sa za Ježišom."
"New","40","4","23","Ježiš chodil po celej Galilei, učil v synagógach, hlásal všade radostnú zvesť o Božom kráľovstve a zbavoval trpiacich všetkých možných chorôb a neduhov."
"New","40","4","24","Správy o ňom sa rýchlo rozniesli až po provinciu Sýria. Vodili k nemu chorých, ľudí posadnutých démonmi, pomätencov, ochrnutých – a on ich uzdravoval."
"New","40","4","25","Všade za ním putovalo množstvo ľudí nielen z Galiley, ale aj z Desaťmestia, Jeruzalema, Judska i zo Zajordánska."
"New","40","5","1","Jedného dňa, keď Ježiš videl dav ľudí, vystúpil na vrch a keď si sadol, pristúpili k nemu jeho učeníci."
"New","40","5","2","Ježiš ich začal učiť:"
"New","40","5","3","„Šťastní sú tí, ktorí si uvedomujú svoju potrebu Boha, lebo tým patrí kráľovstvo nebeské."
"New","40","5","4","Šťastní sú tí, ktorí plačú, lebo Boh ich poteší."
"New","40","5","5","Šťastní sú tichí, lebo oni sa stanú dedičmi zeme."
"New","40","5","6","Šťastní sú tí, ktorí túžia po spravodlivosti ako smädní po vode a hladní po jedle, lebo oni budú nasýtení."
"New","40","5","7","Šťastní sú milosrdní, lebo aj Boh bude k nim milosrdný."
"New","40","5","8","Šťastní sú tí, ktorí majú čisté srdce, lebo oni uvidia Boha."
"New","40","5","9","Šťastní sú tí, ktorí šíria pokoj, lebo tých Boh nazve svojimi deťmi."
"New","40","5","10","Šťastní sú tí, ktorých prenasledujú preto, že poslúchajú Boha, lebo im patrí nebeské kráľovstvo."
"New","40","5","11","Šťastní ste, ak vás hania, prenasledujú a očierňujú preto, že sa hlásite ku mne."
"New","40","5","12","Áno, máte dôvod radovať sa a jasať, lebo v nebi máte veľkú odmenu. Napokon, rovnako prenasledovali aj prorokov, ktorí žili pred vami.“"
"New","40","5","13","„Vy ste soľ zeme. No ak soľ stratí svoju chuť, čo jej ju vráti? Taká soľ sa už nedá použiť na nič, možno ju iba vyhodiť, aby ju ľudia pošliapali."
"New","40","5","14","Vy ste svetlo sveta. Ste ako mesto postavené na kopci, nemôže sa schovať."
"New","40","5","15","Ani lampu nerozsvietite na to, aby ste ju schovali, ale dáte ju na viditeľné miesto, aby svietila každému v dome."
"New","40","5","16","Nech tak svieti vaše svetlo všetkým ľuďom, aby videli dobro, ktoré konáte, a oslavovali za to vášho Otca v nebesiach.“"
"New","40","5","17","„Nemyslite si, že som prišiel zrušiť Zákon alebo Prorokov. Neprišiel som to zrušiť, ale naplniť."
"New","40","5","18","S úplnou vážnosťou vám hovorím, kým trvá nebo a zem, ani písmenko, ani čiarka zo Zákona nestratí platnosť, kým sa všetko nenaplní."
"New","40","5","19","Keby teda niekto zrušil čo i len jedno z týchto prikázaní, hoci to najmenšie, a učil by tomu aj iných, bude sa nazývať v nebeskom kráľovstve najmenším. Kto však rešpektuje Božie prikázania a učí tak aj iných, toho Boh označí za veľkého v nebeskom kráľovstve."
"New","40","5","20","Hovorím: Ak vaša spravodlivosť nebude väčšia ako spravodlivosť učiteľov Zákona a farizejov, určite nevstúpite do nebeského kráľovstva."
"New","40","5","21","Viete, že vašim predkom bolo povedané: ‚Nezabiješ!‘ Preto, kto zabije, musí ísť pred súd."
"New","40","5","22","Ale ja vám hovorím: Súdený bude každý, kto sa hnevá na iného človeka; a kto iného ponižuje, odsúdi ho najvyšší súd, no kto mu zlorečí, zaslúži si pekelný oheň."
"New","40","5","23","Ak prinášaš na oltár svoj dar, aby si ho obetoval Bohu, no uvedomíš si, že tvoj brat má niečo proti tebe,"
"New","40","5","24","nechaj tam svoj dar, choď za svojím bratom a zmier sa s ním. Až potom obetuj svoj dar."
"New","40","5","25","Ak máš so svojím protivníkom spor a chce ťa obžalovať, usiluj sa s ním zmieriť už cestou. Inak ťa zavlečie k sudcovi, sudca ťa vydá dozorcovi a ten ťa uvrhne do väzenia."
"New","40","5","26","A nevyjdeš odtiaľ skôr, kým nesplatíš svoj trest do posledného haliera."
"New","40","5","27","Viete, že vašim predkom bolo povedané: ‚Nebudeš cudzoložiť.‘"
"New","40","5","28","Ale ja vám hovorím: každý, kto žiadostivo pozerá na ženu, už s ňou scudzoložil vo svojom srdci."
"New","40","5","29","Ak ťa teda zvádza pravé oko, vylúpni si ho a zahoď; lebo je pre teba lepšie, ak prídeš o jednu časť tela, ako by malo celé tvoje telo prísť do pekla."
"New","40","5","30","Ak ťa navádza na hriech pravá ruka, odsekni si ju a odhoď od seba. Lepšie je, ak prídeš o jednu časť tela, ako sa dostať do večnej záhuby.“"
"New","40","5","31","„Bolo tiež povedané: ‚Kto by sa chcel rozviesť so svojou ženou, nech jej dá rozvodový list.‘"
"New","40","5","32","Ale ja vám hovorím: každý, kto sa rozvedie so ženou – okrem prípadu smilstva – vystaví ju cudzoložstvu, a kto sa ožení s rozvedenou, dopúšťa sa cudzoložstva."
"New","40","5","33","Ďalej ste počuli, že bolo vašim predkom povedané: ‚Nebudeš krivo prisahať, ale splníš, čo si Pánovi pod prísahou sľúbil.‘"
"New","40","5","34","Ale ja vám hovorím: neprisahajte vôbec; ani na nebo, lebo je Božím trónom,"
"New","40","5","35","ani na zem, lebo je jeho podnožou, ani na Jeruzalem, lebo je mestom veľkého Kráľa."
"New","40","5","36","Neprisahajte ani na svoju hlavu, lebo nie je vo vašej moci, aby vám čo i len jeden vlas narástol biely alebo čierny."
"New","40","5","37","Vaša reč nech je jednoznačná – áno nech znamená áno, nie nech znamená nie. Ak k tomu niečo pridávate, pochádza to od zlého.“"
"New","40","5","38","„Počuli ste, že bolo povedané: ‚Oko za oko, zub za zub.‘"
"New","40","5","39","Ale ja vám hovorím: neodplácajte zlo zlým. Naopak, ak ťa niekto udrie po pravom líci, nastav mu aj ľavé."
"New","40","5","40","A ak by sa chcel niekto s tebou súdiť a vziať ti košeľu, daj mu aj kabát."
"New","40","5","41","A ak ťa niekto poprosí, aby si mu odniesol bremeno na kúsku cesty, zanes mu ho dva razy tak ďaleko."
"New","40","5","42","Tomu, kto ťa o niečo prosí, daj, a kto si chce od teba požičať, tomu neodmietni."
"New","40","5","43","Počuli ste, že bolo povedané: ‚Miluj svojho blížneho a nenáviď svojho nepriateľa.‘"
"New","40","5","44","Ale ja vám hovorím: milujte svojich nepriateľov! Modlite sa za tých, ktorí vás prenasledujú."
"New","40","5","45","Takto budete konať ako deti nebeského Otca. On spôsobuje, aby slnko svietilo na dobrých aj na zlých, a zosiela dážď na spravodlivých aj na nespravodlivých."
"New","40","5","46","Aké uznanie by ste chceli za to, že prejavujete lásku iba tým, ktorí vás milujú? Nerobia vari to isté aj vyberači daní?"
"New","40","5","47","Ak sa správate priateľsky iba k svojim blízkym, ste vari v niečom výnimoční? Nerobia tak azda aj pohania?"
"New","40","5","48","Buďte teda dokonalí v láske, ako je dokonalý aj váš nebeský Otec.“"
"New","40","6","1","„Dávajte si pozor, aby ste skutky svojej spravodlivosti nevystavovali na obdiv pred ľuďmi, lebo tým sa pripravíte o odmenu od svojho Otca v nebesiach."
"New","40","6","2","Preto keď dávaš núdznemu, nevytrubuj o tom všetkým na známosť. Okato – v synagógach a na námestiach – konajú dobro pokrytci, lebo túžia, aby ich ľudia chválili. Naozaj, vravím vám: oni už svoju odmenu dostali."
"New","40","6","3","Ak ty niekomu pomáhaš, rob to nenápadne – nech tvoja ľavá ruka nevie, čo robí pravá."
"New","40","6","4","A tvoj Otec, ktorý vidí aj skryté veci, ti to odplatí.“"
"New","40","6","5","„Keď sa modlíte, nebuďte ako pokrytci, ktorí sa radi modlievajú v synagógach a na námestiach, aby ich ľudia videli. Naozaj, vravím vám: oni už svoju odmenu dostali."
"New","40","6","6","Ale keď sa chceš modliť, choď do svojej izbičky, zavri za sebou dvere a modli sa k svojmu Otcovi, ktorého nevidieť. A tvoj Otec, ktorý vidí aj to, čo je skryté, ťa vypočuje."
"New","40","6","7","Neopakujte bezmyšlienkovito modlitbu ako ľudia, ktorí Boha nepoznajú. Myslia si, že ich Boh vypočuje, keď budú svoju prosbu donekonečna omieľať."
"New","40","6","8","Nenapodobňujte ich, veď váš Otec pozná vaše potreby skôr, než ich vyslovíte.“"
"New","40","6","9","„Vy sa modlite takýmto spôsobom: Otče náš, ktorý si na nebesiach, nech je vzdaná úcta a česť tvojmu menu."
"New","40","6","10","Nech príde tvoje kráľovstvo. Nech sa tvoja vôľa deje ako v nebi, tak i na zemi."
"New","40","6","11","Dávaj nám chlieb na každý deň."
"New","40","6","12","A odpusť nám naše viny, ako i my odpúšťame každému, kto sa previňuje voči nám."
"New","40","6","13","A nedovoľ, aby sme podľahli pokušeniu, ale pomáhaj nám vyhýbať sa zlému. (Lebo tvoje je kráľovstvo, i moc, i sláva naveky. Amen.)"
"New","40","6","14","Ak odpustíte iným ich previnenia, aj vám odpustí váš nebeský Otec."
"New","40","6","15","Ale ak im neodpustíte, potom ani nebeský Otec neodpustí vaše previnenia.“"
"New","40","6","16","„A keď sa postíte, netvárte sa utrápene. A nech to nie je poznať ani na vašom zovňajšku, ako to robia pokrytci, ktorí takto upozorňujú svoje okolie, že sa postia. Naozaj vám hovorím: oni už svoju odmenu dostali."
"New","40","6","17","Ale keď sa ty postíš, pekne sa uprav a buď prirodzený,"
"New","40","6","18","pretože nie ľudia majú vidieť, že sa postíš, ale tvoj Otec, ktorého nikto nevidí. A tvoj Otec, ktorý vidí aj skryté veci, ti to odplatí.“"
"New","40","6","19","„Nehromaďte si bohatstvo na zemi, kde rýchlo stráca svoju hodnotu alebo ho môžu ukradnúť zlodeji."
"New","40","6","20","Ukladajte si radšej poklady v nebi, kde ich nezničia ani mole, ani hrdza, ani ich neukradne nijaký zlodej."
"New","40","6","21","Lebo kde je váš poklad, tam bude aj vaše srdce."
"New","40","6","22","Oči sú ako lampa, ktorá dáva svetlo. Ak je tvoje oko čisté, tvoj život bude naplnený svetlom."
"New","40","6","23","Ale ak je tvoje oko zakalené nečistými myšlienkami a túžbami, si ponorený do temnoty. Ak to, čo by malo byť pre teba svetlom, je tmou, aká potom bude skutočná tma?“"
"New","40","6","24","„Nikto nemôže slúžiť dvom pánom. Jedného totiž bude nenávidieť a druhého mať rád, alebo jednému bude dávať prednosť a druhého bude zanedbávať. Nedá sa slúžiť zároveň Bohu aj majetku."
