Testament,Book,Chapter,Verse,Content
"New","40","1","1","Bukve rodú Jezusa Kristusa, sina Davidovega, sina Abrahamovega."
"New","40","1","2","Abraham je rodil Izaka; Izak je pa rodil Jakoba; Jakob je pa rodil Juda in brate njegove."
"New","40","1","3","Juda je pa rodil Faresa in Zara s Tamaro; Fares je pa rodil Ezroma; Ezrom je pa rodil Arama."
"New","40","1","4","Aram je pa rodil Aminadaba; Aminadab je pa rodil Naasona; Naason je pa rodil Salmona."
"New","40","1","5","Salmon je pa rodil Booza z Rahabo; Booz je pa rodil Obeda z Ruto; Obed je pa rodil Jeseja."
"New","40","1","6","A Jesej je rodil Davida kralja. David kralj je pa rodil Solomona z Urijevo."
"New","40","1","7","Solomon je pa rodil Roboama; Roboam je pa rodil Abija; Abija je pa rodil Aza."
"New","40","1","8","Aza je pa rodil Jozafata; Jozafat je pa rodil Jorama; Joram je pa rodil Ozija."
"New","40","1","9","Ozija je pa rodil Joatama; Joatam je pa rodil Aliaza; Aliaz je pa rodil Ezehija."
"New","40","1","10","Ezehija je pa rodil Manaseja; Manasej je pa rodil Amona; Amon je pa rodil Jozija."
"New","40","1","11","A Jozija je rodil Johonija in brate njegove, za selitve Babilonske."
"New","40","1","12","Po selitvi Babilonskej pa: Jehonija je rodil Salatijela; Salatijel je pa rodil Zorobabeljna."
"New","40","1","13","Zorobabelj je pa rodil Abijuda; Abijud je pa rodil Elijahima; Elijahim je pa rodil Azorja."
"New","40","1","14","Azor je pa rodil Sadoka; Sadok je pa rodil Ahima; Ahim je pa rodil Elijuda."
"New","40","1","15","Elijud je pa rodil Eleazarja; Eleazar je pa rodil Matana; Matan je pa rodil Jakoba."
"New","40","1","16","A Jakob je rodil Jožefa moža Marije, iz ktere se je rodil Jezus, ki se imenuje Kristus."
"New","40","1","17","Vseh rodov torej od Abrahama do Davida, štirinajst rodov; in od Davida do selitve Babilonske, štirinajst rodov; in od selitve Babilonske do Kristusa, štirinajst rodov."
"New","40","1","18","Jezus Kristusovo rojstvo je bilo pa tako: Ko je bila namreč mati njegova Marija zaročena Jožefu, predno sta se sešla, najde se, da je noseča od svetega Duha."
"New","40","1","19","Jožef pa mož njen, ker je bil pravičen in je ni hotel očitno sramotiti, hotel jo je skrivaj popustiti."
"New","40","1","20","In ko je to pomislil, glej, prikaže mu se v spanji angelj Gospodov, govoreč: Jožef, sin Davidov! ne boj se vzeti Marije žene svoje; kajti kar se je v njej začelo, od Duha je svetega."
"New","40","1","21","Rodila bo pa sina, in imenuj ime njegovo Jezus; kajti on bo odrešil ljudstvo svoje njih grehov."
"New","40","1","22","Vse to se je pa zgodilo, da se izpolni, kar je rekel Gospod po preroku, kteri pravi:"
"New","40","1","23","""Glej, devica bo noseča, in rodila bo sina, in imenovali bodo ime njegovo Emanuel,"" kar se tolmači: Bog z nami."
