Testament,Book,Chapter,Verse,Content
"New","40","1","1","Kitabo cha kibyalilwe cha ngʼwa Yesu Kristo, ngʼwana wa ngʼwa Daudi, ngʼwana wa ngʼwa Abrahamu."
"New","40","1","2","Abrahamu akamyala Isaaka; Isaaka umyala Yakobo; Yakobo umyala Yuda na bana ba ngʼwawe;"
"New","40","1","3","Yuda umyala Faresi na Zara muli Tamaru; Faresi umyala Esromu; Esromu umyala Aramu;"
"New","40","1","4","Aramu umyala Aminadabu; Aminadabu umyala Naasoni; Naasoni umyala Salmoni."
"New","40","1","5","Salmoni umyala Boazi muli Rahabu; Boazi umyala Obedi muli Ruth; Obedi umyala Yese;"
"New","40","1","6","Yese umyala Ntemi Daudi. Ntemi Daudi umyala Solomoni muli uyo walali nke wa Uria;"
"New","40","1","7","Solomoni umyala Rehoboamu; Rehoboamu umyala Abia; Abia umyala Asa;"
"New","40","1","8","Asa umyala Yehoshafati; Yehoshafati umyala Yoramu; Yoramu umyala Uzia;"
"New","40","1","9","Uzia umyala Yothamu; Yothamu umyala Ahazi; Ahazi umyala Hezekia;"
"New","40","1","10","Hezekia umyala Manase; Manase umyala Amoni; Amoni umyala Yosia;"
"New","40","1","11","Yosia umyala Yekonia na bana ba ngʼwawe mu shiku ja kusamiwa kuja Babuloni."
"New","40","1","12","Na hanuma ya kusamiwa kuja Babuloni, Yekonia umyala Shealtieli; Shealtieli umyala Zerubabeli;"
"New","40","1","13","Zerubabeli umyala Abihudi; Abihudi umyala Eliakimu; Eliakimu umyala Azori;"
"New","40","1","14","Azori umyala Sadoka; Sadoka umyala Ahimu; Ahimu umyala Eliuda;"
"New","40","1","15","Eliuda umyala Eleazari; Eleazari umyala Mathani; Mathani umyala Yakobo;"
"New","40","1","16","Yakobo umyala Yusufu u ngoshi wa ngʼwa Mariamu, muli nkima uyu akabyalwa Yesu, Uyo akitanagwa Kristo."
"New","40","1","17","Giki i shibyalilwe shose kufuma kuli Abrahamu kushisha kuli Daudi, shibyalilwe ikumi na shine; na kufuma kuli Daudi kushisha kusamiwa kuja Babuloni, shibyalilwe ikumi na shine; na kufuma kusamiwa kuja Babuloni kushisha kuli Kristo, shibyalilwe ikumi na shine."
"New","40","1","18","Kubyalwa kwa ngʼwa Yesu Kristo kwali kuli giki, iki nina Mariamu wali walunjiwa na Yusufu, aho bali batali kusanja, ubonwa ali nda ya Moyo Ngʼwela."
"New","40","1","19","Yusufu ngoshi wakwe iki ubiza ntungilija, na walatatogilwe kungola, widedekanya kuneka mu kwigeniha."
"New","40","1","20","Aho wali widedekanya mihayo iyi, lolaga, malaika wa Seba akangʼwilongela mu kiloti, ungʼwila giki, Yusufu ngʼwana wa ngʼwa Daudi, utizogoha kuntwala nke wako Mariamu: iki icho chatungwa mu nda yakwe cha ngʼwa Moyo chene chela."
"New","40","1","21","Nanghwe alamyala ngʼwana ngosha, nangho ulangʼwilika lina lyakwe YESU: iki Wei alabapija banhu bakwe kufuma mu shibi shabo."
"New","40","1","22","Iyo yose yali yitwa, gushikilijiwe uyo gwaahayiwa na Seba muli nghangi, giki,"
"New","40","1","23","Lolaga, munhya ngʼwibembu alabucha nda, nanghwe alamyala ngʼwana ngosha, na balangʼwilika lina lyakwe Emanuel; mhayo uyu, kushomelejiwa kwaho kuli giki, Mulungu ali hamo na biswe."
"New","40","1","24","Yusufu aho wali umisha mu tulo, akita gitumo malaika wa Seba wanagilile, na untwala nke wakwe;"
"New","40","1","25","Na walatamanile wei kushisha umyala ngʼwana wakwe wa kwandia ngosha; na akangʼwilika lina lyakwe YESU."
"New","40","2","1","Aho Yesu wali wabyalwa mu Bethlehemu ya Buyudaya, mu shiku ja Ntemi Herode, lolaga, balalanghanu ba kiya bushika Yerusalemi,"
"New","40","2","2","Bubyuhaya giki, Ali hali, Uyo waabyalwa Ntemi wa Bayudaya? Iki bukabona sonda yakwe mu kiya, na twiza-ga kunamya."
"New","40","2","3","Aho Ntemi Herode wigwa mihayo iyi wiganilija, na Yerusalemi yose hamo nanghwe."
"New","40","2","4","Na alio wababilinga bagabiji batale bose, na bandiki ba banhu, ubabugilija giki, Angu, Kristo akubyalilwa hali?"
"New","40","2","5","Nabo bungʼwila giki, Mu Bethlehemu ya Buyudaya; iki yaandikwa muli nghangi giki,"
"New","40","2","6","Na bebe, Bethlehemu, si ya Yuda, uti ndo yaya mu basugi ba Yuda, iki kufuma muli bebe alilonga nsugi Uyo alabadima banhu bane Israeli."
"New","40","2","7","Huna lulu Herode aho wabitanile balalanghanu mu kwigeniha, ubabugilija no i likanza lya chilongele cha sonda."
"New","40","2","8","Na aho ubatuma Bethlehemu, ubawila giki, Jagi mukagisilije gete gete mihayo ya ngʼwana; aho mulamonaga munenhele mihayo, nane naje nakanamye."
"New","40","2","9","Aho bali bungʼwigwa ntemi, huna buja; na lolaga, sonda iyo bali bibona mu kiya yubatongela, kushisha yushika ho yimila higulya ya ipande uko walali ngʼwana."
"New","40","2","10","Aho bibona sonda, buyega na kuyega kutale kutinda."
"New","40","2","11","Nabo aho bingila mu numba, bumona ngʼwana hamo na nina Mariamu; na bugwa ha si, bunamya ngʼwana, nabo aho butaligula sabo jabo bungʼwinha sha kwinha, zahabu, na bubani, na ngazu."
"New","40","2","12","Na aho bali buhugulwa na Mulungu mu kiloti giki, batizushoka kuli Herode, bubuka buja ku si yabo mu nzila yingi."
"New","40","2","13","Aho bali bumala kubuka kuja, lolaga, malaika wa Seba ungʼwilongela Yusufu mu kiloti, uhaya giki, Bukaga, untwale ngʼwana hamo na nina, pelelaga Misri, ukikale ko kushisha nalakuwila: iki Herode alihaya kunkoba ngʼwana amulage."
"New","40","2","14","Aho umisha, untwala ngʼwana hamo na nina bujiku, ubuka kuja Misri:"
"New","40","2","15","Na wikala ko kushisha kucha kwa ngʼwa Herode: gushikilijiwe uyo gwaahayiwa na Seba muli nghangi, giki, Nakangʼwitana Ngʼwana wane kufuma mu Misri. Ntemi Herode utubulaga twana"
"New","40","2","16","Huna Herode aho wali ubona giki, udalahwa na balalanghanu, upelana no, utuma, utubulaga twana tuyanda tose utwali tuli Bethlehemu, na mu mimbi jayo jose, utwali twamala miaka ibili na kuleba ho, gitumo ikanza ilo wali wababugilija no a balalanghanu."
"New","40","2","17","Hunaho gwali gushikilijiwa uyo gwaahayiwa na nghangi Yeremia, giki,"
"New","40","2","18","Ilaka likigwiwa mu Rama, kulila nghungu na shisoji, na kuganghila kutale, Raheli alibalilila bana bakwe, na ulemelwa kulungujiwa, iki bali nduhu."
"New","40","2","19","Herode aho wali umala kucha, lolaga, malaika wa Seba ungʼwilongela Yusufu mu kiloti uko Misri, uhaya giki,"
"New","40","2","20","Bukaga, untwale ngʼwana na nina, uje mu si ya Israeli; iki bachile abaakobaga bupanga wa ngʼwana."
"New","40","2","21","Ubuka, untwala ngʼwana na nina, na wingila mu si ya Israeli."
"New","40","2","22","Aliyo aho wigwa giki, Arkelao watemile mu Buyudaya ha isumbi lya ngʼwa ise Herode, ogoha kuja ho; uhugulwa na Mulungu mu kiloti, unyamuka uja ku mapande ga Galilaya:"
"New","40","2","23","Aho ushika ko, wikala mu nzengo gukitanagwa Nazareti: gushikilijiwe uyo gwaahayiwa mu bahangi, giki, Alitanwa muna Nazareti."
"New","40","3","1","Mu shiku ijo Yohana Matija wali wiza, ubyulomela mu bu ya Buyudaya, uhaya giki,"
"New","40","3","2","Oyagi, iki butemi wa ngʼwigulu wegelaga,"
"New","40","3","3","Iki uyu ngʼwene uyo waahayiwa na nghangi Isaya giki, Ilaka lya ngʼwenuyo akuhamukaga mu bu, Bejabejagi ipalapala lya Seba, gololagi nzila jakwe."
"New","40","3","4","Uyo Yohana walali na shizwalo shakwe sha boya wa ngamila, na shipi gwa nkoba mu nkimbili gwakwe; na shiliwa shakwe shali shubiza njige na buki wa ngʼwikungu."
"New","40","3","5","Hunaho ba Yerusalemi na ba Buyudaya bose, na ba si jose ijihelile na Yordani, bufuma buja kuli wei,"
"New","40","3","6","Nabo bubatijiwa nanghwe mu mongo gwa Yordani, bubyutambula shibi shabo."
"New","40","3","7","Aliyo aho ubabona bingi ba mu Bafarisayo na ba mu Basadukayo biza ku kubatija kwakwe, ubawila giki, Bingʼwe bubyile wa shipili, nani wali umukangucha kubupela bupelanu ubuhaya kwiza?"
"New","40","3","8","Kulwa iyo itagi matwajo agigelelilwe na koya:"
"New","40","3","9","Hangi mutiziganika mu mioyo yingʼwe kuhaya giki, Tuli na nkulugenji wiswe, Abrahamu; iki namuwila giki, Mulungu wadula kunjukija Abrahamu bana kufuma mu mawe aya."
"New","40","3","10","Na haha mbasa yatuulagwa ha nji gwa miti: kulwa iyi buli nti gose ugututwajaga matwajo ga wiza gukengʼenhwa, guponyiwa mu moto."
"New","40","3","11","Nene hene namubatija mu minzi kushika mu koya, aliyo Uyo izile hanuma yane, anikilile nene nguzu, na nene natigelile kumukija shilatu shakwe: Ngʼwenuyo alamubatija muli Moyo Ngʼwela na moto:"
"New","40","3","12","Ihehelo lyakwe lili mu nkono gwakwe, nanghwe akweja gete gete lubuga lwakwe, ngano jakwe alajibika mu kikolo chakwe; aliyo mela alagatwima na moto ugutujima."
"New","40","3","13","Hunaho Yesu wali ufuma Galilaya ushika Yordani kuli Yohana abatijiwe nanghwe."
"New","40","3","14","Aliyo Yohana ubyunemeja, uhaya giki, Nene shinigelile kubatijiwa na Bebe, hangi Bebe wiza kuli nene?"
"New","40","3","15","Aliyo Yesu unshokeja ungʼwila giki, Zunyaga iyi haha; iki giko shitwigelile kushikilija butungilija bose. Huna lulu unzunilija."
"New","40","3","16","Na Yesu, aho umala kubatijiwa, haho na haho usabuka mu minzi: na lolaga, igulu lyukunduka kuli Wei na umona Moyo Ngʼwela wa Mulungu akwikaga giti nghuulu, na wiziila hali Wei;"
"New","40","3","17","Na lolaga, ilaka lyufuma ngʼwigulu lyuhaya giki, Uyu Ngʼwene Ngʼwana wane ntogwa, muli Wei nayejiwa no."
"New","40","4","1","Hunaho Yesu wali ulinhyiwa na Moyo Ngʼwela kushika mu bu agengʼwe na muji."
"New","40","4","2","Na aho umala kudila nzala shiku makumi ane limi na bujiku, hanuma utuba."
"New","40","4","3","Na aho ngemi akangʼwegela, ungʼwila giki, Ulu Bebe uli Ngʼwana wa Mulungu, gawilage mawe aya gabize migati."
"New","40","4","4","Aliyo Wei ushosha uhaya giki, Gwaandikwa giki, Munhu atubiza mpanga kulwa ngati gwike, aliyo kulwa buli mhayo gose ugufuma mu nomo gwa Mulungu."
