Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ekitabo loka ajena ka Yesu Kristo, okoku ka Daudi, okoku ka Aburaam."
"New","40","1","2","Kerait Aburaam papa keng' ka Isaaka. Isaaka kerait papa keng' ka Yakobo. Yakobo kerait papa keng' ka Yuda nepepe ka ikanacan keng'."
"New","40","1","3","Kidounete Yuda ka Tamar idwe lukenyarite Peres ka Sera. Kerait Peres papa keng' ka Esiron. Kerait Esiron papa keng' ka Ram."
"New","40","1","4","Kerait Ram papa keng' ka Aminadab, lokerait papa keng' ka Nasion. Nasion kerait papa keng' ka Salmon."
"New","40","1","5","Kerait Boas papa keng' ka Obed, toto keng' kerait Rut. Kidounete Boas ka Rut Obed. Kerait Obed papa keng' ka Yese."
"New","40","1","6","Kerait Yese papa keng' ka ejakait Daudi. Kerait Daudi papa keng' ka Solomon, toto keng' kerait aberu ka Uria."
"New","40","1","7","Kerait Solomon papa keng' ka Reoboam. Reoboam kerait papa keng' ka Abija. Abija kerait papa keng' ka Asa."
"New","40","1","8","Kidouni Asa Yosopat. Kidouni Yosopat Yoram papa keng' ka Usia."
"New","40","1","9","Kerait Usia papa keng' ka Yotam. Yotam kerait papa keng' ka Akas. Kerait Akas papa keng' ka Esekia."
"New","40","1","10","Kidouni Esekia Manase lokerait papa keng' ka Amos lokidouni Yosia."
"New","40","1","11","Kidouni Yosia Yekonia ka ikanacan keng'. Ng'in nes apak etogwosere Iyaudin kayaar Babilon."
"New","40","1","12","Kedaun akitogwot kesi Babilon, kosodi Yekonia akidoun Sealtiel, papa keng' ka Serubabel."
"New","40","1","13","Kerait Serubabel papa keng' ka Abiud. Kerait Abiud papa keng' ka Eliakim. Kidouni Eliakim Asor."
"New","40","1","14","Kerait Asor papa keng' ka Sadok. Sadok kerait papa keng' ka Akim. Kerait Akim papa keng' ka Eliud."
"New","40","1","15","Kerait Eliud papa keng' ka Eliesar. Eliesar kerait papa keng' ka Matan. Kerait Matan papa keng' ka Yakobo."
"New","40","1","16","Kerait Yakobo papa keng' ka Yosef okilen ka Maria nakerait toto keng' ka Yesu lo enyarite Kristo."
"New","40","1","17","Kanuka ng'unu, kejaasi aturin atomon kaung'on ageun kamaka Aburaam akitodol nama ka Daudi. Kejaasi aturin atomon kaung'on ageun kamaka Daudi akitodol apak na keyarere Iyaudin ong'atune Babilon. Kejaasi aturino atomon kaung'on ageun apak na etogwosiere Iyaudin Babilon akitodol akidouno ka Kristo."
"New","40","1","18","Ekoni akidouno ka Yesu Kristo ne. Kisumunikiit Yosef akimany Maria, toto keng' ka Yesu. Ering'a kesi kimorikikina nenipe kwaanyuni Maria epotie ka apedor ka Emoyo Lokalaunan."
"New","40","1","19","Kanu keraitere Yosef, okilen keng' etwan loka adolit kalo amam akote akitisilikin Maria, kotiakuni nesi akinyekin Maria etiiti."
"New","40","1","20","Konye ering'a nesi ewomowomoe akinyekin Maria, kotakanikini emalaikat ka Lokapolon koruja kolimokini nesi ebe, “Yosef, okoku ka Daudi, mam akurianaar akimany Maria. Naarai elang'ir nesi ka apedor ka Emoyo Lokalaunan;"
"New","40","1","21","idouni nesi esapat, kosodi amaaikini ijo nesi ekiror Yesu, naarai ebuni nesi ayuuni itung'a keng' karokusio kes.”"
"New","40","1","22","Kisomakinosi nu kere tetere itodolikinosi ng'unu nu kinerit Lokapolon itorit nama ka ekadwaran keng' ebala ebe:"
"New","40","1","23","“Ebuni abekot apotuun ka akidouni ikoku ni isapat, emaikino nesi Emanueli” (apolou keng' erait ebe, “Ejaasi Akuju ka oni.”)."
"New","40","1","24","Na kekwenyuna Yosef kajoo, kisomakini kwape kelimokina emalaikat ka Lokapolon nesi; koyaari aberu keng'"
"New","40","1","25","konye mam kesi abutu kimorikikinosi akitodol akidouno ka ikoku; komaikini Yosef ikoku, Yesu."
"New","40","2","1","Na edounere Yesu ko Beteleem ko Yudea, kerait Erode ejakait. Kolomutu itung'a luka acoa ko kide abunore Yerusalem"
"New","40","2","2","king'isete ebe, “Waali ejii ejakait ka Iyaudin lo edoun? Naarai aanyutu siong' akanyerete keng' elomuni ko kide. Abutu siong' akimaa nesi.”"
"New","40","2","3","Na kiirara ejakait Erode nu, kokadak nesi noi ka itung'a kere luko Yerusalem."
"New","40","2","4","Konyarauni lukapolok ka isaseredootin kere ka lukesisianakinak ka ikisila. King'isi kesi ebe, “Wali idounere Kristo?”"
"New","40","2","5","Kinyakakinete nesi ebe, “Idouno Kristo ko Beteleem, kalaro kanako Yudea”. Naarai nu nes kigirit ekadwaran:"
"New","40","2","6","“Osi luko Beteleem ka akwap kanako Yuda, mam osi kidisiaka kamaka lu ipugaete ka akwap kanako Yuda; naarai nama kus nesi elomuna lokepugan lo ebuni akipuga itung'a kang' luko Israel.”"
"New","40","2","7","Kosodi Erode acedar lukacoa atukot, ekote ajenun kama kes apak na ketakanuna akanyeret."
"New","40","2","8","Kosodi akijukiar itung'a ng'ulu Beteleem ebala ebe, “Kolototo, komoata kotenan nama idoutere ikoku. Kidumutu osi, kobutu kolimokisi eong' tetere abuni eong' de akimaa nesi.”"
"New","40","2","9","Kedautu apupuun nu kebala ejakait, koikarete. Kanepe kaneni, kogei akanyeret na kaanyuto kesi ko kide aking'arenikin kes, kogwoi kalaro kana kejii ikoku."
"New","40","2","10","Nape kaanyunata akanyeret, abutu kolakarosi noi."
"New","40","2","11","Na kelomiata otogo, koanyunete ikoku ka toto keng' Maria. Kosodete akukokin kaluronokin nesi. Na keng'arata icwei kes, kosodete ainakin nesi idutan: Esawabu, epulaket ka emira."
"New","40","2","12","Kedau Akuju akikwenyar kesi koruja ebe mam abong'or nama ka Erode, kosodete kesi abong'or akwap kes koroto kece."
"New","40","2","13","Kedautu kesi alomar, kosodi emalaikat ka Lokapolon abunore nama ka Yosef koruja kalimokin nesi ebe, “Konyou, kirum ikoku ka toto keng', komotarosi Misiri. Kideunosi kang'ina akitodol nama kalimokina eong' osi alomar; naarai ebuut Erode akote ikoku akiyara.”"
