Testament,Book,Chapter,Verse,Content
"New","40","1","1","Книга родоводу Ісуса Христа, сина Давида, сина Авраама:"
"New","40","1","2","Авраам був батьком Ісаака, Ісаак був батьком Якова, Яків був батьком Юди та його братів,"
"New","40","1","3","Юда був батьком Фареса та Зари від Тамари, Фарес був батьком Есрома, Есром був батьком Арама,"
"New","40","1","4","Арам був батьком Аммінадава, Аммінадав був батьком Наасона, Наасон був батьком Салмона,"
"New","40","1","5","Салмон був батьком Воаза від Рахав, Воаз був батьком Овіда від Рут, Овід був батьком Єссея,"
"New","40","1","6","Єссей був батьком Царя Давида. Давид був батьком Соломона від Урієвої вдови,"
"New","40","1","7","Соломон був батьком Ровоама, Ровоам був батьком Авії, Авія був батьком Аси,"
"New","40","1","8","Аса був батьком Йосафата, Йосафат був батьком Йорама, Йорам був батьком Осії,"
"New","40","1","9","Осія був батьком Йотама, Йотам був батьком Ахаза, Ахаз був батьком Езекії,"
"New","40","1","10","Езекія був батьком Манасії, Манасія був батьком Амоса, Амос був батьком Йосії,"
"New","40","1","11","Йосія був батьком Єхонії та його братів під час переселення у Вавилон."
"New","40","1","12","Після переселення у Вавилон Єхонія був батьком Салатиїла, Салатиїл був батьком Зоровавеля,"
"New","40","1","13","Зоровавель був батьком Авіюда, Авіюд був батьком Еліакима, Еліаким був батьком Азора,"
"New","40","1","14","Азор був батьком Садока, Садок був батьком Ахіма, Ахім був батьком Еліюда,"
"New","40","1","15","Еліюд був батьком Елеазара, Елеазар був батьком Маттана, Маттан був батьком Якова,"
"New","40","1","16","Яків був батьком Йосифа, чоловіка Марії, від якої народився Ісус, названий Христом."
"New","40","1","17","Отже, від Авраама до Давида всього було чотирнадцять поколінь, від Давида до переселення у Вавилон – чотирнадцять поколінь і від переселення у Вавилон до Христа – чотирнадцять поколінь."
"New","40","1","18","Народження Ісуса Христа відбулося так: Марія, Його мати, була заручена з Йосифом. Перед їхнім одруженням виявилося, що вона вагітна від Святого Духа."
"New","40","1","19","Але Йосиф, її чоловік, був праведним і, не бажаючи зганьбити Марію, вирішив таємно відпустити її."
"New","40","1","20","Коли ж він про це думав, з’явився йому уві сні ангел Господній та сказав: «Йосифе, сину Давида, не бійся взяти Марію, дружину свою, бо зачате в ній – від Духа Святого."
