Testament,Book,Chapter,Verse,Content
"New","40","1","1","Llyfr cenedliad Iesu Grist, mab Dafydd, mab Abraham."
"New","40","1","2","Abraham a genedlodd Isaac; ac Isaac a genedlodd Jacob; a Jacob a genedlodd Judah a'i frodyr;"
"New","40","1","3","a Judah a genedlodd Phares a Zarah o Tamar; a Phares a genedlodd Hesron; ac Hesron a genedlodd Ram;"
"New","40","1","4","a Ram a genedlodd Aminadab; ac Aminadab a genedlodd Nahson; a Nahson a genedlodd Salmon;"
"New","40","1","5","a Salmon a genedlodd Boaz o Rahab; a Boaz a genedlodd Obed o Ruth;"
"New","40","1","6","ac Obed a genedlodd Jesse; a Jesse a genedlodd Dafydd Frenin; a Dafydd a genedlodd Solomon o weddw Urïas;"
"New","40","1","7","a Solomon a genedlodd Rehoboam; a Rehoboam a genedlodd Abïah; ac Abïah a genedlodd Asa;"
"New","40","1","8","Ac Asa a genedlodd Jehosaphat; a Jehosaphat a genedlodd Joram;"
"New","40","1","9","a Joram a genedlodd Uzzïah; ac Uzzïah a genedlodd Jotham; a Jotham a genedlodd Ahaz;"
"New","40","1","10","ac Ahaz a genedlodd Hezecïah; a Hezecïah a genedlodd Manasseh; a Manasseh a genedlodd Amon; ac Amon a genedlodd Josiah;"
"New","40","1","11","a Josiah a genedlodd Jechonïah a'i frodyr, ar adeg y caethgludiad i Babilon."
"New","40","1","12","Ac wedi y caethgludiad i Babilon, Jechoniah a genedlodd Salathiel; a Salathiel a genedlodd Zorobabel;"
"New","40","1","13","a Zorobabel a genedlodd Abïud; ac Abïud a genedlodd Eliacim;"
"New","40","1","14","ac Eliacim a genedlodd Azor; ac Azor a genedlodd Sadoc; a Sadoc a genedlodd Achim; ac Achim a genedlodd Elïud;"
"New","40","1","15","ac Elïud a genedlodd Eleazar; ac Eleazar a genedlodd Matthan; a Matthan a genedlodd Jacob;"
"New","40","1","16","a Jacob a genedlodd Joseph, gwr Mair, o'r hon y ganed Iesu, yr hwn a elwir Crist."
"New","40","1","17","Yr holl genedlaethau, gan hyny, o Abraham hyd Ddafydd, oeddynt bedair cenedlaeth ar ddeg; ac o Ddafydd hyd y caethgludiad i Babilon, pedair cenedlaeth ar ddeg; ac o'r caethgludiad i Babilon hyd y Crist, pedair cenedlaeth ar ddeg."
"New","40","1","18","A genedigaeth yr Iesu Grist oedd fel hyn: Mair ei fam ef, wedi ei dyweddïo â Joseph, cyn eu dyfod hwy yn nghyd, a gafwyd yn feichiog o'r Yspryd Glân."
