Testament,Book,Chapter,Verse,Content
"New","40","1","1","Libri i gjeneallogjisë Iesu Krishtit, birit Davidit, birit Abrahamit."
"New","40","1","2","Abrahamit i leu Isaaku, e Isaakut i leu Iakobi, e Iakobit i leu Iuda, edhe të vëllazënit e vet,"
"New","40","1","3","e Iudës’ i leu Faresi edhe Zara prei Thamarësë, e Faresit i leu Esromi, e Esromit i leu Arami,"
"New","40","1","4","e Aramit i leu Aminadabi, e Aminadabit i leu Naassoni, e Naassonit i leu Salmoni,"
"New","40","1","5","e Salmonit i leu Boozi prei Rababësë, e Boozit i leu Obedi prei Ruthësë, e Obedit i leu Iesseu,"
"New","40","1","6","e Iesseut i leu Davidi mbëreti."
"New","40","1","7","E Davidit mbëretit i leu Solomoni prei grues’ Uriut, e Solomonit i leu Roboami, e Roboamit i leu Abia, e Abisë i leu Asai,"
"New","40","1","8","e Asait i leu Iosafati, e Iosafatit i leu Iorami, e Ioramit i leu Ozia,"
"New","40","1","9","e Ozisë i leu Ioathami, e Ioathamit i leu Ahazi, e Ahazit i leu Ezekia,"
"New","40","1","10","e Ezekisë i leu Manassi, e Manassit i leu Amoni, e Amonit i leu Iosia,"
"New","40","1","11","e Iosisë i leu Iehonia edhe të vëllazënit’ e vet, mbë të shpërngulmen’ e Babylonisë."
"New","40","1","12","Edhe mbas të shpërngulmesë Babylonisë, Iehonisë i leu Salathieli, e Salathielit i leu Zorobabeli;"
"New","40","1","13","e Zorababelit i leu Abiudi, e Abiudit i leu Eliakimi, e Eliakimit i leu Azori."
"New","40","1","14","e Azorit i leu Sadoku, e Sadokut i leu Ahimi, e Ahimit i leu Eliudi."
"New","40","1","15","e Eliudit i leu Eleazari, e Eleazarit i leu Matthani, e Matthianit i leu Iakobi."
"New","40","1","16","e Iakobit i leu Iosefi, burri i Marisë, prei të cillësë leu Iesui, qi thohetë Krisht."
"New","40","1","17","Gjithë brezatë pra, prei Abrahamit deri mbë ditë të Davidit, janë katër-mbë-dhetë breza; edhe prei Davidit deri mbë të shpërngulmen e Babylonisë, janë katër-mbë-dhetë breza; edhe prei të shpërngulmesë Babylonisë deri mbë ditë të Krishtit, janë katër-mbë-dhetë breza."
"New","40","1","18","Edhe të lemit’ e Iesu-Krishtit kështu ka qenë: Maria, e ama e ati, mbassi u fejue me Iosefinë, para se të bashkoheshinë, u gjind me barrë prei Shpirtit Shenjt."
"New","40","1","19","Edhe Iosefi burr’ i asai, tue qen’ i dreitë, e s’donte me i nxierrë zaninë për të keq, deshi me e lishuem pshefas."
"New","40","1","20","Por ai kur ishte tue menduem këto punë, qe engjull’ i Zotit tek iu duk nd’andërrë, e i tha: Iosef, bir’ i Davidit, mos ki frikë me marrë me vetëhe Marinë gruenë tande, sepse të mbarsunitë qi u ba tek ajo ashtë prei Shpirtit Shenjt."
"New","40","1","21","Edhe ka me piellë bir, edhe ke me ia thirrë emëninë Iesu, sepse ai ka me shpëtuem popullin’ e vet prei fajevet atyne."
"New","40","1","22","(Edhe gjithë këjo u ba, qi të mbushetë qish ashtë thanë prei Zotit me anë të profetit, qi thoshte:"
"New","40","1","23","“Qe virgjinesha te do të mbarsetë, edhe do të pielli bir, edhe do t’ia thërrasin’ emënin’ Emmanuel”, qi ajo, këthyem, do me thanë, Perëndia bashkë me ne.)"
"New","40","1","24","Edhe Iosefi si u çue prei gjumit, bani sikurse e urdhënoi engjull’ i Zotit, edhe muer përanë vetëhesë gruen’ e vet,"
"New","40","1","25","edhe nuk’ e ngjofi, deri sa puell të birin’ e vet dialin’ e parë, edhe ia thirri emëninë IESU."
"New","40","2","1","Edhe Iesui mbassi leu ndë Bethleem të Iudesë, ndë ditt të mbëretit Herodit, qe ku erthnë ndë Ierusalemë do magji prei të Lemit diellit,"
"New","40","2","2","e thoshinë: Ku ashtë mbëreti i Iudevet, qi ka lemë? Sepse pam yllin’ e ati ndë të Lemit diellit, edhe erthmë me e adhuruem."
"New","40","2","3","Edhe mbëreti Herodi kur ndëgjoi, u përzie, edhe gjithë Ierusalema bashkë me atë."
"New","40","2","4","Edhe si mbëlodhi gjithë Kryepriftënit’ edhe Shkruisit’ e popullit, pyeste me marrë vesht prei atyneve, ku leu Krishti."
"New","40","2","5","Edhe ata i thanë: Ndë Bethleem të Iudesë, sepse kështu ashtë shkruem prei anësë profetit:"
"New","40","2","6","“Edhe ti Bethleem, dheu i Iudesë, as-pak nukë je e vocërr ndër zotënit e Iudesë, sepse prei teje ka me dalë nji i parë, i cilli ka me kullotunë popullin t’em Israelinë”."
"New","40","2","7","Atëherë Herodi thiri pshefas magjitë, e muer vesht mirë prei atyneve kohën’ e yllit, qi ishte dukunë."
"New","40","2","8","Edhe i dërgoi ndë Bethleem, e tha: Shkoni, e shikoni mirë për dialinë, edhe mbassi ta gjeni, më nepni za, qi të vij edhe unë me e adhuruem."
"New","40","2","9","Edhe ata si ndëgjuenë mbëretinë, votnë, edhe qe ylli, qi panë ndë të Lemit diellit, te po printe përpara atyneve, deri sa erdhi, e ndeiti sipër ku ishte diali."
"New","40","2","10","Edhe ata kur pan’ yllinë, u gëzuenë, me gëzim të math fort."
"New","40","2","11","Edhe si erthnë ndë shtëpit, gjetnë dialinë bashkë me Marinë t’amënë, edhe ranë mbë dhe, e adhuruenë, edhe hapnë thesoret’ e veta, e i prunë dhunëtia, ar, e kem, e mirrë."
"New","40","2","12","Edhe si u diftue atyneve nd’andërrë prei Perëndisë mos me u këthyem tek Herodi, iknë e votnë prei nji tietër’ udhe ndë vend t’atyne."
"New","40","2","13","Edhe ata mbassi iknë, qe engjull’ i Zotit tek i duketë nd’andërrë Iosefit, e i thotë: Çohu, e merr me vetëhe dialin’ edhe t’amën’ e ati, edhe ikë ndë Misir, edhe ndalu atie, deri kur të thom, sepse Herodi ka me kërkuem dialinë për me e prishunë."
"New","40","2","14","Edhe ai u çue, e muer me vetëhe dialin’ edhe t’amën’ e ati natënë, edhe iku ndë Misir;"
"New","40","2","15","edhe ndeiti atie deri mbë vdekët të Herodit, për me u mbushunë qish ashtë thanë prei Zotit me anë të profetit, qi thoshte: “Prei Misirit thirra t’em bir”."
"New","40","2","16","Atëherë Herodi, kur pa se u gënjye prei magjivet, u zemërue tepërë; edhe dërgoi, e vrau gjithë dielmtë qi ishinë ndë Bethleem, e ndëpër gjithë nahiet e asai, prei dy vieç e teposhtë, mbas kohësë qi muer vesht mirë prei magjivet."
"New","40","2","17","Atëherë u mbush qish ashtë thanë prei profetit Ieremisë, qi thoshte:"
"New","40","2","18","“U ndëgjue za ndë Rama, dënesë, e të qjamë, e anëkim shumë: Rahela qjante dielmt’ e vet, edhe s’donte me u ngushulluem, sepse nukë janë”."
"New","40","2","19","Edhe si vdiq Herodi, qe engjull’ i Zotit tek i duketë nd’andërrë Iosefit ndë Misir, e i thotë:"
"New","40","2","20","Çohu, e merr me vetëhe dialin’ edhe t’amën’ e ati, edhe shko ndë dhe të Israelit, sepse kanë vdekun’ ata qi kërkoishinë jetën’ e dialit."
"New","40","2","21","Edhe ai u çue, e muer me vetëhe dialin’ edhe t’amën’ e ati, edhe erdhi ndë dhe të Israelit."
"New","40","2","22","Por kur ndëgjoi se Arqelau po mbëretënon ndë Iudet, ndë vend të Herodit të i atit, pat frikë me votun’ atie, por si iu sbulue nd’andërrë prei Perëndisë, iku nd’anët të Galilesë,"
"New","40","2","23","edhe erdhi, e nguli ndë nji qytet, qi thohetë Nazaret. Qi të mbushetë qish ashtë thanë prei profetënash: “se Nazoreas ka me u queitunë”."
"New","40","3","1","Edhe nd’ato ditt vien Gjionn pagëzori, tue predikuem ndë shkreti të Iudesë,"
"New","40","3","2","e tue thanë: Pendohi, sepse u afrue mbëretënia e qillvet."
