Testament,Book,Chapter,Verse,Content
"New","40","1","1","Kart e gjenneallogjisë Iisuit Krishtit të birit Dhavidhit, edhe të birit Avraamit."
"New","40","1","2","Avraami polli Isaaknë, e Isaaku polli Iakovnë; e Iakovi polli Iudhënë edhe vëllazërit’ e tij."
"New","40","1","3","E Iudha polli Faresnë edhe Zaranë nga Thamara, edhe Faresi polli Esromnë, e Esromi polli Aramnë."
"New","40","1","4","E Arami polli Aminadhavnë, e Aminadhavi polli Naasonë, e Naasoni polli Sallmonë."
"New","40","1","5","E Sallmoni polli Vooznë nga Rahavi; edhe Voozi polli Ovidhnë nga Ruthi; e Ovidhi polli Iesenë."
"New","40","1","6","E Ieseu polli Mbretnë Dhavidh; e Mbreti Dhavidh polli Sollomonë nga gruaja e Uriut."
"New","40","1","7","E Sollomoni polli Rovoamnë, e Rovoami polli Avianë, e Aviai polli Asanë."
"New","40","1","8","E Asai polli Iosafatnë; e Iosafati polli Ioramnë, e Iorami polli Ozianë."
"New","40","1","9","E Ozia polli Ioathamnë, e Ioathami polli Ahaznë, e Ahazi polli Ezeqianë."
"New","40","1","10","E Ezeqia polli Manasinë, e Manasiu polli Amonë, e Amoni polli Iosianë."
"New","40","1","11","E Iosia polli Iehonianë, edhe vëllazërit’ e tij kur i shpunë rop ndë Vavillonë."
"New","40","1","12","E pas robëris’ ë Vavillonësë, Iehonia polli Sallathiilnë, e Sallathiili polli Zorovavelnë."
"New","40","1","13","E Zorovaveli polli Aviudhnë, e Aviudhi polli Eliaqimnë, Eliaqimi polli Azorë."
"New","40","1","14","E Azori polli Sadhoknë, e Sadhoku polli Ahimnë, e Ahimi polli Eliudhnë."
"New","40","1","15","E Eliudhi polli Eleazarnë, e Eleazari polli Matthanë; e Matthani polli Iakovnë."
"New","40","1","16","E Iakovi polli Iosifnë, burrën’ e Mariasë, që nga ajo u le Iisui që quhetë Krisht."
"New","40","1","17","Gjithë brezatë adha që nga Avraami e ngjer te Dhavidhi janë breza katërmbëdhjetë e që nga Dhavidhi e ngjera mbë të ikurë të Vavillonësë janë breza katërmbëdhjetë, e nga të ikurit’ e Vavillonësë ngjera te Krishti, janë breza katërmbëdhjetë."
"New","40","1","18","E të leritë e Iisuit Krishtit u bë kështu, sepse u aravonis mëma e tij Maria me Iosifnë, pa bashkuarë fare u gjënd me barrë nga Shënti Shpirt."
"New","40","1","19","E Iosifi burr’ i saj sepse qe i drejtë, e nukë duaj ta tregon atë, vuri ndër mënd ta lij atë fshehura e të ikën."
"New","40","1","20","E tek mëndonej këto me vetehë të tij, na e ju duk atij mbë gjumë Engjëll’ i Zotit, e i tha: Iosif, i biri Dhavidhit, mos u friko të març me vetëhe gruanë tate Marianë. Se ajo që u bë nde ajo, është nga Shënt Shpirt."
"New","40","1","21","E do të pjellë djalë e t’i vëç ëmërinë Iisu, sepse ai do të lefterosjë llaon’ e tij nga fajet’ e ture."
"New","40","1","22","Edhe gjithë këjo u bë që të paguhetë ajo që u tha nga Zoti me anë të Profitit që thotë:"
"New","40","1","23","Ja Vashëza do të bënetë me barrë, e do të pjellë djalë edhe do ta thonë ëmërit’ e tij Emanuil, që do të thotë Perndia me nevet."
"New","40","1","24","E si u ngre Iosifi nga gjumi, bëri si e porsiti Ëngjëll’ i Zotit, e muar me vetëhe gruan’ e tij."
"New","40","1","25","E nuk’ e njohu atë fare, ngjera sa polli djalën’ e saj të parën’ e të vetëminë, e i vuri ëmërin’ e tij Iisu."
"New","40","2","1","E si leu Iisui ndë Vithleem të Iudheësë, mbë ditë të mbretit Irodhit, na e vijënë ca magjishtjarë nga Anatolia ndë Ierusalim e thoshnë:"
"New","40","2","2","Ku vall’ është mbreti i Çifutet që u le? Sepse pam illn e tij ndë Anatoli, e erdhm t’i falemi."
"New","40","2","3","E mbreti Irodhi si digjoi kështu u drodh, edhe bashkë me atë gjith’ Ierusalimi."
"New","40","2","4","E si mbëjodhi gjithë të parët’ e Priftëret edhe të Grammatepsurit’ e llaoit, e i pieti ata të mpson ku vallë lehetë Krishti."
"New","40","2","5","Edhe ata i thanë atit: Ndë Vithleem të Iudheësë, se ashtu është shkruarë nga Profiti."
"New","40","2","6","Edhe ti Vithleem vënd’ i Iudheësë nukë je far’ e vogëlë ndë zotërinj të Iudheësë, sepse nga teje do të dalë Zot, që ai do të kullotjë llaonë tim Israilnë."
"New","40","2","7","Ahiere Irodhi thirri Magjishtjarëtë fshehura, e mpsoi mirë nga ata kohënë që kur u duk illi."
"New","40","2","8","E si dërgoi ata ndë Vithleem, u tha: Hajdeni ndashti e si të mpsoni mirë për atë tuk eksetaksurë, e si ta gjenni, sillmëni edhe mua idhisi (haber) që të vij edhe unë t’i falem."
"New","40","2","9","Edhe ata si digjuanë fjalët’ e Mbretit, iknë. E ja përsëri illi që kishnë parë ndë Anatoli, e u shkon përpara ature, ngjera sa zbriti e mbeti atje tek qe djali sipër."
"New","40","2","10","E si panë illë, u gëzuanë gaz të madh fort."
"New","40","2","11","E si hinë brënda ndë shtëpi, çuanë djalënë bashkë me t’ëmën’ e tij Mariënë, e ranë mbë dhe, e ju falë atij; e hapnë hazinet’ e ture, e i dhanë dhurëti ar, edhe thimjamë, edhe smirnë."
"New","40","2","12","E si panë mbë gjumë të mos kthenenë nde Irodhi, iknë e vanë nga tjatërë udhë mbë vënd të ture."
"New","40","2","13","E pasi iknë ata, ja, Ëngjëll’ i Zotit ju duk ndë ëndërë të Iosifit, e i tha: Ngreu e merr djalënë edhe mëmën’ e tij, e ikë ndë Egjipto, e rri atje, ngjera sa të të thom unë, sepse Irodhi do të kërkojë djalënë ta vrasjë."
"New","40","2","14","Edhe ai si u ngre mori djalënë, edhe mëmën’ e tij natënë, e vate ndë Egjipto."
"New","40","2","15","E qëndroi atje ngjera ndë vdekëjë t’irodhit, që të paguhetë ajo që u tha nga Zoti me anë të Profitit, që thotë: Nga Egjiptoja e thirra birë tim."
"New","40","2","16","Ahiere si pa Irodhi që u qesh nga Magjishtjarëtë, u zëmërua fort, e dërgoi e vrau gjithë djelmtë që qenë ndë Vithleem, edhe ndë gjithë sinoret’ e saj që mbë di vjet e poshtë sikundrë mpsoi kohënë nga Magjishtjarëtë."
"New","40","2","17","Ahiere u pagua ajo që u tha nga Profiti Ieremia, që thosh:"
"New","40","2","18","Zë u digjua ndë Rama, të qarë e të ulërijturë, e të rëkuarë shumë. Rahili qan djelmt e saj, e nukë duaj të parigorisej se nukë janë."
"New","40","2","19","E si vdiqi Irodhi, ja Ëngjëll’ i Zotit u duk mbë gjumë nde Iosifi ndë Egjipto."
"New","40","2","20","E i thotë: Ngreu, e mer djalënë, edhe mëmën’ e tij, e ecë mbë vënd të Israilit, sepse vdiqnë ata që kërkoijnë shpirtin’ e djalit."
"New","40","2","21","Edhe ai u ngre, e mori djalënë, edhe mëmën’ e tij, e erdhi mbë vënd të Israilit."
"New","40","2","22","E si mpsoi se mbretëron ndë Iudheë Arhellaoi ndë vënd të Irodhit babait së tij, u trëmb të vij atje, e si ju duk nd’ëndërë, vate ndë sinor të Galileësë."
"New","40","2","23","E erdhi e qëndroi ndë qutet që quhetë Nazaret, që të paguhetë ajo që u tha nga Profitëritë, se Nazareo do të thuhetë."
"New","40","3","1","E mb’ato dit ahiere, erdhi Ioanni pagëzori e qiriks ndë erëmi të Iudheësë."
"New","40","3","2","E thoshte: Metanoisni, se afër është mbretëria e Qiellvet."
"New","40","3","3","Kij ësht ai që u tha nga Profiti Isaia, që thoshte: Zë i atit që thëret ndë erimi. Dërtoni udhën’ e Zotit, të bëni të drejta monopatet’ e tij."
"New","40","3","4","E ai Ioanni Robat e tij i kish nga lesht’ e Gamilësë, edhe mbë mes të tij brez të lëkurtë. Edhe të ngrënët e tij qe vllastarë, edhe mjaltë t’egrë."
"New","40","3","5","Ahiere erdhë tek ai gjithë të Ierusalimit, edhe gjithë sa qenë afër Iordhanit."
"New","40","3","6","E pagëzoneshnë ndë Iordhan nga ai, e ksomollojiseshnë fajet’ e ture."
"New","40","3","7","E si pa shumë nga Farisetë e Sadhuqejtë, që vijnë ndë pagëzim të tij, u tha ature: Pjellat’ e nepërkavet, cili u dëftoi juvet që të ikëni nga urgjija që vjen?"
"New","40","3","8","Bëni dha pemmë që të gjajë me metani."
"New","40","3","9","E mos thoi me vetëhe, që Avraamnë kemi baba, sepse u thom juvet, se Perndia mund edhe nga këta gurë të krejë djelm t’Avraamit."
"New","40","3","10","Ja edhe sopata afër rrëzës’ së lisavet është; çdo lis që z’bën pemmë të mirë, pritetë, e vihetë mbë zjar."
