Testament,Book,Chapter,Verse,Content
"New","40","1","1","Hawe Daawita zariyaanne Abraahaame zare gideedda Yesuusi Kiristtoosa yeletaa odiyaa maxaafaa."
"New","40","1","2","Abraahaame, Yisaaqa yeleedda; Yisaaqi, Yayiqooba yeleedda; Yayiqoobi, Yihudaanne A ishatuwaa yeleedda."
"New","40","1","3","Yihuday Ti7imaarippe Paareesanne Zaraahaa yeleedda; Paareese, Hexiroona yeleedda; Hexiroone, Raama yeleedda."
"New","40","1","4","Raame Aminadaaba yeleedda; Aminadaabe, Na7asoona yeleedda; Na7asoone, Selimoona yeleedda."
"New","40","1","5","Selimoone, Ra7aabo geetettiyaa mishirattippe Boo7eeza yeleedda; Boo7eezi, Uruuto geetettiyaa mishirattippe Iyyoobeeda yeleedda; Iyyoobeede, Issey yeleedda."
"New","40","1","6","Issey Kaatiyaa Daawita yeleedda. Kaatiyaa Daawite, Ooriyaa machchattippe Solomona yeleedda."
"New","40","1","7","Solomone, Robi7aama yeleedda; Robi7aame, Aabiyaa yeleedda; Aabiyay, Aasaafa yeleedda."
"New","40","1","8","Aasaafe, Yoosaafeexa yeleedda; Yoosaafeexe, Iyyooraama yeleedda; Iyyooraame, Ooziyaana yeleedda."
"New","40","1","9","Ooziyaane, Iyyoo7aataama yeleedda; Iyyoo7aataame, Akaaza yeleedda; Akaaze, Hizqqiyaasa yeleedda."
"New","40","1","10","Hizqqiyaase Minaasa yeleedda; Minaase, Amooxa yeleedda; Amooxe, Iyyoosiyaasa yeleedda."
"New","40","1","11","Isra7eeliya asay omodettiide, Baabiloone gadiya beedda wode, Iyyoosiyaase Ikkoniyaananne A ishatuwaa yeleedda."
"New","40","1","12","Baabiloone omodduwaappe guyyiyan, Ikkoniyaananne Salaatiyaala yeleedda; Salaatiyaale, Zerubaabeela yeleedda."
"New","40","1","13","Zerubaabeeli, Abiyuuda yeleedda; Abiyuude, Eeliyaaqeema yeleedda; Eeliyaaqeemi, Azoora yeleedda."
"New","40","1","14","Azoore Saadooqa yeleedda; Saadooqe, Akiima yeleedda; Akiime Eliyuuda yeleedda."
