Testament,Book,Chapter,Verse,Content
"New","40","1","1","Գիրք ծնունդին Յիսուսի Քրիստոսի՝ Դաւիթի որդիին, Աբրահամի որդիին։"
"New","40","1","2","Աբրահամ ծնաւ Իսահակը. Իսահակ ծնաւ Յակոբը. Յակոբ ծնաւ Յուդան ու անոր եղբայրները."
"New","40","1","3","Յուդա ծնաւ Փարէսը ու Զարան Թամարէն. Փարէս ծնաւ Եսրոնը. Եսրոն ծնաւ Արամը."
"New","40","1","4","Արամ ծնաւ Ամինադաբը. Ամինադաբ ծնաւ Նաասոնը. Նաասոն ծնաւ Սաղմոնը."
"New","40","1","5","Սաղմոն ծնաւ Բոոսը Ռախաբէն. Բոոս ծնաւ Ովբէդը Հռութէն. Ովբէդ ծնաւ Յեսսէն."
"New","40","1","6","Յեսսէ ծնաւ Դաւիթ թագաւորը. Դաւիթ թագաւորը ծնաւ Սողոմոնը Ուրիայի կնոջմէն."
"New","40","1","7","Սողոմոն ծնաւ Ռոբովամը."
"New","40","1","8","Ռոբովամ ծնաւ Աբիան. Աբիա ծնաւ Ասան. Ասա ծնաւ Յովսափատը. Յովսափատ ծնաւ Յովրամը. Յովրամ ծնաւ Ոզիան."
"New","40","1","9","Ոզիա ծնաւ Յովաթամը. Յովաթամ ծնաւ Աքազը, Աքազ ծնաւ Եզեկիան."
"New","40","1","10","Եզեկիա ծնաւ Մանասէն. Մանասէ ծնաւ Ամոնը."
"New","40","1","11","Ամոն ծնաւ Յովսիան. Յովսիա ծնաւ Յեքոնիան ու անոր եղբայրները Բաբելոնեան գերութեան ատենները."
"New","40","1","12","Բաբելոն գերութեան երթալէն յետոյ Յեքոնիա ծնաւ Սաղաթիէլը."
"New","40","1","13","Սաղաթիէլ՝ Զօրաբաբէլը. Զօրաբաբէլ ծնաւ Աբիուդը. Աբիուդ ծնաւ Եղիակիմը."
"New","40","1","14","Եղիակիմ ծնաւ Ազովրը. Ազովր ծնաւ Սադովկը. Սադովկ ծնաւ Աքինը. Աքին ծնաւ Եղիուդը."
"New","40","1","15","Եղիուդ ծնաւ Եղիազարը. Եղիազար ծնաւ Մատթանը."
"New","40","1","16","Մատթան ծնաւ Յակոբը. Յակոբ ծնաւ Յովսէփը՝ Մարիամին այրը, որմէ ծնաւ Յիսուս, որ կոչուեցաւ Քրիստոս։"
"New","40","1","17","Արդ բոլոր սերունդները Աբրահամէն մինչեւ Դաւիթ տասնըչորս սերունդ եւ Դաւիթէն մինչեւ Բաբելոնեան գերութիւնը տասնըչորս սերունդ ու Բաբելոնեան գերութենէն մինչեւ Քրիստոս տասնըչորս սերունդ։"
"New","40","1","18","Յիսուս Քրիստոսի ծնունդը այս կերպով եղաւ։ Անոր մայրը Մարիամ Յովսէփին նշանուած, դեռ իրարու քով չեկած՝ Սուրբ Հոգիէն յղացած գտնուեցաւ։"
"New","40","1","19","Յովսէփ՝ անոր այրը՝ արդար մարդ ըլլալով ու չուզելով որ զանիկա խայտառակ ընէ, մտածեց որ ծածկաբար արձակէ զանիկա։"
"New","40","1","20","Եւ երբ անիկա այս բանը կը մտածէր, ահա Տէրոջը հրեշտակը երազի մէջ երեւցաւ անոր ու ըսաւ. «Յո՛վսէփ, Դաւիթի որդի, մի՛ վախնար Մարիամը իբր կին առնելէ, վասն զի անոր ներսիդին ծնածը Սուրբ Հոգիէն է։"
"New","40","1","21","Ան որդի մը պիտի ծնանի, անոր անունը Յիսուս պիտի դնես, քանզի անիկա իր ժողովուրդը իրենց մեղքերէն պիտի փրկէ»։"
"New","40","1","22","Այս ամէնը եղաւ, որպէս զի կատարուի Տէրոջմէն ըսուածը մարգարէին միջոցով, որ կ’ըսէ."
"New","40","1","23","«Ահա կոյսը պիտի յղանայ ու որդի պիտի ծնանի, անոր անունը Էմմանուէլ պիտի կոչեն, որ կը թարգմանուի Աստուած մեզի հետ»։"
"New","40","1","24","Յովսէփ քունէն արթննալով՝ ինչպէս Տէրոջը հրեշտակը իրեն հրամայեց, այնպէս ըրաւ ու իր կինը քովն առաւ։"
"New","40","1","25","Եւ չգիտցաւ զանիկա՝ մինչեւ իր անդրանիկ որդին ծնաւ։ Անոր անունը Յիսուս դրաւ։"
"New","40","2","1","Երբ Յիսուս ծնաւ Հրէաստանի Բեթլէհէմին մէջ Հերովդէս թագաւորին օրերը, ահա արեւելքէն մոգեր եկան Երուսաղէմ,"
"New","40","2","2","ու ըսին. «Ո՞ւր տեղ է ան՝ որ Հրեաներուն թագաւոր ծնաւ. վասն զի մենք արեւելքի մէջ անոր աստղը տեսանք ու եկանք անոր երկրպագութիւն ընելու»։"
"New","40","2","3","Երբ Հերովդէս թագաւորը լսեց, խռովեցաւ եւ բոլոր Երուսաղէմ իրեն հետ։"
"New","40","2","4","Ապա ժողվելով բոլոր քահանայապետները ու ժողովուրդին դպիրները, հարցուց անոնց թէ՝ Քրիստոսը ո՞ւր պիտի ծնանի։"
"New","40","2","5","Անոնք ալ իրեն ըսին. «Հրէաստանի Բեթլէհէմին մէջ։ Վասն զի այսպէս գրուած է մարգարէին ձեռքով."
"New","40","2","6","‘Դուն, Բե՛թլէհէմ, Յուդայի երկիր, Յուդայի իշխաններուն մէջ բնաւ պզտիկ մը չես. վասն զի քեզմէ իշխան մը պիտի ելլէ որ իմ Իսրայէլ ժողովուրդս պիտի հովուէ’»։"
"New","40","2","7","Այն ատեն Հերովդէս ծածկաբար մոգերը կանչեց ու ստուգեց անոնցմէ աստղին երեւցած ատենը։"
"New","40","2","8","Զանոնք Բեթլէհէմ ղրկելով՝ ըսաւ. «Գացէք ստոյգը իմացէք այն մանուկին վրայով ու երբ գտնէք, ինծի իմացուցէք, որպէս զի ես ալ երթամ, անոր երկրպագութիւն ընեմ»։"
"New","40","2","9","Երբ անոնք թագաւորէն այս բանը լսեցին, գացին. եւ ահա այն աստղը որ արեւելքի մէջ տեսեր էին, անոնց առջեւէն գնաց, կեցաւ մանուկին եղած տեղին վրայ։"
"New","40","2","10","Երբ տեսան աստղը, շատ ուրախացան։"
"New","40","2","11","Տունը մտնելով՝ տեսան մանուկը իր մօրը Մարիամին հետ ու ինկան երկրպագութիւն ըրին անոր եւ իրենց գանձերը բանալով ընծաներ տուին անոր՝ ոսկի ու կնդրուկ եւ զմուռս։"
"New","40","2","12","Ու երազի մէջ հրաման առնելով, որ նորէն Հերովդէսին չդառնան, ուրիշ ճամբով գացին իրենց երկիրը։"
"New","40","2","13","Երբ անկէ գացին անոնք, ահա Տէրոջը հրեշտակը երազի մէջ երեւցաւ Յովսէփին ու ըսաւ. «Ելի՛ր, առ մանուկը ու անոր մայրը ու Եգիպտոս փախիր, հոն կեցիր մինչեւ ես քեզի ըսեմ, քանզի Հերովդէս պիտի փնտռէ այդ մանուկը կորսնցնելու համար»։"
"New","40","2","14","Ան ալ ելաւ, մանուկը ու անոր մայրը գիշերով առաւ, գնաց Եգիպտոս եւ մինչեւ Հերովդէսի մահը հոն էր։"
"New","40","2","15","Որպէս զի մարգարէին միջոցով Տէրոջմէն ըսուածը կատարուի, որ կ’ըսէ. «Եգիպտոսէն կանչեցի իմ որդիս»։"
"New","40","2","16","Երբ Հերովդէս տեսաւ թէ խաբուեցաւ մոգերէն, սաստիկ սրդողեցաւ ու ղրկեց ջարդեց Բեթլէհէմի եւ անոր ամէն սահմաններուն մէջ գտնուած բոլոր տղաքը՝ երկու տարեկան եւ անկէ վար, այն ժամանակին համեմատ որ մոգերէն ստուգեց։"
"New","40","2","17","Այն ատեն կատարուեցաւ Երեմիա մարգարէին միջոցով ըսուածը, որ կ’ըսէ. «Ռամայի մէջ ձայն մը լսուեցաւ, ողբ, լաց ու մեծ կոծ."
"New","40","2","18","Ռաքէլ կու լար իր տղոցը համար ու չէր ուզեր մխիթարուիլ, վասն զի չկային»։"
"New","40","2","19","Երբ Հերովդէս մեռաւ, Տէրոջը հրեշտակը Եգիպտոսի մէջ Յովսէփին երեւցաւ ու ըսաւ."
"New","40","2","20","«Ելի՛ր, ա՛ռ մանուկը ու անոր մայրը եւ գնա Իսրայէլի երկիրը, քանզի մեռան անոնք որ մանուկին կեանքը կը փնտռէին»։"
"New","40","2","21","Ան ալ ելաւ, մանուկը ու անոր մայրը առաւ եւ դարձաւ Իսրայէլի երկիրը։"
"New","40","2","22","Իսկ երբ լսեց թէ Արքեղայոս թագաւորեց Հրէաստանի վրայ՝ իր հօրը Հերովդէսին տեղ, վախցաւ հոն երթալու ու երազի մէջ պատգամ առնելով՝ Գալիլիայի կողմերը գնաց."
"New","40","2","23","եւ Նազարէթ ըսուած քաղաքը բնակեցաւ, որպէս զի մարգարէներուն խօսքը կատարուի, թէ՝ «Նազովրեցի պիտի կոչուի»։"
"New","40","3","1","Այն օրերը Յովհաննէս Մկրտիչ եկաւ ու Հրէաստանի անապատին մէջ կը քարոզէր,"
"New","40","3","2","ու կ’ըսէր. «Ապաշխարեցէք, վասն զի երկնքի թագաւորութիւնը մօտեցած է»։"
"New","40","3","3","Ասիկա ան է՝ որուն համար Եսայի մարգարէին միջոցով ըսուեցաւ, որ կ’ըսէ. «Անապատին մէջ կանչողին ձայնը, Տէրոջը ճամբան պատրաստեցէք, անոր շաւիղները շտկեցէք»։"
"New","40","3","4","Յովհաննէսին հանդերձը ուղտի մազէ էր ու իր մէջքը կաշիէ գօտի ունէր եւ իր կերակուրը մարախ ու վայրենի մեղր էր։"
"New","40","3","5","Այն ատեն Երուսաղէմ եւ բոլոր Հրէաստան ու Յորդանանի բոլոր կողմերէն իրեն կու գային"
"New","40","3","6","եւ կը մկրտուէին իրմէ Յորդանանի մէջ ու իրենց մեղքերը կը խոստովանէին։"
"New","40","3","7","Երբ տեսաւ Փարիսեցիներէն ու Սադուկեցիներէն շատեր, որ իր մկրտութեանը եկած էին, ըսաւ. «Իժերո՛ւ ծնունդներ, ո՞վ իմացուց ձեզի գալու բարկութենէն փախչիլ։"
"New","40","3","8","Ուրեմն ապաշխարութեան արժանաւոր պտուղ բերէք."
"New","40","3","9","եւ մի՛ խորհիք դուք ձեր ներսիդին, թէ ‘Մենք մեզի հայր՝ Աբրահամը ունինք’. քանզի կ’ըսեմ ձեզի թէ Աստուած կարող է այս քարերէն Աբրահամի որդիներ հանել։"
"New","40","3","10","Ալ հիմա կացինը ծառերուն արմատին քով կը դրուի. ուստի ամէն ծառ որ բարի պտուղ չի բերեր, կը կտրուի ու կրակը կը ձգուի։"
"New","40","3","11","Ես ձեզ ջրով կը մկրտեմ ապաշխարութեան համար, բայց իմ ետեւէս եկողը ինծմէ զօրաւոր է։ Ես անոր կօշիկները կրելու արժանի չեմ։ Անիկա ձեզ պիտի մկրտէ Սուրբ Հոգիով ու կրակով."
"New","40","3","12","որուն հեծանոցը իր ձեռքն է եւ իր կալը պիտի մաքրէ ու իր ցորենը ամբարը պիտի ժողվէ եւ յարդը պիտի այրէ չմարող կրակով»։"
"New","40","3","13","Այն ատեն Յիսուս Գալիլիայէն Յորդանան եկաւ Յովհաննէսին, որպէս զի անկէ մկրտուի։"
"New","40","3","14","Յովհաննէս կ’արգիլէր զանիկա ու կ’ըսէր. «Ինծի պէտք է որ քեզմէ մկրտուիմ ու դուն ինծի՞ կու գաս»։"
"New","40","3","15","Յիսուս պատասխան տուաւ ու ըսաւ անոր. «Թող տուր հիմա, վասն զի այսպէս կը վայելէ մեզի, որ բոլոր արդարութիւնը կատարենք»։ Ետքը թող տուաւ անոր։"
"New","40","3","16","Երբ Յիսուս մկրտուեցաւ, շուտ մը ջուրէն դուրս ելաւ եւ ահա երկինքը բացուեցաւ ու տեսաւ Աստուծոյ Հոգին, որ աղաւնիի պէս կ’իջնէր ու կու գար իր վրայ։"
"New","40","3","17","Եւ ահա երկնքէն ձայն մը եկաւ որ կ’ըսէր. «Ասիկա է իմ սիրելի Որդիս, որուն հաւներ եմ»։"
"New","40","4","1","Այն ատեն Յիսուս անապատը տարուեցաւ Սուրբ Հոգիէն, որպէս զի Սատանայէն փորձուի։"
"New","40","4","2","Քառասուն ցորեկ ու քառասուն գիշեր ծոմ պահելէն ետքը անօթեցաւ։"
"New","40","4","3","Փորձողը անոր մօտենալով՝ ըսաւ. «Եթէ դուն Աստուծոյ Որդին ես, ըսէ որ այս քարերը հաց ըլլան»։"
"New","40","4","4","Անիկա պատասխան տուաւ ու ըսաւ. «Գրուած է թէ ‘Ոչ միայն հացով կ’ապրի մարդ, հապա այն ամէն խօսքով՝ որ Աստուծոյ բերնէն կ’ելլէ’ »։"
"New","40","4","5","Այն ատեն Սատանան առաւ տարաւ զանիկա սուրբ քաղաքը եւ կայնեցուց զանիկա տաճարին աշտարակին վրայ"
"New","40","4","6","ու ըսաւ անոր. «Եթէ դուն Աստուծոյ Որդին ես, քեզ ասկէ վար ձգէ, վասն զի գրուած է թէ Իր հրեշտակներուն պիտի ապսպրէ քեզի համար, որ ձեռքերնուն վրայ վերցնեն քեզ, որպէս զի չըլլայ թէ ոտքդ քարի զարնես»։"
"New","40","4","7","Յիսուս ըսաւ անոր. « Դարձեալ գրուած է թէ՝ ‘Քու Տէր Աստուածդ չփորձես’»։"
"New","40","4","8","Սատանան նորէն առաւ հանեց զանիկա խիստ բարձր լերան մը վրայ եւ ցուցուց անոր աշխարհի բոլոր թագաւորութիւնները ու անոնց փառքը."
"New","40","4","9","ու ըսաւ անոր. «Ասոնք ամէնը քեզի պիտի տամ, եթէ իյնաս՝ ինծի երկրպագութիւն ընես»։"
"New","40","4","10","Այն ատեն Յիսուս ըսաւ անոր. «[Ետիս] գնա, Սատանա՛յ, վասն զի գրուած է թէ՝ ‘Քու Տէր Աստուծոյդ երկրպագութիւն ընես ու միայն զանիկա պաշտես’»։"
"New","40","4","11","Այն ատեն Սատանան զանիկա թողուց եւ հրեշտակները եկան ու անոր սպասաւորութիւն կ’ընէին։"
"New","40","4","12","Երբ լսեց Յիսուս թէ Յովհաննէս մատնուեցաւ, ելաւ գնաց Գալիլիա"
"New","40","4","13","ու ձգելով Նազարէթը, եկաւ բնակեցաւ Կափառնայում, ծովեզերեայ քաղաքը, Զաբուղոնի ու Նեփթաղիմի սահմաններուն մէջ,"
"New","40","4","14","որպէս զի կատարուի Եսայի մարգարէին միջոցով ըսուած խօսքը."
"New","40","4","15","«Զաբուղոնի երկիրը ու Նեփթաղիմի երկիրը, ծովու ճամբով Յորդանանի անդիի կողմը, Հեթանոսներու Գալիլիան."
"New","40","4","16","խաւարի մէջ նստող ժողովուրդը մեծ լոյս տեսաւ եւ լոյս ծագեցաւ անոնց՝ որոնք մահուան երկրին ու շուքին մէջ կը նստէին»։"
"New","40","4","17","Անկէ յետոյ Յիսուս սկսաւ քարոզել ու ըսել. «Ապաշխարեցէք, վասն զի երկնքի թագաւորութիւնը մօտ է»։"
