Testament,Book,Chapter,Verse,Content
"New","40","1","1","Issá Masih, Dáud o Ebráhémay chokk ent. Áiay béh o bonyátay daptar é dhawlá ent:"
"New","40","1","2","Esáke Ebráhém, Ákube Esák, Yahudá o áiay brát ke Ákubay chokk atant."
"New","40","1","3","Páres o Zárahe Yahudá ke áyáni mátay nám Támár at. Hesrune Páres, Arame Hesrun,"
"New","40","1","4","Aminádábe Aram, Nahshune Aminádáb, Salmune Nahshun,"
"New","40","1","5","Buáze Salmun ke áiay mátay nám Raháb at, Óbayde Buáz ke mátay námi Rut at, Yassie Óbayd,"
"New","40","1","6","bádsháh Dáude Yassi. Solaymáne Dáud, ke máti pésará Uriáay lógi butagat,"
"New","40","1","7","Rehóbáme Solaymán, Abiáe Rehóbám, Ásáe Abiá,"
"New","40","1","8","Yehushápáte Ásá, Yuráme Yehushápát, Ozziáe Yurám,"
"New","40","1","9","Yutáme Ozziá, Áháze Yutám, Hezekiáe Áház,"
"New","40","1","10","Manasie Hezekiá, Ámune Manasi, Yusiáe Ámun,"
"New","40","1","11","Yekuniáe Yusiá o áiay sajjahén brát, ke é wahdá Yahudi Bábelá darándhéh butant."
"New","40","1","12","Cha Bábelay darándhéhiá rand, Shiáltiále Yekuniá, Zerubábele Shiáltiál,"
"New","40","1","13","Abihude Zerubábel, Elyákime Abihud, Ázure Elyákim,"
"New","40","1","14","Saduke Ázur, Ákime Saduk, Elihude Ákim,"
"New","40","1","15","Eliázare Elihud, Mattáne Eliázar, Ákube Mattán,"
"New","40","1","16","Issope Ákub ke Maryamay mard at. Cha Maryamá Issá pédá but ke Masih zánaga bit."
"New","40","1","17","É dhawlá, cha Ebráhémá beger tán Dáudá chárdah posht o cha Dáudá beger tán Yahudiáni Bábelay darándhéhiá dega chárdah posht o cha á darándhéhiá beger tán Issá Masihá ham chárdah posht ant."
"New","40","1","18","Issá Masihay pédáesh é dhawlá at: Issáay mát Maryam, Issopá sáng kortagat bale cha áyáni sur o árósá pésar, zántesh ke cha Hodáay Pákén Ruhá, áiay láp porr butag."
"New","40","1","19","Maryamay lógwájah Issop, rást o pahrézkárén mardomé at, nalótheti Maryamá bannám bekant, paméshká wati delá shawri kort: “Pa bétawári é sángá bepróshán.”"
"New","40","1","20","É bárawá angat pegr kanagá at ke áiay wábá anágat Hodáwanday préshtagé átk o gwashti: “Issop, oo Dáud bádsháhay chokk! Cha wati deshtár Maryamay zurag o lógá baragá mators, chéá ke áiá é lápporri, cha Pákén Ruhá rasetag."
"New","40","1","21","Á, mardénchokkéay sará chellaga bit o áiay námá Issá bekan, chéá ke á wati kawmá cha áyáni gonáhána rakkénit.”"
"New","40","1","22","É sajjahén kár paméshká chosh butant tán Hodáwanday hamá habar rást o paddar bebant ke áiá cha nabiay zobáná gwashtagant:"
"New","40","1","23","Neshtagén janénchokkéay láp porra bit o mardénchokkéay sará chellaga bit o áiay námá Emánuil pera bandant, ke eshiay máná “Hodá gón má” ent."
"New","40","1","24","Wahdé Issop cha wábá ágah but, hamá dhawlá ke Hodáwanday préshtagá hokm dátagat, wati jani zort,"
"New","40","1","25","bale tán á wahdá ke chokk pédá nabutagat, gón áiá wapt o wábi nakort o chokkay námi Issá per bast."
"New","40","2","1","Bádsháh Hirudisay ahd o bárigá, wahdé Issá Yahudiahay damagay shahr Bayt-Lahemá pédá butagat, gorhá cha ródarátká lahtén nojumi Urshalimay shahrá átk."
"New","40","2","2","Jostesh gept: “Hamá nonnok ke pa Yahudiáni bádsháhiá pédá butag, kojá ent? Má áiay estár dar áyagá distag o pa áiay parastesh kanagá átkagén.”"
"New","40","2","3","Cha é habaray eshkonagá, Hirudis bádsháh o Urshalimay sajjahén mardom báz paréshán o deltaparkah butant."
"New","40","2","4","Hirudisá kawmay sajjahén dini péshwá o Sharyatay zánóger lóthet o jost geptant ke “ Masihay pédáesh kojá bayagi ent?”"
"New","40","2","5","Áyán passaw dát: “Yahudiahay shahr Bayt-Lahemá pédá bit, chéá ke nabiay ketábá nebeshtah ent:"
"New","40","2","6","‘Oo Yahudáay shahr Bayt-Lahem! Taw Yahudáay hákemáni nyámá kasterén naay, chéá ke cha taw yakk hákemén sardáré pédá bit ke á mani kawm Bani Esráilay shepánkiá kant.’”"
"New","40","2","7","Gorhá Hirudisá nojumi chérandari lóthetant o á estáray dar áyag o záher bayagay allamén wahdi jost kort ke kadén at."
"New","40","2","8","Randá áiá nojumi pa hamá nonnokay shóház o dar géjagá Bayt-Lahemá ráh dátant o gwashti: “Berawét o é chokkay bárawá sharr patth o pól bekanét, wahdé shomá dar gétk, maná sahig bekanét tán man ham pa áiay parastesh kanagá berawán.”"
"New","40","2","9","Bádsháhay habaráni eshkonagá rand, nojumi ráh geptant. Ráhá rawán, hamá estár ke áyán dar áyagá distagat, áyáni démá pésh kapán, hamá jágahay sarborá óshtát, ke nonnok ódá at."
"New","40","2","10","Cha é estáray gendagá, sakk báz washdel butant."
"New","40","2","11","Lógá shotant o nonnokesh áiay mát Maryamay gwarán dist. Gorhá kóndhán kaptant o chokkesh parastesh kort, wati tohpah o thékiáni hokkah o zabáddánesh pach kortant o sohr o sóchoki o morresh pa nonnoká sawgát kortant."
"New","40","2","12","Randá, Hodáyá wábá á hozzhár kortant ke Hirudisay kerrá per matarrant. Gorhá cha dega ráhé, wati molká shotant."
"New","40","2","13","Nojumiáni per tarragá rand, Hodáwanday préshtagé Issopay wábá átk o gwashti: “Chokk o chokkay mátá bezur o Mesrá betach, tán man tará nagwashán hamódá bedár, chéá ke Hirudis chokkay dar géjag o koshagá delmánag ent.”"
"New","40","2","14","Gorhá, Issop anchosh ke cha wábá ágah but, chokk o chokkay máti zort o shapi shap dém pa Mesrá shot."
"New","40","2","15","Tán Hirudisay marká hamódá mantant tán Hodáwanday hamá habar rást o paddar bebit ke cha nabiay kawlá gwashag butagat: Man wati bacch cha Mesrá lóthet o áwort."
"New","40","2","16","Wahdé Hirudis sahig but ke nojumián á rad dátag, báz zahr gept. Parmáni dát: “Bayt-Lahem o kerr o gwaray do sálig yá kasterén sajjahén mardénchokk koshag bebant.” Anchosh ke áiá pésará nojumi jost o pors kortagatant, hamá hesábá é wahdi gisshént."
"New","40","2","17","É dhawlá Eremyá Nabiay Ketábá Hodáay hamá habar sarjam butant ke gwashtagati:"
"New","40","2","18","Cha Rámahay shahrá kukkáré góshán kapt, mótk o zárié mazanén, Ráhilá pa wati chokkán grét, kaséay tasallái nazort, chéá ke á namantagatant."
"New","40","2","19","Hirudisay marká rand, Mesrá Hodáwanday préshtagé Issopay wábá átk."
"New","40","2","20","Préshtagá gwasht: “Pád á, chokk o chokkay mátá bezur o padá wati molk, Esráilá per betarr. Chéá ke chokkay koshagay shawr borrók mortagant.”"
