Testament,Book,Chapter,Verse,Content
"New","40","1","1","Issá Masih, Dáud o Ebráhémay chokk ent. Áiay béh o bonyáday daptar é dhawlá ent:"
"New","40","1","2","Esháke Ebráhém, Ákube Eshák, Yahudá o áiay brát ke Ákubay chokk atant."
"New","40","1","3","Páres o Zárahe Yahudá ke áyáni mátay nám Támár at. Hesrune Páres, Arame Hesrun,"
"New","40","1","4","Aminádábe Aram, Nahshune Aminádáb, Salmune Nahshun,"
"New","40","1","5","Buáze Salmun ke áiay mátay nám Raháb at, Óbayde Buáz ke mátay námi Rut at, Yassie Óbayd,"
"New","40","1","6","bádsháh Dáude Yassi. Solaymáne Dáud, ke máti pésará Uriáay lógi butagat,"
"New","40","1","7","Rehobáme Solaymán, Abiáe Rehobám, Ásáe Abiá,"
"New","40","1","8","Yehushápáte Ásá, Yuráme Yehushápát, Ozziáe Yurám,"
"New","40","1","9","Yutáme Ozziá, Áháze Yutám, Hezekiáe Áház,"
"New","40","1","10","Manassie Hezekiá, Ámune Manassi, Yusiáe Ámun,"
"New","40","1","11","Yekuniáe Yusiá o áiay sajjahén brát, ke é wahdá Yahudi Bábelá darándhéh butant."
"New","40","1","12","Cha Bábelay darándhéhiá rand, Shiáltiále Yekuniá, Zerubábele Shiáltiál,"
"New","40","1","13","Abihude Zerubábel, Elyákime Abihud, Ázure Elyákim,"
"New","40","1","14","Saduke Ázur, Ákime Saduk, Elihude Ákim,"
"New","40","1","15","Eliázare Elihud, Mattáne Eliázar, Ákube Mattán,"
"New","40","1","16","Issope Ákub ke Maryamay mard at. Cha Maryamá Issá pédá but ke Masih zánaga bit."
"New","40","1","17","É dhawlá, cha Ebráhémá beger tán Dáudá chárdah posht o cha Dáudá beger tán Yahudiáni Bábelay darándhéhiá dega chárdah posht o cha á darándhéhiá beger tán Issá Masihá ham chárdah posht ant."
"New","40","1","18","Issá Masihay pédáesh é dhawlá at: Issáay mát Maryam, Issopá sáng kortagat bale cha áyáni sur o árósá pésar, zántesh ke cha Hodáay Pákén Ruhá, áiay láp porr butag."
"New","40","1","19","Maryamay lógwájah Issop, rást o pahrézkárén mardomé at, nalótheti Maryamá bannám bekant, paméshká wati delá shawri kort: “Pa bétawári é sángá bepróshán.”"
"New","40","1","20","É bárawá angat pegr kanagá at ke áiay wábá anágat Hodáwanday préshtagé átk o gwashti: “Issop, oo Dáud bádsháhay chokk! Cha wati deshtár Maryamay zurag o lógá baragá mators, chiá ke áiá é lápporri, cha Pákén Ruhá rasetag."
"New","40","1","21","Á, mardénchokkéay sará chellaga bit o áiay námá Issá bekan, chiá ke á wati kawmá cha áyáni gonáhána rakkénit.”"
"New","40","1","22","É sajjahén kár paméshká chosh butant tán Hodáwanday hamá habar rást o paddar bebant ke áiá cha nabiay zobáná gwashtagant:"
"New","40","1","23","Neshtagén janénchokkéay láp porra bit o mardénchokkéay sará chellaga bit o áiay námá Emánuil pera bandant, ke eshiay máná “Hodá gón má” ent."
"New","40","1","24","Wahdé Issop cha wábá ágáh but, hamá dhawlá ke Hodáwanday préshtagá hokm dátagat, wati jani zort,"
"New","40","1","25","bale tán á wahdá ke chokk pédá nabutagat, gón áiá wapt o wábi nakort o chokkay námi Issá per bast."
"New","40","2","1","Bádsháh Hirudisay ahd o bárigá, wahdé Issá Yahudiahay damagay shahr Bayt-Lahemá pédá butagat, gorhá cha ródarátká lahtén nojumi Urshalimay shahrá átk."
"New","40","2","2","Jostesh gept: “Hamá nonnok ke pa Yahudiáni bádsháhiá pédá butag, kojá ent? Má áiay estár dar áyagá distag o pa áiay parastesh kanagá átkagén.”"
"New","40","2","3","Cha é habaray eshkonagá, Hirudis bádsháh o Urshalimay sajjahén mardom báz paréshán o deltaparkah butant."
"New","40","2","4","Hirudisá kawmay sajjahén dini péshwá o Sharyatay zánóger lóthet o jost geptant ke “Masihay pédáesh kojá bayagi ent?”"
